education_years,income_thousands,age_years,work_hours_week,family_size,gender,marital_status,urban_resident,financial_literacy_training,savings_amount
30,19,8,14,3,0,1,1,1,102.9735055105526
27,10,13,12,3,1,1,0,0,94.77646647648544
25,20,11,14,6,1,0,0,1,104.34072541306818
38,19,10,12,2,1,1,1,0,101.13509610107522
33,15,12,4,7,0,1,0,0,98.61941733144704
31,16,8,18,5,1,0,1,1,106.6036128249918
40,21,11,5,4,1,1,0,0,104.8127276138828
24,18,11,5,5,1,0,0,1,96.50519937050318
32,28,11,16,9,1,1,0,0,112.09181520106148
34,14,12,11,7,1,0,1,0,103.43217543380084
32,12,11,10,3,1,1,1,1,100.34855705394108
27,18,11,22,4,0,0,1,1,106.50907990943097
24,21,8,15,8,1,0,0,1,106.10656788944829
24,19,12,17,4,1,1,1,0,99.82770096015842
22,15,11,8,3,1,0,1,1,94.56793112067298
35,11,15,5,8,0,0,1,1,108.49492774507428
27,18,12,17,6,1,1,1,1,107.76400196686208
25,18,18,15,5,1,1,0,0,101.78156392377014
39,14,14,17,6,0,0,0,0,108.9832788790534
34,19,15,19,6,0,1,1,1,116.96408954713536
33,21,6,14,3,1,0,0,0,98.32718578116275
32,10,8,21,4,0,0,1,1,102.68104605474691
16,29,6,10,7,0,1,0,0,93.0095696410961
24,27,16,10,3,1,0,1,1,108.86149814205795
33,16,10,11,6,0,1,0,1,106.42738199740396
22,19,15,8,4,1,1,0,1,101.80617822848448
32,21,15,17,4,1,1,0,0,106.89130436437584
38,16,12,18,4,1,0,1,1,113.26428676920705
29,17,15,3,6,1,1,1,0,98.64215597716992
31,12,10,17,8,1,1,1,1,108.69084847171146
24,13,13,15,4,1,1,0,0,95.4519849163058
38,22,15,14,3,1,1,0,1,116.1408342131276
25,23,8,13,6,1,1,0,1,103.35124467482912
32,10,7,11,5,1,1,1,0,96.3831709617934
28,18,14,14,7,0,1,0,1,108.90210284964154
21,9,10,4,4,0,0,1,1,88.08909385586134
22,19,12,11,4,1,1,1,0,96.15411529897044
44,20,13,19,4,1,1,0,0,115.7122614234558
19,19,11,7,3,1,0,0,1,93.68110600885602
28,20,7,11,4,0,1,1,1,102.12021450078755
30,23,15,10,4,1,1,1,1,110.68655813157716
32,21,10,4,4,1,1,0,1,104.20412655898492
42,20,8,10,6,1,1,1,0,106.9741277698513
29,18,9,14,5,1,1,0,0,98.58262108864108
23,11,10,10,6,0,1,1,1,96.54133704489192
37,10,15,15,3,0,1,0,1,107.68483283599832
33,20,14,13,3,0,1,1,0,103.72014510396258
42,20,7,19,2,0,0,0,1,111.03894662722784
27,26,10,22,4,0,1,1,1,111.60820288126452
25,24,13,13,4,1,1,1,0,100.47570406377656
35,16,11,22,5,1,0,1,1,113.9346126071668
35,20,10,16,4,1,1,0,0,106.31891305395295
25,3,7,8,4,1,1,1,1,87.85346985208291
28,24,11,12,6,1,1,1,1,109.21030561344408
39,15,10,14,6,1,1,1,0,106.92172471404234
33,15,13,19,1,1,0,1,1,107.2776059229964
36,24,9,14,4,1,1,0,1,112.8771918920629
34,16,9,10,4,1,0,1,0,96.70151147753784
29,9,10,7,6,1,1,1,0,90.85002756671416
27,25,19,11,8,0,1,0,0,110.20866412845145
24,14,13,20,4,1,0,1,0,97.40958983441747
36,17,12,17,2,0,0,0,0,102.85448548332792
32,15,4,16,6,1,0,1,1,100.89204638214444
27,16,15,13,3,1,1,0,1,106.1642494069348
40,12,14,17,2,1,0,1,0,104.57431515784532
37,16,14,12,7,1,1,1,1,113.92807818713432
34,16,5,15,3,1,1,0,1,102.53228688189915
34,19,16,11,5,1,1,1,0,107.208853569038
35,17,6,10,4,0,1,1,0,97.37003347068185
26,25,14,9,5,1,0,1,0,101.23180623068497
21,16,14,11,4,0,0,1,1,97.66559852959728
29,18,13,17,1,1,0,0,1,105.24053713239796
25,18,13,10,5,1,0,0,0,95.9645385839464
25,15,13,14,5,1,1,1,1,104.6620461954268
31,18,13,5,7,1,0,1,1,105.9730462731003
38,20,11,16,0,1,0,1,0,103.64223243953856
40,23,17,13,6,1,0,0,1,121.48455993377824
37,12,13,8,3,1,1,0,0,99.42128175506276
31,24,11,17,6,0,1,1,1,111.72425222108336
32,20,14,16,7,1,1,1,1,116.07180108793064
32,15,13,9,8,1,0,0,0,102.23058520265415
28,22,11,19,4,1,1,1,1,109.56234292999028
23,15,10,12,3,1,1,0,0,91.81962600202812
25,21,13,19,5,1,1,0,1,109.076443803745
22,15,11,11,6,1,0,1,1,99.60888282395884
30,19,14,6,4,1,1,1,1,106.33946645310267
26,5,12,13,4,0,1,1,1,96.01977158570251
27,22,13,17,4,1,1,1,1,111.78486744531376
31,20,12,11,6,0,1,0,0,101.61053168270968
29,4,7,13,5,1,1,1,1,96.1015729757962
39,22,13,9,4,0,1,0,1,113.22390948471714
35,12,10,7,2,0,1,1,1,100.42601522628291
32,9,12,10,7,1,1,0,1,104.03055206136868
41,27,11,10,6,0,1,0,1,116.47475440683324
23,25,13,8,2,0,1,1,0,97.07497907913503
24,12,12,9,2,1,1,1,0,90.68613231117963
24,21,14,12,1,1,0,1,0,95.88307812971814
31,16,9,10,6,1,1,0,1,104.4433983428442
32,20,8,14,3,1,1,1,0,101.04608231028274
29,21,17,12,2,1,0,1,0,103.2818073616863
31,15,9,12,5,0,1,0,0,97.48476720731408
27,15,16,17,6,1,1,0,0,103.45937533261782
36,13,15,17,2,0,1,1,1,109.68287121531932
36,14,17,9,5,0,1,1,1,112.70437413501452
41,18,9,8,5,0,0,1,0,103.3609848642565
26,21,11,7,4,0,0,1,0,94.69506263992572
35,13,13,9,3,1,1,1,0,100.2651070212602
38,8,12,12,5,1,0,1,1,105.26233946841444
35,19,14,18,6,1,1,1,1,114.97574346802772
32,17,11,6,2,1,1,0,1,99.29689489169331
33,18,12,18,5,0,1,0,0,106.2329034319616
29,18,10,15,3,1,1,1,0,99.50645339605296
26,16,11,7,10,0,1,0,1,103.64341464686116
36,12,11,16,2,1,0,0,1,104.26835024298376
28,23,13,16,3,1,1,0,1,108.4105016761144
18,9,13,14,6,1,1,1,0,90.9981022137497
29,19,7,12,4,1,0,1,1,99.72441026652764
33,25,14,10,6,0,0,1,1,113.24688387755832
35,24,12,19,4,0,1,1,0,110.5143193077978
39,27,13,12,5,1,0,1,1,118.90671973352154
37,12,11,13,5,1,1,1,1,105.76487663509288
27,24,13,2,7,0,0,1,0,101.1816477788196
29,23,14,15,6,0,0,1,1,112.78250882451304
23,19,11,15,3,1,1,1,0,95.32074121855062
37,12,8,16,3,0,1,0,0,98.7733931378292
42,17,14,12,6,0,1,1,0,109.61697339000924
26,22,9,20,3,1,1,0,0,98.8517854440452
29,13,13,9,3,1,0,1,0,94.22354066018046
30,26,13,15,2,0,1,0,1,109.83397027636052
32,13,14,11,7,1,1,1,0,103.91579824257158
51,22,10,18,10,1,1,1,0,124.68916614632006
34,22,15,15,1,0,0,0,1,110.84805178257082
35,13,12,8,4,0,0,1,0,98.91529376095431
35,18,9,9,9,1,1,1,1,110.63967975146215
19,10,15,6,4,1,0,1,0,87.83531405172694
41,23,16,16,6,1,1,1,0,119.10799441060348
29,16,9,8,5,1,1,1,0,94.89615939435107
26,27,5,10,4,1,1,0,0,96.71278818801004
25,24,13,9,2,0,1,0,0,97.16415378167268
31,23,14,10,3,0,1,1,0,104.13859653585746
33,10,13,14,4,1,1,1,1,104.86398297997302
15,25,17,17,5,1,1,0,0,99.94919977841444
34,25,5,15,4,1,0,1,0,102.95840456996883
31,17,9,8,3,1,0,1,0,93.02580066938
31,23,14,12,4,0,1,1,0,102.75134451266216
31,17,10,3,7,1,0,1,0,98.78557286543676
26,17,15,17,2,1,1,1,0,100.1427197021243
31,26,9,5,4,1,0,0,1,104.37046225501412
20,17,14,10,6,1,1,1,1,101.24420486007874
34,10,9,10,6,1,0,1,0,95.82019006398664
30,11,9,8,5,0,1,1,1,98.2647626550538
37,19,8,16,3,1,1,1,0,102.67454536601
35,20,11,18,7,0,1,1,1,114.34191276499182
36,22,11,14,3,1,0,1,0,106.34699734076489
24,27,11,8,5,1,1,1,0,99.67593672958324
28,8,14,11,5,1,1,1,0,95.86817942610186
28,10,11,14,6,1,0,0,1,102.71958600792416
37,17,13,12,4,1,0,1,0,104.39210648586052
30,19,14,14,4,1,1,1,0,103.52441683023125
28,19,13,16,6,1,1,0,0,104.08812919736866
34,27,10,14,2,0,1,0,0,104.86426359384257
36,24,11,15,3,0,1,0,1,112.7745217326089
28,18,7,18,7,0,1,1,0,99.88885462960825
32,19,9,16,5,1,1,1,0,103.01867730341756
38,19,12,14,3,1,1,0,1,110.93155252889945
30,19,15,7,6,0,1,1,0,102.38466494458586
33,23,9,9,4,1,0,0,0,100.89300234092484
34,22,7,12,3,0,0,0,0,98.5687747988162
27,16,12,6,4,1,1,1,0,95.1981546646506
32,16,13,3,5,1,0,1,0,97.4187153028471
32,20,13,16,8,1,1,0,1,114.73822072265828
35,17,9,12,0,1,0,1,0,94.92905643801087
36,9,3,15,5,1,0,1,0,92.72536915614862
24,18,11,23,2,1,0,0,1,104.31985227430394
29,28,12,9,4,1,1,1,1,109.61723287698037
41,11,10,17,4,1,1,1,0,102.69034219742
36,14,2,18,0,1,1,1,0,93.82725593893495
25,13,15,7,5,1,1,1,0,96.61795941729184
39,24,14,7,5,1,0,1,1,114.54562811953858
33,19,9,11,7,1,1,0,1,107.5349895904154
26,14,8,15,6,1,0,1,1,100.36763029221405
32,18,10,13,4,1,1,1,1,105.70683578300192
43,12,11,13,4,1,1,1,1,110.45542593912624
30,27,10,7,4,1,1,0,0,100.90532195056493
34,12,12,6,6,1,1,1,0,97.02852621044876
25,16,15,7,5,0,1,1,1,101.89555363306351
24,14,10,14,5,0,1,1,0,94.99871209368852
35,20,14,16,7,0,1,0,1,115.44938669188464
44,13,12,14,0,1,0,0,0,104.953765653356
28,19,11,15,4,1,1,1,0,100.43622999406308
30,11,11,12,8,1,0,1,0,99.2371641321768
29,5,8,8,4,0,0,1,0,85.98416187191722
30,29,14,5,5,0,0,0,0,104.25209650558033
47,14,12,19,8,1,1,1,0,116.96126480829432
33,20,8,12,5,1,1,1,1,107.06606429016436
25,14,10,17,7,0,1,0,1,101.7645674505099
42,11,10,9,6,1,0,0,0,103.39538873076656
23,15,10,13,2,1,1,1,1,96.61201915452918
18,28,10,12,5,0,1,1,0,96.28574477322113
29,19,9,7,4,0,1,1,1,99.07957431816784
37,10,14,6,3,1,1,1,0,98.09894329548936
15,15,12,19,6,1,0,1,0,93.71590725873833
25,15,11,10,4,1,0,0,0,92.03317022351094
31,23,9,13,5,1,1,1,0,103.75755682436304
34,23,9,14,7,1,1,0,1,112.66244804074778
34,10,8,9,4,0,0,1,1,98.35295242784328
49,14,11,8,7,1,1,0,0,114.66023993008297
21,17,15,11,1,1,1,1,1,97.62714955383473
29,20,15,18,8,1,1,0,0,108.75453860302405
29,19,10,11,5,1,0,1,0,97.5306625399656
41,22,8,12,2,0,1,0,1,110.35550837138372
21,28,11,15,8,0,0,1,1,108.1744816985284
24,26,12,12,4,1,0,1,1,105.13579036726486
25,4,10,7,9,1,1,1,0,90.39395287097186
38,21,12,23,2,1,1,0,0,110.3957253408127
32,18,16,14,5,0,0,0,1,111.16358518888605
17,6,10,9,5,1,1,1,0,82.36404352731037
39,16,12,13,10,1,1,1,0,112.80565818033064
24,21,12,20,5,0,1,0,0,102.99659150107028
34,19,11,10,5,0,1,1,1,106.56706625820055
44,27,13,7,7,0,1,0,0,116.41475564595984
39,19,15,9,4,0,1,0,1,113.9056324933774
31,19,13,17,7,0,1,1,1,114.18525481360764
23,9,9,13,6,1,1,1,0,90.47746563428008
24,20,13,8,7,1,1,1,1,105.1200901992726
32,16,10,15,7,1,0,1,0,105.14711303726922
30,14,13,12,8,1,0,1,0,102.23577576112773
37,14,13,6,6,1,1,1,1,107.90152709832466
30,15,6,6,5,1,0,0,1,97.436924285288
37,17,15,13,4,0,1,1,1,113.02884683871254
25,18,15,13,4,1,0,1,0,99.13285034082602
29,24,11,14,3,1,1,1,0,101.18769155145408
37,16,13,16,6,1,1,1,1,113.25349687083178
38,20,11,10,6,1,0,1,1,110.67751210464756
29,32,7,16,7,1,1,1,1,112.62536200313929
19,17,11,19,7,1,0,1,0,95.98725686816796
30,18,10,16,4,1,1,1,1,106.85627686118708
44,19,11,17,8,0,1,0,0,116.8339814295775
18,15,12,10,7,0,1,1,1,97.0450900982949
29,15,9,3,5,0,1,1,1,97.147581677226
31,30,13,16,7,0,0,1,0,111.65040798176864
28,20,12,18,3,1,1,1,1,108.26016027428372
28,22,10,10,10,1,0,1,0,104.82872824625008
27,31,14,9,7,1,1,1,1,115.6478849120163
37,22,9,14,3,1,0,1,1,110.41920874648622
26,23,9,21,5,1,1,1,1,108.0572974100004
44,16,11,14,3,1,1,0,1,112.3811977800658
34,25,15,19,2,1,0,0,1,115.04802140441647
27,16,13,6,6,0,1,1,0,97.82753112063858
36,15,8,6,1,0,0,1,1,96.678384145903
18,18,15,12,6,1,0,0,1,100.77313343600412
37,16,6,8,3,1,1,0,0,97.31503278076528
40,15,11,19,6,1,1,1,1,115.80977020495656
25,17,12,11,3,0,1,1,1,100.6539327309869
20,12,11,17,4,1,1,0,0,91.05669849711738
23,19,7,8,3,1,0,1,1,93.82727442314037
33,18,11,10,5,0,0,1,1,108.2790654127623
31,19,13,19,4,1,0,1,0,105.64093450310762
31,24,13,6,4,1,1,0,1,107.6479787699429
39,20,13,22,4,1,1,1,0,111.85673076135936
26,21,9,17,5,0,1,1,1,103.14759370304648
50,22,11,5,7,1,1,0,0,114.0370635249862
27,15,12,7,6,0,0,1,1,102.21032097231722
25,22,11,14,5,1,1,0,1,106.50781935505567
29,14,16,6,4,0,1,1,1,103.95277166335586
37,9,9,7,2,1,0,0,0,92.49862041054764
28,8,5,9,2,0,1,1,1,90.36612281250996
23,6,12,8,5,0,0,1,0,85.4787766173936
24,22,9,14,1,1,1,0,0,91.86943900742558
33,20,7,15,1,1,1,0,1,101.19643348252929
39,24,13,16,5,1,0,1,0,111.48944946352404
22,18,11,5,5,0,1,1,1,95.3453863096364
38,12,13,13,2,1,1,0,0,101.26087770413169
15,10,11,18,5,1,1,1,1,95.52803625848291
21,16,10,14,1,1,0,1,0,88.52350329154223
29,22,12,13,6,1,0,0,1,108.7596182923587
36,16,12,13,2,0,1,1,0,101.54494579859104
43,4,12,11,2,1,0,1,1,105.3543939729902
26,21,10,15,4,1,0,1,1,101.5384465242916
23,5,10,17,6,1,0,1,1,95.28072537013156
30,0,14,10,5,1,1,1,0,93.70189070866462
36,19,8,17,6,1,0,1,0,105.83077106818844
21,30,13,17,5,1,0,0,1,108.47338678756164
28,14,9,12,7,1,1,1,1,103.7283421475716
27,13,10,6,3,1,1,1,0,90.64152477391332
31,19,10,15,3,1,1,1,1,106.0485293526552
39,16,10,17,3,0,1,0,1,108.1812405561324
38,15,16,9,3,1,1,1,1,111.4502486129696
17,15,9,13,6,1,1,1,0,88.32129392244312
21,14,10,16,6,1,0,1,0,93.72192082888644
29,14,16,5,3,1,0,1,1,101.39865387040422
24,19,14,14,4,1,1,1,1,104.5981525972094
44,14,12,15,5,1,1,1,0,109.96670053867926
33,8,12,16,7,0,1,1,0,101.01479458867432
35,6,13,12,4,1,0,0,0,97.68835931750668
34,12,13,9,3,1,1,1,1,103.51623336632628
36,19,9,14,3,1,1,1,1,107.49513320644353
30,15,11,13,7,0,1,1,0,100.85271452277416
22,15,13,7,6,1,1,1,0,94.76071759922672
29,22,12,8,4,0,1,0,0,99.15649494770592
31,15,8,17,4,1,1,0,0,97.36243367944402
32,15,11,9,6,1,0,1,1,104.84968424746216
33,21,12,15,3,1,1,1,1,112.34422440870352
33,26,13,11,5,0,0,1,0,108.44292618871692
25,25,13,7,3,0,0,1,1,103.86104738180134
27,8,14,19,6,0,1,1,0,97.4342010234232
36,8,10,6,6,0,1,1,1,100.73894250140546
29,14,12,14,4,0,1,1,1,104.08153862493378
16,13,8,14,7,1,1,1,0,88.19968947371386
29,16,10,16,3,1,1,1,1,102.41491915235812
27,18,12,19,2,0,1,1,1,105.98707727630436
34,21,7,19,5,1,1,0,0,103.59448992431707
37,16,11,9,4,0,1,1,1,106.84256348630268
33,24,12,15,5,1,0,0,0,105.56199717668132
21,21,16,15,4,1,1,0,0,99.06848335687482
29,21,12,8,6,1,1,1,1,106.5012600862738
27,25,12,23,3,0,1,1,1,111.3260749187887
28,15,10,8,3,1,0,1,1,97.35873807755613
41,13,16,10,6,0,1,1,1,115.6908978844333
19,23,7,11,2,1,0,1,0,87.28620227279617
42,5,10,8,3,1,1,1,1,101.1047664327169
48,28,6,13,0,1,1,1,0,109.23801054373828
35,9,9,12,6,0,0,1,0,98.56515247717314
27,17,11,14,2,1,1,1,1,100.63077893064538
22,5,11,9,4,1,1,1,0,86.47353362658076
31,21,9,10,5,1,1,1,0,101.0313058028211
39,28,13,17,6,1,1,0,0,115.41875750711267
32,17,7,15,2,1,1,0,0,97.0680480391838
41,21,11,16,3,1,1,0,0,109.47933136727356
22,21,5,18,1,0,0,1,1,96.08399868967516
26,14,12,10,7,1,1,1,0,97.85280609568204
28,8,5,18,6,0,1,0,1,96.82259108884844
34,16,15,11,3,0,0,1,0,102.04177468487026
39,18,11,11,5,0,1,1,0,107.32348681576562
34,12,13,11,2,0,1,0,1,103.38428664217028
31,16,14,13,6,1,1,1,0,103.36690380299515
29,27,16,19,9,1,1,1,0,115.18331043301754
34,15,12,12,7,1,0,1,0,104.70545565162988
34,19,13,11,2,1,1,0,1,108.85413858546096
28,26,12,10,3,1,1,1,1,107.5682937339354
22,27,15,11,7,0,0,0,0,102.93487676730793
25,19,13,3,6,0,1,1,0,97.0514966219053
27,16,8,10,4,1,1,1,0,92.4911243599143
45,18,17,7,6,0,1,1,0,115.18981469071252
23,10,11,20,6,1,1,1,1,102.13615904525597
34,21,11,9,4,0,1,1,1,107.74945254788672
34,24,10,3,6,0,0,0,1,106.890094250765
24,16,8,14,4,1,0,1,1,97.74229092330476
35,17,15,12,5,1,1,1,1,112.88005315000213
32,26,9,14,8,1,1,0,1,114.54555068251916
35,24,7,11,3,1,1,1,1,104.3620021582242
33,19,16,17,4,0,1,1,0,110.62307697713872
39,10,16,17,6,1,1,1,1,116.50421605632243
28,12,14,13,6,1,1,0,0,99.50224912348251
24,26,11,14,5,1,1,1,0,101.38773495757756
30,18,11,3,2,1,0,1,0,93.33596246940216
33,11,6,4,3,0,1,1,0,89.73531838621162
30,17,14,4,2,1,0,1,0,95.78142847800451
29,18,12,16,5,1,1,0,1,107.91664842196435
29,5,14,15,8,1,1,1,1,104.04300037669712
43,25,13,10,2,0,1,0,0,108.97851120589236
27,19,13,5,5,1,1,1,1,103.69205618697194
42,22,10,22,5,0,0,0,1,118.97791826245168
34,16,15,13,2,0,0,1,0,101.35640169039472
17,17,13,12,7,1,1,1,0,95.94129238570514
31,24,13,12,5,1,0,0,0,103.74519533757493
23,10,7,13,6,1,1,1,1,96.0044544484078
31,10,13,12,3,0,1,1,1,101.26060981265738
32,15,14,13,1,0,1,1,0,99.15712906706956
45,20,10,9,6,0,0,1,1,115.43406099528389
18,25,11,8,7,1,0,1,0,96.56050482279844
27,12,12,19,5,0,0,0,0,95.9870986685479
44,16,12,21,5,1,0,0,0,114.53811209514627
32,20,12,18,3,0,1,1,0,104.73774496764284
24,13,19,13,4,1,1,1,0,100.3743673238974
29,10,15,11,5,1,1,1,1,102.505510944478
18,12,8,7,5,1,1,1,1,88.50463834151837
37,9,16,10,7,1,1,1,1,110.74904591392746
38,17,13,9,4,0,1,1,1,110.57787731023951
31,17,9,14,3,1,0,1,1,101.9710277032774
42,8,13,22,5,1,1,0,0,108.60271970935082
31,16,7,18,5,0,1,1,0,99.75363345488752
25,22,4,12,7,0,1,1,1,101.55241429654606
40,19,10,21,4,1,1,1,0,111.21776318655796
42,25,9,12,5,1,0,0,0,109.56265086671992
30,9,14,4,3,0,1,0,1,96.21426380682934
32,21,13,13,3,0,0,1,0,103.47107666421977
19,9,15,8,3,0,1,1,1,92.8124030120372
32,28,10,14,1,0,1,1,0,102.79148249495604
24,14,16,9,6,1,1,1,1,105.32712260456935
19,10,13,16,3,1,1,1,0,89.91785617066367
33,12,13,17,9,0,0,1,1,112.68307566567697
36,17,12,21,2,1,1,1,1,109.7494292470165
36,9,8,15,5,1,1,1,0,98.26174025638564
41,15,12,9,3,0,1,1,1,107.60347285190994
35,5,9,13,5,1,0,1,1,101.10656070778322
33,19,13,9,1,1,1,1,0,99.131093468263
38,17,14,13,7,1,1,1,0,109.75955060154448
35,23,10,9,6,1,0,1,1,109.8037362131246
33,14,11,8,10,1,1,1,1,109.18652420098348
21,12,15,15,3,1,0,0,1,99.03735046626343
41,22,15,11,1,1,0,1,1,114.11036049321416
22,20,14,5,4,0,1,1,1,100.34720166180436
36,13,16,16,4,0,1,1,0,108.63888385544908
24,17,12,10,4,1,1,0,1,101.00906114713108
23,16,13,9,5,1,1,0,1,101.46534878800932
31,29,13,10,2,1,1,1,1,109.95885404631774
25,16,10,5,5,1,0,1,1,95.7813132763092
33,15,12,15,7,1,1,0,0,102.33147561192956
24,27,11,15,7,1,1,0,1,108.5550893637105
32,24,12,13,0,1,1,1,0,100.95049987442682
25,19,12,12,4,0,1,1,1,100.2344395128124
36,18,15,16,8,1,0,1,0,113.60530787437423
25,24,11,10,8,0,1,0,1,108.14760198304496
21,17,13,12,3,1,1,1,1,98.55805409804096
33,23,7,17,3,1,1,1,0,101.88095761615176
33,10,7,10,2,1,1,1,1,97.45114110755868
30,20,9,18,3,1,0,1,1,105.27772976037112
43,27,8,13,3,0,1,1,1,116.28439930798656
28,20,12,6,5,0,1,1,0,99.87484846234996
30,16,9,10,8,1,1,0,1,105.39983565211354
31,12,10,7,0,1,1,0,1,95.53158198649348
34,20,8,13,7,1,0,1,1,109.99612236128552
29,5,10,17,6,1,1,0,0,96.73913268725234
39,15,12,10,5,1,1,1,0,105.36313375398451
26,9,11,9,6,1,0,0,1,98.43139358741315
23,14,10,17,4,1,0,0,0,93.74989536754518
33,24,16,0,7,0,1,0,1,111.06438273871292
26,10,12,19,2,1,0,0,1,100.17237977201256
30,25,11,16,4,1,1,0,0,104.86122236498788
35,13,6,9,2,0,1,1,1,97.47739750390144
32,8,15,11,5,1,1,1,0,100.7373567208796
38,15,14,14,4,1,0,1,1,111.50822568460204
36,11,14,19,7,1,0,1,1,114.9083167464746
30,21,14,11,3,1,1,0,1,108.757976079636
32,13,12,9,5,1,0,1,1,102.31521736218096
22,27,18,12,2,1,1,0,0,101.41794303148794
36,19,9,8,3,1,1,1,1,106.90964854154022
41,16,18,10,5,1,1,1,1,118.13707793024426
30,8,7,15,4,1,0,0,1,95.48802112376156
30,12,8,18,4,1,0,0,0,95.91559452441498
16,18,10,10,4,1,1,1,1,92.03229209050208
27,28,11,11,7,1,1,1,1,110.05128092237965
25,12,18,16,5,1,1,1,1,107.21896913708618
22,22,15,17,6,1,1,1,0,103.84749906103424
33,8,11,12,6,1,1,1,0,97.01195290685465
30,13,11,14,5,1,1,1,0,100.03782900079636
23,25,14,18,2,1,1,0,1,105.9086345425656
31,15,10,9,6,1,1,0,0,96.94150736657542
23,15,19,14,10,1,0,1,1,113.1923075137733
30,18,12,11,5,1,1,1,1,105.84613148208297
37,16,11,18,9,0,0,1,1,116.78791542836665
31,22,10,10,6,1,0,0,1,107.53876055909303
20,13,12,19,4,1,0,0,0,91.9511225540538
38,17,17,14,5,1,1,0,1,117.03535746632272
38,13,14,10,5,1,1,0,0,104.20964526606768
39,10,10,17,4,1,1,0,1,107.06610265589276
44,20,13,13,5,1,0,0,1,119.08399911269
30,21,10,4,5,0,1,1,0,97.0259868246889
24,20,16,7,5,1,1,1,0,99.69080011899617
37,17,14,12,3,1,1,1,0,105.66939409674517
32,19,15,14,2,1,1,0,1,111.199643013052
33,11,11,7,6,1,1,1,0,96.85696878697424
31,16,11,7,3,0,1,1,1,102.65534774956303
27,28,7,16,8,1,1,1,1,111.1121387413778
33,19,9,4,4,1,0,0,0,96.5677092532076
29,20,8,12,4,0,0,1,1,101.2061737261376
30,22,14,18,7,0,0,1,1,113.91876182566284
41,16,13,19,7,1,1,0,1,120.41094746308454
40,24,12,11,5,1,1,0,1,117.76727232798518
18,23,16,19,4,0,0,1,1,107.99735068881456
30,24,7,10,4,1,1,1,0,97.82084218518118
16,24,7,11,7,1,0,1,1,97.57174967452684
34,19,12,18,6,1,1,0,1,114.29479003477618
32,14,12,14,5,1,0,0,0,99.76419014900398
38,22,13,15,3,1,1,0,0,106.31928060381192
23,10,12,7,6,1,0,1,1,94.58814670898322
37,19,13,13,4,0,1,1,0,104.93307532038992
27,22,7,12,4,1,1,1,0,97.96569840418512
30,13,8,6,2,0,1,0,0,90.41316226485256
28,30,15,14,6,1,0,1,1,115.56384335127824
36,18,10,9,6,0,1,1,0,105.02473087129522
39,7,15,11,3,1,0,0,0,102.7582271737191
25,23,12,19,9,0,0,1,1,112.03934405894644
22,12,6,13,5,0,0,1,0,87.31626981000643
33,20,14,16,4,0,1,0,0,105.92019532578249
