age,education_years,income_thousands,work_hours_week,gender,smoker_status,married_status,exercise_program,health_score
31,14,16,12,0,1,1,0,94.3951458875338
25,15,8,20,1,1,1,1,94.75475485965654
28,7,16,8,0,0,1,0,83.68783599795677
34,15,11,6,0,1,1,0,93.51794850933464
42,17,9,12,1,1,1,0,101.0782693145052
35,15,14,12,1,0,1,0,97.02497080198756
33,22,19,22,1,1,0,1,113.62130673357991
31,19,9,15,0,0,1,0,95.9875325023621
33,13,16,17,1,0,1,1,106.14152098291794
39,12,13,12,1,0,1,0,98.12440951332708
32,17,11,11,1,0,0,1,101.6339899023874
34,16,9,19,1,0,0,1,101.56103802297336
26,18,15,11,1,1,1,1,102.8107581518112
38,25,8,13,1,0,0,1,112.17539944720576
27,21,7,13,1,0,1,1,100.67343156915756
42,13,13,7,1,1,0,1,108.05656615942604
33,15,10,6,0,0,1,0,90.90398191084138
45,16,7,12,1,0,0,0,101.64403391328348
30,14,8,16,0,1,0,0,87.40345508865748
24,21,10,12,1,0,1,0,92.3593893422532
21,16,13,6,0,0,1,1,94.37578417186752
22,15,17,7,1,1,1,1,97.32477268495845
41,15,14,4,1,0,1,1,109.15259607658987
41,20,15,15,0,1,0,0,106.47390687054067
35,18,9,17,0,0,0,0,94.40355142027964
21,6,11,12,1,0,1,0,76.41197946246743
28,22,10,8,1,0,1,1,102.0981105129066
29,4,9,6,1,0,1,0,77.09299826209204
41,8,12,22,1,1,1,1,106.5404723445757
38,25,8,13,0,1,1,1,113.27797116003946
33,13,10,5,1,1,1,0,91.20994075823064
26,26,13,3,0,1,0,0,96.70816379501696
32,17,14,11,0,1,1,0,95.1463486853756
29,22,11,15,1,1,1,0,95.98073658239758
38,21,12,14,0,0,1,1,113.33390248965532
42,12,17,15,1,1,0,1,111.62493523368148
50,6,13,12,1,0,1,1,108.73332848559711
23,7,17,8,1,0,1,0,82.21430074907055
32,22,15,18,1,1,0,1,110.42647619599722
32,16,9,10,1,0,1,1,100.4518051142917
39,13,16,9,1,1,0,0,99.28704975601497
22,16,11,17,1,1,1,1,95.29069664205944
38,21,5,17,1,0,1,0,101.02809624319202
38,16,12,17,0,1,0,0,99.1598335774416
48,17,15,9,0,1,1,0,111.44719704390664
21,18,14,14,1,1,1,1,94.93326556224036
20,19,9,15,1,0,0,0,86.21624454747233
28,20,12,11,0,1,1,1,103.81319024133832
40,17,8,14,1,1,1,0,99.41671837045372
35,9,15,22,0,0,1,1,102.80600423383812
30,23,9,14,1,0,1,1,106.4917918774902
33,14,12,7,0,0,0,1,99.09025863125538
38,11,11,10,1,0,1,0,92.68569883301086
34,15,16,15,0,1,1,1,107.4594598279961
32,23,11,17,1,1,1,1,109.56387738389785
39,14,14,11,0,1,1,0,98.8776825248794
29,20,10,16,1,1,1,0,96.24393940677844
29,21,14,23,0,1,1,0,99.06861070556631
27,18,10,9,1,0,0,1,97.33533850549443
31,14,12,15,1,0,0,0,91.6995064550978
41,27,9,9,1,0,1,1,117.1557332039325
23,17,14,11,1,0,1,0,89.5039781806746
30,19,9,10,0,1,1,1,100.6957734030036
38,15,6,19,1,1,1,1,105.841485139827
26,14,14,15,1,1,1,1,99.47247156966029
33,27,11,18,1,1,1,1,112.34531969982548
17,21,14,18,1,0,0,1,96.4707818945468
39,19,7,14,0,0,0,0,98.09416225475222
40,19,10,11,1,1,0,1,109.49123484742518
27,17,15,10,1,1,0,0,90.6672705995763
32,13,7,14,0,1,0,0,88.05450096670774
29,13,11,7,1,0,1,1,96.22896599653131
35,18,11,6,1,0,0,0,96.48256593810594
37,16,5,22,0,0,1,1,102.12510764521548
33,18,12,13,0,1,0,0,95.32794402217316
30,12,13,19,0,1,0,1,99.86111288846293
41,15,9,14,1,0,0,1,108.1233242294864
30,10,10,10,1,1,0,1,93.66568688426754
38,20,12,10,1,1,1,0,103.16673510273434
35,20,10,4,1,1,0,1,105.64210575877536
34,15,15,14,1,0,1,0,99.50955866809664
34,18,9,11,0,0,0,0,94.03934217780396
42,18,14,11,1,1,1,1,115.03756245129448
30,16,13,9,1,0,1,1,103.36976753528744
34,20,14,17,0,1,1,1,110.55156214815722
37,17,14,6,1,1,1,1,111.07507900104665
21,22,16,15,0,0,0,1,102.99755478400286
30,14,14,16,0,1,1,0,92.48798182679003
31,12,10,11,1,0,0,1,96.68702171664742
47,10,13,13,1,0,0,1,111.26436658815297
39,24,10,13,1,1,0,0,105.8660849689172
22,28,9,12,0,1,0,1,101.52590661297684
36,16,14,7,1,1,0,0,98.29246431205873
25,13,15,12,1,0,1,1,96.98261769202438
34,24,7,15,1,1,1,0,101.25379305345722
26,11,18,17,1,1,1,0,90.11862533719584
32,21,13,13,1,1,1,1,108.29830230683288
43,10,13,7,1,1,1,0,99.54064397017169
28,20,9,12,0,1,1,1,99.48277036367436
44,20,9,16,0,1,1,0,108.12320103941154
18,10,9,13,1,1,0,1,84.61324756908269
26,18,16,4,1,0,1,0,91.82933067600564
39,13,7,15,0,0,1,1,102.7415385411616
23,15,8,17,0,0,0,0,82.46568609464589
30,12,16,11,1,1,1,1,103.20940471506228
47,23,5,13,0,0,1,0,108.59649710569649
31,19,12,14,0,1,1,1,104.29449642300644
28,13,13,11,0,0,1,1,97.52701878429993
22,17,11,19,1,1,1,1,97.87664588689913
20,25,13,6,1,1,1,0,92.71156500415654
45,11,13,18,1,1,0,0,103.58010005960264
47,15,12,18,1,0,1,1,116.7074695252805
29,21,12,17,0,1,1,1,107.98971009835076
38,17,10,14,0,1,0,1,107.600733125628
33,11,12,10,0,0,1,1,98.48217872854056
23,8,12,16,0,1,1,0,81.45071786894842
40,11,13,9,0,0,1,1,104.14835045488806
31,25,15,10,1,0,1,0,103.91577513368937
33,14,11,19,1,1,1,1,103.27698138231422
30,25,12,16,1,1,1,0,101.61786186823656
47,19,9,10,1,0,1,1,113.93923391624286
29,17,12,19,1,0,1,0,94.0790450945575
27,26,8,7,0,1,1,0,95.82506010387296
33,20,11,15,1,1,1,1,107.80291655842008
18,26,10,12,1,1,1,0,90.0409107447594
28,11,13,14,1,0,1,1,95.27865636289218
38,9,12,12,1,0,1,1,100.29036541554824
39,25,11,3,0,1,1,0,106.19497869952292
26,10,8,12,0,1,1,0,81.15737325830672
31,29,14,18,1,1,0,0,108.21710723501992
29,17,7,18,1,0,0,1,98.23319514973753
20,16,9,11,1,1,1,1,90.26013226558888
31,25,12,11,1,0,1,1,109.61501558591884
35,12,14,12,1,1,0,0,93.75359611071848
16,25,13,9,1,0,0,1,98.0415348547895
30,21,11,4,1,1,1,0,94.33694963045234
43,14,13,12,0,0,1,1,111.57565286512089
28,19,12,9,0,1,1,1,102.15149527504298
46,12,12,13,0,0,0,0,100.91866493301252
36,17,12,10,1,1,0,0,98.57215832954414
34,26,14,12,0,1,1,1,114.27431784505283
20,20,12,8,1,1,1,0,85.42791991091534
41,25,10,8,1,1,1,1,118.47651172773853
31,16,10,20,1,0,0,0,93.4046179557814
27,23,11,11,0,0,0,1,102.41374736088638
36,13,16,9,0,1,0,0,96.83311662233076
36,13,8,12,1,1,0,1,101.70156504003758
37,26,16,11,1,0,1,1,118.38763454887336
32,21,9,6,1,0,1,0,94.28359786496074
35,24,15,9,1,1,0,1,113.11735779671449
29,14,13,11,0,1,0,1,98.72695234641594
20,18,16,13,1,1,0,1,97.12648801455076
32,24,12,17,1,1,0,1,111.13861597716888
41,15,11,19,1,1,0,0,102.44090418649016
49,15,15,4,1,1,1,1,118.57690155447337
32,15,16,13,1,1,0,1,104.46496137997904
33,18,11,10,0,0,1,1,103.98866475338134
36,24,9,13,1,1,0,0,102.02534418124355
31,25,13,6,1,1,0,1,109.91827146837718
30,17,11,11,1,0,1,1,100.86534661177072
30,19,11,7,1,0,1,1,101.9692778567652
41,16,15,9,1,1,1,1,112.9263999469426
18,16,13,8,1,0,1,1,90.47379788852768
31,22,13,16,1,1,0,1,107.8359187244196
39,19,13,10,0,0,0,1,109.82015675709272
42,12,8,16,1,1,1,1,106.12508919932458
29,22,12,13,0,1,1,1,104.8937381358474
28,14,11,12,0,1,1,1,97.8941900420058
26,17,10,7,0,1,1,1,95.69509840542264
23,25,17,15,1,1,0,1,107.0244633318923
26,20,12,16,0,1,1,0,93.74875825990418
20,11,16,13,1,0,0,1,91.99273339652846
28,20,11,8,1,1,1,1,102.2821637598934
36,18,12,16,1,1,0,1,108.2063679107822
33,17,7,17,1,1,1,1,101.27271579857808
32,15,6,10,1,1,1,0,87.9706782850583
47,20,13,16,0,1,1,0,113.28365514499622
36,21,12,15,0,0,1,0,101.61271606766688
32,18,8,13,1,0,1,1,102.74156321524416
38,20,16,22,0,0,0,1,112.87244327447362
24,32,14,13,0,1,0,1,110.70361395581426
27,3,10,6,1,1,0,1,84.94397222981897
30,19,5,14,0,0,1,0,90.07071678651184
39,15,12,10,0,0,1,1,106.62355635296312
38,24,13,14,1,0,1,1,115.6085709363418
25,24,14,11,1,0,1,0,97.49470368457844
25,16,14,9,0,1,1,0,87.16004591801062
35,24,12,16,0,1,1,1,114.90618322026852
29,9,16,16,0,0,1,1,98.61427139046508
34,21,16,20,1,1,0,1,112.1567525443516
46,17,8,17,0,0,1,0,106.78800319369206
21,28,14,16,1,0,1,1,106.61863703974258
41,24,11,19,0,1,1,0,109.44634375926
32,18,8,15,1,0,1,0,93.11775594516848
26,17,12,10,1,0,1,1,98.63922440274511
33,14,17,10,1,1,1,0,97.51296729531276
36,24,11,7,0,1,1,0,102.90283331731229
30,16,10,16,1,0,1,0,91.8744330049942
34,18,10,7,1,1,1,0,96.64128288035975
27,14,15,12,0,1,1,0,90.28604965026702
29,14,8,9,0,1,0,1,93.58498679879366
28,15,13,13,0,0,1,1,100.56430140715084
35,16,6,11,0,1,1,1,101.45783467930724
29,22,12,10,1,1,1,0,97.86021724037734
25,18,17,15,0,0,1,1,100.84526451585712
35,12,14,16,1,1,1,0,94.826580914275
30,21,12,14,1,0,1,1,105.61024567202944
35,23,12,18,0,0,0,0,103.7120809706996
20,20,12,5,1,0,1,0,86.6852845373998
33,10,8,10,1,1,1,1,96.04208096492488
32,22,13,15,1,1,1,0,102.33198937648912
30,14,13,13,1,0,1,1,100.78839504149398
22,15,14,12,0,1,0,1,94.53531583681388
35,23,11,6,0,0,1,1,108.77428220054986
39,15,13,14,1,1,0,1,107.98712819425512
35,17,9,13,1,1,1,0,96.49943953664476
19,22,7,14,0,0,1,0,85.29903835167765
33,18,12,11,1,1,1,1,106.31005464661798
39,16,12,13,0,1,0,0,98.9387004527665
48,21,15,15,0,1,1,0,114.9569803249148
32,15,16,7,0,0,0,1,102.4664800187544
31,13,8,11,1,1,0,0,87.91119544965115
35,17,12,19,0,0,1,1,107.20120396349355
37,25,16,20,0,1,1,1,119.7097652998085
46,14,14,11,1,1,1,1,116.49716997506349
31,14,12,17,1,0,0,0,90.49272116655638
21,17,13,21,0,1,1,0,87.03463107772986
56,20,14,7,1,0,0,0,119.16347790337242
32,17,11,16,1,0,1,1,105.48712599281728
26,16,10,10,0,1,1,1,97.349619577378
39,18,12,10,1,0,1,0,102.38309501755224
24,15,10,16,1,1,0,0,85.43612848402344
23,18,14,7,1,1,0,1,95.9223133886368
35,22,14,12,1,1,1,0,105.05890959215364
21,19,8,17,1,1,0,1,92.2272874422599
43,19,10,12,0,1,1,1,113.97360005167958
48,21,10,13,1,1,1,0,110.0699915825159
43,18,10,5,1,0,0,0,100.2178192604774
33,16,18,15,0,1,0,1,110.85711840618858
39,13,16,14,0,1,0,0,99.97226568126028
34,14,12,25,0,1,1,1,105.3889025308046
30,19,14,11,1,1,1,0,97.35862792929812
32,21,7,9,0,1,1,1,103.10621520057516
44,15,15,13,0,1,0,1,115.3890382982434
34,20,7,15,0,1,1,1,105.26707758909016
41,24,12,14,0,1,0,0,108.68529407952788
44,18,7,18,0,0,1,0,102.0343410096404
22,17,9,10,0,1,0,1,93.55248200842838
31,21,11,23,1,1,1,1,107.48411587106304
29,18,13,17,1,0,0,1,102.68980626528143
36,17,13,10,1,1,0,0,99.95618151974168
27,23,10,13,0,1,1,1,103.43739990936449
41,13,9,3,1,1,1,1,102.459795740317
28,14,17,17,0,1,1,0,95.23269969953326
29,28,7,7,0,1,1,1,105.8585496794529
25,8,9,11,0,1,1,0,80.33784041886173
39,20,10,10,0,1,0,0,99.68749454494596
39,19,11,10,0,1,0,0,100.03427329548336
24,19,15,15,0,1,0,1,101.67890464165384
35,21,8,11,1,1,1,1,106.48428390132132
26,13,7,13,1,1,0,1,89.94950686635265
27,20,11,19,0,0,0,1,101.48546648616184
26,14,12,9,1,1,1,0,88.85867380151684
32,14,10,16,0,1,1,0,91.55943605510144
34,18,8,9,0,0,1,0,96.17495352875332
33,25,9,9,1,1,0,0,99.07333117617937
41,23,18,7,1,1,0,0,111.16424630262766
36,13,11,22,1,0,1,1,106.44564463815207
33,21,10,10,1,1,0,0,98.43283031496648
26,21,5,13,1,0,1,0,89.7967053091685
36,21,12,14,1,0,0,1,109.89675604758143
36,12,12,14,1,1,1,0,96.26087291232476
32,18,14,15,1,1,1,0,98.51470066794607
40,10,13,6,0,0,0,1,102.31747251017818
36,18,13,16,1,1,0,0,100.0446494578647
25,5,13,9,1,1,0,0,78.41643435079307
35,15,11,13,0,0,0,0,93.42911391831277
40,24,13,14,0,1,0,0,107.6630233975773
37,14,6,12,1,1,0,1,101.66134740427526
24,13,12,10,1,1,1,1,93.99478991920874
42,18,13,11,1,1,1,0,104.48564925867306
43,19,8,14,1,1,1,0,102.86727928276538
41,13,12,19,0,0,0,1,107.75650215542174
27,22,15,13,0,0,1,1,105.05218454543672
35,5,11,17,1,1,1,0,89.19325325636942
35,25,10,21,0,1,1,1,114.30285808422632
34,7,10,9,0,0,1,1,94.57107397815216
33,12,12,8,1,1,0,1,100.41800109615056
29,18,12,7,0,0,1,0,90.9460557641237
30,22,7,14,1,0,0,1,101.55074382076316
34,24,11,13,1,1,0,1,111.55814113410668
33,19,12,13,0,1,1,1,106.38265158078
40,13,16,14,0,1,1,1,111.38360742780928
31,10,8,16,1,1,0,0,86.89071663074884
34,18,11,8,1,1,1,1,105.51078298208104
35,13,12,9,1,0,1,0,92.55901769011844
32,26,10,6,1,0,0,0,99.4020536309815
30,30,18,10,0,0,1,0,108.87924927596504
30,28,10,13,1,1,1,0,100.78122828192228
32,9,12,16,1,0,1,0,87.77416598415222
29,21,13,19,1,0,0,0,97.03770050547382
30,12,13,7,1,1,1,1,99.83604029792798
38,21,5,11,1,0,1,0,99.25884445442824
26,9,9,14,1,1,1,1,89.69863737851391
40,25,8,18,1,1,0,1,115.032213369383
38,14,11,18,0,1,0,1,104.80527367093968
26,19,11,10,1,1,0,0,92.56554765639665
34,26,12,16,1,0,1,0,108.3431699727816
42,18,12,3,1,1,1,0,104.6812868264783
22,21,16,9,0,1,1,0,93.4924223777868
56,1,7,10,0,0,1,0,98.0434573073498
34,14,11,16,0,1,1,0,94.31038952764692
52,14,14,15,1,0,0,1,117.57141255793034
35,24,10,13,0,0,0,0,100.8988036304534
36,12,8,14,0,0,0,0,89.26601587079446
39,16,15,7,1,0,0,1,108.56095750990671
26,11,16,13,1,1,0,1,96.87035941624411
27,14,13,12,1,1,1,1,96.2399506784177
30,12,6,7,0,1,0,1,90.67327342996366
23,12,11,0,1,0,0,0,79.74179074369546
22,22,5,15,0,1,0,0,86.3581807958144
22,12,17,16,0,0,0,0,87.03339480036767
32,13,15,10,1,1,0,0,92.2257150732272
33,27,7,9,0,1,0,1,108.65854700742818
25,20,12,15,0,0,0,1,97.56660185223552
31,10,12,6,1,0,1,1,95.56885278246337
33,18,12,10,1,1,0,0,97.35755804735008
33,18,7,11,1,0,0,1,101.39555524733842
43,12,14,11,1,0,1,1,110.04263258819547
20,16,12,4,0,1,1,0,82.17012493709161
21,18,12,15,1,1,0,1,95.99405891518788
43,20,16,15,1,1,0,0,110.47928072009032
29,17,9,13,0,0,0,0,87.95990783218384
41,14,11,18,1,0,1,1,107.71241588260256
23,9,6,3,0,0,1,1,83.32055406499279
29,27,15,9,0,1,1,1,111.8467059042002
35,8,8,8,0,0,1,1,93.63018019206967
33,18,9,6,1,0,1,0,92.29874699038264
34,19,8,6,1,0,1,1,103.96190373694894
41,23,13,13,1,1,1,0,110.02478128361032
45,13,11,-1,1,1,0,0,98.6959073837086
40,14,11,8,0,1,0,0,97.68078818232708
33,14,12,10,0,0,1,1,101.06465589638309
32,10,11,6,1,0,1,1,97.41301116602628
41,18,6,14,0,0,1,0,97.47160363421663
28,18,13,19,1,1,1,1,103.51414002001869
40,20,12,16,1,1,1,0,104.4292926102212
42,16,6,14,1,1,1,1,106.26994818005036
31,21,11,8,1,1,1,1,105.45852786222432
19,18,11,8,1,0,1,0,83.67023021696671
37,19,8,26,0,1,1,1,108.45915506439503
27,18,12,16,1,1,1,1,101.7864793075313
31,14,10,14,1,0,1,0,91.25959813093536
49,17,10,14,1,1,1,0,107.5027334200077
31,18,15,20,1,1,1,1,108.05322646933412
34,18,6,15,0,0,0,0,92.46308959560184
32,31,8,8,0,0,0,1,109.5424958814046
31,16,10,18,1,1,0,1,102.30271020973616
37,18,7,9,1,1,0,0,97.3427776862494
37,10,8,12,0,0,0,0,89.78094640461067
32,15,11,10,0,0,0,0,91.17779166924096
43,16,11,14,1,1,1,0,102.84665943573452
37,7,14,14,1,0,1,1,102.971767443329
28,17,11,16,1,1,1,0,92.36143424585433
23,20,9,13,0,1,1,1,96.24632056434672
39,12,17,9,1,0,1,0,100.93021000848708
31,26,9,16,0,0,0,1,110.2218945806984
32,23,11,7,0,1,0,1,105.99406457032867
31,24,9,11,0,0,0,1,106.70038701237524
44,20,14,11,1,1,0,0,108.09314978997683
43,23,11,21,1,0,1,1,120.36625566942094
29,19,10,13,1,0,1,0,94.66536258207488
16,19,13,16,0,1,0,1,94.0492258400816
27,17,15,15,1,1,1,0,93.72272485232364
43,10,11,9,0,1,1,1,104.28435257241198
25,12,10,14,1,1,0,1,92.15855080186137
28,23,12,17,1,1,1,0,97.40125209488156
33,29,12,15,1,0,0,0,107.15331813410344
29,20,8,12,1,0,1,0,91.15925190113464
30,15,11,12,1,1,1,0,92.71127780396031
37,25,14,6,1,1,1,0,105.2747420073826
44,24,10,12,0,1,1,0,109.27408803003593
32,26,9,15,1,1,1,1,111.0723503681424
39,19,10,14,0,1,1,0,101.03073336698132
27,21,12,11,1,1,0,0,96.54370855329718
29,17,13,15,0,0,0,1,102.17993448624247
35,8,11,13,1,0,1,1,99.47617605385044
19,15,6,17,1,1,0,0,77.24074448226148
24,12,7,5,0,1,1,1,88.97326447472862
27,18,13,18,1,0,0,0,94.89667719205912
24,19,9,19,1,1,0,0,89.57676343320887
30,15,16,10,1,0,1,1,103.7074301598597
29,22,14,18,1,1,1,1,107.54776793664084
28,17,9,10,1,1,1,1,97.38854854949176
39,16,11,19,0,0,0,1,107.46260943282964
33,16,14,5,0,0,1,1,102.0803454271748
36,9,9,11,0,0,1,1,98.9862948094812
40,12,13,7,1,0,0,1,107.37379934887085
25,14,16,21,1,0,1,0,92.6034753858898
38,15,6,13,1,0,1,0,94.00954570398152
39,24,18,13,0,1,1,1,119.49423497401892
27,19,11,12,1,1,1,0,92.50637533386896
24,17,7,6,0,0,0,1,90.16910031162888
35,13,10,14,1,0,1,0,94.2278258750304
43,15,9,12,1,1,1,1,110.9048694937707
22,6,8,20,0,1,0,1,82.6971568094369
28,19,13,11,1,1,1,1,101.62140416938873
40,26,14,8,0,1,1,0,110.37476858050448
32,17,13,12,1,0,1,1,103.761269237659
32,19,16,12,1,1,1,0,98.06274485606772
32,14,8,8,1,0,0,1,97.6130023596224
39,15,15,18,1,0,1,0,102.38000457059698
36,23,7,14,1,1,1,0,98.7877266428396
28,18,15,5,0,1,0,1,99.5516601936403
30,9,14,19,0,1,1,0,88.30731165964005
21,22,14,13,0,1,0,1,98.86645678207177
34,10,14,15,0,0,0,1,100.98513994446778
33,11,7,12,1,1,0,0,86.33604189217337
37,28,15,13,1,1,1,1,120.38381126655054
14,22,9,17,1,1,1,1,91.27999141288753
36,29,15,14,1,1,0,1,121.04649447966302
29,18,10,7,1,1,1,1,100.17833843966456
30,17,11,12,1,1,0,1,102.19113495313334
33,14,5,10,1,0,0,1,96.83022976237454
37,23,13,11,0,1,0,0,104.32124521716264
29,6,12,13,1,0,1,0,84.03948758407519
28,17,7,10,0,1,0,1,94.41205768326049
27,15,12,12,1,1,1,1,99.62991321924052
15,21,14,14,0,0,0,1,93.69308699028107
23,12,7,20,1,0,0,1,87.96881182587234
30,19,9,11,1,1,1,1,101.5899796767976
23,16,13,9,1,1,1,1,94.71649066467845
37,14,11,13,0,0,1,0,95.6368080307326
42,33,13,6,1,0,1,1,125.47392132727131
25,16,12,16,1,1,1,1,97.0542220808956
36,2,8,17,0,1,1,0,83.41315838233551
50,16,9,9,1,1,1,0,106.79876849038772
27,17,4,13,1,1,0,1,93.20700072210238
31,13,10,13,0,1,0,0,88.07769877558961
35,20,16,3,0,1,1,0,102.04737984320472
34,22,11,12,1,1,1,1,109.8896092884467
28,16,12,16,1,1,1,0,92.70583617311502
24,19,15,8,1,1,1,0,92.17052025677872
21,17,15,17,0,1,1,0,90.04781434065484
34,13,12,17,1,1,1,1,104.71565078000695
34,20,9,12,1,1,0,1,107.40474287748778
22,16,13,18,1,0,1,0,87.3194133936366
31,26,6,10,1,1,1,0,96.13742970831326
43,22,15,15,0,0,1,0,110.15377731114472
24,11,10,13,1,0,1,0,81.23210214149094
29,18,11,13,1,1,0,1,102.33495457654776
22,23,12,7,0,1,1,0,90.91276180448496
40,16,11,11,1,1,1,1,108.41135076538444
27,19,10,19,0,0,1,0,90.8807776920365
34,10,13,9,0,0,0,1,97.09940381697884
23,19,19,16,0,1,1,0,96.3981342574434
26,15,12,5,1,1,1,1,95.79455986791078
24,25,9,8,1,0,0,0,91.0644919492276
32,14,11,6,0,1,1,1,99.03113716304368
46,16,14,13,1,1,0,0,107.2802315076094
45,13,12,7,0,0,1,1,109.7981323622899
28,15,12,13,0,0,0,1,98.48409968009094
24,17,10,16,0,1,1,0,88.03377833560685
33,11,7,21,0,1,1,1,98.0903024054863
28,15,11,8,0,0,1,1,97.54200880967431
39,18,10,15,1,1,0,0,101.52303445443528
14,15,11,11,1,1,0,0,76.78105100180464
35,17,12,16,0,1,1,0,98.09977136773468
42,21,14,10,1,0,1,0,110.3977432636232
32,23,12,16,0,0,1,1,109.3424206525501
23,25,13,11,1,0,1,0,95.53787364258164
29,17,4,5,1,1,1,0,85.7349551897771
39,23,10,10,1,1,1,1,113.8834093956508
28,21,8,17,1,1,0,0,91.47606644024692
31,17,9,14,1,1,1,0,91.6830731495214
31,21,13,13,1,0,1,0,99.05877119434714
30,22,13,8,1,1,1,0,98.55872744007004
48,16,13,17,0,1,0,1,116.56755840022302
37,18,11,14,1,1,0,0,98.7918198792714
29,7,12,7,1,0,1,1,92.50009375896282
35,22,17,11,1,1,0,0,104.75707790143288
29,17,9,9,0,1,1,1,99.1489432535094
32,18,12,17,1,1,1,0,98.305629354142
34,17,10,17,1,1,1,0,94.44826152046798
35,22,14,8,1,1,1,1,112.28382183887496
41,10,11,12,1,1,1,0,96.80065556739746
44,19,11,15,1,1,1,1,115.26270865839938
26,18,12,12,1,1,1,1,98.87450888758092
18,21,14,9,1,0,1,0,87.82432110267024
29,15,15,18,1,0,1,1,103.02648903150224
25,17,8,19,0,1,1,0,87.65158202297376
28,23,12,15,0,1,0,0,96.70720938526756
24,24,12,12,1,0,0,0,95.52014171615676
22,22,12,20,0,0,0,1,100.15608218866964
31,19,11,8,0,1,1,1,103.60708997604682
29,14,9,15,1,0,0,1,96.60069556200796
37,14,14,14,1,1,1,0,100.12202788163292
23,16,15,10,1,0,1,1,96.899719194802
22,12,16,10,0,0,0,1,92.84865709752316
42,10,12,13,0,1,1,0,97.67750136083968
21,16,11,7,0,0,1,0,82.4475691413858
35,17,12,12,1,1,1,1,106.13956848667384
24,16,9,14,1,0,0,0,84.97928151406688
33,24,11,15,1,1,1,1,111.74179271555477
32,13,12,15,1,1,1,0,93.49607263202972
35,23,9,14,1,1,1,0,99.46809683160582
19,27,11,11,1,0,1,0,91.98978534733052
32,17,16,20,0,0,0,0,99.324761318307
36,17,14,12,1,1,0,1,108.36385551083404
26,10,9,20,1,1,1,1,93.54845600708234
43,21,10,12,1,1,1,0,106.62755040572928
30,20,10,23,1,1,0,0,96.14152732387404
27,15,15,16,0,1,0,1,99.7219284246865
31,16,14,8,1,0,0,0,93.06928750382868
32,12,10,16,1,1,1,0,90.95046679595988
32,24,9,19,1,1,1,1,110.38264135982811
25,15,11,10,0,0,0,1,93.54150283798846
33,16,10,13,1,0,1,1,102.31569278136544
18,7,13,14,0,1,1,0,76.44996951261632
32,23,11,14,0,1,1,0,99.09998378947778
29,8,12,12,0,1,0,0,85.12109563855914
37,8,15,18,1,0,1,1,104.2839751087606
28,18,9,13,0,1,1,0,89.31935004888935
22,13,11,16,0,1,0,0,82.12835242056236
34,22,11,15,1,0,0,1,109.11583029166138
26,16,11,11,0,1,1,1,97.14082689581294
32,20,16,16,1,1,1,1,111.6455280291256
26,17,8,16,0,1,0,0,87.92629899526233
26,11,14,7,1,0,1,1,94.77343370876014
39,14,12,11,1,0,1,1,109.12510389523672
32,16,14,11,1,1,0,1,102.81049868752876
38,16,11,3,1,1,0,1,104.62221409057165
34,8,8,16,1,1,1,0,84.892820373694
37,26,11,15,1,1,1,1,115.59379710493394
36,26,8,13,1,1,1,1,110.40880517112524
36,12,12,12,1,0,1,1,102.06114784446166
25,23,11,14,1,1,1,1,100.64561040735148
