education_level,income_level,has_children,lives_in_urban_area,is_married,intervention_type,life_satisfaction_score
5,2,1,1,0,0,53.93092039027152
3,4,0,0,1,1,60.21312873102253
3,5,0,1,1,2,56.65428844326604
4,6,0,1,0,0,52.273165560540754
4,6,1,1,1,0,52.81709456840228
3,5,0,1,1,1,61.28234613211444
3,7,0,0,0,2,56.41141426198504
3,6,1,0,0,1,60.83304898314351
5,5,1,0,0,2,58.1929057509472
5,8,0,0,0,0,51.17998252366379
3,5,0,0,1,0,52.5294365504133
3,5,1,1,1,0,53.21648992261176
5,5,1,0,0,2,57.38904577837327
4,7,0,0,0,1,58.97113957620533
3,6,0,0,1,1,61.78028339553632
2,4,0,0,1,0,51.923052041175474
4,7,0,0,0,2,58.33540163822644
3,6,0,1,0,0,51.40181461584315
4,6,0,0,0,0,51.36102170667039
3,5,1,1,0,1,60.449706178015695
5,5,0,0,0,2,57.73695377587973
3,9,0,0,0,0,51.34224092523058
4,5,0,0,1,2,56.43417012224452
4,4,0,0,1,2,56.811854659679234
3,4,1,1,1,2,59.12320377119056
2,6,0,1,0,0,52.77054378826063
4,5,0,0,0,2,56.449947213908615
4,3,1,1,0,1,64.86698390621224
4,5,0,0,0,1,58.33155558143651
3,2,1,1,0,0,51.8659061628154
3,5,1,1,1,2,59.3118583951631
4,7,0,1,0,2,55.78663802610659
4,3,1,0,1,2,56.98568434138452
4,5,0,1,1,1,63.20630156596081
3,4,1,0,1,1,61.25983923881571
3,6,0,1,1,2,57.0505303543562
3,6,1,1,0,2,57.12560007630758
3,8,0,1,1,0,51.92194861065197
4,4,1,0,0,2,56.96495123561974
3,4,1,1,0,0,51.27630600460449
3,4,0,1,0,0,49.94478605424253
3,5,0,0,1,1,60.739429083685344
4,7,0,0,1,1,60.33786109818587
3,4,0,0,1,1,61.99598769090319
4,3,1,0,1,0,54.53164486418494
4,7,1,0,0,2,59.60563055827336
4,5,0,0,0,2,57.6184336795041
4,7,0,1,1,0,53.227900319966686
3,6,0,1,0,2,57.36184091471746
2,5,0,1,0,2,57.129600412683374
4,4,1,1,1,2,58.2469523707568
3,5,0,0,1,2,55.62073729973215
4,6,1,0,0,0,52.089831844812615
3,5,0,1,0,0,52.9896223134318
3,8,1,0,0,1,60.06623338715004
2,6,1,0,0,0,52.17821571477257
5,1,1,0,1,0,51.95866591887526
4,7,0,0,1,0,51.36890102612003
3,6,1,1,0,1,63.00052761015423
4,8,1,0,1,2,58.18522323154444
3,6,1,0,0,1,61.24728750982554
2,4,1,1,1,1,62.91287010637425
3,5,0,0,0,1,59.90384133333272
4,6,1,0,0,2,59.06381269686621
4,7,1,0,0,1,63.03537364557369
4,6,1,0,0,2,57.96382617045791
4,6,0,1,1,1,63.46523231653549
2,6,1,1,0,2,56.969951635251576
5,3,1,0,0,1,61.00552709098837
4,5,0,0,1,2,58.07597706661604
2,5,1,0,1,1,60.83508603436666
4,8,1,1,1,1,63.31083100288244
3,6,1,0,0,1,61.72116010116588
4,4,1,1,1,0,54.51998393161412
4,6,1,1,1,2,58.62711726045568
4,4,0,0,1,2,56.77677527637848
4,4,0,0,0,0,51.69925396673123
3,4,0,0,0,0,49.33822105093744
4,3,0,1,0,0,52.8736318335153
4,6,1,0,0,1,60.81805239406368
3,5,0,0,1,0,51.9292119942898
3,6,0,0,1,1,60.13620903452152
4,6,1,1,0,1,62.81345854861493
4,6,0,0,0,2,56.33045094058574
4,5,0,1,0,0,52.30490400843962
4,6,0,1,0,2,56.65135870310546
3,5,1,0,0,2,57.27985541249332
3,4,0,0,1,1,60.06739936002722
5,4,0,0,1,0,53.44905238966684
4,5,1,1,0,2,61.02353039393928
3,7,1,0,0,1,62.88893633872051
2,4,0,0,0,1,60.038619154634205
3,7,0,0,1,0,50.19337100828575
4,8,0,0,0,2,57.09116190286663
4,5,0,0,0,2,57.3180849687048
2,7,0,1,1,1,62.33854177540015
5,7,1,1,0,0,53.542326768420274
4,6,1,1,1,2,59.15287526395522
3,6,1,0,0,1,60.82549936272463
3,3,0,0,0,0,49.7573066915939
4,6,1,0,0,2,56.9544262353081
2,7,0,0,1,2,58.31542747003848
3,5,1,0,0,1,61.42655698879329
3,5,0,1,1,2,58.12092422045207
3,5,0,0,1,2,56.50857752701896
4,6,1,0,0,0,51.777215610620175
3,6,1,0,1,2,57.45106655474753
4,5,0,1,0,2,58.03699679543799
4,6,1,0,0,2,56.89524871795934
4,4,0,1,0,2,56.334371653383705
3,4,0,0,1,2,56.20312910991838
4,6,0,1,0,1,63.16811096499956
3,4,0,1,1,2,59.580949315947805
3,4,0,0,0,0,51.073193729749946
5,7,1,1,1,1,65.47282645631796
3,6,0,1,1,0,53.42105640248016
3,7,0,0,1,2,56.902820698426645
3,5,0,0,0,2,55.81575528605016
3,5,0,1,0,1,61.95375963099711
4,8,0,0,0,0,50.00263388578311
4,5,0,0,0,0,50.54038628578658
3,6,0,1,1,2,57.562406585779904
3,7,0,1,0,1,59.12605563153419
4,4,1,0,0,2,58.92263170566235
4,7,0,1,1,2,58.94550094239703
3,4,0,0,0,2,55.5321057239331
4,5,0,1,1,2,57.92367516681592
4,4,0,1,0,2,55.48541851665527
3,5,0,1,1,2,56.28343020678648
4,6,0,0,1,1,62.38375776536893
3,4,0,0,0,2,57.22351076707341
2,5,1,0,1,2,56.518624482502815
4,6,0,1,0,1,61.84816719729647
2,5,0,1,0,2,54.1864233948418
3,6,0,0,0,0,50.260293231741294
3,7,0,0,1,2,59.0652961924053
3,8,1,0,0,2,58.90766227501196
3,6,1,0,1,1,61.471578859258486
4,6,0,0,0,1,59.812547441010246
4,6,0,0,0,1,61.88221656541071
4,5,0,0,1,1,62.69788029304698
3,6,1,1,1,2,58.7555069545076
3,7,1,0,0,2,55.91340807655246
3,5,0,0,1,1,60.59142224173718
2,6,0,1,1,2,57.405942514385
3,8,1,1,0,2,58.9797748510216
4,6,1,1,0,2,58.881443072327606
2,4,0,0,0,0,48.35443674428439
3,3,1,0,1,1,61.34128849739647
3,6,0,1,0,1,62.36188646791718
4,4,0,0,0,1,61.05839143474721
3,4,0,0,1,1,60.23419869598092
5,8,1,1,1,1,63.00946497735691
4,5,1,0,0,0,52.3465629908804
4,8,0,0,0,0,49.66611525357363
4,5,0,0,0,1,60.318470822072186
4,3,1,0,0,0,53.038203627743854
5,6,0,0,1,0,52.59028808877935
2,6,0,0,0,0,51.38725174526485
3,5,1,1,0,2,60.21435718634687
5,7,0,0,0,2,55.444333083334215
2,5,0,1,0,1,60.50010542248692
4,6,0,0,0,2,56.097592944721136
4,5,1,1,0,2,56.23752279529169
3,6,0,0,1,0,50.28678656398274
4,8,0,1,1,0,52.23324632233288
5,5,0,0,0,2,56.58980092636547
4,7,0,0,0,2,54.39992583253073
4,7,1,0,0,0,53.33941880973315
3,6,1,0,0,2,55.70396961416139
4,6,0,0,0,1,62.41111615608167
3,5,0,1,0,0,51.15618127404899
3,7,0,0,1,2,56.391752003295615
4,4,1,0,0,2,58.3473947525942
3,5,0,0,0,1,59.21888512474925
4,3,0,1,0,0,51.06702121870325
2,6,0,1,0,2,57.53818352996826
4,4,0,0,0,0,50.60165561601655
4,4,0,1,0,1,61.7140650903451
4,5,1,0,1,1,62.24802439210817
4,5,0,0,1,0,52.04252474188771
4,4,0,1,1,0,53.46495386176846
3,5,0,0,0,0,49.29350678631264
3,6,0,0,0,0,48.69755138647896
3,6,1,0,1,1,61.277982559650674
4,8,0,0,1,0,52.62024202720545
4,2,1,1,0,2,57.23245973741227
4,5,1,1,1,2,59.28815879263947
3,7,0,0,0,1,60.01775676180133
3,6,0,0,0,1,61.01740628364541
3,6,0,0,1,1,60.36272034572519
3,3,1,0,0,0,53.12436772253153
3,6,0,0,0,1,61.27005000881111
4,8,0,1,0,2,57.37616426477127
4,5,1,0,0,0,51.23711340653184
3,6,0,0,0,1,61.078269889355006
3,8,1,1,1,0,53.4200051625422
4,6,0,0,0,0,51.99795725634853
4,6,0,0,0,1,61.07157470934943
3,7,0,1,1,0,53.941842633611046
3,6,1,1,0,1,60.656519474449
3,5,0,0,1,2,54.5884984307368
4,5,1,0,0,2,57.51025373097777
4,4,1,0,0,0,49.943123670147045
3,3,0,1,0,2,57.045606250844514
4,5,0,0,1,1,61.35671612786514
2,7,1,1,0,1,61.16804059430485
4,7,1,0,0,2,57.35225471328903
3,6,1,0,0,2,57.97232446806086
4,5,0,1,0,1,63.80357518945998
4,6,0,0,1,0,53.75651964720354
3,7,0,0,0,1,59.96770659276834
2,6,0,1,0,0,51.38568242252114
4,4,0,1,1,1,61.84677269735258
3,4,0,1,0,0,49.915257723566114
3,6,1,0,1,1,61.698120669971125
4,4,0,0,1,0,52.78954127147139
4,6,0,0,1,2,55.17966793842004
4,5,1,0,0,0,50.92775149116436
4,6,0,0,0,2,55.752804984720704
3,6,1,1,1,2,58.36422283460927
3,7,1,1,1,2,59.707697290766205
3,5,0,0,0,0,50.9613922269955
4,6,1,1,1,2,57.80257911375553
4,8,0,1,0,0,53.4705234926481
4,4,0,1,0,2,56.68408517621688
4,6,1,0,0,1,61.667438797854594
4,6,1,0,1,1,61.92549120943848
3,7,0,0,0,2,56.59580866735802
4,6,0,0,0,1,61.05951461854601
5,6,1,1,0,0,52.34938481892122
2,7,0,1,1,1,61.318505476670246
4,4,0,0,0,2,56.68300100594395
4,5,0,0,1,2,56.023958070047705
4,5,1,1,1,1,64.2696084499051
4,5,0,0,0,1,60.91703409137805
3,3,0,0,0,1,58.96538882785353
4,5,0,0,0,0,52.547285798739466
3,5,1,0,0,0,53.22176208288917
3,8,0,0,1,1,61.6433527689695
4,5,0,1,0,2,57.49991331886947
4,8,0,1,1,0,54.43960184682884
4,7,1,1,1,0,53.76572807003805
3,5,0,0,1,1,62.57767770191225
4,5,0,0,1,1,60.3572379289403
2,5,0,1,0,1,60.925801625366994
4,6,0,1,1,1,61.703804593824685
5,6,0,0,0,0,50.17279104991366
4,6,1,0,1,1,63.01666686188577
3,7,0,0,0,2,57.42115688903357
2,5,1,1,0,0,52.5396532798483
3,4,0,1,0,0,54.59416636380335
3,6,0,0,0,2,56.15068310495752
4,5,0,0,0,0,52.204986686682105
3,4,1,0,0,0,52.39210799155136
4,9,1,0,0,2,57.53686287432747
3,5,0,1,1,0,51.58113125815731
3,4,0,1,0,0,50.3112289108621
4,5,1,0,0,0,52.17159638256101
3,8,1,1,0,1,61.48765199535634
4,9,0,0,0,0,49.14594609171655
4,4,1,0,0,2,57.76067943906121
3,4,1,0,1,1,61.76768111584162
4,6,0,1,1,0,52.95714347618621
5,8,0,0,1,0,52.5369667147887
4,7,1,0,1,0,51.75152083157416
4,5,0,1,0,1,62.465801904891855
4,6,0,0,0,2,58.40875536921938
2,8,0,1,0,1,61.64813933680586
3,7,0,1,0,1,62.39305693397871
4,6,0,0,1,1,60.85705546805988
4,4,0,1,1,0,52.99478272504592
3,6,0,1,0,2,57.18691108188008
4,6,1,0,0,0,50.85763922994326
4,4,0,1,0,2,57.438616725256765
3,5,1,1,0,0,50.56287412843838
4,6,0,1,0,1,60.67374536441348
2,6,0,0,0,2,54.30480209428495
3,5,0,0,1,0,52.18132817000882
4,8,1,0,0,1,62.418073325360425
5,8,1,1,0,2,58.36122100688723
3,6,0,1,1,0,51.8590226851609
3,6,1,0,0,0,52.957419437340384
3,7,1,0,0,0,50.93270550778164
3,5,1,0,1,1,62.67698406479111
3,6,1,1,0,1,61.62654626549497
4,5,0,0,0,0,51.51253229141752
3,3,0,0,0,2,56.46073846973542
4,5,0,0,1,2,56.86685627084246
3,4,0,0,0,0,49.19089023475994
4,7,0,1,1,1,63.26419804233711
4,6,0,0,1,0,52.3719240468861
4,6,1,0,0,1,62.31972843234815
3,6,0,0,1,0,50.39468090457473
4,5,1,1,0,0,53.95393980465138
4,8,1,1,1,1,64.78568783921324
3,7,1,1,0,0,53.04691270364921
2,6,1,1,0,0,51.51765571107487
4,7,0,1,0,2,58.87087951610568
4,2,0,0,1,0,51.42642878600852
4,6,0,0,0,2,56.49297605164829
4,7,1,0,1,0,53.25571735203181
4,4,1,0,1,0,51.88761723500592
4,8,1,0,1,0,53.26740975107134
4,5,1,0,0,2,57.572981002131066
3,5,1,0,0,2,57.729923799937744
4,4,0,1,1,2,56.112329386296025
3,7,1,0,0,1,61.35411613645734
5,6,1,0,0,2,58.41311107535248
4,7,0,1,1,0,51.62660041542483
4,6,0,0,1,0,51.967241136254486
4,9,0,0,0,2,56.39518367235231
4,6,0,0,0,2,56.78314618263843
4,5,0,0,0,0,51.69834388933932
4,6,0,1,1,2,58.22791783387787
3,7,0,1,1,0,49.933505903927184
6,3,0,0,0,2,58.43840360779589
4,6,0,1,0,2,55.75669782930184
5,6,1,1,0,0,55.7346650053707
4,3,0,0,0,2,56.064644222333165
4,5,1,1,1,2,59.77055588366412
4,8,1,0,0,1,63.38342058446516
2,5,0,0,0,2,56.61472992817047
4,8,0,0,0,2,57.357743801565626
4,4,0,1,1,0,53.36124170439489
4,4,1,0,0,0,53.2772509630267
4,6,0,0,0,0,50.9914462361674
3,6,0,0,0,0,51.46118197784101
3,4,1,0,1,2,57.47358525645489
3,5,1,0,0,1,62.24730312544021
3,5,0,0,0,2,55.93994740826778
4,6,0,0,0,2,55.19581539830649
3,6,0,0,0,1,60.82483705581596
5,6,0,0,0,0,52.2809730464712
5,7,1,1,0,0,52.72571468141111
3,2,1,0,0,2,56.92956939980802
3,7,0,0,0,1,59.62487629360627
4,6,0,0,0,0,51.575406300656496
4,5,0,0,0,2,58.49906259406898
3,6,0,1,0,0,51.49540289283263
3,5,0,0,1,2,57.02036227053048
4,3,0,1,0,2,55.980858880181096
3,5,1,0,1,2,57.679962394770726
3,6,0,0,0,2,55.23515125122843
3,5,0,0,0,1,59.83589087948744
3,7,1,0,0,2,58.370108468392814
3,5,0,0,0,2,56.05133389320522
4,6,0,1,1,1,63.99356516166433
3,4,1,0,0,2,55.80671215776943
4,5,0,0,1,0,52.0105490383931
4,3,1,0,0,0,52.21223042372645
3,5,0,0,0,1,60.16557569538972
3,9,1,1,0,0,52.61863491880093
3,4,0,1,0,2,56.43848380645162
4,7,1,0,0,1,61.59800952453429
4,8,1,0,1,0,53.52798617574407
5,5,0,1,1,2,59.95524978426178
3,6,1,0,0,1,62.82594193152675
4,4,0,1,1,1,62.173998348754175
4,5,1,0,0,1,60.75298315711073
3,6,0,0,1,0,51.30558254393538
3,6,0,1,0,1,59.72090159523565
5,6,0,0,0,2,55.07159981979007
3,6,1,1,1,2,58.62734961419788
2,4,0,1,1,1,61.39791826322734
4,7,0,0,0,1,62.76026674741837
3,6,0,0,0,1,60.53968653159947
2,4,1,1,1,0,49.46667120905579
3,6,0,0,0,1,59.90170697223878
3,4,0,0,0,1,61.09588537752505
4,7,1,0,0,2,58.29810912539188
5,6,0,0,0,2,56.38804530246485
4,6,0,0,0,0,51.43181591982585
3,6,0,1,1,0,53.78803977812529
4,4,1,1,0,1,63.18534608129487
3,6,0,0,1,0,51.33606839275718
3,5,1,0,0,1,60.868789905506674
3,6,1,1,1,2,57.18698372196407
3,3,1,0,1,1,62.68731735982893
4,4,1,0,0,0,52.33424614593085
5,5,0,0,0,2,58.20807997772233
5,4,0,1,1,2,59.83181654945579
4,6,0,0,0,0,52.02850856511583
4,2,1,0,1,2,57.73876914610283
4,5,1,0,0,1,61.86886175703607
4,5,0,0,1,1,60.51258477021902
4,5,1,1,1,0,52.92387611293594
3,5,1,0,0,1,62.00652292389576
3,4,0,0,0,2,55.37174931182976
3,5,1,0,1,0,52.14027035098968
4,3,0,0,0,0,49.9210310328005
3,2,0,0,0,0,48.91824007231987
3,4,0,0,0,2,55.050809855515645
2,6,0,1,0,0,52.00448218656994
4,7,0,1,0,2,55.42177303988889
4,4,1,0,0,0,51.22343432132027
3,9,0,0,1,2,57.913481596351815
3,6,0,1,1,2,58.69554557572626
4,4,1,1,0,0,53.13094415239753
3,6,1,1,0,0,51.91094075832665
4,7,1,0,1,0,52.10187187197679
5,7,0,0,0,0,52.21091757516192
2,3,1,0,1,2,57.75003744269228
4,9,0,0,1,0,52.02157702178581
3,8,0,0,0,1,61.13315129822981
3,6,0,1,0,2,56.47344438412436
3,6,0,0,0,0,51.047853626367385
4,3,0,0,1,0,52.157973819250856
4,4,0,0,0,2,56.68283893139674
2,5,1,1,0,2,57.00138696763463
3,4,1,0,0,1,61.98505424389368
3,6,0,0,1,0,51.32545661206558
5,7,0,1,1,1,63.77665925918293
3,8,0,1,1,1,61.37037144986602
3,4,1,0,1,2,57.88622614842883
5,5,1,0,0,1,63.28725346566689
4,5,0,1,0,1,61.52785814516744
4,5,0,0,1,1,58.92895316468761
3,5,0,0,1,1,61.47788601799755
3,7,1,1,1,2,59.42634559853654
3,6,0,0,0,2,55.46442057597996
3,6,0,0,1,1,61.00090162021165
3,5,0,0,0,0,52.253994112409785
3,8,0,1,0,0,51.80858262480576
3,4,0,0,1,2,56.79553158718181
2,6,1,0,1,0,53.164580742833984
4,5,0,1,0,0,52.071492464000286
3,7,0,0,0,1,60.57407843102635
3,7,0,0,0,0,50.19074715006164
4,6,0,0,0,0,51.372564037572175
4,4,0,0,1,0,52.57656909746996
5,6,0,1,0,1,61.542670798570015
3,5,0,0,0,0,51.00135496935699
3,4,0,0,0,0,49.78413328658476
3,7,1,0,0,2,57.10934042817398
5,3,0,0,1,1,61.78889276343581
3,7,0,0,1,2,56.69180587038944
3,6,0,0,1,1,60.57359020721363
4,6,0,0,0,1,60.1760614339618
4,6,0,0,0,0,49.193728256375024
3,5,1,0,0,0,51.4843722128955
3,6,0,1,1,0,53.18045951078768
4,7,0,0,1,2,55.42408420952122
4,8,0,1,1,0,53.12527435841847
4,5,0,0,0,1,62.39081153781006
3,7,0,1,0,1,60.67379551398398
3,5,0,0,0,1,59.28722207008149
2,5,0,0,0,2,54.13219256025583
3,6,0,1,1,2,56.93844411228011
3,6,1,0,0,2,57.47784409070892
4,6,1,1,1,0,51.90494876136231
3,6,0,1,0,1,61.64526034133827
5,4,1,1,1,2,57.34752244565847
5,6,1,0,0,2,58.02128587264807
3,5,0,1,1,1,60.59516296953809
2,5,0,0,0,2,55.443167012248175
3,4,0,0,1,2,58.083887051231
3,5,0,0,0,0,50.43774529182124
4,6,1,1,0,1,60.74917441397942
3,6,1,1,0,2,57.387339045307606
4,6,0,0,0,1,61.12079674030997
3,3,0,0,0,2,56.32242767377099
4,4,0,0,0,2,55.34348696200584
3,7,1,1,0,1,60.93479706875707
3,4,1,1,0,2,57.041863573830405
3,8,1,1,1,2,58.464979465548055
3,8,0,0,0,0,50.87140227841879
5,4,1,1,1,2,59.74023678717916
3,7,0,0,0,0,50.79562830227334
3,3,0,0,0,0,49.86131989615863
3,5,0,0,1,0,52.002579350796566
3,5,0,1,1,1,60.97064544868312
4,6,0,0,1,2,56.655594620847495
3,5,0,0,1,2,58.48069015442018
2,6,0,0,0,1,60.18029399185695
4,5,0,0,1,2,58.46771035745629
5,4,0,1,0,0,53.17997498957889
2,5,0,0,0,2,54.52797809137788
4,8,0,0,0,2,56.12875336393898
5,6,1,1,1,1,65.9501060550067
4,5,0,0,1,0,51.24382864979979
4,6,0,0,1,1,60.88733939422519
4,6,0,0,0,0,50.758075566095016
4,4,1,0,0,2,55.65939120293052
4,4,0,0,0,1,60.3650952003384
4,7,0,1,0,2,58.061864321739726
3,7,0,1,1,0,52.42052826500345
2,5,0,0,0,0,49.83642396614496
3,5,1,0,1,1,62.541366939124494
3,3,0,0,1,1,61.17394876972247
4,7,1,1,1,1,62.58356576225621
3,4,0,1,0,0,52.56530008479672
5,5,1,1,1,2,59.16837513854068
4,6,1,0,0,0,53.02862828122572
4,7,1,0,0,2,58.70948847034144
4,4,1,0,1,1,61.232611727551806
3,6,1,0,0,0,51.82551818255752
3,6,0,1,0,2,58.76675283679013
3,3,0,1,1,1,61.55048722863541
4,7,1,0,1,1,61.94991343284183
2,7,0,1,1,1,59.69641669452816
4,6,0,0,0,0,52.42114496867121
4,4,1,0,1,0,50.60940586998306
2,4,1,0,1,2,57.039538376688405
4,6,0,1,0,1,63.20259542345941
4,7,1,0,1,0,53.66039469219725
3,8,0,1,0,2,57.40964907831165
3,6,0,1,0,1,60.50469828064746
3,5,1,0,1,1,62.10566949000758
4,6,0,0,0,0,51.35585545819304
3,9,1,0,0,1,61.54743845034394
3,5,0,0,0,1,59.61674244939157
3,6,0,1,0,0,52.39925072570878
3,2,0,1,1,0,51.34430475939108
2,5,1,0,0,1,61.86443322597559
3,6,0,1,0,1,60.293090332908754
3,8,1,1,0,0,52.32832079036604
3,4,1,1,1,1,62.63802051345816
3,6,1,0,0,0,52.74707151111341
4,5,0,0,0,1,60.925163103361605
4,3,0,0,0,1,59.17984790768518
3,4,0,1,0,0,51.92442585421028
4,4,0,1,0,1,61.184116249594496
4,4,0,1,1,2,57.00701004178579
3,6,0,0,0,2,56.330025108163575
2,4,0,0,0,1,59.597445303604026
4,6,0,0,1,2,56.363288887008416
3,4,0,0,0,2,54.89002632678281
3,6,1,1,1,0,53.92576324442351
3,5,0,1,0,0,52.59956060965394
4,6,0,1,1,0,53.79074737358541
2,8,0,0,1,2,55.84948748388959
3,5,0,1,0,1,62.59760133631652
4,8,1,0,0,0,51.53556923248058
4,6,1,1,1,1,63.74312934478933
4,6,1,1,0,2,57.83921565981392
4,3,0,0,0,1,61.22772937215388
4,5,0,0,0,2,56.350480671180655
3,6,0,1,0,2,57.416243080328094
3,8,1,0,1,1,62.93181937194726
2,6,0,1,1,1,62.39034235490354
4,7,0,0,1,1,61.572896335682806
3,6,1,0,1,2,58.38902770369868
2,9,0,1,0,0,50.85819631312383
3,4,0,0,1,2,57.85102934713412
3,8,1,0,0,2,57.80499885986166
4,4,0,0,0,1,58.75371561476739
3,7,1,0,0,1,61.52780870318463
5,6,0,1,0,2,58.41477984152512
4,6,0,1,0,1,61.60351713547049
4,6,0,1,1,2,57.742940280831
4,6,1,0,0,1,61.25397806081905
4,7,0,1,0,2,58.48406263654314
3,5,0,0,1,0,51.18599604025324
3,5,0,1,0,0,51.81501082091121
4,5,0,0,0,0,50.59676053949598
2,4,0,0,0,0,50.73409374175977
4,3,0,0,1,2,57.14310512483637
3,5,0,1,0,2,57.307522054082085
4,2,1,0,0,2,56.97706247327737
3,6,0,0,1,2,57.20785938349376
3,7,0,0,0,1,60.72920058534865
4,4,1,1,0,2,58.94215561611766
3,6,0,1,0,0,52.15292965757598
2,4,0,0,1,2,55.82718866022669
3,6,1,1,0,2,59.55265630111172
4,4,0,1,0,2,56.91509740873436
4,6,0,0,0,2,57.14164627535556
3,7,1,1,0,1,61.78653712797366
2,7,1,1,1,2,58.31686658229024
5,4,1,1,0,0,53.59342255210464
3,5,0,1,0,1,61.79085097470221
4,5,0,0,1,0,52.66066920101287
3,4,0,1,0,2,57.64598526821
4,7,0,0,0,1,62.586997739778255
3,8,1,1,1,2,56.66080017020575
3,6,1,0,0,2,56.83988170567842
2,2,0,0,1,1,61.73854791622852
4,5,0,1,0,1,62.07892904526668
4,7,1,1,0,2,57.95663327214584
4,5,1,0,0,1,60.534122620202496
5,7,0,0,0,0,51.78733219984297
3,5,0,0,1,2,58.98968102205688
4,7,1,1,0,0,53.003960545961256
2,3,0,0,0,0,49.18880836361401
3,4,0,0,0,0,49.9443645464563
4,7,1,0,1,0,52.060711307446425
