education_years,income_level,employment_status,children_count,workshop_invitation,workshop_attendance,productivity_score
2,1,1,0,13,1,51.68186537084912
5,0,0,0,11,1,48.50239714854976
3,1,0,0,13,0,47.485286047271394
5,1,0,1,16,1,49.02965484552587
3,1,0,1,15,1,51.9118457333386
7,1,0,0,12,0,45.754769719404365
9,0,1,0,10,0,44.67622693147042
9,1,0,0,8,0,44.03072923265344
2,1,0,0,11,0,47.64361469754713
8,2,0,1,11,1,48.42848363832944
5,2,1,1,14,1,49.16303376891682
8,0,1,1,13,1,50.142201015752846
5,1,1,0,8,0,47.075010146243415
6,1,1,0,14,1,48.82053612534146
6,1,0,1,11,1,48.96089107505134
5,1,1,1,12,1,50.7103307921488
4,0,0,0,15,1,49.20544895740604
2,1,0,0,13,1,52.33735930986702
5,0,1,0,11,1,50.316401147599294
6,1,0,0,15,1,48.11120833590803
5,1,1,0,9,0,48.10032539027849
9,0,0,0,11,1,46.99592176277929
8,1,0,0,13,1,47.97047926781127
4,0,0,0,9,0,47.06174984637076
6,0,0,0,12,1,50.01405287180574
8,1,0,0,11,1,45.54765443753123
7,1,0,0,14,1,47.72654767843352
5,2,0,0,10,0,45.78859990345898
5,1,0,0,10,0,47.165486144663326
6,0,0,1,14,1,50.146530788233925
5,0,0,0,13,1,50.80945998208552
7,0,0,0,12,1,47.68326508634466
6,0,0,1,12,0,46.38614512190251
2,1,0,0,7,0,46.16443476972715
2,1,1,0,13,0,49.27546101598253
3,1,0,0,15,1,50.23605686687126
6,0,1,0,12,0,48.079838449209
6,1,0,0,11,0,46.19434723680852
8,0,1,0,9,0,46.150469222882805
5,1,0,0,11,0,46.70257612816677
2,1,0,0,9,0,47.47685381062867
5,0,0,0,11,0,48.71469627057526
6,0,0,1,13,1,48.7491766168724
3,2,1,0,13,0,45.1701944238607
6,0,0,0,12,1,50.63856837440222
4,1,0,0,14,1,49.01216646058772
5,0,0,1,12,0,48.1389878303969
5,0,1,0,15,1,51.5861124955306
6,0,0,1,10,0,46.49157673818006
3,1,1,0,13,0,49.71374564907722
5,1,0,0,14,1,49.22423942094383
6,0,0,0,11,1,47.85211428915542
6,1,0,0,10,0,47.12796018865828
4,1,0,0,13,1,50.530608923221685
6,1,1,0,9,0,46.48350617694895
8,0,0,1,10,0,47.84596167213288
5,0,0,1,13,0,47.48080754762045
2,0,0,0,11,1,50.365765371589056
7,0,0,0,11,1,50.95259582851801
5,0,1,0,12,1,50.15718338458824
4,1,1,0,11,0,46.57578922662285
4,2,0,0,10,0,47.12499449846963
3,1,1,0,12,1,50.94683753897532
5,1,1,1,11,0,47.530779388459216
5,0,1,1,11,0,47.74445516750077
4,3,0,0,11,0,44.047880546860966
6,0,1,0,7,0,48.70581864533536
3,1,1,0,16,1,51.79024871286106
4,0,1,1,9,0,49.03916855787262
8,1,0,1,12,1,46.86890993184341
4,0,1,0,13,0,49.94988146496101
8,0,0,1,13,1,47.09977868932123
5,0,0,0,12,1,50.271978163954586
6,1,1,0,9,0,45.7790614550548
6,1,0,0,11,1,48.13093707270729
4,1,0,0,11,1,48.84614657958352
6,1,0,0,11,0,44.00256469562833
6,0,0,1,12,1,51.13957006499988
4,1,0,0,9,0,46.83112576712385
6,2,0,0,11,0,42.45132549262421
4,1,1,1,13,0,48.46709765400594
6,0,1,1,12,0,48.029152647994735
5,1,0,1,13,1,47.67983599880103
6,1,0,1,8,0,46.26412963549289
4,1,0,0,9,1,48.31600151766871
8,1,0,0,10,1,46.19559225095231
6,0,0,0,12,0,44.60844249179891
3,1,0,0,15,1,49.8405910289258
5,1,0,0,9,0,45.42488075501737
0,-1,0,1,10,0,50.08669628756805
6,0,1,0,12,1,51.38292235362924
9,1,1,1,15,1,46.46209803285272
8,1,0,0,12,1,45.47105582127481
6,1,0,0,8,0,45.74897931585614
6,1,1,1,11,0,48.10901424999158
3,2,0,0,13,1,50.94767451652448
7,0,0,1,12,0,46.44072520707695
8,0,0,0,16,1,47.97784721484014
2,0,0,0,9,0,47.93401911537983
6,0,0,1,8,0,46.68390784128879
2,0,1,0,12,0,50.61489613563356
8,0,0,0,13,1,48.66610930131149
3,1,1,0,11,0,49.09254022450998
9,0,1,1,12,1,48.5885211496705
1,2,1,0,11,0,48.473046359389045
6,2,1,0,18,1,47.24046183362649
6,0,1,0,11,0,47.2878533283069
6,1,1,0,10,1,48.713043658361535
7,1,0,0,8,0,45.81366036796928
2,1,0,0,9,0,49.84758655958898
7,0,0,0,14,1,48.08671714607813
3,1,0,0,9,0,47.994267047619154
5,1,0,0,12,1,49.06700301041207
7,0,1,1,15,1,50.59725890906925
1,2,0,0,11,0,49.45370049423652
8,1,0,0,7,0,44.33845595816298
4,1,0,0,12,1,49.27793105360318
6,0,0,0,14,1,48.14399037126496
6,0,0,0,15,1,49.45321707796002
8,1,1,1,9,0,46.66057112142434
6,0,1,0,12,0,45.69757435241623
5,0,0,0,14,1,47.54545357305096
6,0,0,0,12,1,49.5638861177498
4,0,0,0,13,1,50.97273652087935
9,1,0,0,13,1,47.2015851486854
6,0,0,0,9,0,47.37873771358334
2,0,0,0,11,1,54.85572746355044
4,1,0,1,12,1,49.4946968582955
7,1,1,0,13,1,46.78820830856529
6,0,1,0,8,0,48.12585943157416
8,0,0,0,12,1,47.45569923357612
1,1,1,0,14,1,51.61794064482877
4,1,0,1,10,0,48.28389485335737
6,1,1,1,12,0,46.51905869522457
7,1,0,0,10,0,43.47661467523732
1,1,0,0,9,0,50.043447914505286
6,1,1,1,8,0,48.67864595105127
6,1,0,1,12,0,44.12707518006414
6,0,0,0,8,0,49.60286975391968
6,0,0,0,15,1,48.94861076105239
9,0,0,0,12,1,46.2637970278879
6,1,0,0,12,0,46.67354474091773
4,1,0,0,11,0,47.81295977699409
6,0,0,1,10,0,46.350612888749
6,2,1,1,11,0,47.0235444698597
8,1,0,0,9,0,43.81353359369346
3,0,0,0,12,1,51.20223849461111
3,0,0,0,12,1,51.36822344604559
5,0,0,1,11,1,48.61807419849831
5,1,0,1,8,1,48.50406353198449
4,1,0,0,13,1,48.814752068823545
7,0,0,0,9,1,49.11281889671452
5,0,1,1,13,1,50.30117375743425
5,1,0,0,12,0,47.77415635509194
4,1,1,0,10,0,49.29353718943891
3,0,1,0,11,0,49.46734497293743
5,0,0,0,10,0,47.50315580841929
5,0,1,1,11,0,48.47996007121842
3,1,0,0,12,1,50.03355479138974
7,0,0,0,17,1,48.204823174488894
8,1,1,1,12,1,50.47355343982543
7,0,0,0,13,0,45.31703456697814
2,0,0,0,13,1,52.72899859655157
7,1,0,0,11,1,47.18959712399924
6,0,0,1,10,1,48.80952040075969
2,2,1,0,10,0,48.80037996159193
6,0,0,0,12,1,50.050061840180895
6,1,0,0,12,1,48.61954416403013
4,1,1,0,13,0,49.50609299290069
6,0,1,0,12,0,47.40382941833921
1,0,1,0,10,0,51.043539646892704
7,-1,0,1,11,1,49.08983841485778
4,1,0,1,12,1,48.86402866062848
7,0,1,0,9,0,47.7218766027298
5,2,0,0,15,1,47.386525621548905
7,0,0,1,9,0,46.5719080470487
5,0,0,0,15,1,49.5921506519479
8,0,1,1,11,0,47.33303904426019
5,1,0,0,12,1,47.92248994791155
5,1,0,0,10,1,47.490546690093225
6,0,1,0,9,0,48.65224448783691
6,0,0,0,11,0,47.59721207162106
5,1,0,1,16,1,48.90073077977316
7,1,1,0,12,0,45.50302159431568
5,0,1,0,11,0,48.14115933798925
6,0,0,0,11,1,49.29810124650609
5,1,0,1,10,0,46.57885958018442
8,0,1,0,14,1,50.036018749762334
8,1,0,1,10,1,46.38347589606262
7,2,0,0,11,0,45.48018193118063
4,0,0,0,11,0,50.03395678454233
7,1,0,1,16,1,48.01940381511881
7,1,0,1,10,0,44.50255780753757
8,1,1,0,11,0,44.838454905107504
6,0,0,1,13,1,50.59824179541014
5,1,1,1,13,0,46.84486076848932
5,1,0,0,15,1,47.845365587473566
6,1,0,0,11,1,47.60195301527203
7,0,0,0,13,1,51.4206481884877
5,1,0,0,10,1,46.99436248024765
5,0,1,0,10,0,46.65403295885032
4,0,1,1,10,0,48.50882927820675
7,0,0,0,12,0,45.705989194683454
7,1,0,0,12,0,43.376107013117206
4,0,0,1,13,0,47.75177388252205
3,0,1,0,11,0,49.651108817216645
6,1,0,1,13,1,49.6399368032185
4,1,1,0,12,1,50.92590020326806
3,0,1,1,13,1,53.174775397769096
4,1,0,0,12,1,50.79872459511859
7,2,0,0,14,1,46.59816315727933
5,1,1,0,10,0,46.47985921139214
3,0,0,1,12,1,50.35489089787644
6,0,1,0,13,1,49.034863615829074
5,2,1,0,12,1,48.61223703395604
4,1,0,1,13,1,50.153851203617485
6,1,0,0,12,1,49.54211653232648
7,2,0,1,11,1,48.0778244364965
3,0,1,0,12,1,51.40479920343406
6,1,1,1,13,0,46.17239954667139
7,0,0,0,12,1,48.35656957165164
7,0,1,0,9,0,47.39104348657088
6,0,1,0,11,0,48.1855448676801
5,2,0,0,11,1,46.02947860657089
6,1,0,0,11,0,45.72035017302795
6,0,0,0,10,0,45.811540356581375
5,0,0,1,12,0,46.62761038387865
7,1,1,0,14,0,46.821944121581545
7,1,1,0,9,0,45.62607330899901
7,2,0,0,13,1,48.58393722318835
5,1,0,0,14,1,47.47435030961947
6,0,0,1,15,1,49.849160266347766
7,0,0,0,14,1,47.54335557146739
5,0,1,0,10,0,49.1948413039655
6,0,0,1,11,1,49.38047534722647
8,1,0,0,14,1,48.12779953938826
7,0,0,1,11,1,48.88367722994799
5,1,1,0,13,0,48.08199163576708
6,0,0,0,15,1,48.64908145782844
5,1,1,1,10,1,49.8037464989572
4,1,1,0,16,1,50.517652237002665
7,0,0,0,15,1,46.83082100070568
4,1,0,1,14,1,51.26653926554511
8,1,1,1,11,0,44.97083575797285
8,1,0,0,11,1,47.715713550543065
5,1,0,0,13,1,47.84501209390039
6,0,0,0,11,0,48.184146660211496
8,0,0,0,11,0,45.997049484390296
5,1,0,0,7,0,46.59093817034876
3,0,0,1,13,1,51.101021834192224
5,1,0,0,13,1,48.97448472949175
5,0,1,1,14,0,49.6678227459825
9,0,0,1,10,0,44.1521547320721
8,1,0,1,12,1,46.587788145061744
5,3,1,1,10,1,47.4638114783972
5,1,0,1,11,1,50.370599265926174
6,1,0,1,12,1,48.269216320229255
5,0,1,0,15,1,51.31016598512189
6,1,1,0,9,0,47.11523071219223
7,2,0,0,10,1,47.31368765350234
9,1,0,1,11,1,47.023503885327045
4,1,0,0,14,1,50.2267622667387
6,0,0,1,9,1,46.69681900815431
7,0,1,0,10,0,45.23931937926912
6,1,0,1,10,1,47.05068723218052
6,0,0,1,16,1,50.15283882798275
5,0,0,1,10,1,50.514975503456014
7,0,0,0,10,1,47.586469237732565
5,0,1,1,8,0,47.28731611098518
6,1,0,0,9,1,49.46429355004908
6,1,0,1,11,1,47.67642495152945
7,1,0,0,9,0,44.432865971474136
4,0,0,0,12,1,51.14220861738939
6,1,0,0,9,0,44.42922837733999
6,0,1,0,13,1,48.94773176649293
7,0,0,1,10,1,48.8592874549407
9,1,1,0,13,0,42.61693240847003
8,0,0,1,11,0,45.336699340881616
8,1,0,0,11,1,46.0233076186754
9,2,0,0,13,1,46.36837570952285
7,0,1,0,11,0,47.50744084963647
2,1,1,0,12,0,48.912559090193774
4,0,1,1,9,0,48.80643514019563
5,1,1,1,13,1,49.99488572006428
4,1,1,0,11,0,48.03268246017773
5,-1,0,1,10,0,47.868921026199736
4,0,1,0,10,0,48.43174858097336
4,1,0,0,10,0,47.74106380038636
5,1,1,0,11,0,47.35449602617936
4,1,0,0,15,0,46.84436726875136
3,1,1,0,13,1,49.87390189227351
5,1,0,0,14,0,46.78228530979229
7,0,1,0,14,1,49.42439395065063
6,1,1,0,13,0,45.63983950537932
6,1,1,0,11,0,46.69541550934592
5,1,0,0,14,1,47.96610225532898
5,0,0,0,10,0,47.191258550083454
8,2,1,0,10,0,44.2073847437428
8,1,0,0,12,1,47.48482515356119
7,1,0,1,9,1,46.6149476001749
3,2,0,0,11,1,47.15555365217813
8,0,1,0,9,0,46.976806401436434
7,0,0,0,10,0,45.578474884306544
2,1,0,1,13,0,49.39991104636046
6,0,0,1,11,1,50.35060301744216
5,1,0,0,11,0,46.44071749178168
5,2,0,0,10,0,44.72964556377859
7,0,0,0,12,1,49.67345772341768
8,1,0,1,11,0,44.45620335937208
6,0,0,0,11,0,46.98495035091201
3,0,0,0,12,0,47.42406329936789
7,0,0,1,11,1,50.1844297875875
4,1,1,0,11,1,50.36962416974493
2,1,0,0,12,0,46.929551280180064
5,0,0,1,13,1,50.99619302431484
4,1,0,0,16,1,49.53816224459813
6,1,0,0,10,0,44.87687943470001
6,0,0,1,11,1,48.32333146717081
7,1,1,0,11,0,44.57019724934549
7,1,1,0,12,0,46.06773653904707
6,1,0,0,14,1,49.603024208202754
9,2,1,1,13,1,46.67533897442249
6,1,1,1,10,0,45.90290826752349
9,0,0,0,13,1,47.84250178015287
5,0,0,0,12,0,46.05155042572581
8,0,0,0,11,0,44.49975026612446
5,1,1,0,10,0,46.90111964863223
7,1,0,0,12,0,44.16010581477877
6,2,0,1,8,0,42.51867541649726
5,0,0,0,13,1,49.46485545496056
8,1,1,1,13,1,49.0103259861236
5,0,0,0,13,1,48.416714694036685
7,2,0,1,11,0,43.89917476711556
5,1,1,0,13,1,50.83019570394402
8,0,0,1,13,1,47.38782122572633
6,2,0,0,11,0,43.17232246809476
4,1,1,0,8,0,46.90625233151626
6,0,1,1,12,1,50.19210625116462
4,1,1,1,11,1,51.13404609752366
3,1,1,0,11,0,46.47599282978582
6,1,0,0,12,1,48.79282877620986
5,1,0,0,12,1,50.13279053728118
4,2,0,0,9,0,44.36120893678106
5,0,0,0,9,0,48.24574028343467
8,1,0,0,14,1,48.65790180537123
4,0,1,1,13,1,51.75233931939498
5,1,1,1,13,1,49.66876651786351
5,0,0,1,12,1,50.22947788651751
7,0,0,0,12,1,47.972817002988165
7,0,0,0,13,1,47.87644073750784
9,0,1,0,13,0,47.1657989683052
6,2,0,0,14,1,44.01252251851979
4,1,0,0,12,1,48.9335869553797
4,0,0,0,12,0,48.53767694294004
5,0,0,0,11,0,47.03055091130559
7,0,0,0,15,1,47.894552994888414
5,1,0,0,13,1,50.21306850416372
5,1,0,0,9,0,46.96881574460685
5,1,0,0,11,0,44.57444699503387
3,0,0,0,13,1,49.90502667112386
5,0,0,0,11,0,46.361435551339646
4,1,0,0,13,0,46.91712791160356
7,2,0,0,10,0,46.58376266805149
6,0,1,1,11,0,50.02717022084714
4,0,1,1,11,0,50.27939282016301
6,1,0,1,13,0,44.91883556704357
5,1,0,0,11,0,47.188251232389575
3,0,0,0,11,0,47.55567247542984
8,0,0,0,14,1,49.65909457773197
8,0,0,0,14,1,46.86772057358749
5,0,1,0,11,1,50.67275032688534
5,0,0,0,11,0,46.21098044973665
5,1,1,0,11,0,47.20202644040484
4,2,1,0,16,0,47.19773432689943
6,1,1,0,13,1,48.66606375053304
3,1,1,1,12,0,49.0927712786103
9,1,0,0,13,1,45.13350519891817
8,0,0,1,9,0,45.93180794462819
4,1,0,0,8,0,47.94540929991137
3,0,1,0,17,1,53.92774322022669
7,1,0,0,13,1,45.7492008687266
4,1,0,0,10,0,46.1684352927396
4,1,1,0,12,0,45.95376323583148
6,2,1,1,10,1,46.89194177854362
7,1,0,1,10,0,44.59813964270125
4,0,0,0,13,1,50.38941359546719
6,0,1,0,9,0,49.09574405167768
7,2,1,1,11,0,46.11728583368186
4,1,0,0,12,1,49.31889238100413
3,0,1,0,12,1,51.6664145691414
4,1,0,0,11,1,49.24963038206138
7,1,0,0,10,0,45.16075213329027
6,1,1,0,12,0,45.092034278853134
6,0,0,1,13,1,48.21616259541263
6,1,0,1,14,1,47.18273873396289
4,0,0,1,12,1,50.71114289442048
7,1,1,0,11,0,46.36882287604829
2,0,1,0,11,0,47.99019762184632
4,0,0,1,12,1,50.348661417074254
8,1,1,0,13,0,44.01031508813718
3,2,0,1,13,1,48.16935308185493
5,0,1,1,9,0,45.7506025391708
4,0,1,1,7,0,49.95385812838357
6,0,0,0,14,1,49.33861946463409
7,0,0,1,12,0,47.87488593237472
3,1,0,1,9,0,48.14768332557386
7,0,1,1,10,1,50.81563462876877
7,0,1,1,13,1,49.76351882084399
9,1,1,0,11,1,48.302802939010974
4,1,1,0,12,1,50.14804236985799
6,1,1,0,9,0,46.67381423206993
5,0,0,1,9,0,49.78750739842726
5,1,0,0,13,1,47.28573196966528
8,0,0,0,11,1,47.41236213923514
6,1,0,0,10,0,48.69016079143681
7,0,0,0,12,1,48.98708847297366
5,1,1,1,12,0,46.99343213037688
6,0,0,0,15,1,50.33699326210968
6,1,0,0,10,0,45.51575264309986
5,1,1,1,13,0,45.994694672454735
8,0,1,0,12,0,46.10206174272317
2,0,0,0,9,0,49.29808427595154
5,0,0,1,14,1,51.246200479540015
5,0,1,0,10,0,46.762766114239234
6,0,0,0,8,0,45.56156986481718
4,0,0,1,10,0,49.743261343958416
5,1,0,0,8,0,42.88587377869672
3,0,0,0,12,0,48.63130053071704
6,0,1,0,10,0,47.27384421053431
3,1,1,0,14,1,49.301481641498576
6,1,1,1,11,0,47.229774671974525
7,0,0,0,12,0,45.22278672233698
5,0,0,0,13,1,50.716076453770135
7,0,1,1,13,1,50.088659315937456
8,1,1,1,11,1,45.35174036933935
5,1,0,0,14,1,49.97756913270443
8,0,0,0,10,0,45.34333331393525
8,0,0,1,12,0,46.16483309678998
4,0,0,0,10,1,49.55525608170993
5,0,0,1,11,1,51.07505792058639
5,1,0,0,11,0,46.24919091658241
6,0,0,0,12,1,49.9831869225297
3,0,0,0,11,0,48.40242855241522
5,-1,1,1,10,0,49.73528075496652
7,0,1,1,12,1,50.48299968990868
8,1,0,1,10,1,46.78129768794372
6,0,0,1,9,0,46.60546655930212
9,0,0,0,11,1,45.80806997581288
8,1,0,0,9,0,42.52480123282661
9,0,0,0,10,1,46.40041332932268
6,1,1,0,13,1,49.10808596559625
6,0,0,1,12,0,48.84457138186915
5,1,0,1,11,1,49.33093765410965
7,1,1,1,8,0,46.087054172046784
6,0,0,1,15,1,48.959915101163205
5,1,0,0,12,1,51.02028796807268
5,0,1,0,10,0,47.82508981558136
4,0,0,1,10,0,49.51346456263168
5,2,0,0,13,1,47.79341134189319
10,1,0,0,13,1,43.94511915103515
4,0,0,1,12,1,49.394137185799885
7,3,0,0,11,1,45.48414012205987
5,1,0,1,12,0,45.274112846472725
6,0,0,0,12,0,47.1013617919614
1,0,0,0,12,1,51.28905257776909
5,0,1,1,10,1,53.19725275812827
3,0,0,0,15,1,50.7711356595141
5,0,0,0,17,1,51.08113556315173
8,1,1,0,11,1,48.57372099916322
2,0,1,1,9,0,50.21848143395168
5,0,0,1,12,1,50.8360533011813
4,0,0,1,13,1,50.88733935529682
7,0,1,0,12,0,46.51339868717229
8,0,0,0,13,1,46.296866186917306
5,0,0,0,14,1,50.47002569068111
4,1,0,0,14,0,46.255794736176455
3,1,0,0,9,0,46.0210290796432
5,0,0,0,14,1,47.74014446299818
7,1,0,1,9,1,49.1570918347347
4,0,0,0,13,0,47.4346601950472
4,0,0,0,10,0,47.203981385844784
3,0,0,1,8,0,48.701097562132304
8,1,0,1,10,1,45.329126892946974
6,0,0,1,13,1,49.89645178759631
5,1,0,1,12,1,48.56182370617481
3,0,0,0,12,1,50.36005538308589
3,1,1,1,13,0,47.98175677694282
5,0,1,1,12,0,47.61256232302685
4,0,1,0,9,0,47.39069197516984
4,2,0,1,10,1,49.51175159213645
5,1,0,1,10,1,47.91887706338587
5,0,1,0,13,0,48.01213553106949
8,1,1,0,12,1,47.20743543537009
4,0,0,0,16,1,50.54381756907374
6,1,0,1,14,1,49.08535968737786
5,1,1,1,14,1,49.40154265899056
4,1,0,1,10,0,48.19947293141556
3,0,0,0,12,0,50.02820559043286
4,0,0,1,10,0,49.37047981481471
5,1,1,0,15,1,49.959256349311474
6,1,0,1,10,0,44.82627654731613
7,1,0,0,10,1,48.54574758885367
5,0,0,0,11,0,46.11924951581856
4,0,0,1,10,1,50.064302224428005
7,0,0,0,14,1,48.44333481004941
5,2,0,0,11,1,49.78587007270712
5,0,0,0,12,1,50.44118661586981
7,0,0,1,12,1,47.978151269105005
4,1,0,0,9,0,47.476485666679466
4,1,0,1,12,1,47.8394066880921
3,0,0,0,10,1,50.09033665894676
5,0,0,1,13,1,48.74048560560955
3,0,0,0,12,1,52.232635207657545
7,1,0,0,11,1,46.67468936670648
5,0,0,0,9,0,48.041215504203365
2,0,0,0,12,1,52.73125854262275
7,0,0,0,11,0,46.45534452485375
5,0,1,0,12,0,47.09590974489663
3,0,0,0,10,0,48.47450238562304
7,1,0,1,14,1,46.67285543553133
6,0,0,0,13,1,47.5920335349089
6,1,1,1,13,0,48.10875360836549
7,1,0,0,9,0,43.979288475793616
5,0,1,0,12,0,48.94787738872449
8,0,0,0,13,1,47.82716050841995
5,0,0,0,12,1,49.76016040828903
3,0,0,0,11,0,48.94295103328521
1,0,0,0,13,0,51.209848981746426
6,1,0,1,9,1,48.34529534225491
3,0,1,0,13,1,51.21128410879665
