age,education_years,monthly_income,dependents,gender,married,job_training,job_satisfaction
23,19,8,10,0,0,1,61.20549121671419
24,23,4,16,0,1,1,66.48724227231862
25,22,7,17,0,1,1,62.12071027034027
27,25,9,12,1,1,1,65.13816127740785
18,25,5,17,0,0,1,69.99868348811474
21,19,4,12,0,0,0,60.35602432369627
24,24,6,12,1,0,1,66.87074816721059
2,18,3,13,1,0,1,72.08010211381514
7,22,5,18,0,0,1,70.67114924544452
27,20,6,10,1,1,0,58.7146696710966
19,27,7,18,0,0,1,69.59288105381376
29,28,8,15,0,1,1,68.59570762210026
16,21,4,15,0,0,0,63.41059796282218
28,23,5,21,1,0,1,62.4252667112662
37,19,5,20,0,1,0,50.83010339811276
3,23,9,23,0,0,1,70.6465733325125
0,17,2,8,1,0,0,69.55994731934705
29,19,5,25,0,0,1,56.10576683377568
25,23,13,12,1,0,1,60.51959701292092
35,18,0,6,1,1,0,57.28113651882899
39,23,0,21,0,1,0,58.487319731006245
42,23,5,18,1,0,1,56.59557195957064
43,29,3,17,1,0,0,63.228332616612086
26,24,8,17,0,1,0,61.29752050881273
36,17,2,13,1,1,0,51.64066061071071
38,27,5,13,1,0,0,59.88249147719536
35,18,6,25,0,1,0,47.6393194705248
32,29,8,14,1,0,1,68.03882753040938
35,22,5,12,0,0,1,61.04939066848448
28,19,10,9,0,1,1,55.979719167848096
19,21,5,25,0,0,0,58.29371560507411
18,34,9,18,0,1,1,77.93165482908273
30,25,9,8,0,1,0,59.38754727802462
26,25,10,16,0,1,1,64.37301513832296
23,29,8,11,0,1,1,72.42639729238961
27,16,7,16,0,0,0,50.69234582767877
30,25,9,10,1,1,0,61.28994566082328
12,21,7,18,0,0,1,64.79430221778716
27,26,6,22,0,1,0,63.16140514291436
25,27,2,16,0,1,0,67.71381933476258
37,23,3,16,0,0,0,55.505258355686045
-5,23,2,17,0,1,0,76.16547529417944
30,23,6,18,1,1,1,64.51136118018825
46,22,5,13,1,0,1,56.3638016363286
27,32,3,10,1,0,1,76.59546348205633
23,29,9,19,1,0,1,70.6599808510735
29,23,3,13,0,1,0,62.02227707100959
6,29,9,17,0,1,1,77.754383950431
29,18,4,11,0,0,0,54.1241921994015
25,30,7,15,0,0,1,70.52968596948412
29,17,6,7,0,0,0,53.83379392343814
21,26,5,22,0,1,0,66.2549319536637
28,22,3,15,1,0,0,58.61349637135517
23,22,6,14,0,0,1,65.35392012518075
37,23,5,25,1,1,1,57.06976033163453
23,20,5,22,0,1,1,58.976302628814594
19,29,4,14,0,1,1,75.40556120562825
20,23,5,5,1,0,1,70.78095877227005
35,29,5,13,0,1,1,70.34422641157052
19,22,6,18,0,0,1,66.0622999722103
17,20,4,5,0,0,1,68.07243280065556
19,20,7,14,0,1,0,58.7728170711718
38,27,5,12,0,1,1,63.61799392264302
20,22,8,13,0,0,0,59.17476054014501
27,21,7,17,0,1,1,62.71203180909792
32,24,8,6,1,0,1,63.4232088406094
24,27,8,6,1,1,1,70.74091545074056
30,24,9,22,0,0,1,62.21553753048237
5,29,8,10,1,0,1,79.54458911546284
27,29,6,10,0,1,0,68.31342407173251
38,20,3,12,1,0,1,57.121169759268
21,26,6,13,0,0,0,65.28923430833444
28,19,4,17,0,1,0,56.56055112817516
35,16,5,19,0,0,0,50.324441546087286
14,20,5,19,1,0,1,65.79372354623216
13,25,3,17,0,0,0,70.16947328769437
28,18,8,17,0,1,1,54.42149454180882
34,22,4,21,0,1,1,59.400269186795306
28,22,0,15,1,0,0,62.4388316301118
35,31,3,16,0,1,0,68.27195309366616
36,21,9,18,0,0,1,56.26562797477045
28,24,5,16,0,1,0,61.33592661273333
26,23,1,20,1,0,0,63.85629218579688
10,30,6,10,0,0,1,79.68259571907049
11,25,7,12,0,1,0,70.48594989164442
20,24,5,15,0,1,0,63.74281505984668
24,24,6,23,0,0,1,63.23483071813004
21,21,5,17,0,0,0,60.03755702320962
30,28,4,7,0,1,0,70.16811945538664
24,27,7,17,0,0,1,68.09731940599488
27,23,5,17,1,1,1,64.24179906398541
36,24,7,18,1,0,1,60.056217574573004
38,23,5,13,1,0,1,59.8633999658366
33,19,1,15,1,0,0,55.08701516931604
23,18,6,24,0,0,1,58.70874247360448
11,19,5,21,1,1,0,64.04470633189864
37,23,5,19,1,0,1,58.838649083934335
19,28,7,9,1,1,1,75.85714619985733
38,16,5,19,1,0,1,51.21629649521528
15,27,7,14,1,0,1,74.53290689073982
20,25,0,18,1,0,0,70.03783312016213
46,30,3,13,0,1,0,62.93131355141575
28,27,4,9,1,1,0,65.49974086374691
31,21,1,20,0,1,0,58.39912262580091
11,28,4,29,0,1,0,69.13617051669064
24,30,8,13,1,0,1,71.14912189698217
31,24,2,16,0,1,0,61.29831354482804
36,23,9,8,1,0,1,59.55884027355346
16,25,8,20,1,1,0,66.05720566084298
13,22,5,15,0,0,1,70.38955624684577
19,21,0,8,1,1,0,68.04843100348407
11,16,9,10,1,1,1,62.227039729131256
18,22,5,23,1,0,1,65.02722354432828
24,22,7,7,1,1,1,66.71151764102383
2,24,9,20,0,1,1,74.11062145840056
29,24,6,10,0,1,0,61.23867600893039
11,18,6,10,0,1,1,67.14300885510349
33,25,3,8,1,0,0,64.82009263940303
45,26,5,12,1,0,0,58.05872238244094
41,29,7,15,0,1,0,58.43617558290892
13,26,6,12,0,0,1,74.1332373151851
33,28,4,20,0,1,0,61.75474859369371
39,22,6,9,1,1,1,57.38004141825302
-13,24,5,12,1,1,1,84.17191479049845
33,22,8,22,0,0,1,57.92088501902454
1,27,8,26,0,0,1,76.80344851243491
9,32,4,20,1,0,0,79.36124392974915
27,30,3,11,0,0,0,71.9978299720006
23,22,3,17,0,1,0,63.16187439126062
12,23,5,16,0,1,0,68.03246757465091
21,21,3,15,0,1,1,65.48885859567211
29,27,5,12,0,1,1,70.02198416275407
34,23,3,16,0,0,0,57.73609237117701
39,31,4,19,0,0,0,64.25819791266431
15,26,8,10,1,1,1,73.05959596637409
19,21,5,15,1,1,0,62.44202923325867
30,24,2,20,1,0,0,60.87007418535815
25,22,4,10,0,1,0,60.89749367980076
31,22,9,19,0,0,1,57.20827909204842
36,29,2,16,1,0,0,64.36890865857231
35,29,3,8,0,0,1,70.29212253428028
21,24,3,19,1,0,0,64.74375920562942
35,22,3,15,1,0,1,60.61150416673351
33,27,7,16,1,0,1,63.5425306710533
21,28,12,12,1,1,1,68.54980740136646
15,23,8,11,1,1,1,69.76639491651325
23,25,2,16,0,1,0,67.23605716809794
32,17,5,9,0,1,0,53.18139846101658
29,21,5,18,0,1,0,58.51848038692065
18,25,5,18,1,0,1,69.61212970514403
31,24,5,23,1,1,1,62.67860742814892
25,27,9,17,0,1,1,67.05561562647573
46,20,7,15,1,0,1,52.45523624922578
29,32,8,8,1,0,1,72.1928048277985
30,30,2,16,0,0,0,68.77520392768247
38,25,5,4,1,1,0,60.98879629797776
34,29,6,15,1,0,1,67.95405333153602
18,21,8,13,1,1,1,63.68289710955683
11,31,5,10,0,1,0,78.16411309144144
20,28,6,18,1,1,1,70.64947632048698
30,29,3,17,0,0,0,66.72337240024493
24,23,7,15,0,0,1,63.81913763173117
15,26,4,19,1,1,0,70.10736558837695
19,31,6,9,0,1,1,78.31512086341625
36,24,8,15,1,1,1,58.89800413594643
39,26,3,16,1,1,0,60.57047395739068
39,21,6,13,1,1,0,53.20195291689142
40,23,6,15,1,1,0,56.16895922230664
35,18,8,12,1,0,1,52.781480258353135
22,22,7,14,0,1,0,60.3424497689616
22,25,6,16,0,1,1,68.24407832078445
41,21,5,12,1,0,0,51.19261271989643
17,23,5,16,0,1,1,68.8328883384263
34,25,7,18,1,1,0,59.08487063674218
33,25,7,16,0,0,1,62.241636750180376
23,21,7,25,0,1,0,56.39922462993333
7,30,5,18,0,0,1,79.54746783740252
22,24,5,12,0,1,0,65.32326809703957
35,18,7,6,0,0,1,55.46402176520521
26,25,5,12,0,0,0,63.20206639028111
32,26,5,16,0,1,0,62.90668462422751
38,25,5,19,0,1,0,57.50869034627135
26,23,5,20,1,1,0,61.7218675359708
-3,20,8,14,1,1,1,72.75710787524324
32,20,8,16,0,0,1,57.67624762873304
20,26,6,15,0,0,1,68.24745957697348
18,19,6,13,1,0,1,61.5261152741978
22,26,3,9,0,0,0,70.61707580458977
20,23,5,20,1,0,1,66.15978992283968
34,16,5,16,1,1,0,49.88169270480426
46,26,6,9,0,0,1,59.28095323786604
11,22,10,13,1,0,1,67.64714385907
24,26,6,13,0,1,1,69.43241673594271
26,22,3,14,0,0,0,61.46513583739157
37,23,4,13,0,1,0,56.17425951439806
15,24,1,10,0,0,0,70.67702987138105
12,26,9,13,1,1,0,69.36020776528316
30,25,3,12,0,0,0,65.34846579685127
22,20,6,11,0,0,0,58.13895688362385
29,21,6,18,0,0,0,54.00423064660857
13,29,5,14,0,0,1,78.31616266391792
19,31,5,11,1,1,0,74.96705974778207
18,27,5,8,1,0,0,70.45666607444036
8,25,6,16,0,1,0,71.82707092999487
3,34,4,25,1,1,0,83.33458109997773
30,30,6,13,0,0,1,70.83897914689446
24,27,5,14,1,0,1,70.05198657440489
16,25,0,19,1,0,0,71.11126599381244
37,29,3,19,0,0,0,63.93006181144583
43,25,8,11,0,1,0,54.4112078412914
13,25,8,19,0,1,1,70.24607917714907
21,21,3,24,1,1,0,60.31444812435807
10,25,11,15,1,1,1,71.47500492850584
13,23,5,10,0,1,1,71.01198712828752
25,21,9,25,0,1,1,58.84952821641301
19,19,6,15,1,1,1,62.82918672253016
30,30,6,23,0,1,0,64.15935658678404
14,26,7,16,0,1,1,71.4869745997692
19,23,1,11,1,1,0,65.84029777977064
23,23,7,21,0,1,0,59.97936376506905
32,27,7,20,0,0,0,57.967442665337934
30,22,5,14,1,0,1,62.56075963971986
23,21,3,23,1,0,0,58.07040456078003
47,23,10,17,0,0,1,52.98699184892721
20,22,3,16,0,0,0,64.65371973268829
20,24,6,26,0,0,1,64.59765675683592
23,19,4,14,1,0,1,64.88004040033015
15,21,7,23,0,0,1,64.9543736403367
36,22,4,11,0,0,0,56.41451244388999
12,22,11,13,1,1,1,66.42263309819148
19,31,6,18,0,0,1,74.03153807096858
21,23,6,19,1,1,0,64.18516539308445
5,22,6,13,0,0,1,70.33246120746331
23,19,5,11,0,1,0,59.712082840415135
37,21,2,20,1,1,0,53.93721681934978
38,22,5,19,1,0,1,57.31739084503583
25,14,2,20,0,1,0,52.72485475037275
35,25,3,20,0,1,0,60.3760745031501
33,21,3,17,0,0,0,55.96967277203954
4,21,7,18,0,1,1,72.04624334059734
24,24,5,23,0,0,0,60.487913380102434
37,16,7,11,1,1,1,52.84672711916518
43,23,8,16,1,0,1,55.4618324509095
8,21,0,17,0,1,0,69.82391316143739
14,24,7,16,1,1,1,68.79715656945028
30,20,4,18,0,0,0,57.39794800240691
29,23,8,25,1,1,1,59.37607982400816
20,23,6,15,1,0,1,67.49077570588143
10,26,6,14,0,1,1,75.98822105764701
20,21,4,22,1,1,0,61.40901084715485
17,28,5,10,0,0,1,75.25524645212997
35,26,6,16,1,0,1,64.01803089254582
11,29,6,22,0,1,1,77.23695690552198
31,24,1,17,0,0,0,63.220324935633705
28,22,4,17,1,0,0,58.594867928838745
20,28,4,20,1,1,0,69.42048031901568
30,28,5,13,0,0,0,66.53426725816567
12,23,2,17,0,1,0,68.70062435848169
20,22,2,22,1,0,0,64.31005508471641
47,27,7,12,0,0,0,54.4839711038238
34,30,8,7,1,1,0,66.13092772851371
25,22,8,26,1,0,1,59.97411704377025
11,24,8,10,1,1,1,74.12430815009425
20,20,4,16,0,1,0,63.1855948865114
17,21,5,20,1,0,1,67.68536633632168
17,22,1,23,1,0,1,66.81515791953896
9,27,6,21,1,0,1,74.99042349004209
6,19,4,17,1,0,1,68.75984390148052
34,26,5,16,0,1,0,62.516868140753616
22,20,1,14,0,1,0,63.53088820868215
22,24,5,26,1,0,1,66.52074195236398
37,26,5,15,0,1,0,61.43265189247526
16,19,7,8,1,0,1,65.60016258707732
31,25,6,24,1,0,1,61.04178944418364
23,27,5,27,0,0,1,68.58229424171616
31,19,7,22,0,0,1,55.17100816949335
14,18,5,11,0,0,1,65.73147520600209
44,24,6,15,0,0,0,54.7894061199348
19,16,7,17,0,0,1,58.179577407004366
41,27,9,14,0,1,0,57.56164793831103
22,17,7,11,0,1,1,60.68923919028379
26,27,0,8,1,1,0,70.05208904304898
32,28,5,16,0,0,1,67.8179156611487
21,22,5,13,0,0,1,65.03942569168768
22,19,6,19,0,1,0,57.26611373626654
50,27,6,21,0,1,0,53.07177819332055
37,29,6,3,1,1,0,65.24888693188629
25,30,3,17,1,1,1,75.24841879331576
21,24,8,15,1,1,1,66.75662958760658
27,29,4,14,0,0,0,68.59120919253259
12,19,7,26,0,1,1,60.82999908232465
23,13,7,20,0,1,0,47.51046195789757
37,19,8,22,0,0,0,47.20232125903049
28,24,8,13,1,1,0,59.10722102419023
30,19,3,2,0,0,0,59.27126201655043
26,21,8,24,1,1,1,58.328691829281
14,18,5,20,1,1,1,63.47260001294679
22,20,4,22,0,0,0,58.15205732503016
29,26,6,15,0,1,0,62.99390086739359
-5,23,6,18,0,0,1,78.57361939375002
6,25,7,12,1,1,1,74.43631221629852
28,19,7,20,1,1,1,57.52453799290774
29,22,7,21,1,1,1,60.355012981926606
21,23,6,18,1,0,1,65.71500413604292
12,23,6,15,0,1,1,69.8442498727338
20,19,5,14,0,0,0,58.72291345404436
32,23,7,13,1,0,0,57.71516430619237
24,24,4,12,0,0,0,63.82144170611716
14,30,6,22,1,1,1,78.54141535132318
41,17,7,13,0,1,0,48.33134812944667
13,21,6,21,1,0,1,67.08526308823512
18,22,5,16,1,1,1,68.51712588374961
30,32,5,16,1,0,0,67.63301585277375
37,25,3,10,0,0,0,59.92892693509263
27,23,3,19,1,0,0,59.52498690968853
17,20,2,18,0,1,0,62.88392620334058
9,23,2,9,0,0,1,75.72305288112761
35,16,10,17,1,1,1,47.983068478043215
12,24,9,18,1,1,1,68.4921373865556
19,28,4,9,0,0,0,70.68565490395025
31,18,5,21,0,0,1,54.788635337505845
12,25,2,12,0,0,0,72.98281308506516
26,26,6,21,1,1,0,63.5232635820473
22,19,8,13,0,1,1,59.64094374592205
17,26,8,16,1,1,0,66.45594750252785
20,24,4,13,0,1,0,66.78796182113761
22,25,7,9,0,1,0,66.29205077464701
21,25,3,12,1,0,1,70.2908519535238
23,25,6,16,1,1,0,63.51670063114232
34,28,9,20,1,0,1,64.79418590482469
22,22,4,7,0,0,1,69.67901554339862
24,18,4,14,1,0,0,56.745784283837125
21,25,4,13,0,0,0,67.94350711653559
-3,23,4,8,0,1,0,76.83022102830454
19,29,6,12,0,0,1,76.24784696704795
20,26,9,17,0,1,1,69.5627905322941
7,24,2,13,1,0,1,76.72209067726783
12,30,8,13,0,0,0,73.61005944472004
18,23,7,19,1,0,1,65.6506576337794
31,26,7,22,0,1,1,63.105063547547424
37,18,4,23,0,0,0,51.332440364929255
36,23,4,9,0,1,0,59.92768210636149
30,14,7,12,0,0,1,53.84388137703531
42,24,7,7,1,1,1,60.00683176735353
13,26,5,18,0,0,1,73.41192665412972
24,20,4,11,0,0,0,60.67935575806602
27,28,7,15,0,1,0,65.43052198262359
28,20,8,16,0,0,1,57.925870168483286
34,20,3,20,0,1,0,56.78291146676198
15,25,5,7,0,0,1,72.28424976866532
36,24,5,13,0,1,1,63.08760757303983
35,24,5,9,1,1,0,62.01032129152874
12,24,5,10,1,1,0,69.69264352438272
21,20,6,15,1,0,1,60.84881314706542
11,22,7,22,0,0,1,67.86106399867221
14,22,7,27,0,1,0,61.740887049285206
31,22,5,11,1,1,0,58.26167107569882
38,23,5,17,1,1,0,56.44406063857233
19,33,2,26,1,1,0,76.62369123034037
25,27,2,19,0,0,1,71.1112498022426
16,31,6,14,0,0,1,78.7986918893576
13,20,7,7,1,0,1,67.8903692708171
19,20,3,13,0,1,0,63.57855378283672
25,31,0,19,1,0,0,72.10192943890208
20,26,7,10,0,0,1,69.66682557771236
29,26,4,9,0,0,0,65.32638427907422
22,19,3,14,0,0,0,60.26437566499931
22,26,3,8,1,0,0,69.00496195440627
28,28,2,15,0,1,0,67.60161437289403
27,21,5,13,0,1,0,59.13962280737229
39,23,6,15,0,1,0,54.627827028813066
24,28,7,23,1,1,1,69.12391814417582
14,23,3,18,1,0,1,72.25874247306612
14,34,7,24,1,0,1,77.42336151162984
36,25,4,19,1,0,0,57.1348707788962
40,20,7,9,1,1,0,51.19166309728374
23,21,6,20,0,1,0,59.3893374776293
29,29,8,14,0,1,1,67.8158368043548
28,23,3,20,0,1,0,60.688338431208656
23,25,4,21,0,0,1,69.49711346779226
14,24,7,17,1,1,0,66.59775982951018
13,28,0,10,1,1,0,76.10287054751828
20,21,4,11,0,0,0,62.56260762839611
30,22,6,13,1,0,0,57.68568772994495
17,20,7,15,1,1,0,61.79740495042903
26,29,9,21,1,1,0,64.14127795076874
43,23,9,21,0,1,1,53.79369843655411
21,12,4,18,1,0,1,53.94106938377941
20,24,1,12,0,0,0,68.27197679326513
16,21,5,12,1,0,0,64.00793052825485
24,26,5,19,1,0,1,68.61612460025614
15,25,8,16,0,1,1,69.31098591473173
31,26,4,24,1,1,0,60.04421117717
10,27,6,20,1,0,1,74.31212097050506
14,22,8,17,0,0,1,68.17062787278876
27,22,7,9,1,0,1,64.58408719343491
16,29,8,13,1,0,1,74.1418394115861
20,26,5,12,0,0,0,68.7325301033073
32,26,4,20,0,0,0,59.80684402775942
21,22,5,15,0,0,0,63.1667285908897
27,22,8,16,1,0,1,59.72829709067589
17,28,6,14,1,1,1,73.69710709866331
18,22,5,15,1,0,0,63.81915741474755
11,27,8,12,0,1,1,75.50354194767921
31,19,5,18,0,1,1,56.40998391572483
22,27,8,18,0,0,1,68.59568052563297
-7,21,7,8,1,1,1,78.75773145407854
22,25,9,13,0,0,1,65.98117531543971
9,23,5,20,1,0,1,70.48711027212333
21,22,7,11,0,0,1,66.14463291056092
33,26,6,12,0,1,1,64.189785512729
34,24,8,12,1,0,0,56.73812889244186
29,19,8,17,0,0,0,52.94760829563844
16,27,3,17,0,0,1,74.28992849818533
24,18,4,22,0,0,1,60.90898176713743
52,18,5,17,1,1,1,47.70509133984593
17,16,8,10,0,1,0,57.68677269694238
26,23,3,20,0,0,0,60.99426545023727
11,20,6,16,0,0,1,66.90119678638804
14,21,4,13,1,1,1,69.67912396453758
27,19,3,18,1,1,1,59.75482720079406
14,21,7,20,1,1,1,68.03653598513421
36,18,8,6,1,0,0,51.40924648058161
38,35,3,9,1,0,0,71.42611615727817
31,20,7,12,1,1,1,58.730749035648536
28,22,10,22,1,0,1,57.778715324453486
29,25,4,20,0,0,0,60.3784446493098
20,8,4,13,1,1,1,52.366973847995496
37,21,0,16,1,0,0,54.80216790219591
37,19,5,20,0,0,1,53.86895983780344
20,26,4,17,1,1,0,67.58119838893091
35,20,2,19,1,0,0,53.86874534483157
30,21,5,18,0,1,0,55.90998988276344
12,26,3,14,0,1,0,73.62081888397407
42,17,9,22,1,1,0,44.20314020253053
7,21,5,13,0,0,1,70.65824997132913
18,23,5,18,0,1,0,65.32889343630268
34,27,4,16,0,1,0,64.03286439570371
11,31,9,13,0,0,1,78.61988265092732
28,21,5,17,0,1,0,56.453118524925536
10,24,10,18,0,1,1,70.54712489133107
9,24,7,17,1,0,1,71.73340026611386
25,30,8,12,1,0,1,71.34698661018399
29,20,5,24,0,1,0,54.12396257630039
34,13,8,19,0,0,1,44.90503862607908
23,20,6,16,1,1,1,61.9701135440781
19,27,4,12,1,1,0,71.84543801461135
27,26,4,14,1,1,0,66.36861933942099
20,17,4,17,0,0,1,58.89957540292492
28,25,6,14,1,1,0,61.753102922652616
36,21,2,22,0,0,0,54.77914804872477
26,28,2,14,1,0,0,69.34320079265667
4,28,7,21,0,0,1,77.45950728284494
23,25,5,14,1,1,1,70.43394845400744
