education_years,age_years,income_usd,health_score,gender,smoking_status,tv_hours_watched,anti_smoking_campaign_exposure,lung_cancer_risk
16,26,8,10,1,1,10,53,149.3192219505853
19,26,14,9,0,1,11,51,148.93549374998665
17,23,12,12,1,1,13,55,155.3956538741965
16,23,11,11,0,1,10,54,151.72034365607806
13,26,13,13,0,1,7,52,143.16367127330213
16,24,9,7,1,0,9,48,142.07280836376702
14,25,15,13,0,0,10,51,141.83908356299025
12,21,9,4,1,1,11,43,131.91425271645588
16,22,8,5,1,0,11,46,139.45650978854658
14,25,15,11,0,1,8,50,144.8956852942843
14,25,9,6,0,0,9,48,140.2787789517529
15,26,6,16,1,0,11,63,160.85462550359549
18,24,11,9,1,1,9,52,152.19870827123245
14,25,12,13,0,1,9,55,151.2301218204965
16,22,12,7,0,0,11,46,137.0300415846865
17,22,13,14,1,1,13,52,144.28813585022868
15,26,13,12,1,0,11,52,148.01923898325788
15,27,9,10,0,0,10,51,141.3960506872598
16,23,12,11,1,1,11,50,140.46402856149075
15,27,12,9,1,0,12,49,142.16327514905657
15,24,10,8,0,0,9,51,148.2093169713962
15,21,11,10,0,0,10,49,140.07503904826564
12,24,16,16,0,0,8,51,141.58459649018283
14,28,10,9,0,1,14,52,145.28018453898898
17,26,12,16,0,0,8,55,148.97905355982004
12,24,15,9,0,0,13,47,139.28199065895163
16,24,12,11,0,0,10,52,147.0856494382431
16,24,14,9,1,0,10,48,144.1507210039102
19,23,14,13,0,0,10,52,145.20476505243954
14,23,10,10,0,0,12,52,146.43977946347917
13,24,10,7,1,1,9,48,137.24630269130867
12,21,13,11,0,1,8,48,135.5435751483539
13,24,14,13,1,0,7,47,136.98064640677026
16,24,10,6,0,1,10,51,149.67028858707766
9,26,12,13,0,0,7,48,133.35765885312347
14,23,12,11,0,0,12,51,141.6442452282182
18,25,11,11,0,0,13,57,157.62537915678146
13,28,8,15,1,0,8,56,148.94574020819817
14,20,16,7,1,0,13,43,131.85917406023083
14,26,9,13,0,0,14,57,151.1777346812301
19,22,12,8,1,1,12,50,148.02139557982616
18,21,13,9,0,1,9,49,144.06448946287924
19,27,6,8,0,0,12,57,154.91660746777163
14,26,17,6,0,1,9,44,137.54205061885017
13,28,11,8,0,0,10,50,142.8290371519316
12,24,16,4,0,1,9,41,131.03893660322092
14,27,13,3,0,0,10,44,140.6404901981337
15,24,12,11,1,0,12,49,141.06566286929623
16,21,14,14,0,0,11,50,141.16134066589328
15,22,9,9,0,0,7,51,142.8905243249613
11,24,12,9,0,0,8,48,138.4615898301074
16,26,11,12,0,0,14,57,155.23677249438964
17,25,11,9,1,1,10,52,150.18243868895087
13,22,11,11,0,0,13,53,149.69228202637407
14,27,8,10,0,0,11,56,152.22565244727895
13,26,12,9,0,0,9,48,141.22418256366066
14,22,15,5,1,1,12,43,136.38095278645383
16,27,11,3,0,0,9,47,144.20628820720677
19,30,14,13,1,0,10,52,147.6960026187704
17,26,9,10,0,0,9,53,150.2478628458637
11,25,10,9,1,1,8,49,140.38724666658712
16,31,11,7,0,0,10,50,147.97555487520913
17,28,11,11,0,1,13,54,149.14833460149694
16,24,12,6,1,1,12,47,141.39413206831935
17,23,12,13,1,1,10,53,149.3333787057762
19,21,16,10,1,0,9,49,146.4889706949184
18,25,16,9,1,0,15,51,150.77823294112108
13,26,11,14,0,1,13,55,145.9923801012379
14,22,12,8,0,0,13,48,139.18050479240665
14,23,9,9,0,0,14,55,151.06521384775488
14,30,9,5,1,0,9,48,143.97490301543473
17,20,13,13,1,1,12,52,146.92330017801652
10,25,10,16,1,0,10,54,144.04033949872738
13,25,8,2,0,0,9,45,135.96111279836816
17,25,15,9,1,0,13,49,144.9239294639813
16,24,13,5,1,1,13,49,148.51802352475002
15,25,15,4,0,1,11,47,143.7197514923873
14,27,17,9,1,0,11,49,145.4082352117889
15,23,10,6,1,0,7,44,133.44129762762333
19,26,13,9,1,0,10,51,149.9055764466837
12,27,14,7,0,1,14,50,145.1531728434462
15,22,18,14,0,1,12,52,149.27882409863952
15,25,15,5,0,0,10,44,136.72188467276695
18,25,14,11,0,1,9,52,148.33956802698222
15,27,10,17,0,1,9,61,160.11545600851983
13,22,7,8,1,0,8,50,141.73264348416353
16,25,11,9,0,0,11,52,149.29315844797463
17,26,13,5,1,1,13,46,139.58342167886903
15,28,11,13,1,1,12,55,153.58797038782305
14,26,15,9,1,0,9,46,138.6273943233123
15,23,16,6,0,0,12,44,137.16145766496834
17,26,9,14,0,1,12,59,154.99655508200803
14,29,13,11,1,1,11,51,145.77881755944057
11,22,15,13,1,0,8,48,136.91379958940706
17,22,9,10,0,1,11,54,147.31559516565844
15,28,13,10,0,0,13,50,141.2350145225722
14,26,14,9,1,0,13,51,149.80115980302423
16,25,14,9,1,1,11,48,142.07498051872656
15,26,10,12,0,0,12,53,145.13143848764787
15,24,10,13,1,1,10,55,148.2332531616591
17,25,16,8,0,0,11,47,141.87006394124373
17,25,17,10,0,0,11,48,143.49270464128088
15,23,9,14,0,0,10,56,151.18606697239488
14,26,15,11,1,1,12,50,145.02218289542816
17,22,12,7,1,0,12,45,135.64411553966244
19,25,13,16,0,0,10,58,155.83671103285843
13,27,8,3,0,0,11,45,135.8515933323268
17,27,13,12,1,1,13,54,152.2437873582262
13,26,11,10,0,0,10,51,145.8874195415974
16,24,15,15,0,0,11,53,147.74818288552098
13,24,12,11,1,0,11,49,137.16499395757825
17,24,12,8,1,0,15,49,144.08403327631171
15,25,14,14,0,0,9,47,133.53690623268437
15,27,9,10,1,1,11,55,152.6219001114595
14,26,13,10,1,0,10,47,137.44435541340812
14,31,8,8,0,0,10,54,151.25350609519018
13,23,10,11,1,1,9,51,144.2133776532032
15,27,14,5,1,0,10,45,138.64229495818182
13,18,12,7,0,0,10,44,132.20076829538988
14,30,10,9,1,0,10,50,141.5711056545131
16,27,14,9,0,0,11,49,142.44290822373114
20,20,14,10,0,0,9,51,150.79620256312
20,26,12,9,0,0,10,55,157.8694457040511
16,25,14,11,0,0,12,51,146.03169595455532
16,25,9,10,0,0,13,53,147.6935479173583
14,22,13,1,0,0,12,39,127.49644924011535
14,22,11,10,0,1,11,52,147.1465773676487
15,24,13,12,1,1,12,53,148.22533192619522
10,23,10,8,0,0,11,46,133.13555717861666
16,21,12,10,1,0,11,49,141.59177673757284
13,28,11,7,0,1,10,49,141.97444594092707
14,23,12,15,1,0,11,50,138.02073494565852
14,22,13,11,0,1,10,48,136.36873951204913
16,29,12,9,0,1,11,54,151.29459818026464
16,26,10,11,0,0,10,52,147.82056909778746
12,27,12,7,0,0,8,44,131.91779761403924
17,28,9,8,0,1,8,54,152.36968331063073
13,23,11,9,0,0,8,48,136.39361382810392
17,23,7,8,0,0,11,54,153.16626499978412
16,22,10,6,0,0,9,49,144.81263898110063
13,27,14,11,1,0,11,48,137.0482132166795
18,23,10,9,0,1,7,51,144.47622346765706
12,23,12,13,0,1,10,54,149.3260780198673
17,24,13,13,1,0,12,53,147.87767904972156
15,27,15,15,0,1,10,55,150.68899050052093
13,24,11,10,1,0,8,47,137.05369837446634
17,20,17,6,0,0,12,42,131.77360825282562
13,28,14,11,0,1,13,51,144.00076851405984
14,20,14,3,1,0,12,43,135.80822345331242
11,24,15,12,0,0,15,50,137.65097016403308
12,24,13,13,0,0,9,53,148.68473352883092
15,26,11,10,0,0,11,55,152.68166763692716
16,27,12,7,0,1,10,49,144.82140160132107
12,30,10,8,1,0,11,48,138.33404435641003
13,23,10,8,1,1,11,47,137.35428420237443
12,22,14,12,1,0,12,49,139.430545761049
16,21,12,10,1,0,11,48,142.74021490250647
15,22,13,12,1,1,10,51,145.44141998308285
17,21,7,8,1,1,11,51,146.56764460094334
12,24,12,9,0,1,9,48,139.17901619593255
16,26,10,6,1,0,10,48,146.06245289999438
15,24,13,6,0,1,10,45,136.55021119440408
16,27,12,8,0,0,10,50,142.71041640641764
14,28,11,10,0,0,7,51,147.2475124150969
16,21,10,3,0,1,11,48,145.46553024599663
17,23,15,11,0,0,11,50,146.16210614408877
19,29,12,11,0,0,10,55,154.6620848397009
15,20,13,13,0,0,12,50,138.98053640273076
13,28,11,7,0,0,9,48,141.73489784526527
16,26,11,12,0,1,10,54,147.40616763587602
14,19,11,6,1,1,11,46,140.55431863073662
18,26,13,11,0,0,12,53,148.8484067185906
16,23,10,8,0,1,12,51,144.29899683334634
12,21,10,8,0,1,9,47,136.0596872764002
17,31,11,12,0,0,11,56,151.72155250676408
14,24,12,9,0,1,11,51,143.70905177042454
17,25,14,10,1,0,9,46,136.63303053322795
16,26,11,12,0,0,13,55,151.92416716085447
15,26,9,12,1,0,12,56,153.58313175166336
17,24,15,11,1,1,10,51,149.03052013650455
13,29,14,5,0,1,11,45,135.28644177383578
16,24,7,14,0,1,9,56,148.30853549283518
20,26,10,12,0,0,11,58,157.73644211633717
20,26,12,8,1,1,10,50,149.22687930382128
15,27,14,5,0,0,9,44,138.33563255880853
12,25,5,5,0,0,11,50,142.19248859726497
20,22,10,12,0,0,14,57,154.39517682186695
14,26,12,7,1,0,10,48,143.9303736919701
15,22,11,14,1,0,9,54,149.90850125663917
14,25,11,10,0,1,11,50,144.5158669227473
16,18,15,11,1,0,9,48,141.88296094679134
14,25,14,9,1,0,15,48,139.89797326670154
16,22,14,11,1,0,12,49,141.40185273865785
14,27,13,8,0,1,10,51,149.0603705679012
15,22,7,9,0,0,8,52,147.4890919004299
14,26,9,6,0,0,10,50,148.27136373602866
12,23,9,12,1,0,9,51,140.80165527363843
16,26,12,10,1,0,12,48,136.86682732043104
13,27,16,9,1,1,12,47,139.85811730254585
12,25,7,7,0,0,10,50,141.13611247734391
14,23,9,5,0,1,11,49,141.03801825451526
12,27,10,11,1,0,13,53,147.09830934632424
18,24,14,12,1,0,11,52,152.38662927411625
13,25,9,6,1,0,11,48,140.23742216234265
14,29,8,9,1,1,10,52,144.74620723965953
14,27,11,10,1,0,10,48,138.07960079513427
14,27,12,8,0,0,7,49,143.43752686787963
11,27,14,13,0,0,10,50,138.89177111876205
16,29,16,9,0,1,12,52,154.0549029501096
15,26,11,12,0,0,11,54,147.60809350050295
17,24,11,9,1,1,8,50,145.54045139544974
11,22,9,10,0,1,13,52,143.36484763424633
11,22,12,8,0,0,7,46,134.84252950484043
13,22,13,6,0,0,9,44,133.6136788009507
16,30,12,10,0,0,13,53,149.44884647525728
16,26,14,8,1,0,10,51,151.50460846510458
18,23,8,6,0,1,12,54,154.681532713258
11,26,13,13,0,0,14,53,141.468235558675
18,29,12,9,1,1,11,51,145.48685269320256
16,25,9,8,1,0,15,51,144.9185214497926
17,19,15,4,0,1,11,44,139.24749717192438
15,29,7,7,1,0,11,54,155.64275139082454
14,25,16,12,1,0,8,48,143.9497316720793
13,24,15,7,1,0,10,45,138.38815201451018
16,25,14,12,1,0,9,52,148.1603783433668
13,23,9,9,0,1,6,50,143.15483820567593
11,29,11,13,0,0,10,52,142.64854481862136
16,26,10,9,0,1,9,52,147.56582674931175
19,22,13,11,0,0,11,49,142.76314121235842
17,20,8,13,0,0,15,59,153.60551891881423
16,24,9,9,1,1,8,53,152.91418346085953
15,22,9,9,0,1,11,49,139.00288750969153
14,20,11,6,0,1,9,45,137.59158200322932
13,22,19,12,0,0,10,44,129.99221347027023
16,23,13,9,1,0,12,48,141.6797336858487
18,25,14,9,1,1,12,49,145.11515438743615
13,26,11,9,0,1,13,51,143.6590967310546
16,26,12,10,1,0,9,51,145.95393478121764
19,22,13,11,0,0,13,54,154.32688806264332
14,27,13,6,1,0,9,47,143.09185986136166
16,22,11,3,1,0,13,45,139.46622959638117
12,26,5,6,1,0,11,49,136.42590465892647
15,26,13,11,1,0,13,53,151.8600899149899
13,26,11,8,0,0,7,46,134.83422779526194
11,30,15,6,0,1,4,43,131.94605956316047
15,23,15,12,1,0,11,48,138.71832970601122
17,22,11,11,0,0,8,49,139.82129990688767
15,24,11,13,0,1,9,54,149.5063562851526
11,23,9,14,1,0,10,53,145.3834809812765
19,26,15,5,0,0,12,46,146.2462227648295
11,22,15,13,1,1,13,49,138.47900558684574
12,26,15,3,1,0,9,39,125.97538231713166
16,28,12,6,1,1,9,48,142.68196767140657
11,24,14,12,1,0,11,49,141.8249745408177
13,21,15,10,0,0,6,45,134.37940361464973
11,26,11,14,0,1,11,53,142.21937826638126
15,32,13,10,0,0,13,52,144.75099497505656
16,25,13,15,0,1,11,54,145.85390441948684
19,25,9,5,1,1,12,51,148.01479966716622
18,24,11,10,0,1,13,53,148.55986219332445
15,23,9,9,0,1,12,55,151.08719736337608
20,28,11,6,1,0,14,53,156.42653025412943
14,24,13,15,0,0,8,54,150.0015544877074
17,22,11,8,1,1,8,46,138.8807440822338
15,22,9,9,1,0,10,48,140.42538124905167
16,27,16,7,0,1,12,50,148.33958558666689
12,20,10,12,1,1,7,47,133.17823044110588
18,28,13,7,1,1,12,47,143.16193693989769
16,23,10,16,1,0,13,59,158.4992371535099
14,20,19,10,0,1,12,44,134.18016823243042
15,26,14,11,1,0,9,49,143.2571698862332
12,28,9,14,0,0,11,53,139.0985167851561
13,23,12,14,0,1,9,54,148.8790052104495
11,23,7,10,0,1,13,52,138.32713062727188
12,19,9,6,0,1,13,49,139.26454273587427
13,25,10,10,0,1,9,51,142.3760085712858
17,31,16,11,0,0,11,52,150.5061220352978
13,24,10,5,0,1,11,46,139.25430502371523
12,25,11,10,0,1,11,50,141.4151178361734
13,25,7,5,0,0,13,52,146.3507659547748
10,21,13,9,0,1,13,49,140.3525401664189
13,22,12,12,1,1,14,50,138.1431642450678
18,28,10,8,1,0,10,53,151.5936279908511
16,28,9,8,1,1,14,55,154.0347194423233
17,29,10,8,1,1,10,52,151.80626979414808
16,20,12,7,0,0,13,50,147.18328591317064
14,27,9,9,0,0,10,52,146.05763359782603
14,24,11,8,1,0,9,47,139.56292034341217
15,25,9,17,0,1,10,60,156.1855142548773
10,21,7,12,1,0,9,49,135.07571890231472
16,26,10,12,0,1,11,53,147.45161954089104
13,21,9,10,1,0,8,47,133.60556211781312
16,21,11,14,1,0,10,51,140.63498866417592
16,25,12,6,0,0,11,49,147.6640519786668
18,27,11,11,0,1,12,55,153.83496349040016
16,23,16,5,0,0,10,46,142.87464694476057
15,27,12,12,0,0,8,53,148.73212110768108
17,28,11,9,1,1,8,50,146.23220981689568
15,21,11,12,1,0,7,47,133.4661110361376
15,26,6,11,0,0,10,57,151.93211824068985
13,22,8,11,0,0,9,51,142.7363240513284
13,26,11,14,0,0,11,54,144.8583158985776
15,22,12,3,0,0,9,44,138.58126034501825
14,24,11,13,0,1,10,53,145.08001325356844
15,23,10,9,0,0,11,53,148.32654420822962
15,23,10,10,0,1,12,51,141.758343631749
16,28,12,10,0,0,9,53,149.48291506137792
17,21,10,11,1,0,12,51,144.85977171554345
16,25,10,10,0,0,10,52,144.76407117541663
11,32,12,10,1,1,13,52,146.55164604543816
12,23,15,11,0,0,11,47,137.3705200879492
13,22,10,14,0,1,9,54,148.20521420795043
14,22,15,12,1,0,5,46,136.39486794095356
14,20,12,10,0,1,12,49,142.2191466098383
17,23,9,10,0,1,13,55,150.81586569526388
15,21,10,10,0,0,11,50,138.50341032972824
15,23,10,5,1,1,8,49,146.00209577934848
13,24,9,8,0,1,10,49,139.21774675597837
16,26,14,6,0,1,10,48,147.28168303552252
13,19,10,8,1,1,10,49,141.653406185626
12,26,10,8,0,0,9,52,148.02667408424202
12,24,12,7,1,1,9,47,139.4779974922019
16,24,15,13,0,0,13,56,158.85827191752628
13,20,11,12,1,1,15,49,137.96927120358166
12,23,11,8,1,0,10,46,135.7632674691234
20,23,9,13,0,1,12,58,156.34376396078324
18,26,10,14,0,1,13,56,149.0348298642691
18,20,6,15,0,1,7,58,153.19389367626806
17,27,12,11,1,0,11,50,143.6293210353021
13,28,11,16,0,0,7,53,142.6469542061195
13,23,11,14,1,0,6,52,145.73296721700257
12,28,9,10,1,1,11,51,141.0918717222731
17,24,10,7,1,0,10,49,144.90665373504552
15,22,13,10,0,1,12,52,147.14253932141568
10,24,5,9,0,0,11,52,142.1888199312351
14,25,12,9,1,0,8,45,132.87714034528457
18,28,9,7,0,1,10,54,154.44113082666846
19,25,11,2,1,0,10,43,138.5957158306527
14,27,12,7,1,0,9,47,140.539593134959
15,20,10,9,0,0,7,49,140.77318229286996
16,22,12,9,0,1,11,48,138.91471104069262
18,24,15,9,0,1,11,47,139.91059357755503
13,23,12,10,0,1,11,52,147.11581299547248
12,23,12,13,0,1,11,54,147.8950475189478
12,23,17,13,0,1,7,45,132.64986708125724
12,23,10,7,1,0,11,47,138.00718277719514
12,20,11,9,0,1,3,43,128.32726402751237
13,27,9,9,1,0,9,48,138.7074025497765
17,30,11,1,1,1,9,47,146.50583766912462
15,27,10,9,0,0,10,51,145.2932544777015
17,25,11,12,1,0,11,52,144.715379654321
13,32,10,14,0,0,11,58,154.38899193953418
13,25,14,14,1,1,10,51,143.44041725139618
18,22,16,7,1,0,12,45,138.2739398847624
16,22,16,11,1,0,6,44,134.6948059187181
14,30,13,13,0,0,11,54,149.23571031818116
14,22,11,7,1,0,12,50,148.5803907481132
17,24,13,8,1,1,9,50,148.22504932220042
14,24,12,12,0,0,11,51,142.01110778854888
15,24,13,6,0,1,11,50,149.00699647840702
13,26,14,10,0,1,14,51,144.4244652871159
12,20,14,7,0,1,12,48,143.5172052522668
14,27,10,4,1,1,13,47,140.64544067068965
16,26,11,11,1,1,12,55,152.57269419072767
13,24,11,5,1,1,9,46,140.53320494526352
11,26,10,6,1,1,11,45,136.18616685222406
13,23,11,8,0,0,12,49,143.03197145138404
14,22,10,11,0,1,12,50,138.9053004947744
17,24,11,8,0,0,9,50,145.1803754065981
12,25,11,7,0,0,9,49,143.90009924319273
12,24,16,13,1,0,13,49,143.92066696866786
15,23,12,8,0,1,9,47,136.19158978591463
16,21,12,11,1,0,12,50,144.53018653559673
13,23,14,8,0,1,9,45,134.79775031373669
15,21,12,6,0,1,10,47,138.7193575381913
16,24,14,14,0,0,12,55,151.7917034676767
16,25,10,15,1,0,13,55,147.37140531688885
13,21,10,6,0,1,11,48,139.23479361917424
16,21,10,10,0,1,10,53,148.77524461896462
17,22,7,11,0,1,9,55,150.9089598093246
16,27,14,11,0,0,10,53,150.3809924788211
15,21,9,9,1,0,10,50,139.9938400607741
