st,year,div_rate,stpop,lfdivlaw,unilateral,years_unilateral,years_unilateral_long,reform,evdiv50,married,married_annual,neighper,time,timesq,divx1,divx2,divx3,divx4,divx5,divx6,divx7,divx8,divx9,divx10,divx11,divx12,divx13,divx14,divx15,divx16,divx17
AK,1981,8.300000191,418491,1935,1,15,25,1,0.226420343,NA,0.656689411,0,13,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1982,7.800000191,449606,1935,1,15,25,1,0.226420343,NA,0.654176366,0,14,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1983,8.100000381,488417,1935,1,15,25,1,0.226420343,NA,0.651663321,0,15,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1984,7.699999809,513702,1935,1,15,25,1,0.226420343,NA,0.649150276,0,16,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1985,7.699999809,532495,1935,1,15,25,1,0.226420343,NA,0.646637231,0,17,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1986,7,544268,1935,1,15,25,1,0.226420343,NA,0.644124186,0,18,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1987,6.5,539309,1935,1,15,25,1,0.226420343,NA,0.641611141,0,19,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1988,6.400000095,541983,1935,1,15,25,1,0.226420343,NA,0.639098096,0,20,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1989,6.300000191,547159,1935,1,15,25,1,0.226420343,NA,0.636585051,0,21,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1990,5.699999809,553120,1935,1,15,25,1,0.226420343,0.634072006,0.634072006,0,22,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1991,5.972529888,569273,1935,1,15,25,1,0.226420343,NA,0.630880839,0,23,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1992,6.302453041,587073,1935,1,15,25,1,0.226420343,NA,0.627689672,0,24,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1993,5.618156433,596993,1935,1,15,25,1,0.226420343,NA,0.624498504,0,25,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1994,5.316137791,600624,1935,1,15,25,1,0.226420343,NA,0.621307337,0,26,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1995,4.988816738,601345,1935,1,15,25,1,0.226420343,NA,0.61811617,0,27,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1996,4.628726482,604918,1935,1,15,25,1,0.226420343,NA,0.614925003,0,28,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1997,4.838662148,608846,1935,1,15,25,1,0.226420343,NA,0.611733836,0,29,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1998,5.221024036,615205,1935,1,15,25,1,0.226420343,NA,0.608542669,0,30,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL,1956,3.299999952,3071000,1971,0,-99,-99,1,0.069389664,NA,0.75239228,0,-12,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1957,3.400000095,3109000,1971,0,-99,-99,1,0.069389664,NA,0.753332204,0,-11,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1958,3.900000095,3163000,1971,0,-99,-99,1,0.069389664,NA,0.754272127,0,-10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1959,4.699999809,3204000,1971,0,-99,-99,1,0.069389664,NA,0.755212051,0,-9,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1960,5.300000191,3274000,1971,0,-99,-99,1,0.069389664,0.756151974,0.756151974,0,-8,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1961,5.300000191,3316000,1971,0,-99,-99,1,0.069389664,NA,0.752551568,0,-7,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1962,3.700000048,3323000,1971,0,-99,-99,1,0.069389664,NA,0.748951161,0,-6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1963,3.700000048,3358000,1971,0,-99,-99,1,0.069389664,NA,0.745350754,0,-5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1964,3.200000048,3395000,1971,0,-99,-99,1,0.069389664,NA,0.741750348,0,-4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1965,3.200000048,3443000,1971,0,-99,-99,1,0.069389664,NA,0.738149941,0,-3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1966,3.200000048,3464000,1971,0,-99,-99,1,0.069389664,NA,0.734549534,0,-2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1967,3.400000095,3458000,1971,0,-99,-99,1,0.069389664,NA,0.730949128,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1968,3.599999905,3446000,1971,0,-99,-99,1,0.069389664,NA,0.727348721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1969,4,3440000,1971,0,-99,-99,1,0.069389664,NA,0.723748314,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1970,4.400000095,3444354,1971,0,-99,-99,1,0.069389664,0.720147908,0.720147908,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1971,4.800000191,3497076,1971,1,1,1,1,0.069389664,NA,0.714934945,0.25,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1972,5.400000095,3539400,1971,1,1,1,1,0.069389664,NA,0.709721982,0.25,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1973,5.699999809,3579780,1971,1,3,3,1,0.069389664,NA,0.70450902,0.5,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1974,5.800000191,3626499,1971,1,3,3,1,0.069389664,NA,0.699296057,0.5,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1975,6.199999809,3678814,1971,1,5,5,1,0.069389664,NA,0.694083095,0.5,7,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1976,6.400000095,3735139,1971,1,5,5,1,0.069389664,NA,0.688870132,0.5,8,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1977,6.300000191,3780403,1971,1,7,7,1,0.069389664,NA,0.683657169,0.5,9,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1978,6.5,3831836,1971,1,7,7,1,0.069389664,NA,0.678444207,0.5,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1979,6.900000095,3866248,1971,1,9,9,1,0.069389664,NA,0.673231244,0.5,11,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1980,6.900000095,3893888,1971,1,9,9,1,0.069389664,0.668018281,0.668018281,0.5,12,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1981,6.800000191,3918531,1971,1,11,11,1,0.069389664,NA,0.664052778,0.5,13,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1982,6.300000191,3925266,1971,1,11,11,1,0.069389664,NA,0.660087276,0.5,14,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1983,6.400000095,3934102,1971,1,13,13,1,0.069389664,NA,0.656121773,0.5,15,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1984,6.400000095,3951820,1971,1,13,13,1,0.069389664,NA,0.65215627,0.5,16,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1985,6.199999809,3972523,1971,1,15,15,1,0.069389664,NA,0.648190767,0.5,17,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1986,6.300000191,3991569,1971,1,15,15,1,0.069389664,NA,0.644225264,0.5,18,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1987,6,4015264,1971,1,15,17,1,0.069389664,NA,0.640259761,0.5,19,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1988,5.800000191,4023844,1971,1,15,17,1,0.069389664,NA,0.636294258,0.5,20,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1989,6.199999809,4030222,1971,1,15,19,1,0.069389664,NA,0.632328755,0.5,21,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1990,6.300000191,4048508,1971,1,15,19,1,0.069389664,0.628363252,0.628363252,0.5,22,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1991,6.624256611,4091025,1971,1,15,21,1,0.069389664,NA,0.626290649,0.5,23,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1992,6.522891045,4139269,1971,1,15,21,1,0.069389664,NA,0.624218047,0.5,24,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1993,6.22830677,4193114,1971,1,15,23,1,0.069389664,NA,0.622145444,0.5,25,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1994,6.389611244,4232965,1971,1,15,23,1,0.069389664,NA,0.620072842,0.5,26,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1995,6.099376202,4262731,1971,1,15,25,1,0.069389664,NA,0.618000239,0.5,27,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1996,6.013421059,4290403,1971,1,15,25,1,0.069389664,NA,0.615927637,0.5,28,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1997,5.195958138,4320281,1971,1,15,25,1,0.069389664,NA,0.613855034,0.5,29,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1998,6.03856039,4351037,1971,1,15,25,1,0.069389664,NA,0.611782432,0.5,30,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AR,1956,2.799999952,1704000,2000,0,-99,-99,0,0.083767712,NA,0.767825651,0.166666672,-12,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1957,3.099999905,1733000,2000,0,-99,-99,0,0.083767712,NA,0.766809976,0.166666672,-11,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1958,2.900000095,1726000,2000,0,-99,-99,0,0.083767712,NA,0.765794301,0.166666672,-10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1959,3.200000048,1756000,2000,0,-99,-99,0,0.083767712,NA,0.764778626,0.166666672,-9,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1960,2.930245161,1789000,2000,0,-99,-99,0,0.083767712,0.763762951,0.763762951,0.166666672,-8,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1961,3.200000048,1806000,2000,0,-99,-99,0,0.083767712,NA,0.760867459,0.166666672,-7,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1962,3.400000095,1853000,2000,0,-99,-99,0,0.083767712,NA,0.757971966,0.166666672,-6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1963,3.400000095,1875000,2000,0,-99,-99,0,0.083767712,NA,0.755076474,0.166666672,-5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1964,3.099999905,1897000,2000,0,-99,-99,0,0.083767712,NA,0.752180982,0.166666672,-4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1965,3.400000095,1894000,2000,0,-99,-99,0,0.083767712,NA,0.749285489,0.166666672,-3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1966,3.799999952,1899000,2000,0,-99,-99,0,0.083767712,NA,0.746389997,0.166666672,-2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1967,4.099999905,1901000,2000,0,-99,-99,0,0.083767712,NA,0.743494505,0.166666672,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1968,4.300000191,1902000,2000,0,-99,-99,0,0.083767712,NA,0.740599012,0.166666672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1969,4.599999905,1913000,2000,0,-99,-99,0,0.083767712,NA,0.73770352,0.166666672,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1970,4.800000191,1923322,2000,0,-99,-99,0,0.083767712,0.734808028,0.734808028,0.166666672,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1971,6.599999905,1972312,2000,0,-99,-99,0,0.083767712,NA,0.730919594,0.166666672,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1972,7.199999809,2018638,2000,0,-99,-99,0,0.083767712,NA,0.727031159,0.166666672,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1973,7.400000095,2059256,2000,0,-99,-99,0,0.083767712,NA,0.723142725,0.166666672,5,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1974,7.5,2101403,2000,0,-99,-99,0,0.083767712,NA,0.719254291,0.333333343,6,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1975,6.199999809,2159526,2000,0,-99,-99,0,0.083767712,NA,0.715365857,0.333333343,7,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1976,6.599999905,2170161,2000,0,-99,-99,0,0.083767712,NA,0.711477423,0.333333343,8,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1977,6.699999809,2209010,2000,0,-99,-99,0,0.083767712,NA,0.707588989,0.333333343,9,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1978,6.699999809,2243127,2000,0,-99,-99,0,0.083767712,NA,0.703700554,0.333333343,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1979,6.800000191,2271333,2000,0,-99,-99,0,0.083767712,NA,0.69981212,0.333333343,11,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1980,6.900000095,2286435,2000,0,-99,-99,0,0.083767712,0.695923686,0.695923686,0.333333343,12,144,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1981,7.199999809,2293201,2000,0,-99,-99,0,0.083767712,NA,0.692352062,0.333333343,13,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1982,6.800000191,2294257,2000,0,-99,-99,0,0.083767712,NA,0.688780439,0.333333343,14,196,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1983,6.699999809,2305761,2000,0,-99,-99,0,0.083767712,NA,0.685208815,0.333333343,15,225,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1984,6.5,2319768,2000,0,-99,-99,0,0.083767712,NA,0.681637192,0.333333343,16,256,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1985,7,2327046,2000,0,-99,-99,0,0.083767712,NA,0.678065568,0.333333343,17,289,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1986,7.099999905,2331984,2000,0,-99,-99,0,0.083767712,NA,0.674493945,0.333333343,18,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1987,6.699999809,2342355,2000,0,-99,-99,0,0.083767712,NA,0.670922321,0.333333343,19,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1988,7,2342656,2000,0,-99,-99,0,0.083767712,NA,0.667350698,0.333333343,20,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1989,7.099999905,2346358,2000,0,-99,-99,0,0.083767712,NA,0.663779074,0.333333343,21,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1990,7.099999905,2354343,2000,0,-99,-99,0,0.083767712,0.66020745,0.66020745,0.333333343,22,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1991,7.972443104,2370666,2000,0,-99,-99,0,0.083767712,NA,0.657916802,0.333333343,23,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1992,7.685566902,2394098,2000,0,-99,-99,0,0.083767712,NA,0.655626154,0.333333343,24,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1993,7.202908993,2423743,2000,0,-99,-99,0,0.083767712,NA,0.653335506,0.333333343,25,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1994,6.828517914,2450605,2000,0,-99,-99,0,0.083767712,NA,0.651044858,0.333333343,26,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1995,6.451298237,2480121,2000,0,-99,-99,0,0.083767712,NA,0.648754209,0.333333343,27,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1996,6.068208218,2504858,2000,0,-99,-99,0,0.083767712,NA,0.646463561,0.333333343,28,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1997,5.87240839,2524007,2000,0,-99,-99,0,0.083767712,NA,0.644172913,0.333333343,29,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1998,6.057831287,2538202,2000,0,-99,-99,0,0.083767712,NA,0.641882265,0.333333343,30,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZ,1956,5.5,1053000,1973,0,-99,-99,1,0.097196832,NA,0.753876686,0,-12,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1957,4.800000191,1125000,1973,0,-99,-99,1,0.097196832,NA,0.755010903,0,-11,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1958,5,1193000,1973,0,-99,-99,1,0.097196832,NA,0.75614512,0,-10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1959,5.199999809,1261000,1973,0,-99,-99,1,0.097196832,NA,0.757279336,0,-9,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1960,3.700000048,1321000,1973,0,-99,-99,1,0.097196832,0.758413553,0.758413553,0,-8,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1961,5,1407000,1973,0,-99,-99,1,0.097196832,NA,0.755942822,0,-7,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1962,5.300000191,1471000,1973,0,-99,-99,1,0.097196832,NA,0.75347209,0,-6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1963,5.599999905,1521000,1973,0,-99,-99,1,0.097196832,NA,0.751001358,0,-5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1964,5.699999809,1556000,1973,0,-99,-99,1,0.097196832,NA,0.748530626,0,-4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1965,5.400000095,1584000,1973,0,-99,-99,1,0.097196832,NA,0.746059895,0,-3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1966,5.699999809,1614000,1973,0,-99,-99,1,0.097196832,NA,0.743589163,0,-2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1967,6.199999809,1646000,1973,0,-99,-99,1,0.097196832,NA,0.741118431,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1968,6.400000095,1682000,1973,0,-99,-99,1,0.097196832,NA,0.738647699,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AZ,1969,7,1737000,1973,0,-99,-99,1,0.097196832,NA,0.736176968,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AZ,1970,7.199999809,1775399,1973,0,-99,-99,1,0.097196832,0.733706236,0.733706236,0.200000003,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AZ,1971,7.699999809,1895814,1973,0,-99,-99,1,0.097196832,NA,0.727033854,0.400000006,3,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AZ,1972,6.599999905,2008291,1973,0,-99,-99,1,0.097196832,NA,0.720361471,0.400000006,4,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AZ,1973,6.599999905,2124438,1973,1,1,1,1,0.097196832,NA,0.713689089,0.800000012,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1974,7.599999905,2223196,1973,1,1,1,1,0.097196832,NA,0.707016706,0.800000012,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1975,7.699999809,2284847,1973,1,3,3,1,0.097196832,NA,0.700344324,0.800000012,7,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1976,8.100000381,2346157,1973,1,3,3,1,0.097196832,NA,0.693671942,0.800000012,8,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1977,6.800000191,2425197,1973,1,5,5,1,0.097196832,NA,0.686999559,0.800000012,9,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1978,6.900000095,2515316,1973,1,5,5,1,0.097196832,NA,0.680327177,0.800000012,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1979,7.599999905,2635571,1973,1,7,7,1,0.097196832,NA,0.673654795,0.800000012,11,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1980,7.300000191,2718215,1973,1,7,7,1,0.097196832,0.666982412,0.666982412,0.800000012,12,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1981,7.5,2810107,1973,1,9,9,1,0.097196832,NA,0.662033826,0.800000012,13,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1982,7,2889861,1973,1,9,9,1,0.097196832,NA,0.65708524,0.800000012,14,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1983,6.699999809,2968925,1973,1,11,11,1,0.097196832,NA,0.652136654,0.800000012,15,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1984,6.599999905,3067135,1973,1,11,11,1,0.097196832,NA,0.647188067,0.800000012,16,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1985,6.599999905,3183538,1973,1,13,13,1,0.097196832,NA,0.642239481,0.800000012,17,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1986,7,3308262,1973,1,13,13,1,0.097196832,NA,0.637290895,0.800000012,18,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,1987,7,3437103,1973,1,15,15,1,0.097196832,NA,0.632342309,0.800000012,19,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
