statedisdec,demsharenext,demshareprev,use,demwinprev,difdemshare,difdemshare2,difdemshare3,difdemshare4,demofficeexp,demelectexp,othofficeexp,othelectexp,right,rdifdemshare,rdifdemshare2,rdifdemshare3,rdifdemshare4,difdemsharenext
1015,,0.77244276,,1,0.42805886,0.1832344,0.07843511,0.033574842,4,4,0,0,1,0.42805886,0.1832344,0.07843511,0.033574842,
1016,0.73389024,,,,0.36517063,0.13334958,0.048695352,0.017782113,5,5,2.1111112,2.2777777,1,0.36517063,0.13334958,0.048695352,0.017782113,
1016,0.73545104,0.6712234,1,1,0.4858052,0.2360067,0.11465329,0.055699166,6,6,0,0,1,0.4858052,0.2360067,0.11465329,0.055699166,0.06422764
1016,0.5805223,0.73389024,1,1,0.48599952,0.23619553,0.11479092,0.05578833,7,7,0,0,1,0.48599952,0.23619553,0.11479092,0.05578833,-0.15336794
1016,,0.73545104,,1,0.16648245,0.027716406,0.004614295,0.000768199,0,0,0,0,1,0.16648245,0.027716406,0.004614295,0.000768199,
1021,0.5164724,,,,-0.10583711,0.011201493,-0.001185534,0.000125473,0,0,0.9166667,1,0,0,0,0,0,
1021,0.49177942,0.44708145,1,0,0.0329448,0.00108536,3.575696e-05,1.1780057e-06,0,1,1,1,1,0.0329448,0.00108536,3.575696e-05,1.1780057e-06,0.04469797
1021,,0.5164724,,1,-0.016441196,0.000270313,-4.44E-06,7.306908e-08,1,2,0,0,0,0,0,0,0,
1022,0.49310997,,,,-0.10971013,0.012036312,-0.001320505,0.000144873,0,0,3.0833333,3.4166667,0,0,0,0,0,
1022,0.40950862,0.44514492,1,0,-0.013780028,0.000189889,-2.62E-06,3.6057894e-08,0,0,2,3,0,0,0,0,0,-0.035636306
1022,0.532891,0.49310997,1,0,-0.18098274,0.032754753,-0.005928045,0.001072874,0,0,3,4,0,0,0,0,0,0.039781004
1022,0.49878392,0.40950862,1,0,0.06578198,0.004327269,0.000284656,1.8725257e-05,0,0,4,5,1,0.06578198,0.004327269,0.000284656,1.8725257e-05,0.0892753
1022,,0.532891,,1,-0.002432197,5.9155836e-06,-1.44E-08,3.4994133e-11,0,0,4,6,0,0,0,0,0,
1023,0.6326581,,,,0.016044974,0.000257441,4.1306375e-06,6.627597e-08,0,1,0.45833334,0.75,1,0.016044974,0.000257441,4.1306375e-06,6.627597e-08,
1023,0.5621175,0.5080225,1,1,0.26531625,0.07039271,0.01867633,0.004955134,0,0,0,0,1,0.26531625,0.07039271,0.01867633,0.004955134,0.05409503
1023,0.5405338,0.6326581,1,1,0.13008046,0.016920926,0.002201082,0.000286318,1,2,0,0,1,0.13008046,0.016920926,0.002201082,0.000286318,-0.09212434
1023,0.46743682,0.5621175,1,1,0.08705807,0.007579107,0.000659822,5.7442863e-05,1,1,0,0,1,0.08705807,0.007579107,0.000659822,5.7442863e-05,-0.0946807
1023,,0.5405338,,1,-0.06512639,0.004241447,-0.00027623,1.7989869e-05,0,0,0,0,0,0,0,0,0,
1024,0.590234,,,,-0.31877455,0.10161722,-0.032392982,0.010326059,0,0,0.7083333,0.75,0,0,0,0,0,
1024,0.6506813,0.34061274,1,0,0.19812366,0.039252985,0.007776945,0.001540797,0,0,0,0,1,0.19812366,0.039252985,0.007776945,0.001540797,0.31006858
1024,0.6992224,0.590234,1,1,0.30983108,0.0959953,0.029742328,0.009215098,1,1,0,0,1,0.30983108,0.0959953,0.029742328,0.009215098,0.108988404
1024,0.53374416,0.6506813,1,1,0.39844477,0.15875824,0.06325639,0.025204178,2,2,0,0,1,0.39844477,0.15875824,0.06325639,0.025204178,-0.11693716
1024,,0.6992224,,1,0.06748834,0.004554676,0.000307388,2.0745078e-05,0,0,0,0,1,0.06748834,0.004554676,0.000307388,2.0745078e-05,
1025,0.5437387,,,,0.12271446,0.015058839,0.001847937,0.000226769,1,1,1.25,1.4166666,1,0.12271446,0.015058839,0.001847937,0.000226769,
1025,0.67384547,0.5576834,1,1,0.09196371,0.008457324,0.000777767,7.152632e-05,2,2,0,0,1,0.09196371,0.008457324,0.000777767,7.152632e-05,0.11616206
1025,0.63618165,0.5437387,1,1,0.3476909,0.12088897,0.042031996,0.014614143,3,3,0,0,1,0.3476909,0.12088897,0.042031996,0.014614143,0.09244293
1025,0.59705013,0.67384547,1,1,0.2723633,0.07418177,0.020204391,0.005502935,4,4,0,0,1,0.2723633,0.07418177,0.020204391,0.005502935,-0.07679534
1025,,0.63618165,,1,0.19410026,0.03767491,0.00731271,0.001419399,5,5,0,0,1,0.19410026,0.03767491,0.00731271,0.001419399,
1026,0.4255795,,,,0.01596573,0.000254905,4.069737e-06,6.497632e-08,6,6,2.1111112,2.2777777,1,0.01596573,0.000254905,4.069737e-06,6.497632e-08,
1026,0.51590836,0.50798285,1,1,0.000112861,1.27376945e-08,1.437594e-12,1.6224886e-16,7,7,0,1,1,0.000112861,1.27376945e-08,1.437594e-12,1.6224886e-16,0.00792551
1026,0.61008817,0.4255795,1,1,0.066486865,0.004420503,0.000293905,1.9540848e-05,8,8,0,2,1,0.066486865,0.004420503,0.000293905,1.9540848e-05,0.18450868
1026,,0.51590836,,1,0.25555602,0.06530888,0.016690077,0.00426525,9,9,0,0,1,0.25555602,0.06530888,0.016690077,0.00426525,
1031,0.4968085,,,,-0.17721009,0.03140342,-0.005565003,0.000986175,0,0,0.9166667,1,0,0,0,0,0,
1031,0.51919293,0.41139495,1,0,0.006700665,4.489891e-05,3.0085252e-07,2.0159119e-09,0,0,1,1,1,0.006700665,4.489891e-05,3.0085252e-07,2.0159119e-09,0.10779798
1031,,0.4968085,,1,0.041162103,0.001694319,6.974173e-05,2.8707161e-06,0,0,1,2,1,0.041162103,0.001694319,6.974173e-05,2.8707161e-06,
1032,0.47336233,,,,-0.055173784,0.003044147,-0.000167957,9.266828e-06,1,1,3.0833333,3.4166667,0,0,0,0,0,
1032,0.4000038,0.4724131,1,0,-0.053275347,0.002838263,-0.000151209,8.055735e-06,0,0,1,1,0,0,0,0,0,-0.0724093
1032,0.5622256,0.47336233,1,0,-0.19999242,0.039996967,-0.007999091,0.001599757,0,0,2,2,0,0,0,0,0,0.08886325
1032,0.54910547,0.4000038,1,0,0.12445116,0.015488091,0.001927511,0.000239881,0,1,3,3,1,0.12445116,0.015488091,0.001927511,0.000239881,0.14910167
1032,,0.5622256,,1,0.0982109,0.009645381,0.000947282,9.303338e-05,1,2,3,4,1,0.0982109,0.009645381,0.000947282,9.303338e-05,
1033,0.63896614,,,,0.1204271,0.014502686,0.001746517,0.000210328,2,3,0.45833334,0.75,1,0.1204271,0.014502686,0.001746517,0.000210328,
1033,0.5310924,0.56021357,1,1,0.2779323,0.07724635,0.021469256,0.005967,3,4,0,0,1,0.2779323,0.07724635,0.021469256,0.005967,-0.02912116
1033,0.5399848,0.63896614,1,1,0.116078675,0.013474259,0.001564074,0.000181556,4,5,0,0,1,0.116078675,0.013474259,0.001564074,0.000181556,-0.09898132
1033,0.5456406,0.5310924,1,1,0.11542991,0.013324063,0.001537995,0.000177531,5,6,0,1,1,0.11542991,0.013324063,0.001537995,0.000177531,0.014548183
1033,,0.5399848,,1,0.122300625,0.014957443,0.001829305,0.000223725,6,7,0,0,1,0.122300625,0.014957443,0.001829305,0.000223725,
1034,0.6513992,,,,0.06550348,0.004290706,0.000281056,1.8410155e-05,7,8,0.7083333,0.75,1,0.06550348,0.004290706,0.000281056,1.8410155e-05,
1034,0.54631823,0.53275174,1,1,0.3369878,0.11356077,0.038268596,0.012896049,8,9,0,0,1,0.3369878,0.11356077,0.038268596,0.012896049,0.013566494
1034,0.5813486,0.6513992,1,1,0.11188874,0.01251909,0.001400745,0.000156728,9,10,0,0,1,0.11188874,0.01251909,0.001400745,0.000156728,-0.0700506
1034,0.4646035,0.54631823,1,1,0.18111685,0.032803312,0.005941233,0.001076057,10,11,0,1,1,0.18111685,0.032803312,0.005941233,0.001076057,-0.08171472
1034,,0.5813486,,1,-0.05867073,0.003442254,-0.00020196,1.1849116e-05,0,0,0,0,0,0,0,0,0,
1035,0.52576333,,,,0.009297371,8.6441105e-05,8.0367505e-07,7.472065e-09,0,0,1.25,1.4166666,1,0.009297371,8.6441105e-05,8.0367505e-07,7.472065e-09,
1035,0.6964567,0.49952328,1,1,0.054073513,0.002923945,0.000158108,8.549453e-06,1,1,1,2,1,0.054073513,0.002923945,0.000158108,8.549453e-06,0.19693339
1035,0.6649283,0.52576333,1,1,0.3929133,0.15438087,0.0606583,0.023833454,2,2,0,0,1,0.3929133,0.15438087,0.0606583,0.023833454,0.13916498
1035,0.5210433,0.6964567,1,1,0.32985666,0.10880542,0.03589019,0.01183862,3,3,0,0,1,0.32985666,0.10880542,0.03589019,0.01183862,-0.17541337
1035,,0.6649283,,1,0.04208663,0.001771285,7.4547395e-05,3.1374489e-06,0,0,0,0,1,0.04208663,0.001771285,7.4547395e-05,3.1374489e-06,
1036,0.63449,,,,0.31357467,0.098329075,0.030833507,0.009668607,1,1,2.1111112,2.2777777,1,0.31357467,0.098329075,0.030833507,0.009668607,
1036,0.71349216,0.65678734,1,1,0.26898006,0.07235027,0.01946078,0.005234562,2,2,0,0,1,0.26898006,0.07235027,0.01946078,0.005234562,0.05670482
1036,0.7131965,0.63449,1,1,0.43275195,0.18727425,0.081043296,0.035071645,3,3,0,0,1,0.43275195,0.18727425,0.081043296,0.035071645,0.0787065
1036,,0.71349216,,1,0.43962014,0.19326587,0.08496357,0.037351694,4,4,0,0,1,0.43962014,0.19326587,0.08496357,0.037351694,
1041,0.4338872,,,,-0.21748826,0.047301143,-0.010287443,0.002237398,0,0,0.9166667,1,0,0,0,0,0,
1041,0.420541,0.3538033,1,0,-0.11762807,0.013836362,-0.001627545,0.000191445,0,0,1,1,0,0,0,0,0,0.06673768
1041,,0.4338872,,0,-0.11028755,0.012163343,-0.001341465,0.000147947,0,0,0,0,0,0,0,0,0,
1042,0.41355726,,,,-0.20718631,0.042926166,-0.008893714,0.001842656,0,0,3.0833333,3.4166667,0,0,0,0,0,
1042,0.31127363,0.3934563,1,0,-0.14833525,0.022003345,-0.003263872,0.000484147,0,0,2,2,0,0,0,0,0,-0.082182676
1042,0.5090555,0.41355726,1,0,-0.37233794,0.13863555,-0.051619273,0.019219812,0,0,3,3,0,0,0,0,0,0.095498234
1042,0.47956795,0.31127363,1,0,0.01811102,0.000328009,5.940579e-06,1.0758994e-07,0,0,4,4,1,0.01811102,0.000328009,5.940579e-06,1.0758994e-07,0.16829431
1042,,0.5090555,,1,-0.033361137,0.001112965,-3.71E-05,1.2386921e-06,1,1,0,0,0,0,0,0,0,
1043,0.51810634,,,,-0.04013619,0.001610914,-6.47E-05,2.5950426e-06,0,0,0.45833334,0.75,0,0,0,0,0,
1043,0.50957704,0.47993192,1,0,0.036212653,0.001311356,4.7487687e-05,1.7196552e-06,1,2,2,2,1,0.036212653,0.001311356,4.7487687e-05,1.7196552e-06,0.029645115
1043,0.4732815,0.51810634,1,1,0.019154072,0.000366878,7.0272167e-06,1.3459982e-07,2,3,2,3,1,0.019154072,0.000366878,7.0272167e-06,1.3459982e-07,-0.04482484
1043,0.4262733,0.50957704,1,1,-0.04079181,0.001663972,-6.79E-05,2.768802e-06,3,4,0,0,0,0,0,0,0,-0.08330375
1043,,0.4732815,,0,-0.13971865,0.019521302,-0.00272749,0.000381081,0,0,0,0,0,0,0,0,0,
1044,0.45190406,,,,-0.2616923,0.06848285,-0.017921435,0.004689901,0,0,0.7083333,0.75,0,0,0,0,0,
1044,0.37057862,0.36915386,1,0,-0.080035865,0.00640574,-0.000512689,4.10335e-05,0,0,2,2,0,0,0,0,0,0.00142476
1044,0.41636324,0.45190406,1,0,-0.23953667,0.05737782,-0.013744092,0.003292214,0,0,3,3,0,0,0,0,0,-0.03554082
1044,0.374229,0.37057862,1,0,-0.16727352,0.02798043,-0.004680385,0.000782905,0,0,4,4,0,0,0,0,0,0.003650397
1044,,0.41636324,,0,-0.25154197,0.06327336,-0.015915906,0.004003519,0,0,5,5,0,0,0,0,0,
1045,0.2960605,,,,-0.13592768,0.018476333,-0.002511445,0.000341375,0,1,1.25,1.4166666,0,0,0,0,0,
1045,0.46459007,0.42863947,1,0,-0.407879,0.16636528,-0.0678569,0.027677404,0,0,7,7,0,0,0,0,0,0.0359506
1045,0.2706714,0.2960605,1,0,-0.070819855,0.005015452,-0.000355194,2.5154757e-05,0,0,8,8,0,0,0,0,0,-0.025389105
1045,0.23437704,0.46459007,1,0,-0.44710717,0.19990481,-0.08937888,0.039961938,0,0,0,0,0,0,0,0,0,-0.23021303
1045,,0.2706714,,0,-0.53124595,0.28222227,-0.14992943,0.0796494,0,0,1,1,0,0,0,0,0,
1046,0.23773646,,,,-0.4059543,0.1647989,-0.06690082,0.027158676,0,0,2.1111112,2.2777777,0,0,0,0,0,
1046,0.37628898,0.26714206,1,0,-0.50641227,0.2564534,-0.12987114,0.06576834,0,0,3,3,0,0,0,0,0,0.10914692
1046,0.29873765,0.23773646,1,0,-0.22828087,0.05211216,-0.011896209,0.002715677,0,0,4,4,0,0,0,0,0,0.06100118
1046,,0.37628898,,0,-0.39196378,0.1536356,-0.060219593,0.0236039,0,1,5,5,0,0,0,0,0,
1051,0.47402614,,,,-0.12305376,0.015142228,-0.001863308,0.000229287,0,0,0.9166667,1,0,0,0,0,0,
1051,0.45655078,0.40780452,1,0,-0.036621153,0.001341109,-4.91E-05,1.798573e-06,0,0,1,1,0,0,0,0,0,0.048746258
1051,,0.47402614,,0,-0.07371324,0.005433642,-0.000400531,2.9524468e-05,0,0,2,2,0,0,0,0,0,
1052,0.4724962,,,,-0.13409257,0.017980818,-0.002411094,0.00032331,0,0,3.0833333,3.4166667,0,0,0,0,0,
1052,0.38074493,0.43295372,1,0,-0.055007577,0.003025834,-0.000166444,9.1556685e-06,0,0,4,4,0,0,0,0,0,-0.05220878
1052,0.53797877,0.4724962,1,0,-0.23851013,0.056887083,-0.013568145,0.00323614,0,0,5,5,0,0,0,0,0,0.06548256
1052,0.5509939,0.38074493,1,0,0.07595754,0.005769548,0.000438241,3.3287677e-05,0,0,6,6,1,0.07595754,0.005769548,0.000438241,3.3287677e-05,0.17024899
1052,,0.53797877,,1,0.10198784,0.010401519,0.001060829,0.000108192,1,1,6,7,1,0.10198784,0.010401519,0.001060829,0.000108192,
1053,0.67302233,,,,0.17029631,0.029000834,0.004938735,0.000841048,2,2,0.45833334,0.75,1,0.17029631,0.029000834,0.004938735,0.000841048,
1053,0.59062815,0.58514816,1,1,0.3460447,0.11974692,0.04143779,0.014339327,3,3,0,0,1,0.3460447,0.11974692,0.04143779,0.014339327,0.005479991
1053,0.56315076,0.67302233,1,1,0.1812563,0.032853846,0.005954966,0.001079375,4,4,0,0,1,0.1812563,0.032853846,0.005954966,0.001079375,-0.10987157
1053,0.54745096,0.59062815,1,1,0.12630153,0.015952075,0.002014772,0.000254469,5,5,0,0,1,0.12630153,0.015952075,0.002014772,0.000254469,-0.043177187
1053,,0.56315076,,1,0.10465416,0.010952494,0.001146224,0.000119957,6,6,6,8,1,0.10465416,0.010952494,0.001146224,0.000119957,
1054,0.4796738,,,,-0.02366361,0.000559966,-1.33E-05,3.1356242e-07,7,7,0.7083333,0.75,0,0,0,0,0,
1054,0.327493,0.4881682,1,0,-0.02435857,0.00059334,-1.45E-05,3.520523e-07,0,0,1,1,0,0,0,0,0,-0.1606752
1054,0.5231909,0.4796738,1,0,-0.33763027,0.1139942,-0.038487893,0.012994678,0,0,2,2,0,0,0,0,0,0.043517113
1054,0.50365347,0.327493,1,0,0.04638183,0.002151274,9.978004e-05,4.627981e-06,0,1,0,0,1,0.04638183,0.002151274,9.978004e-05,4.627981e-06,0.17616045
1054,,0.5231909,,1,0.007306933,5.3391275e-05,3.901265e-07,2.8506284e-09,1,2,0,0,1,0.007306933,5.3391275e-05,3.901265e-07,2.8506284e-09,
1055,0.45469278,,,,0.17623278,0.031057995,0.005473437,0.000964599,2,3,1.25,1.4166666,1,0.17623278,0.031057995,0.005473437,0.000964599,
1055,0.3910945,0.584647,1,1,-0.08840382,0.007815235,-0.000690897,6.107791e-05,3,4,0,0,0,0,0,0,0,-0.1935525
1055,0.2636131,0.45469278,1,0,-0.21781099,0.047441628,-0.010333308,0.002250708,0,0,1,1,0,0,0,0,0,-0.19107968
1055,0.47247568,0.3910945,1,0,-0.4727738,0.22351506,-0.10567206,0.04995898,0,0,2,2,0,0,0,0,0,0.08138117
1055,,0.2636131,,0,-0.044652373,0.001993834,-8.90E-05,3.9753754e-06,4,4,0,0,0,0,0,0,0,
1056,0.45530096,,,,-0.12526897,0.015692314,-0.00196576,0.000246249,0,0,2.1111112,2.2777777,0,0,0,0,0,
1056,0.5204946,0.31126213,1,0,-0.06672886,0.004452741,-0.000297126,1.98269e-05,0,0,2,2,0,0,0,0,0,0.20923245
1056,0.49882603,0.45530096,1,0,0.06132105,0.003760271,0.000230584,1.41396395e-05,0,1,3,3,1,0.06132105,0.003760271,0.000230584,1.41396395e-05,0.04352507
1056,,0.5204946,,1,0.014908671,0.000222268,3.3137278e-06,4.940328e-08,1,2,0,0,1,0.014908671,0.000222268,3.3137278e-06,4.940328e-08,
1063,0.58746815,,,,0.07939907,0.006304212,0.000500549,3.9743096e-05,1,1.3333334,0.45833334,0.75,1,0.07939907,0.006304212,0.000500549,3.9743096e-05,
1063,0.47679743,0.5392071,1,0.8333333,0.1749363,0.030602707,0.005353524,0.000936526,1,1,0,0,1,0.1749363,0.030602707,0.005353524,0.000936526,-0.06240967
1063,0.37712282,0.58746815,1,1,-0.012190819,0.000148616,-1.81E-06,2.2086734e-08,2,2,0,1,0,0,0,0,0,-0.21034533
1063,0.51069915,0.47679743,1,0,-0.24575436,0.060395207,-0.014842385,0.003647581,0,0,1,2,0,0,0,0,0,0.03390172
1063,,0.37712282,,0,0.021398306,0.000457888,9.798016e-06,2.0966095e-07,0,0,0,0,1,0.021398306,0.000457888,9.798016e-06,2.0966095e-07,
1064,0.63438386,,,,0.20382884,0.041546196,0.008468313,0.001726087,1,1,0.7083333,0.75,1,0.20382884,0.041546196,0.008468313,0.001726087,
1064,0.56619465,0.6019144,1,1,0.27301988,0.074539855,0.020350862,0.00555619,0,0,0,0,1,0.27301988,0.074539855,0.020350862,0.00555619,-0.035719752
1064,0.64197826,0.63438386,1,1,0.13660282,0.01866033,0.002549054,0.000348208,1,1,0,0,1,0.13660282,0.01866033,0.002549054,0.000348208,0.007594407
1064,0.58958066,0.56619465,1,1,0.28395656,0.08063132,0.022895794,0.006501411,2,2,0,0,1,0.28395656,0.08063132,0.022895794,0.006501411,0.023386002
1064,,0.64197826,,1,0.18327269,0.03358888,0.006155924,0.001128213,3,3,0,0,1,0.18327269,0.03358888,0.006155924,0.001128213,
1065,0.36016896,,,,-0.038995296,0.001520633,-5.93E-05,2.312325e-06,0,0,1.25,1.4166666,0,0,0,0,0,
1065,0.35824534,0.47767553,1,0,-0.2796621,0.07821089,-0.021872623,0.006116943,0,0,1,1,0,0,0,0,0,-0.119430184
1065,0.33270577,0.36016896,1,0,-0.28350928,0.08037751,-0.022787772,0.006460545,0,0,2,2,0,0,0,0,0,-0.027463198
1065,0.256297,0.35824534,1,0,-0.33013913,0.10899185,-0.035982475,0.011879223,0,0,3,3,0,0,0,0,0,-0.10194835
1065,,0.33270577,,0,-0.48740602,0.23756462,-0.11579043,0.056436952,0,0,4,4,0,0,0,0,0,
1066,0.3149748,,,,-0.4448887,0.19792597,-0.08805503,0.039174687,0,0,2.1111112,2.2777777,0,0,0,0,0,
1066,0.48926482,0.25197726,1,0,-0.32379082,0.104840495,-0.03394639,0.01099153,0,0,6,6,0,0,0,0,0,0.23728755
1066,0.39592975,0.3149748,1,0,-0.006967992,4.8552905e-05,-3.38E-07,2.3573847e-09,0,1,7,7,0,0,0,0,0,0.08095494
1066,,0.48926482,,0,-0.1855408,0.034425385,-0.006387314,0.001185107,0,2,8,8,0,0,0,0,0,
1981,0.48825553,,,,-0.14725658,0.021684501,-0.003193186,0.000470218,0,0,0.9166667,1,0,0,0,0,0,
1981,0.48553145,0.40877596,1,0,-0.004506737,2.0310677e-05,-9.15E-08,4.1252365e-10,0,0,1,1,0,0,0,0,0,0.076755494
1981,,0.48825553,,0,-0.008455277,7.14917e-05,-6.04E-07,5.111063e-09,0,0,2,2,0,0,0,0,0,
1982,0.48995242,,,,-0.102009416,0.01040592,-0.001061502,0.000108283,0,0,3.0833333,3.4166667,0,0,0,0,0,
1982,0.3854964,0.4475944,1,0,-0.0200952,0.000403817,-8.11E-06,1.630682e-07,0,1,4,4,0,0,0,0,0,-0.062097996
1982,0.56037766,0.48995242,1,0,-0.22900721,0.052444305,-0.012010124,0.002750405,0,0,5,5,0,0,0,0,0,0.07042524
1982,0.53975314,0.3854964,1,0,0.120755315,0.014581846,0.001760835,0.00021263,0,0,6,6,1,0.120755315,0.014581846,0.001760835,0.00021263,0.15425673
1982,,0.56037766,,1,0.07950625,0.006321244,0.000502578,3.995812e-05,1,1,6,7,1,0.07950625,0.006321244,0.000502578,3.995812e-05,
1983,0.6249834,,,,0.054169774,0.002934364,0.000158954,8.610495e-06,0,0,0.45833334,0.75,1,0.054169774,0.002934364,0.000158954,8.610495e-06,
1983,0.54174984,0.5270849,1,1,0.24996674,0.06248337,0.015618765,0.003904172,1.8333334,2.1666667,0.33333334,0.5,1,0.24996674,0.06248337,0.015618765,0.003904172,0.014664948
1983,0.51973766,0.6249834,1,1,0.10040932,0.010082032,0.00101233,0.000101647,2.8333333,3.3333333,0.33333334,0.6666667,1,0.10040932,0.010082032,0.00101233,0.000101647,-0.10524571
1983,0.49746564,0.54174984,1,0.8333333,0.04896765,0.002397831,0.000117416,5.7495913e-06,3.1666667,3.5,0.16666667,0.5,1,0.04896765,0.002397831,0.000117416,5.7495913e-06,-0.044284195
1983,,0.51973766,,0.6666667,0.008321971,6.92552e-05,5.763397e-07,4.796282e-09,2,2.1666667,1,1.3333334,1,0.008321971,6.92552e-05,5.763397e-07,4.796282e-09,
2013,0.49946746,,,,0.14247553,0.020299276,0.00289215,0.000412061,1.125,1.125,0,0,1,0.14247553,0.020299276,0.00289215,0.000412061,
2013,0.5037798,0.5684889,1,0.875,-0.001065105,1.1344491e-06,-1.21E-09,1.2869748e-12,0,0,0,0,0,0,0,0,0,-0.06470907
2013,0.56623095,0.49946746,1,0,0.051541686,0.002656546,0.000136923,7.0572337e-06,0,0,0,0,1,0.051541686,0.002656546,0.000136923,7.0572337e-06,0.06676349
2013,0.5916184,0.5037798,1,1,0.13246194,0.017546164,0.002324199,0.000307868,1,1,0,0,1,0.13246194,0.017546164,0.002324199,0.000307868,0.08783859
2013,,0.56623095,,1,0.18323681,0.03357573,0.006152309,0.00112733,2,2,0,0,1,0.18323681,0.03357573,0.006152309,0.00112733,
2014,0.49819154,,,,0.18725112,0.035062984,0.006565583,0.001229413,3,3,1.25,1.25,1,0.18725112,0.035062984,0.006565583,0.001229413,
2014,0.42623448,0.59362555,1,1,-0.003616929,1.3082175e-05,-4.73E-08,1.7114332e-10,4,4,0,0,0,0,0,0,0,-0.16739106
2014,0.3580324,0.49819154,1,0,-0.14753103,0.021765405,-0.003211073,0.000473733,0,0,1,1,0,0,0,0,0,-0.14015913
2014,0.3151485,0.42623448,1,0,-0.25672698,0.065908745,-0.016920552,0.004343962,0,0,2,2,0,0,0,0,0,-0.11108598
2014,,0.3580324,,0,-0.36970302,0.13668032,-0.05053113,0.018681511,0,0,3,3,0,0,0,0,0,
2015,0.3647939,,,,-0.024060786,0.000578921,-1.39E-05,3.3515e-07,0,0,2.875,2.875,0,0,0,0,0,
2015,0.5315836,0.47945797,1,0,-0.2704122,0.07312276,-0.019773288,0.005346938,0,0,1,1,0,0,0,0,0,0.052125633
2015,0.63217527,0.3647939,1,0,0.09418151,0.008870157,0.000835405,7.867967e-05,0,0,0,0,1,0.09418151,0.008870157,0.000835405,7.867967e-05,0.26738137
