education_years,experience_years,company_size,role_seniority,has_mentor,has_career_plan,in_job_training,company_policy_compliance,training_days,job_satisfaction
13,23,5,11,0,1,1,6,19,76.70323634550203
11,32,8,11,1,1,1,5,7,58.24641113329536
16,28,10,7,1,0,1,5,8,61.64812671832146
12,27,6,10,1,0,1,9,15,68.83233194349006
9,20,3,12,1,1,0,6,22,83.17396365289719
11,25,6,13,1,1,1,11,17,76.0526130469288
11,28,12,9,1,1,0,5,5,59.64195086941194
9,22,5,8,0,0,0,9,19,77.90639853462099
12,27,5,8,1,1,1,8,15,68.87104232951766
9,22,9,12,1,1,0,8,15,77.54920744181082
10,25,9,13,1,0,0,10,15,74.52024306449303
10,24,6,9,1,0,1,5,13,70.13855903795951
10,27,10,13,1,0,1,8,11,71.28848119997392
10,21,11,14,1,1,1,9,15,80.34822317824248
15,16,11,9,1,0,1,4,16,82.91339315562387
8,23,9,14,1,1,0,10,18,83.11315930886269
14,29,10,11,0,0,1,10,12,67.67054110070018
12,17,12,8,1,1,1,9,17,82.80581048222778
9,22,10,12,0,0,0,7,15,78.83611833470192
14,26,10,10,1,1,0,9,12,70.01983901501941
14,28,10,13,1,1,1,6,9,65.60807733775854
8,19,6,13,1,1,1,8,20,84.96440118236139
11,22,6,8,0,0,1,8,15,72.39683374955847
12,30,10,9,1,1,1,8,9,62.8644481617065
10,28,9,10,0,1,0,9,13,69.031889058368
14,26,11,11,0,1,0,10,14,75.49710758554922
9,37,10,6,1,1,1,8,0,44.612519586641255
14,25,7,12,1,1,1,9,16,74.66735458676828
9,28,10,10,1,0,1,9,9,64.56704818636337
15,27,8,9,1,1,1,7,12,66.40023487155679
9,23,12,9,1,0,1,9,12,72.57121654754667
7,26,5,11,1,0,0,8,15,71.08850507696944
12,27,6,11,1,1,0,8,16,71.25401914604831
13,33,7,9,0,1,1,9,10,59.58384479996309
6,20,10,13,1,1,1,12,20,86.04454155120018
12,26,12,7,1,1,0,10,12,67.5380111165532
10,26,7,10,1,1,1,7,13,69.48786671166238
9,32,10,13,1,0,1,3,6,58.82813568412568
8,26,5,10,1,0,1,10,16,71.9395720511178
12,25,6,11,0,1,1,8,17,75.9112971452752
12,29,9,14,1,0,1,8,12,70.76731159521961
13,25,9,9,0,1,1,10,13,70.80880143604311
15,25,12,11,0,1,0,6,12,74.14633650305561
15,20,11,11,1,1,1,6,15,78.07086078855808
11,27,11,9,1,1,1,9,11,69.01233523746744
9,26,12,9,0,0,1,9,11,68.51289905551724
7,23,11,9,1,1,0,8,12,73.40805178385858
10,24,12,10,1,1,1,10,14,76.11988355184249
14,27,11,10,0,0,0,10,13,72.3557051552381
11,23,6,10,0,0,0,9,19,77.76941539260426
12,32,13,12,1,1,0,8,7,63.532051805993056
8,30,16,11,0,1,1,13,7,64.6142816728647
12,24,8,13,0,1,0,8,16,76.81623267857299
13,23,7,11,0,0,1,8,16,74.44670166784564
10,26,13,7,1,0,1,10,9,66.4301723162753
12,28,6,10,1,0,1,7,13,67.23867553043138
8,26,7,10,1,0,1,10,14,70.9895342458664
16,32,8,10,1,1,1,9,9,62.53139906105388
9,26,7,10,1,1,0,9,14,70.9302413614173
12,24,11,12,1,1,1,9,15,78.73311349347313
9,31,10,9,0,0,0,11,9,63.27608659403479
13,25,9,9,0,1,1,8,12,69.9615204718495
9,21,11,12,0,1,0,7,14,77.85808629268757
11,26,11,12,1,0,0,9,12,71.21392826863426
12,24,10,9,1,0,1,11,14,72.47290525493715
14,31,9,10,1,1,1,9,9,62.67980783224584
11,23,9,12,0,1,1,11,17,78.70798508184038
10,21,8,11,1,1,1,8,18,83.0127327830733
15,18,7,7,1,0,1,7,19,80.47982303703965
11,30,7,10,1,0,0,10,10,62.270607962340605
13,23,8,10,1,1,1,8,17,76.05699052022845
11,24,4,9,0,1,0,7,18,72.96144462869285
13,26,10,13,1,1,1,7,11,69.54112873304456
7,22,10,14,1,0,1,10,17,81.1141052887526
16,27,5,11,1,1,1,6,15,67.99844250732629
8,26,10,10,0,1,0,10,13,70.06926284792354
14,34,13,13,1,0,1,8,3,55.61748291793469
8,25,12,9,0,1,1,4,9,66.93610034171398
11,29,12,10,1,0,1,11,10,67.98620843224833
17,24,7,15,1,0,0,10,19,81.80461524475515
8,21,6,9,1,1,1,10,18,79.69238573175886
6,30,7,10,1,0,0,9,13,65.24206794141685
7,22,7,13,0,0,1,7,17,77.66600561701146
9,25,8,10,1,1,1,7,13,71.41510268494929
12,35,7,10,1,1,0,8,7,57.58167001485656
11,24,6,9,1,1,0,7,17,75.28020136524543
12,35,7,13,0,1,1,6,6,54.78378387174071
9,26,14,12,0,1,1,6,9,69.57250658320059
8,29,12,12,1,0,1,9,9,65.35952042780684
14,29,11,11,1,1,0,8,7,61.71552269003588
9,28,10,12,1,1,1,11,13,73.24980759022024
10,28,10,11,1,1,0,11,14,71.23984823419238
12,25,7,11,0,1,0,9,18,76.58531569590008
8,24,3,12,1,1,1,9,20,77.3240421399897
12,25,14,12,1,1,1,11,12,75.17161821832875
12,29,10,6,1,1,0,11,11,65.99227722527439
16,30,7,13,1,1,1,5,11,66.6209299585133
11,27,11,12,0,1,1,7,10,67.82205925373806
12,20,11,9,1,1,1,6,15,76.67460721030793
6,32,9,11,1,1,1,8,7,58.740192389724704
10,22,9,9,0,0,1,12,18,77.60422187692126
16,26,8,9,1,1,1,9,15,71.74702564543686
11,24,8,11,1,1,1,11,15,74.94920568491023
10,28,7,12,1,1,0,8,14,70.66258879685363
9,27,12,9,0,0,0,11,14,72.56918726716135
12,23,4,10,0,0,1,12,21,79.10371266443121
13,22,4,9,1,1,0,10,21,79.34768463793995
9,28,11,14,0,1,1,7,11,69.10482105511082
9,27,8,8,1,1,1,8,13,69.75365268242327
12,30,8,13,1,1,1,8,11,65.49409012712961
10,25,8,6,1,0,1,6,10,65.48647328365854
14,28,8,10,1,1,1,10,13,68.81149947291395
10,29,10,6,1,0,1,10,8,61.58980867660934
11,24,7,10,1,0,1,10,16,76.73251693169831
11,29,6,10,1,1,1,8,12,65.80487029421201
12,24,10,10,1,1,0,7,13,72.5833745687084
13,23,10,9,1,0,1,9,14,72.94331913791292
15,22,4,10,1,1,1,9,20,82.15419221612467
12,28,8,11,0,1,1,9,15,70.26224833908528
16,25,8,10,0,1,0,7,15,76.28939010798624
13,19,10,10,1,1,0,12,19,86.35754398220327
10,23,9,9,1,1,0,9,17,78.09284800286005
10,26,9,10,1,0,1,4,11,67.39003248344308
9,27,6,6,1,1,0,9,14,67.8135256000916
12,25,9,10,0,1,1,8,13,72.39962707634622
9,18,5,13,1,1,0,8,21,85.00311954109256
10,28,10,9,0,0,1,9,13,68.50157200172721
11,24,8,10,0,1,0,9,16,77.01607223667277
12,23,10,12,1,1,1,4,13,73.72439723124205
12,26,9,9,1,1,1,6,11,67.36223627270971
13,27,7,9,1,0,1,9,13,66.68496425486279
9,26,7,12,0,0,0,11,18,77.26925804965208
12,31,11,13,0,1,1,12,11,68.70290294903363
13,30,9,6,1,1,1,5,5,55.40157482434579
7,25,7,10,0,1,1,9,16,74.55391956276104
12,26,13,14,0,0,1,10,10,70.76419338254784
13,29,9,10,1,1,0,13,12,67.95015486043579
12,23,7,12,0,1,0,11,20,81.95309059308441
11,22,8,12,1,1,1,8,17,79.24854821892323
12,25,12,10,0,1,1,5,11,71.77801609303451
14,29,9,13,1,0,1,10,11,68.03508584963599
10,26,7,8,0,1,1,9,13,67.62131227681472
10,25,10,8,1,0,1,10,12,70.21342802168928
13,21,10,11,1,0,0,12,18,82.74378579488369
9,27,10,12,0,1,1,7,12,69.18749865123874
11,26,6,12,0,1,0,13,19,78.15217899970291
10,21,12,14,0,0,1,7,13,79.08552597083788
11,29,10,10,0,1,0,8,10,64.94152469617204
6,29,7,10,1,0,1,11,14,68.1766503327068
14,25,10,8,1,1,1,11,14,71.8531836950168
14,26,8,8,1,1,1,7,11,65.9954702291691
15,18,11,11,0,1,1,7,19,85.58197028279392
7,26,8,11,0,1,1,9,16,72.85071150623637
9,24,9,12,1,0,0,9,15,77.8369212817619
11,22,7,10,0,1,1,10,18,78.55809591958737
13,22,12,8,0,1,1,5,12,72.59173974892789
10,26,9,11,1,1,0,11,14,74.48759267168863
15,25,8,7,1,1,1,6,11,66.2963063194451
9,25,11,9,1,1,1,10,12,69.9225292998735
11,27,5,9,1,1,1,13,16,70.07796652688073
13,21,10,9,1,1,0,10,18,81.05313067594471
15,22,8,9,0,0,0,10,17,76.79039377671093
10,27,12,12,0,1,0,10,14,76.62784476186182
12,21,9,9,0,1,1,8,17,77.73658972798214
11,19,11,10,1,1,1,10,17,81.99517615577321
11,26,6,7,1,1,1,8,12,65.45824515886437
7,29,10,12,0,0,0,11,12,69.05839002161957
10,27,4,12,1,1,1,8,17,72.6865337296403
13,28,13,10,1,0,1,13,11,70.15724247450945
14,28,6,10,0,1,0,9,16,73.35780262638943
11,22,9,11,1,1,1,7,15,78.22238689334397
11,16,10,13,1,1,1,8,20,88.78071075115606
6,21,10,13,1,1,1,10,17,82.4398750058909
16,29,10,13,0,0,1,6,11,66.96867418700594
8,30,10,10,0,1,0,8,11,66.93177692438613
17,29,7,12,1,0,0,11,15,73.79322957047647
12,20,8,8,1,0,1,9,18,79.15674733194572
12,21,10,9,1,0,1,6,15,76.68241876422746
8,26,1,11,1,1,1,10,20,74.28508312225944
13,24,7,14,1,1,0,7,18,80.36205946136658
8,28,9,10,1,1,1,6,9,64.12738577831762
12,23,0,12,0,0,1,12,25,84.61218044347561
13,23,9,14,0,1,1,10,17,80.22042371550359
14,32,6,10,1,1,0,12,12,63.85089238685711
12,21,9,16,1,0,1,11,19,85.7874213889996
11,25,6,10,1,0,1,10,16,75.90856184365386
11,29,14,12,1,1,1,8,6,62.430882553371895
9,25,6,11,0,0,1,9,18,77.4295773785586
8,22,8,8,1,1,1,5,14,72.98650947333755
12,21,7,12,1,1,1,6,16,77.0128909280132
17,19,14,9,0,1,1,6,14,80.65355101291118
18,29,11,11,0,1,1,9,10,65.62747402091749
12,22,13,13,1,0,1,9,15,81.87764464649075
11,24,4,13,0,1,1,9,20,78.91600142560463
8,26,12,11,1,1,1,7,10,69.97227870593447
13,25,10,4,1,0,0,10,15,70.31660660744878
12,27,8,9,0,0,0,9,15,69.95868190220924
7,36,7,11,1,0,0,8,7,54.60047385254191
9,29,9,10,0,1,1,6,12,66.52972749464806
12,32,5,12,1,0,1,8,12,64.21711789856127
13,21,6,10,1,0,1,14,22,83.37559841076597
10,22,8,11,1,1,1,7,14,73.58291094092905
10,27,14,8,1,1,1,7,7,64.14334763596389
11,28,7,10,1,1,1,8,14,71.38681777114417
14,32,5,11,0,0,1,4,10,60.66522074811034
13,29,10,11,1,1,1,9,11,66.32796363606869
15,26,6,10,0,1,0,9,18,74.81276028499416
10,24,7,11,1,1,0,7,17,75.43847306765471
14,32,2,5,1,1,0,12,15,62.78418255952643
9,22,9,11,1,1,1,9,17,77.91504569296234
13,19,7,15,0,0,0,7,21,86.71881128473305
7,33,11,8,1,0,1,6,5,55.75380266134989
16,22,8,12,1,0,1,7,15,75.56991703890965
14,29,10,15,1,0,0,5,11,69.25864252618523
11,25,8,10,1,1,0,9,16,74.26281342001234
14,21,8,14,0,0,1,12,21,84.62038559971882
13,23,8,12,0,1,0,7,17,76.93297882332297
15,25,10,8,0,0,0,9,14,72.50389787455919
11,20,10,13,1,0,0,7,17,81.09503466863944
11,21,8,11,1,1,0,6,18,80.94234937389609
14,22,6,11,1,1,0,8,19,80.90282101554067
7,27,6,9,0,1,1,11,15,68.48294837293945
11,26,6,9,0,0,1,10,16,71.53470562716848
12,26,8,13,1,0,1,9,17,76.80124823407387
9,29,8,9,1,1,1,8,9,62.73069985802256
13,21,9,10,1,1,1,6,13,74.95452453324671
10,21,4,11,0,1,1,7,21,82.76429940374138
15,24,9,11,1,1,1,8,13,71.47770799845519
12,24,7,7,1,0,1,7,14,69.91061364569386
12,24,11,6,0,1,1,10,13,69.9472915865554
16,18,5,10,1,1,0,4,21,85.18734815660672
11,29,4,12,1,1,1,6,14,67.87968506197093
9,27,4,11,1,0,0,6,15,69.99397458529832
11,28,10,12,0,1,0,13,16,74.40793910133924
11,28,10,8,0,1,1,7,9,64.14756286242734
13,25,11,11,1,0,0,7,11,71.7740828511929
10,34,10,13,1,1,0,9,8,62.63295207732469
9,26,4,10,0,1,1,7,17,72.97017637627567
6,24,12,14,0,1,0,7,13,75.8167932280478
15,22,7,8,1,1,1,11,17,74.42197465822974
9,27,10,10,1,1,1,7,11,66.71980406823468
11,25,11,11,1,1,0,10,13,72.9953895510062
9,22,5,10,0,1,1,11,21,78.47596171238672
13,23,7,14,1,1,0,7,17,80.07001242189551
10,25,9,10,0,1,0,7,12,71.53097029327029
9,25,4,11,1,0,1,9,18,73.26298251202826
12,29,9,10,1,0,1,6,8,60.05927374793923
10,20,8,13,0,1,1,11,21,87.68053867081694
14,26,10,8,0,1,1,6,10,64.50943373527322
10,19,7,13,1,1,1,4,16,79.07647236636188
15,20,6,12,1,1,1,9,19,81.86260716514586
14,26,6,14,0,1,1,7,15,74.98579862480099
14,25,12,12,1,0,1,8,13,75.17253202484335
12,25,6,14,1,0,1,9,18,79.18468835740006
11,21,10,13,1,0,1,10,17,82.46956150953454
11,21,3,13,1,1,1,8,22,84.82169070941083
10,23,9,6,1,1,0,6,12,70.14846174830029
10,23,4,11,1,1,1,13,21,79.98943806701611
8,21,10,15,1,1,0,9,18,85.14571429651569
10,30,7,10,0,1,1,9,12,66.19716088058115
7,27,7,11,1,0,0,8,14,69.17508775298828
11,29,8,8,1,1,0,10,12,65.68951297135332
10,25,6,11,1,1,1,4,13,69.26612548246447
9,24,6,12,1,1,1,9,17,74.5608386495741
7,27,11,13,1,1,1,9,12,70.72844267652238
12,24,2,8,1,1,1,7,17,71.55997591278037
