company_size,industry_type,company_age,previous_incentives,previous_emissions,green_tax_incentive,cutoff,current_emissions
16,5,0,1,18.81390310886184,0,20,6.544742935287715
14,4,1,1,16.763984795914975,0,20,3.276829367093688
13,2,0,0,17.93896381234436,0,20,5.433153820510995
15,2,0,1,19.389261345008943,0,20,7.855173319414725
13,3,1,0,17.72638144586561,0,20,3.884955429746579
12,3,1,0,20.55220439084127,1,20,14.610629711351566
15,3,0,0,19.498444769743536,0,20,7.780474363201512
10,6,1,1,19.810947873221316,0,20,7.988452728151044
13,0,1,1,22.364796478567627,1,20,15.881301847730834
14,-1,1,1,19.09893159161512,0,20,7.502280837767552
16,1,1,0,20.80825405807489,1,20,14.29254351747589
16,2,0,0,15.415011647310775,0,20,0.0882126284348219
17,4,0,1,18.891068919735428,0,20,6.017833130102895
15,0,0,0,23.84543398010868,1,20,17.043601808837018
14,4,1,0,19.385932151562045,0,20,7.36426410224556
15,6,0,0,18.284227019323524,0,20,6.102366992787119
17,1,1,0,19.120753107371645,0,20,6.464042923455527
13,1,1,1,23.50512569377448,1,20,17.179234694133367
12,0,0,0,20.0087484968643,1,20,14.500613619544652
10,0,1,1,17.9083406622736,0,20,5.813232963590274
12,-2,1,1,22.06788514330647,1,20,16.501373285701735
14,7,1,0,22.86704189101717,1,20,16.129158750635465
15,7,0,0,20.22175642410584,1,20,13.985830859771394
18,5,1,0,21.93399129327762,1,20,15.002058567647476
12,6,0,1,17.688851466808515,0,20,4.554198921146228
12,-2,0,0,20.96880914770233,1,20,15.677964261174012
13,0,0,1,16.889135538652447,0,20,3.2584983027641985
12,0,1,0,17.115516246282688,0,20,4.698111374597066
16,4,0,0,19.520243518867268,0,20,7.1060944378207935
19,7,0,0,16.934352421107786,0,20,2.637697649487632
15,0,0,1,20.90102581715815,1,20,14.758121232949993
14,3,1,1,18.750981083856903,0,20,6.136248267653727
10,4,0,1,20.547470979254573,1,20,15.381578201377042
10,0,1,1,17.67478952969391,0,20,5.244717491265353
11,-1,0,1,19.085794217932577,0,20,8.482945786641189
13,0,0,1,20.450716939888032,1,20,15.552897810653116
13,0,0,1,17.73617825765984,0,20,4.346993611193734
16,5,0,0,18.547166527151504,0,20,5.171339181301668
15,4,0,1,20.52734172181918,1,20,14.690364379469704
15,1,0,1,21.24571105214967,1,20,14.928266898382992
15,4,0,1,20.50403602084775,1,20,14.45297114435083
14,4,1,0,18.27057290063467,0,20,4.850930220047934
13,-3,1,0,21.577814133716466,1,20,15.589550737240124
15,1,0,0,19.779986475208982,0,20,7.087566943197325
12,2,0,0,17.458844691023963,0,20,3.529659379504026
11,7,0,1,20.20124622335081,1,20,14.48201555424772
14,3,0,0,18.18430050372676,0,20,5.906566113020432
16,6,0,0,17.80379214092889,0,20,4.599631060975066
17,2,1,0,17.286356025567663,0,20,3.914990330470616
17,1,0,0,18.1896183525768,0,20,4.97816965462778
13,-3,1,1,20.30653738988004,1,20,15.49989292027886
14,-1,0,0,21.87872720136938,1,20,16.27218767207026
12,2,1,1,20.866362310102573,1,20,14.938555797683543
12,0,0,0,19.37226154738193,0,20,8.518112115032592
13,4,0,1,20.223269497704564,1,20,14.734889628195068
13,3,0,0,18.257108650232333,0,20,6.0245131133674725
16,0,0,1,19.62239489146572,0,20,7.974495189731522
15,0,0,0,16.842304217736036,0,20,3.892630063279096
15,0,1,0,22.066077197713348,1,20,15.411270293873022
14,2,1,1,20.85716031142406,1,20,15.281398181611856
18,0,1,1,18.561814465232327,0,20,5.545559415389028
13,5,0,1,21.802420109684217,1,20,15.01272230252984
13,0,1,1,19.920350153797912,0,20,8.825438967727768
10,4,0,0,21.380504032334148,1,20,15.440130537644476
15,2,0,0,20.68288896214658,1,20,15.72613521806318
11,4,1,0,19.51819599682148,0,20,8.200375941684145
13,0,1,0,21.645964677111422,1,20,14.872276987596493
13,7,0,0,18.67411642172744,0,20,6.189789236559167
13,3,0,1,20.667687164549957,1,20,15.29359834777696
11,8,1,0,19.18826558080089,0,20,6.850598008106242
13,5,0,0,19.47502748590377,0,20,7.914767050605952
11,3,0,0,17.428621345998756,0,20,4.766084383248659
13,4,0,0,20.085140300400912,1,20,14.807230320496164
14,1,1,1,20.56967285969177,1,20,15.049151525014636
10,1,0,1,18.97851007864065,0,20,7.988267236236315
10,4,0,1,20.907369881579523,1,20,15.240152971673798
16,2,0,0,21.16449588507072,1,20,14.340891182605306
12,0,0,1,22.351177039190546,1,20,16.59083431602312
17,0,1,1,20.314365170601903,1,20,14.784768778293792
11,4,0,1,19.432699605729645,0,20,6.881349549735303
14,6,1,0,21.123681441031287,1,20,15.146877811566636
13,0,0,1,19.051725214262824,0,20,7.130186464835614
16,0,1,1,16.2619150883172,0,20,2.606046326088236
11,0,1,1,15.828890821099746,0,20,2.5902806890457573
13,7,1,1,19.50706289125076,0,20,7.301789190998036
14,6,1,1,20.460593981174203,1,20,14.827049235260828
9,0,1,0,16.128635619463825,0,20,3.863710007810632
15,4,0,1,16.398033116356775,0,20,3.221654246892144
11,1,0,1,21.011580637383258,1,20,15.438697039368032
14,-2,1,1,20.27838211009352,1,20,14.210241123520618
11,5,0,0,20.981136917074583,1,20,15.413618714231552
16,4,0,0,18.75250366831177,0,20,5.888762325031947
14,6,0,1,16.050578296347023,0,20,1.37095699527843
16,0,1,0,18.47508588032672,0,20,5.716989533429992
10,5,1,0,17.365712746071793,0,20,4.588270462774496
14,0,0,1,17.254360556988004,0,20,4.139613557912895
15,3,0,1,16.569293751377593,0,20,2.807882366974239
14,1,1,1,16.99468816209922,0,20,3.60697340654208
11,12,0,1,18.392719964780163,0,20,5.141820098724907
13,4,1,0,20.63606551196256,1,20,15.022264040410056
14,-2,0,1,19.422664448790016,0,20,8.527336483054148
11,5,0,1,21.26847860097891,1,20,15.719135815022227
17,4,1,1,17.905955443835737,0,20,5.249717198087042
16,2,1,0,16.859717674014558,0,20,4.41403281298099
13,4,0,1,22.16626230081092,1,20,15.043558115167563
12,3,1,1,18.076292733091947,0,20,5.798764961001763
14,4,1,1,21.534872505403804,1,20,14.583926292714422
15,0,0,1,19.1655988336584,0,20,7.903485296411295
12,2,0,0,19.337340369682952,0,20,8.243823641888177
12,2,0,0,16.57816257437051,0,20,3.0722726147641044
13,0,1,0,19.803437554058235,0,20,8.732496773607428
9,4,0,1,18.60546587793544,0,20,7.03455428581196
14,3,0,1,22.15923506589949,1,20,17.40395818238254
15,7,1,0,22.799196827755992,1,20,15.697600248972886
12,4,0,1,18.64175915027353,0,20,7.155706549621509
18,5,0,0,24.760015806912254,1,20,17.091263908876932
16,4,1,1,20.224328540297854,1,20,12.872697662558512
14,2,0,0,20.93872264134198,1,20,14.817870221723938
14,0,1,0,18.253764640431044,0,20,5.885906596743646
11,6,0,1,18.55521446008885,0,20,7.101539954882607
15,9,1,0,20.699629704994265,1,20,15.519072544407264
15,1,0,1,21.088844165056567,1,20,14.8249384229258
17,7,0,0,21.18733335575906,1,20,16.105466772965503
10,3,0,0,19.85738950301397,0,20,7.670567709676805
17,2,0,0,19.820000665414863,0,20,6.782069118292691
13,5,1,0,19.75400111500446,0,20,7.175279620186944
18,1,1,0,17.909781564269647,0,20,4.969425584775264
13,0,0,0,19.438718529409144,0,20,7.961586340119073
14,2,0,1,20.255982442625648,1,20,14.27188085617573
11,4,1,0,22.840098170303783,1,20,16.21809950445469
13,3,0,0,21.38059567442772,1,20,15.930164825544187
17,6,0,1,19.961716205913653,0,20,6.556203499812591
12,0,1,0,23.92112507396171,1,20,17.371451041838032
13,5,0,0,20.67693158216954,1,20,14.76127095845065
15,6,0,0,20.924261737797544,1,20,14.102730012732938
14,5,1,0,20.80240540749861,1,20,15.250976503147609
16,3,1,1,19.072287775637,0,20,6.740056374424089
9,4,0,1,17.988833169501312,0,20,5.801513480660299
14,0,1,0,21.937130180178023,1,20,15.905205621576776
15,-1,0,1,17.164067265119524,0,20,4.468209185906214
12,0,1,1,19.139890528246447,0,20,6.649625693918726
10,6,1,0,18.42706435413736,0,20,6.26566235702401
13,5,1,0,19.512301268648475,0,20,6.722273015765475
12,3,0,0,21.280330454812365,1,20,15.073620314374011
8,6,1,1,22.32060168104799,1,20,16.822534919049165
11,1,1,1,22.19941367429613,1,20,16.041461888581274
12,5,0,1,21.476592661581392,1,20,15.219362799230751
13,0,0,1,22.093317565946062,1,20,16.237520319597746
13,2,0,0,21.65289538477402,1,20,15.446984820933542
8,1,1,1,22.79078629493618,1,20,17.10531419779307
17,5,1,1,14.607707438158034,0,20,-0.1314042182337692
14,2,0,0,20.34342873380916,1,20,14.52303193347764
17,6,1,0,18.636852252145072,0,20,5.046202725259783
13,3,0,0,19.471910035205624,0,20,7.458636795141768
14,1,0,1,19.692072461061077,0,20,7.13598764550312
9,4,0,0,19.451453889365403,0,20,8.241704533467688
17,0,1,1,23.192104326598898,1,20,16.69902499296874
16,5,0,0,18.6251245734395,0,20,5.963030988589225
10,5,0,0,20.946942838156836,1,20,15.943975256640536
13,1,1,0,18.47900851578829,0,20,7.004542703223656
14,6,0,0,21.525625081860845,1,20,16.27551088357037
17,6,0,0,22.069992911971777,1,20,16.234983577726233
11,-1,1,0,16.915397980466736,0,20,4.553486620710821
15,4,1,0,16.332323620911968,0,20,2.3666814305959774
16,1,1,1,19.32601565842698,0,20,6.774339370280774
14,3,1,1,20.45194447143277,1,20,14.65160009641098
12,-3,1,1,24.05504180228137,1,20,17.982969420046924
14,3,0,0,22.00714743702824,1,20,15.498418690286194
14,2,0,0,20.73128776376399,1,20,14.502087225621556
15,3,0,0,19.387703231002828,0,20,6.795257910411514
9,1,0,0,22.977893337859317,1,20,16.62193311609976
14,4,0,0,24.37017178533829,1,20,17.561489714673606
11,3,1,1,25.020677384412863,1,20,19.546950897986907
12,0,0,0,19.673461899888213,0,20,8.280168847340054
12,6,0,1,20.964155469301584,1,20,15.376938101941574
19,2,1,0,21.33200499550888,1,20,14.663310569668509
12,6,1,1,19.760927292084844,0,20,8.14165506227424
14,3,1,1,17.065360369818478,0,20,3.4799576322821544
12,8,0,1,19.07404061047348,0,20,6.979723705673014
13,0,0,0,23.52862088843982,1,20,17.17870227801056
12,6,0,0,21.137242411404472,1,20,16.009669006449474
9,4,1,0,21.02505222232496,1,20,15.2828496880931
10,2,1,1,18.9597497667402,0,20,8.019371278165789
12,6,1,1,22.46224867587036,1,20,16.845625877399208
14,3,1,0,18.831821667520053,0,20,6.703293887479413
9,1,1,0,19.55948256788998,0,20,8.335446240845359
11,2,0,1,19.140559370505866,0,20,8.112023994434908
11,5,1,1,19.357150824496426,0,20,7.675746553066696
13,1,0,0,19.443816118678768,0,20,7.4921517311374
10,3,1,1,20.7440131153852,1,20,15.565709998120052
11,4,0,0,19.77628946837619,0,20,7.806326458223554
14,3,0,1,19.864827606168905,0,20,8.166493719776405
15,5,0,1,23.070001888838405,1,20,15.207697588994131
14,0,1,0,19.22719301435396,0,20,6.810117060981791
11,6,0,0,16.33545992398664,0,20,2.428551457133675
12,0,1,1,17.58945566403789,0,20,5.047084036688167
15,2,0,0,20.55188074010205,1,20,13.972887205472029
13,0,1,1,18.430194948126232,0,20,5.934442238645384
10,4,1,1,24.55054242973019,1,20,18.482772609565018
17,8,1,1,19.616910031603748,0,20,6.685140614941462
12,6,0,0,16.6374478612631,0,20,3.3688627280247
12,5,1,1,20.317197666494724,1,20,14.362440676463784
17,3,1,1,19.10030801473032,0,20,6.616554052500448
18,0,1,1,17.40071960090304,0,20,4.182932441261253
15,0,1,0,19.45262834971992,0,20,7.253348668635288
14,4,0,1,18.814415514246097,0,20,5.625457965451902
14,6,1,1,21.47079041889424,1,20,15.330021792553293
11,5,0,0,21.993478099249412,1,20,16.505418009660833
18,0,0,1,20.659848427987704,1,20,13.310044956312998
16,1,0,1,17.260937921529084,0,20,4.171134479557995
12,1,0,0,18.41842575704674,0,20,5.3451845132199365
7,2,1,1,20.273428589566432,1,20,14.6327918221068
13,2,0,0,20.82874835308609,1,20,15.760338526647784
13,4,1,1,23.292833195035936,1,20,15.553408627476696
5,5,0,0,22.328496310472,1,20,15.989545549286577
17,4,1,1,20.701748575179472,1,20,15.236302802131531
11,2,0,0,21.253813384271385,1,20,15.382510385011871
13,1,0,0,19.024314234829568,0,20,7.250962208552962
16,1,1,0,18.05985541686708,0,20,4.811944040757242
14,0,0,1,18.17430191047682,0,20,5.767585320246404
16,3,0,0,19.60515291631645,0,20,7.153021165449843
14,1,1,0,22.2459752265188,1,20,15.573289988572345
14,4,1,1,23.568117031533166,1,20,16.080654667807195
14,3,0,1,23.80230811149264,1,20,17.349329119094694
12,2,0,1,20.86871622758681,1,20,15.746078031543297
11,2,0,1,20.629717155627024,1,20,15.06190541590174
16,5,0,1,19.55457937640452,0,20,7.149956889571883
9,3,1,1,20.35318072717808,1,20,15.09840381672127
12,2,0,0,23.382417758663188,1,20,17.073214679866084
12,-1,1,0,19.3878471935206,0,20,7.51132091781924
10,7,0,0,22.004098355659128,1,20,16.120901019670487
12,4,0,0,23.82776696663092,1,20,16.610332546903727
15,9,1,0,20.852785674732736,1,20,14.589094413891129
13,4,1,0,19.4506538890612,0,20,7.704675003325646
11,0,0,1,17.6019433656754,0,20,4.898070158490237
11,5,0,1,20.984188303425668,1,20,15.386479079627948
8,5,0,1,21.04983784786375,1,20,16.031870530726476
12,3,1,1,23.020458302031745,1,20,17.5893436795319
15,5,0,0,18.38020642192012,0,20,6.038186621915264
14,2,0,0,21.9056409707862,1,20,15.878389593503032
13,0,0,0,19.99613116733742,0,20,8.215858842720044
12,3,0,1,22.751221329618424,1,20,16.34118903162499
10,3,0,0,20.390047294045157,1,20,15.729244039593244
10,3,0,0,20.40712678042187,1,20,14.86010153181009
12,7,0,1,19.3947870595752,0,20,6.524383624383692
11,0,1,1,16.310576048752417,0,20,3.296764612240128
12,2,1,1,22.909566973016258,1,20,17.071603382406458
15,1,0,0,20.15136766152133,1,20,14.38515178836826
13,1,0,0,20.224601011949677,1,20,14.408517898780197
14,0,1,1,19.011396182299578,0,20,8.034735075149154
16,1,1,0,22.895839279255963,1,20,16.854307232274493
19,3,0,1,21.08742212885532,1,20,14.71005480365349
13,2,0,0,15.23367285441595,0,20,1.171907089589721
13,6,0,1,19.200709493623343,0,20,7.00851708633834
17,9,1,0,22.043186553774863,1,20,15.8304909381006
13,2,1,0,20.694277868229342,1,20,14.827389714082216
12,4,1,1,20.890531075149955,1,20,15.568463227015927
14,6,0,0,19.037487632405853,0,20,6.678254685853251
11,0,1,0,17.206881476485197,0,20,4.159342815572919
16,6,1,0,21.146621005086857,1,20,14.809724017500104
