age,total_income,smoker,drinks_alcohol,has_pet,owns_vehicle,happiness_score
27,16,0,0,1,0,30.986907411725944
32,18,0,0,1,1,36.00916454673895
36,12,0,0,0,1,34.55580977039933
25,13,1,0,1,0,29.98194841857399
31,19,1,1,0,1,33.56723604163933
15,21,0,1,1,0,32.853901848036934
37,19,1,0,1,0,23.153242966176958
26,8,0,0,0,0,30.749698832432927
35,22,1,0,1,1,32.27537980223038
38,16,1,0,1,1,33.727828948248394
31,15,0,1,1,0,27.75971729885743
27,21,0,0,0,0,27.113172120592846
34,15,0,1,1,0,24.97173794256282
32,9,0,0,1,0,29.63584051249016
27,19,1,0,1,1,37.75887650371427
28,21,0,1,1,1,33.768986136948655
30,13,1,0,1,0,29.13283061177651
30,14,0,0,0,1,36.45261458770481
36,16,1,0,0,1,34.1039990748521
51,8,0,0,0,1,30.801433148847103
35,14,0,0,0,1,32.24327312772731
24,9,1,1,0,1,39.44813163373743
42,28,0,1,1,0,19.93142097949961
26,22,0,0,0,0,27.29571345741559
23,26,0,0,1,0,27.06740557788292
34,31,1,0,0,0,19.86625892867525
18,10,1,0,0,1,41.32059859932826
22,13,0,1,0,0,31.461792293446944
31,17,1,0,1,0,27.579070971617277
29,18,0,0,0,1,35.86228893197913
28,8,0,0,1,0,31.51924953810752
38,8,1,0,0,0,25.502067192524603
27,16,1,1,0,0,28.477418718190197
45,22,0,1,0,1,27.722567656167268
20,9,0,1,0,0,32.66730835489041
36,12,0,0,0,1,34.360234983070846
36,17,0,0,0,0,23.53603036598575
40,17,1,0,0,1,31.794500375529573
29,21,1,1,0,1,31.843632322005792
44,20,0,1,0,1,28.588605009121835
40,22,0,1,0,1,27.617451786483688
30,12,1,1,1,1,37.46964395427096
32,26,0,1,0,0,24.83989070576173
35,22,0,0,0,1,29.930504361247117
44,20,1,1,0,1,29.087360259893423
30,17,0,0,1,1,35.95058773487974
35,16,0,1,1,0,25.423509221349583
29,25,0,0,1,0,25.142910464865345
33,22,0,1,0,0,25.582526262239668
23,19,0,0,0,0,29.443822703037608
34,23,0,0,0,1,31.16910277130507
34,16,0,0,1,1,35.25906595938269
41,21,1,1,0,1,31.255049317130577
36,25,0,1,0,0,22.40541976631821
28,13,0,0,0,1,37.73742766952637
36,26,1,0,0,0,22.316741877014177
26,16,0,1,1,0,28.82106479067893
27,15,0,0,1,0,28.44861829486737
42,18,0,0,1,0,21.83881219602465
17,19,0,1,0,0,30.751379731546105
25,30,1,1,0,1,33.275458519914416
25,14,0,1,0,0,28.004303417259013
24,7,0,1,1,0,32.42986310288091
37,18,0,1,0,1,31.293971846766883
29,17,0,0,0,1,34.68459017794047
23,17,0,1,0,0,30.80652103403671
32,20,1,1,0,1,32.91864886013288
45,5,0,0,0,1,33.15217754804691
38,25,1,1,0,1,28.2410266221775
23,12,0,1,1,0,33.342713869659605
24,23,0,1,0,0,27.246676974932853
37,21,0,0,1,1,33.09155815311457
26,16,1,0,0,1,37.39692063325049
38,17,0,0,0,1,30.14442843085544
33,19,1,1,0,0,24.07962545555433
44,10,1,0,0,1,30.422855426708445
22,19,1,1,0,1,36.838828297029856
27,14,0,0,1,0,31.471029902109283
31,15,0,1,0,1,35.22331349315212
20,12,0,0,1,0,33.30750630441462
21,17,0,1,1,0,29.984686256189125
20,20,0,1,1,0,30.318383118359407
34,26,1,0,1,0,22.077913054800916
33,20,0,0,0,1,32.48344271422616
24,22,1,0,1,0,27.991872586156997
30,18,0,0,1,0,28.065464702154426
35,14,0,1,1,0,26.53890990897809
37,18,0,1,0,1,31.945285503499736
19,23,0,1,0,0,27.02766879536033
33,15,1,1,0,0,24.36243361783168
33,14,0,1,1,0,27.68539676725688
25,19,1,0,0,0,27.56769469562048
25,24,1,0,0,1,35.31445491165183
34,24,0,1,1,0,22.826269631717807
37,23,0,1,0,1,30.58613105556914
32,19,0,0,1,0,26.49096100349268
44,20,0,1,1,1,28.083674059658435
25,12,0,0,0,0,30.660628072579566
38,17,1,0,0,1,34.36754902167612
34,14,0,1,0,1,33.20437131149346
36,13,0,1,0,0,24.201149355592776
25,26,0,1,1,0,27.011085552363294
29,14,1,0,0,1,36.727842051108
32,14,0,0,1,0,28.75241751243241
39,16,1,0,0,1,30.706893310303396
39,15,0,0,0,1,33.19409371230358
26,18,0,0,0,0,27.786073275567773
21,7,0,1,0,0,30.88153603550017
55,19,0,1,0,1,24.884415482737445
23,14,1,0,1,1,40.24538541714252
24,9,0,0,1,0,32.21903089814644
14,15,1,0,0,0,32.78842649142546
36,15,0,1,0,1,33.09717112462967
30,6,1,0,0,0,29.728304228626783
27,18,1,0,0,0,27.28678564550578
27,15,0,0,0,1,37.841051301534925
24,10,0,0,0,0,31.105092005923083
28,15,0,0,1,0,28.47039984384936
30,13,1,0,1,1,37.13226138617486
21,21,0,1,0,0,28.775236824280064
36,17,1,1,0,1,31.63805647529883
32,18,0,0,1,0,27.846221658379857
29,15,0,1,0,0,28.021714024627997
22,7,1,0,1,0,36.06500025441563
31,19,0,0,0,1,32.35182469854932
27,28,0,0,1,0,26.3197287707163
31,32,1,1,1,1,31.459891038271564
29,15,0,0,1,0,29.064749193290123
37,16,1,1,1,0,25.688003527086572
38,6,0,1,1,1,35.18183456254954
33,16,0,0,0,1,34.82697624485997
33,17,1,0,1,1,36.37108941242556
38,17,0,1,0,1,30.35352174083541
37,24,0,0,0,0,23.570767192175747
16,18,0,0,0,1,41.421963803095416
41,30,0,1,1,1,28.20876905864801
25,17,1,1,0,1,38.08059381286159
35,16,1,0,0,0,24.102614053919677
36,20,0,1,1,0,22.17469011359821
24,20,1,1,1,0,28.921499067370235
27,12,0,0,0,1,39.80165344521727
32,19,0,0,1,0,23.84855564979661
21,7,0,0,0,1,41.03060936400325
36,13,0,0,1,0,27.695838826333397
39,19,0,1,0,1,30.88726245378649
29,15,1,1,0,1,35.80608753502543
33,31,0,1,0,0,19.88881480354924
35,20,0,1,0,1,32.050108373027484
31,10,1,1,1,0,30.00021785891805
21,22,1,1,1,0,30.44477983940952
25,28,1,0,1,0,27.049866294885632
24,22,0,0,0,0,25.94205119314694
26,10,1,0,0,1,38.72839969704454
33,11,1,0,1,0,28.9118113178366
34,22,0,1,0,0,22.260582772578804
40,30,0,1,0,1,27.27973053840429
25,18,0,0,1,1,37.5690019093026
27,19,1,0,0,1,35.44605305643733
45,10,0,0,0,0,23.24871954553367
32,15,0,0,0,1,35.27359221795218
26,20,1,1,1,0,29.461451911451896
39,16,1,0,0,1,32.426308494132385
34,14,0,0,0,1,33.86355498320579
27,8,0,0,0,1,40.01172439959038
36,20,0,1,0,1,31.263991948274874
36,11,1,1,1,1,36.05857615591783
24,17,0,0,0,0,26.483339362407424
10,20,1,1,0,0,32.02538408779492
34,20,1,0,0,0,24.204107098752026
25,15,1,1,0,1,40.18630617064671
30,12,1,0,1,0,30.85760198777855
29,22,0,0,1,0,27.246101794699857
35,31,1,1,0,1,28.124793913424764
32,7,1,0,0,1,37.10956707318192
31,16,0,0,0,1,36.6527375610242
27,6,1,0,0,1,38.29097246791203
34,18,0,0,0,1,32.78048934693402
46,18,0,1,0,0,22.80039916998711
36,8,0,0,1,0,27.978937937308665
50,16,0,0,0,0,18.72652780451137
32,18,1,0,0,1,33.64046334000231
33,16,1,0,1,1,33.40028027703408
42,21,0,0,1,1,30.26361791004421
31,21,0,0,1,1,34.514813748970816
25,14,0,0,1,0,30.155504349920733
33,19,0,0,1,0,25.31492511289613
38,17,1,0,1,1,33.94922164874313
29,26,0,0,0,0,22.66776075872137
30,16,1,1,1,0,27.89467761455021
29,19,0,1,0,1,34.963542049078185
37,32,0,0,0,0,18.12439432545765
33,22,0,0,0,0,23.15189299863428
35,15,1,0,0,1,33.5907057050314
52,13,1,0,0,1,27.410042226267475
27,13,0,1,0,0,28.242093384094968
27,14,1,0,1,0,30.41009960728815
31,7,0,1,0,0,28.485854918917585
44,22,0,0,0,1,27.39810260054144
41,5,0,1,0,1,33.33995092591947
34,21,1,0,0,1,31.122108928077523
36,17,1,1,0,0,24.882358282751824
28,15,1,0,0,1,34.90143459081537
34,20,0,1,1,1,32.47782719944102
34,14,0,0,1,0,27.21093042985245
41,16,1,0,1,1,32.605701199245075
30,22,1,0,1,1,34.51107861560849
44,16,0,1,0,0,20.495619488760926
20,7,0,0,1,0,35.604840158271486
43,16,1,1,0,1,27.61826850581288
31,17,0,0,1,0,25.121414989862235
