age,exercise_hours,smoker_status,gender,fitness_program_invitation,fitness_program_participation,weight_loss
7,2,0,0,9,0,51.82693514998372
5,3,0,0,10,0,50.48627197839687
9,0,0,0,11,0,52.6106462659374
8,3,0,1,9,1,58.43605832379489
6,2,0,0,11,1,58.13727994413036
9,2,0,0,7,0,52.13820089261549
8,0,0,0,11,1,59.68868560110681
6,2,0,1,12,1,56.71712939389742
9,2,0,1,6,0,54.10795487596745
3,2,1,1,12,0,46.42556038002496
7,2,0,1,13,1,58.10735329442451
6,1,0,0,10,1,59.42044072030679
1,1,0,1,11,0,48.31733707125948
9,2,0,1,10,1,58.38725449691495
9,1,0,1,7,0,53.57769683110343
6,1,0,1,9,0,51.3537410329993
7,1,1,1,12,1,58.71224305258421
8,2,0,0,12,1,59.37769088343323
8,1,0,0,12,1,58.89160674081863
5,1,1,0,10,0,48.294519384456336
7,2,0,0,10,1,59.09798128599715
9,2,0,0,14,1,58.64545550610775
8,2,1,0,10,1,60.472838276590906
3,3,1,1,9,0,50.41102729319992
6,2,0,1,6,0,51.09892559785805
8,1,0,0,11,1,59.62282848140021
10,1,1,0,13,1,59.001869062344845
11,2,0,0,6,1,61.88442612561963
8,2,0,1,13,1,59.80122774437563
6,1,0,0,10,1,56.76176966793559
9,2,0,0,8,1,59.52859684257908
7,2,0,0,10,1,58.55888039171784
5,3,0,0,8,0,50.78048412075327
4,3,0,1,11,1,54.99154639945425
4,0,0,0,12,0,50.89764186493346
7,2,0,0,11,0,52.143861567874985
6,1,1,0,10,0,50.69808457432781
2,0,1,1,9,0,47.159565245489546
7,2,1,0,11,1,57.17241417951669
5,1,0,0,12,0,50.01617386912271
11,1,0,0,13,1,60.54688715501956
6,1,1,1,11,1,57.3015278735482
9,1,0,1,15,1,59.44048502924991
11,1,0,0,8,1,60.90089748589655
4,3,1,1,11,0,49.84469057657656
8,2,0,1,7,0,51.46459131991959
4,2,0,0,13,0,49.25867542726817
2,2,0,0,13,0,49.3625345607396
3,1,0,1,10,0,49.253779548331366
7,2,0,0,9,0,52.678443558927455
6,2,0,1,10,0,51.08704703166036
8,2,0,0,11,1,59.43479949270986
7,3,0,1,7,0,51.360228285906274
6,1,0,1,14,1,57.8522381607302
10,1,1,0,7,0,53.68295657402904
6,0,0,0,12,0,52.13317824986044
2,2,0,0,10,0,48.23309920118412
8,0,0,1,12,1,58.85109560216041
8,2,1,1,10,1,58.54475099719231
8,2,0,1,10,1,57.59298820822486
7,2,0,0,12,1,60.58351970101019
12,1,0,1,10,1,62.03100650817095
9,3,0,0,11,1,59.04041338797085
3,1,1,0,13,0,49.9330660926566
7,2,0,0,6,0,51.31640607784834
8,0,0,0,8,0,51.50160381537907
9,2,0,0,9,1,60.68465309924898
9,1,0,0,11,0,53.24120261285771
7,1,1,1,10,0,51.428553424950174
8,1,0,0,14,1,57.51751285260819
7,2,0,0,10,1,57.991930327378455
5,1,0,0,13,1,58.09491496692364
5,1,0,0,11,0,51.17749729085937
1,2,0,0,11,0,49.91071807618685
8,1,1,0,12,1,59.00829106503621
6,1,1,0,12,1,57.98514603236194
7,2,0,0,9,0,51.27889073222553
3,1,0,1,11,0,50.154891892622864
7,2,0,1,10,1,57.06576290858581
2,3,0,0,11,0,50.507964827692895
4,2,0,0,12,1,56.23228448876517
4,1,0,0,10,0,50.45290096592544
5,1,0,0,14,1,57.89898688324708
4,1,0,0,10,0,51.52538745058834
4,2,0,0,12,0,52.19621966088268
4,1,0,0,13,1,57.68830554410873
7,1,1,0,11,1,55.94036429120612
5,1,0,0,7,0,51.6082318281874
4,1,0,0,13,0,49.13511670073532
8,1,0,0,11,1,58.82036030120962
9,1,0,0,9,0,52.582077377226256
11,3,0,1,8,1,61.394817063289565
7,2,1,0,9,0,50.94396960862287
2,2,0,0,13,0,49.32701286227268
3,1,0,1,13,0,48.25957665595722
10,1,0,1,11,1,60.108263835462914
6,0,0,1,7,0,51.5324878871907
9,2,0,0,10,1,60.37263660087255
5,1,0,0,10,0,50.04048680102442
9,2,0,0,12,1,59.02333298622301
6,2,0,0,14,0,50.04732347555978
6,2,0,1,8,0,52.56067136728131
12,1,0,0,8,1,59.63890052023795
9,2,0,1,12,1,60.08384865187872
7,2,0,0,13,1,60.08797776519691
1,1,0,0,7,0,50.37300967295715
6,1,1,1,6,0,50.49856669807889
6,2,1,0,9,1,55.997969921300886
4,2,0,0,8,0,49.96803251204908
6,2,1,0,11,0,50.80756465740267
5,1,0,0,12,0,50.56582863556512
7,1,0,0,11,0,50.96938873646852
5,2,0,1,9,0,50.60184730035798
2,1,1,0,11,0,48.882084357462176
5,0,0,0,11,0,51.026247334786746
9,1,0,0,10,0,54.68959945813957
2,1,0,0,13,0,49.92736021091356
9,1,0,0,10,1,59.52691148782522
5,2,0,0,13,1,57.2423173129902
7,0,1,1,12,1,57.331452102522285
9,3,0,0,12,1,59.183187905513606
9,1,1,0,11,1,59.305965960268864
4,2,0,0,12,1,56.72171624060473
2,2,1,0,11,0,48.03303298912692
5,1,0,0,9,0,49.09319161313162
9,1,0,0,10,1,59.09629357277595
12,2,0,0,11,1,59.9418547951345
5,0,0,0,10,0,48.59520873943801
8,0,1,0,10,1,57.908061983386574
8,1,0,0,13,1,59.01415996984707
5,1,0,1,13,1,57.359479810743714
7,2,0,0,12,1,60.22726976288512
6,2,0,1,9,0,51.60077366574342
8,3,0,0,13,1,57.39415641991988
7,2,0,0,10,0,52.59120198706249
4,1,1,0,10,0,47.79010037431159
2,1,0,0,9,0,49.89891973108245
4,0,0,1,10,0,49.36165446213143
6,2,1,0,12,1,56.590569558047214
5,2,0,0,10,1,56.25973502326214
5,0,1,0,13,0,50.97660225799412
7,2,1,0,11,1,58.03531825726043
8,2,0,0,11,1,57.99004708020529
2,0,0,1,12,0,48.85930607043627
8,1,1,0,11,1,57.29991133175986
6,2,0,1,9,1,56.01857987963368
11,2,0,0,15,1,59.47887085876354
8,1,0,0,16,1,57.931000412238426
10,1,0,0,13,1,59.17877016394186
6,3,0,1,9,0,52.39058629394159
9,2,1,0,10,1,59.00062670909297
6,1,1,0,10,0,50.883603617487786
12,2,0,0,9,1,62.01751506847046
0,3,1,0,11,0,47.283031334757325
10,2,0,1,12,1,59.368458709567726
5,2,1,1,14,1,58.12018338403202
3,1,0,0,11,0,50.13282060358659
3,1,0,1,12,0,48.92291770113819
4,2,0,1,11,0,52.357956646873326
9,2,0,0,9,1,59.88786016871431
5,1,1,1,11,0,48.38799324436744
8,1,0,1,12,1,58.87971630743514
8,2,0,1,9,1,58.62121992817846
15,1,0,0,13,1,63.96667015699374
3,1,0,0,14,0,47.81903632361666
13,2,0,1,9,1,60.6466183302781
6,1,0,0,9,0,48.554580205674
6,0,0,0,12,0,50.11134230490831
9,1,0,0,13,1,58.84369787385153
