age,distance_to_library,books_read,has_library_card,participates_in_reading_programs,has_internet,library_access,educational_attainment
34,17,7,1,0,1,1,60.18505552024769
28,11,8,1,1,1,0,54.50844917764204
36,15,11,0,0,1,0,57.51837909188118
32,20,17,0,0,1,0,55.3328533898561
25,24,16,1,1,1,1,61.63108168827457
35,14,10,1,0,0,0,57.42930584856567
24,20,15,0,0,1,0,54.13095115088848
33,12,6,0,0,1,0,53.934988306498944
42,15,10,0,1,0,0,56.4719657087776
37,15,11,0,0,1,0,55.51501454850589
20,10,7,0,0,1,1,60.992482246559
27,23,12,1,1,0,1,59.06732345529516
30,17,12,0,0,0,0,53.65045579846836
36,13,12,0,0,1,0,56.6247504164285
30,10,16,0,0,1,0,61.36341708282041
41,16,10,0,0,1,0,55.97639175286671
19,18,9,1,1,0,1,58.64687864374282
27,26,9,1,1,1,1,56.26537480282314
44,21,12,1,1,0,0,54.719674961133975
39,16,14,1,0,1,0,58.66323660165193
17,29,12,1,0,0,0,47.45345481705173
20,9,9,1,1,0,1,62.26223803027501
35,24,13,1,1,1,0,53.33938414543251
34,21,6,1,1,1,1,56.67199659865868
34,12,7,1,0,1,1,61.62036887459064
43,12,9,1,1,1,0,59.153622266662175
33,17,14,0,1,1,1,64.51418020550024
31,14,8,0,0,1,1,59.95629806827165
38,15,17,1,1,1,1,68.04843829666837
34,21,12,1,1,1,1,61.82535646656082
37,8,12,1,1,0,1,67.39373453553051
36,21,13,1,0,0,0,55.98325127902641
28,15,11,0,0,0,0,55.63707556382104
28,20,15,1,0,0,0,58.06366918396061
31,16,13,1,1,1,1,64.59012796532751
39,24,5,0,0,0,0,46.584659794875165
30,20,14,1,1,1,1,61.238278036788685
35,21,10,1,1,1,1,61.15894794146601
30,9,7,0,0,1,1,62.437686158698966
37,26,12,0,1,1,1,57.35553406156767
35,22,10,0,1,1,1,57.0541261326227
32,16,14,0,0,0,0,56.81611321729668
31,15,11,0,1,1,1,61.81525738328385
24,12,11,0,1,0,1,62.8250513640843
32,22,15,1,1,1,1,63.05684110293855
15,23,14,0,0,0,1,57.18881638383267
35,16,10,0,0,1,0,54.71628868285628
30,15,8,0,1,1,0,51.12240171513424
31,15,13,0,0,1,0,57.20174878738007
39,19,11,1,0,1,0,56.05174280383153
27,16,8,1,1,0,0,52.490447827109385
35,8,14,0,1,1,1,67.51368361800766
35,16,12,1,0,0,0,56.905009983368274
30,21,9,0,0,0,0,52.52603828452111
44,18,13,0,0,1,1,63.51159329428877
36,19,11,0,0,1,0,54.73492332393533
28,13,13,1,1,1,1,65.29291018149708
21,19,8,1,0,0,1,57.89599301470869
32,19,10,1,0,0,1,59.88647608839138
20,19,14,0,0,1,0,54.01879545727052
32,15,16,1,1,1,1,67.65853330085962
25,15,12,0,0,1,0,54.72577696863994
28,19,10,0,1,1,1,60.21419910766957
43,19,10,0,0,0,0,53.07844666503525
28,23,19,0,0,0,0,55.04556187719865
40,5,10,0,1,0,0,61.32684012064224
28,19,9,0,1,1,0,50.77586418264606
27,13,8,0,1,0,1,60.24116577796131
18,12,12,1,1,1,1,63.72961923629262
38,19,17,0,1,1,1,66.1167414564293
28,13,6,1,0,0,1,59.19816912496111
32,8,13,1,1,1,1,67.12919941789984
34,15,4,0,1,1,0,50.78697596537692
34,12,10,1,1,1,0,56.94733832189485
34,25,9,1,0,1,0,50.68117211561794
26,18,14,1,1,0,1,63.93922943839946
28,13,10,1,1,1,1,63.69658047130005
36,17,14,1,1,0,1,63.7274726496351
29,14,12,1,0,0,0,57.11757270707619
37,13,15,1,0,1,1,69.44281612008803
22,11,5,1,0,0,1,61.16964086002732
27,14,14,0,0,1,1,64.05093263058981
23,27,12,0,1,0,1,57.45174895754496
26,19,10,1,0,0,0,50.35878545143827
45,22,11,1,0,1,0,54.97947160658152
29,10,10,1,0,1,0,58.05534046815626
30,10,10,1,0,0,0,59.35166588984853
26,14,13,1,0,1,1,62.8571857342794
26,24,14,0,1,1,1,58.96792475476438
39,13,11,1,1,0,1,64.58586405576577
17,15,16,1,0,0,0,56.71622863134286
41,15,12,0,1,1,1,64.14791781698712
36,15,10,0,1,0,0,53.240880428611305
51,13,12,1,1,0,0,60.7004113932533
31,10,15,0,0,1,1,66.38625520863509
43,18,13,0,0,0,0,55.10144750159803
24,25,13,0,1,0,1,56.05308990185287
34,20,15,1,1,0,1,63.32364868126243
32,16,10,0,0,1,1,61.76544383640833
39,18,10,0,0,0,0,55.28347823899525
22,17,12,0,0,1,1,60.95346950833483
43,20,13,0,0,1,0,54.70281817790468
31,2,9,0,0,1,1,67.4837414581235
32,22,10,0,1,0,1,56.809719176717365
25,18,10,0,0,1,0,53.687114949002535
28,8,8,1,1,1,1,63.34652249536078
13,28,11,0,1,1,1,52.016862262962135
38,21,12,1,0,1,0,56.227102423897136
33,19,13,0,0,1,0,56.45984462053217
34,11,12,0,0,0,0,58.00988063659924
31,20,14,0,0,1,0,56.046368647136525
27,15,13,0,0,1,1,64.15487224751087
18,24,14,0,0,1,1,58.47102391246806
31,19,9,1,0,1,0,50.9763098734716
27,16,13,0,1,1,1,62.03950465192283
45,17,11,1,1,0,0,56.91771885233451
31,15,6,1,1,1,1,58.34364676999438
22,27,16,0,0,1,1,58.57095885729831
41,26,12,0,1,0,0,51.33336666899531
32,18,14,1,0,0,0,58.01703925672693
27,15,12,1,1,0,1,64.5535642267624
33,20,16,0,1,0,1,63.06866373372256
32,32,9,0,0,0,0,46.14840162714589
30,19,8,0,0,0,1,57.851241219099535
32,16,10,0,1,1,1,59.129278650125215
18,29,11,0,0,0,0,46.36000470142023
25,20,7,0,1,0,1,56.12063772155321
32,15,10,1,1,0,1,64.20028355359207
43,6,16,0,0,1,0,66.01608760686192
28,16,11,1,0,0,1,62.74588533344468
40,22,12,1,1,1,0,54.619229406904815
30,17,13,0,1,0,1,59.99614755064399
41,21,10,1,0,0,0,53.56066335408996
33,17,12,1,1,1,1,64.693462359134
29,7,8,0,0,1,0,56.37820076941053
42,11,10,0,0,1,0,58.4526367916269
33,17,20,0,0,0,0,59.70038498595389
37,22,11,1,0,0,0,54.257171812576345
27,14,14,1,0,0,1,65.17664140774608
40,17,12,0,0,0,0,55.25284710601483
36,18,10,1,0,0,0,55.52611053129839
23,8,10,1,1,0,1,65.02294197355302
45,24,13,1,1,0,0,53.93938846910956
40,13,11,1,0,0,0,57.84085643356887
31,13,11,0,0,1,1,62.88416654112324
33,24,14,1,1,1,1,61.01630633170555
33,18,16,0,1,1,1,63.656720870362
25,14,13,1,0,1,0,59.7011829562634
35,23,12,1,1,0,0,52.355329402836105
28,15,11,1,1,1,1,62.17161283686625
26,16,15,0,0,0,0,57.18144455767608
36,21,11,0,1,1,0,53.00236308011469
32,18,9,0,0,1,0,51.47017302292633
28,6,9,1,1,1,1,64.55333614701021
40,16,8,0,1,0,0,52.10144541039677
26,18,16,0,0,1,0,55.66257003765859
23,4,12,0,1,0,1,67.13118605378979
33,19,13,0,0,1,0,56.08013936461892
29,20,8,1,0,1,1,57.639989726964366
35,16,19,0,1,1,1,67.297837956766
26,9,12,0,0,0,0,59.67401270304444
34,20,12,0,1,1,1,58.8631576574427
39,28,10,1,1,0,1,54.66037727983931
32,18,10,1,0,1,0,53.09000565623364
28,22,13,1,0,1,0,52.09244199399399
31,17,11,1,0,0,1,61.42432461456565
25,13,14,0,0,1,0,59.77831294377811
32,28,13,0,1,1,1,56.792052409701206
45,11,6,1,1,1,1,64.58230636434303
34,14,6,0,0,0,0,52.4052499645897
27,22,10,1,0,0,0,51.41583863862343
31,14,12,1,1,0,1,62.90890203361023
20,18,17,0,0,0,1,63.60025963748401
27,19,12,1,0,0,0,53.43800247169741
34,19,11,1,1,0,1,62.81740021605759
33,16,14,0,0,0,0,56.9077061354556
26,17,16,0,0,1,1,63.75694042297383
32,15,6,0,0,0,0,52.28377853885121
19,8,16,0,1,0,1,65.30830276337876
37,18,13,0,0,1,0,56.21162962969196
29,19,9,1,1,1,1,58.980839843226775
40,20,13,0,0,1,0,55.34147918171469
27,15,10,0,0,1,0,53.7669620769704
31,13,13,1,1,0,1,65.92054344013621
29,21,7,1,1,0,1,56.78613899032778
33,16,8,0,1,0,1,58.41755673317114
34,12,15,1,0,0,0,60.925872727611335
35,13,12,0,1,1,1,64.55050791019083
22,21,12,1,1,0,1,60.20770058918985
26,23,10,0,0,1,0,50.751759334918525
33,18,15,0,0,1,0,56.22733667519075
28,19,10,0,0,1,0,53.29797036930958
23,15,11,1,0,1,1,64.15885125289205
33,11,10,0,0,0,0,56.15925079422033
31,26,11,1,0,1,1,57.73686271580861
53,15,16,1,1,1,0,63.49281955453474
34,15,16,1,0,1,0,60.7849527560422
27,16,13,0,1,1,1,62.27113737258133
43,15,13,0,1,0,1,65.85527855248489
24,16,8,1,1,1,1,58.77558450240794
46,20,9,0,1,1,0,52.77421027709563
42,15,12,0,1,1,0,55.95714003698309
35,15,9,1,1,1,1,61.93925246666655
40,20,13,0,1,0,1,62.05566880253356
21,21,12,0,0,1,1,58.36558739879675
42,21,13,1,1,1,0,55.91045755833007
38,24,10,1,1,0,0,51.77444162591812
26,10,9,1,0,0,1,64.76946464356327
39,18,13,0,1,0,0,54.820311188724574
32,13,15,0,1,0,1,66.36536923237104
36,22,13,1,1,0,0,53.36096576133342
35,12,11,1,0,1,0,58.28751595855661
16,20,13,0,1,0,1,59.78939148082343
27,24,12,0,0,0,1,56.69793695910899
23,15,7,0,0,0,1,59.27261964765264
41,23,13,1,0,0,0,55.55804692561604
55,30,11,0,0,0,0,49.49041339821608
37,12,8,1,0,1,1,64.30436698313807
32,24,16,0,0,1,0,54.24853978751173
35,12,11,1,1,1,1,65.02363682215373
31,21,10,0,1,0,1,58.04308514227191
33,16,8,0,1,1,0,51.419841484091634
47,10,12,0,1,0,0,60.1248201026454
31,17,7,0,0,1,0,52.45942807736566
37,16,10,1,0,0,0,56.03090272661102
36,10,14,1,0,0,0,61.90860650476262
24,11,8,1,0,1,1,64.92937953640505
46,20,15,1,1,1,1,65.85830148707745
37,25,10,0,1,1,1,56.57736025364834
36,17,8,0,0,1,0,53.45454441885944
39,12,9,0,1,1,1,60.71164845675639
33,26,17,1,1,1,1,62.54603959841183
23,15,9,0,0,1,0,53.707228001230845
40,6,11,0,0,1,0,61.96191187490423
32,9,13,0,0,1,0,61.2144718040776
20,21,12,1,1,1,1,59.953945459295376
39,27,15,0,0,1,0,52.75659872106799
40,20,10,1,1,0,0,53.010235800375376
29,17,13,1,0,1,1,64.39947464374927
31,23,13,0,1,0,1,60.20770944311532
35,14,13,0,0,1,0,58.46662355691844
32,20,12,1,1,1,0,53.88145586127193
33,22,10,1,0,1,0,52.66286723291029
31,20,13,0,0,1,0,53.82661125417507
33,16,12,0,0,1,0,54.00605859000025
27,8,15,0,0,1,0,62.14356923389362
26,22,11,0,0,0,0,51.10587039453824
39,23,12,0,0,1,0,52.873674403689485
19,10,14,1,1,0,1,66.83050782549817
21,21,14,1,0,1,0,53.384168488368125
40,24,10,0,1,1,1,57.373319321527
40,12,12,1,1,1,0,56.71114105420309
37,15,13,0,0,0,0,56.80698435242098
29,18,14,0,1,1,1,60.840881708449785
28,24,13,1,1,1,1,59.33966051567968
36,20,4,0,0,0,0,47.69662684855557
30,18,12,0,1,0,1,60.95287721437035
29,17,14,0,0,0,1,62.12848086990871
22,21,13,0,0,1,1,59.92132166489935
30,15,7,0,1,1,1,60.58355561819797
30,21,8,1,0,0,0,51.01237538181744
17,11,4,0,1,0,1,56.05767570392502
21,16,14,0,0,1,0,56.465082304151
30,15,15,1,0,0,1,66.07688653190239
23,15,10,0,0,1,0,54.77141334068322
40,17,9,0,0,1,0,52.65674375671311
24,19,11,1,1,0,1,59.72391363446165
18,10,10,1,1,0,1,63.97702558999661
26,18,13,0,1,1,1,60.52486964672418
36,15,14,0,0,1,0,56.524661767403096
22,20,6,1,1,1,1,57.55056347662031
46,20,12,0,0,0,0,52.72321326283758
21,12,11,0,0,0,1,61.323183514533184
36,15,7,0,1,0,1,60.03584299232189
22,16,8,0,0,0,1,58.189502224827415
41,15,11,0,0,1,0,54.91787302747466
23,19,12,1,1,1,0,52.17032972552098
32,24,10,0,0,1,0,49.66902089856739
29,11,14,1,0,1,0,61.414805024395335
27,21,9,1,1,0,1,56.52059040492895
35,13,12,0,0,0,0,58.25627904529194
25,17,12,0,1,0,0,53.91237306136664
24,18,13,1,0,0,1,60.64478236919069
43,26,13,1,0,0,1,61.79253062478931
34,18,10,0,0,0,0,53.85516202025467
29,23,9,1,0,0,1,57.655681260523046
30,25,12,1,0,0,0,51.53701352976458
21,22,12,1,1,1,1,57.48472346367783
29,14,10,1,1,0,1,62.184555243963246
39,16,8,1,1,0,0,55.79240518813304
34,12,10,1,1,1,0,57.92118193918128
30,16,12,1,0,1,0,55.81689926184396
37,10,10,0,1,1,1,67.75818249342446
29,13,3,1,1,1,1,58.992505739473394
34,16,8,1,0,1,0,53.46050479838538
36,22,14,1,0,1,0,57.3805162621276
44,18,18,1,1,1,0,59.18923931433042
23,9,12,0,0,1,1,66.63838058693177
34,16,11,0,0,1,1,61.22342984584875
32,20,5,1,0,0,0,48.73678012599894
34,14,7,1,1,1,1,60.77010568753382
35,14,13,1,0,1,0,59.81968394326048
39,19,13,1,1,0,0,56.0203259010132
29,4,8,0,1,1,1,65.3870159718386
28,23,12,0,0,1,0,50.20692403456732
29,10,11,0,0,0,0,56.13980914165876
25,23,10,1,1,0,1,56.33304471172188
37,6,12,0,1,1,0,59.56365044022278
37,20,6,0,0,1,0,49.05765127622451
18,10,9,1,1,1,1,63.5529369599183
34,12,11,1,0,0,0,56.84039644963212
30,20,17,1,1,1,1,65.2135020908564
29,16,14,1,0,1,0,57.91718797063074
34,14,12,0,1,0,1,62.6686614191614
17,23,9,0,0,0,0,47.78727427552396
32,22,9,1,0,0,0,51.293822750204455
35,13,12,0,0,1,1,65.85762321825037
30,11,10,1,0,1,1,64.40005605506617
32,26,16,1,0,0,0,54.01279898550905
30,19,13,0,0,1,1,61.4807874245342
26,20,9,0,0,0,1,57.06971532370089
26,20,7,0,0,1,1,55.428361811689705
36,4,14,0,0,0,0,65.84751454903115
38,21,15,1,1,1,0,56.302681472373024
19,1,11,1,0,0,1,68.64689837328453
29,9,11,1,1,0,0,58.5872204192143
30,17,9,0,1,0,1,61.38435292430507
40,20,17,0,1,1,0,56.50444461055372
40,10,12,0,0,1,0,58.80627791456226
34,17,11,1,1,0,0,54.1205709276592
27,30,15,0,1,1,1,57.49870393138125
21,24,8,0,1,1,1,55.2137152998444
32,23,11,1,1,1,1,58.596399693528056
36,13,12,1,1,0,0,58.36345883790554
45,23,12,0,1,1,0,55.230453836027976
37,21,9,1,0,1,0,53.01703540986708
27,10,9,1,1,1,1,64.1206728019033
25,15,9,0,0,0,1,60.552282610274624
41,23,11,0,0,0,0,52.54776740828821
40,14,12,0,1,0,1,63.902637831342616
26,10,11,0,0,1,0,56.29861488264036
34,10,12,0,1,0,1,66.42631379627163
38,18,12,0,0,1,0,55.451641872889496
33,15,5,0,1,0,1,57.883958657434064
25,15,13,1,1,1,1,62.88600102770106
34,15,14,0,1,0,1,63.32166042896285
32,18,5,1,0,0,1,57.70389586788528
34,26,8,0,1,0,1,54.388660240949456
25,17,9,1,0,1,1,61.29579498471975
31,11,18,1,1,0,1,70.63240190269413
33,25,9,0,1,1,1,55.83117013829523
21,7,12,1,1,1,1,67.89768310590239
33,18,15,1,0,1,0,55.533277750741455
42,16,12,1,0,1,1,65.69553136003098
41,23,12,1,1,1,1,61.56791914685677
28,25,14,0,1,1,0,51.281782121179226
27,16,11,1,0,1,0,56.9001195443057
30,19,13,0,1,1,1,61.881859062522295
31,18,16,1,1,0,0,56.94595774657881
31,19,15,1,1,1,1,64.18474655571262
15,16,15,0,1,0,1,61.52408925462333
25,16,13,1,0,1,1,63.32070107819775
29,23,14,1,0,0,0,53.96561102060538
39,13,7,1,0,1,0,56.62562440487755
24,19,7,0,1,0,1,56.597477487545504
