age,pre_test_score,hours_studied,gender,low_income_status,prior_tutoring,new_teaching_method,end_semester_score
19,24,5,1,1,0,0,76.57450087550333
21,18,7,1,1,1,1,78.89480706942476
16,15,13,1,0,1,1,74.38504539339236
46,30,9,0,0,1,1,106.5115648063465
28,16,11,1,1,1,0,81.14748489552477
24,24,15,0,1,0,1,85.40660335237031
30,8,14,0,0,1,0,77.26308462531335
20,12,8,1,0,0,1,73.71840850262082
26,18,6,1,1,1,1,81.71154942255703
46,24,17,1,1,1,0,100.3119075346854
23,12,13,0,1,1,1,78.06186615477017
40,9,11,1,1,1,0,86.51749349472158
36,15,11,1,1,1,1,90.42872702556326
27,20,9,0,1,1,0,82.2240882932318
40,21,8,0,0,0,0,89.61117686830033
36,12,13,0,1,1,1,89.9329164350138
38,13,11,1,1,1,0,86.28840764423607
37,9,12,1,1,0,1,88.09149209824801
22,22,7,1,0,1,0,78.52597516050838
26,24,12,1,1,0,1,85.9587786315893
35,24,13,1,0,1,0,92.25967791183122
24,18,13,0,1,0,1,82.78277886729884
23,25,9,0,0,1,1,82.74902170639295
29,16,8,1,0,1,0,81.95498184969323
33,12,13,1,0,1,0,81.90832688968047
20,13,9,1,1,0,0,73.78823822759469
28,17,13,0,1,0,0,82.01839453657767
18,25,10,1,0,1,1,79.42839794318785
38,24,9,1,1,1,0,94.1720695448843
45,13,13,0,1,1,0,93.6811897419359
31,23,14,1,1,1,1,91.73057819770152
40,21,11,1,0,0,1,94.63366833320438
34,10,10,1,0,0,1,84.21610872413999
32,13,13,1,0,1,1,86.08508871346356
31,25,12,1,1,0,1,90.86518387353796
24,5,11,1,1,0,0,72.61775481845103
34,14,9,0,1,1,1,85.66451108913826
30,14,10,1,0,1,0,81.50396098831729
32,15,13,0,1,1,0,84.32832740110679
32,25,13,0,1,0,1,91.73545426933131
41,14,13,1,0,1,1,93.84505570250164
30,26,11,1,0,0,1,91.5486434663152
36,17,13,1,1,0,1,90.35276334786784
26,14,14,0,1,1,1,81.22985142501375
34,27,14,1,1,0,1,95.56532951878376
39,13,14,1,1,1,0,90.11726990278756
24,20,15,0,1,1,0,81.01943177223086
34,14,6,0,0,1,1,85.81548014413124
37,16,7,0,0,0,0,84.98269137889163
32,19,15,1,1,1,1,89.89928573981021
32,14,7,1,0,1,1,86.09133199043227
30,16,9,0,1,1,1,85.63216789054665
32,22,8,0,1,1,0,88.08261411690542
30,23,8,1,0,1,1,88.48203379481777
36,15,11,1,0,1,1,89.37409225625846
26,19,11,0,0,1,0,81.92803328171993
15,26,9,0,1,0,0,74.55478517872767
36,6,10,1,1,1,0,81.65763318495948
30,17,13,0,0,1,1,85.93355601275528
37,21,8,1,0,1,0,90.11535785413234
33,12,13,1,0,1,0,83.0203919754207
32,22,13,1,1,1,0,90.61973676975022
36,18,13,1,1,1,0,88.47109783358277
26,21,13,1,1,1,1,85.39581371504084
25,24,8,0,1,1,1,86.5322397724336
40,20,10,1,1,1,1,94.2334671872577
35,17,12,1,1,1,1,89.27924391587926
27,18,11,0,1,0,1,83.77754506415877
24,25,9,0,1,1,1,86.16884450789831
36,13,15,1,0,1,1,88.91353870528101
20,19,19,0,1,1,0,77.33231058161586
29,21,11,1,0,0,1,88.73615247686737
30,14,9,1,0,0,1,81.87503425475005
26,11,10,1,1,0,0,75.08521161272556
25,15,15,0,0,0,1,80.84052056425935
26,27,13,1,1,1,0,86.00460375236295
27,25,12,1,1,1,1,89.39265176806354
37,8,10,1,0,1,1,86.57133014915239
22,16,12,0,0,1,0,77.4494460630143
32,0,11,1,1,0,0,74.25681590915035
32,16,13,0,1,1,1,88.56915761347906
29,20,9,0,1,1,0,84.18021495682075
23,14,15,1,1,1,0,77.57539238080588
26,24,12,1,0,1,1,87.65401287344432
26,17,10,1,0,1,1,82.49501048318217
24,20,11,1,1,0,0,79.22415980789631
37,23,10,1,0,0,1,94.0387878350804
26,18,9,0,1,1,1,85.19175760916009
23,21,15,0,0,1,0,81.70724288167544
32,17,7,1,1,1,1,88.42245761986128
35,22,15,0,1,1,0,89.38751428737022
35,18,15,0,1,1,0,89.31318753397865
23,14,16,1,1,0,0,77.33680056187212
29,22,14,1,1,0,0,85.77820288701581
33,20,13,1,1,0,0,87.17963818191954
29,25,14,0,1,1,0,89.18319142248674
29,13,11,0,0,0,1,81.05530438747189
35,24,14,1,1,0,0,92.1728664736682
29,22,13,1,1,1,1,88.82822954596003
38,13,12,0,1,1,1,89.76673720439513
30,20,9,0,1,0,1,86.28256546408818
34,4,11,1,0,1,0,80.63150233540047
25,12,10,1,0,0,1,78.71683175151865
43,10,13,1,1,1,1,94.37218655806475
40,21,8,0,0,0,1,95.25242280227717
31,18,13,0,1,0,1,85.79081474587157
30,25,16,0,1,1,0,89.16285095045318
24,17,10,1,1,1,1,81.980830575414
20,13,8,1,1,0,1,73.98746794818733
25,20,13,1,0,0,0,81.16973951655318
28,15,14,0,1,0,1,83.10854548879071
27,6,13,0,1,1,0,76.80901154955853
30,12,12,1,1,1,0,80.92294750289649
17,13,8,0,1,0,0,68.670436690126
37,17,8,1,0,0,0,88.01550545539217
24,27,10,1,1,1,0,84.41144797893327
16,14,11,1,0,1,0,70.38001357592108
27,27,9,0,1,1,0,85.71772322824445
35,17,7,0,1,1,1,88.7964950436454
31,18,7,0,1,1,1,84.81252167335214
18,19,12,0,1,1,1,77.15879156409008
24,22,12,1,1,1,1,85.68428915637482
32,19,13,1,1,0,0,86.81634852526875
29,12,14,1,1,1,1,82.99818302122549
32,24,12,1,0,1,1,90.87508497407082
32,19,12,1,1,0,0,85.23171844811368
23,21,8,1,1,1,1,82.62380020524863
41,15,13,1,1,1,1,95.65110595113036
46,20,14,1,1,0,0,99.42259188796493
30,17,14,1,0,1,0,82.77561601965525
32,16,8,1,0,1,0,84.72100174709237
40,14,14,1,0,1,1,92.51634538791674
23,21,9,1,1,0,1,83.85756680265514
34,16,14,1,0,1,0,85.15915914032027
27,20,8,1,1,1,1,85.81978695418313
24,12,10,1,1,0,0,76.6229885329093
11,19,13,1,1,1,0,72.28944503064136
35,16,12,0,0,1,0,87.65243952021646
22,11,14,1,1,0,1,76.74116777252715
26,10,12,1,0,1,1,78.59764257741864
23,18,16,1,0,0,1,82.43605493475616
39,12,10,0,1,1,1,90.4385507375226
37,15,7,1,0,0,0,86.6080623914381
21,17,8,0,0,0,1,75.64003633765218
34,20,15,0,1,0,0,86.99462431310947
34,20,14,1,0,0,0,87.18777050900965
42,14,9,0,0,1,0,90.02818636735752
21,18,9,1,0,0,1,79.10834733764497
44,14,11,0,1,0,1,93.42379899251874
30,27,16,0,1,1,0,89.64160163262086
28,14,11,0,1,1,1,81.07355327329417
35,19,11,1,0,1,1,90.82357101259896
25,17,9,0,0,0,1,78.99177524929068
34,10,12,1,0,0,0,80.34367448920585
43,14,15,0,1,0,1,95.23920238100628
29,20,10,0,1,1,0,83.46899710633885
42,28,16,1,1,1,1,101.58618797177743
38,27,13,0,0,1,1,97.62471381695092
30,8,10,1,1,1,1,79.82520728294354
26,24,11,1,1,1,1,88.5196674820287
46,15,12,1,1,1,0,95.87412685647182
44,12,7,0,0,0,0,88.60904586292268
35,18,10,1,0,0,0,86.89245696500625
30,21,15,1,1,1,1,88.66728172529827
27,18,10,1,1,1,0,81.8708917834961
25,21,10,1,1,1,0,82.50499985212019
34,20,13,0,1,1,1,93.70862900531382
31,19,13,1,1,0,0,86.41716253694361
33,18,5,1,1,1,0,85.06239046334461
39,10,11,0,1,0,0,85.5758090352997
13,23,3,0,1,0,1,73.91992219627069
34,17,11,1,0,0,0,86.40938409513561
38,22,18,0,0,1,0,94.3397270914391
32,14,12,1,1,1,1,85.79927789851558
40,18,11,1,1,1,1,94.24119581880188
28,17,9,0,1,1,1,82.96351459408712
29,31,11,0,1,0,1,92.46153185348632
37,28,10,1,0,1,1,95.67753059982572
34,16,8,1,1,1,1,88.21337346868071
33,15,7,0,1,0,0,83.0372973695173
46,21,8,1,0,1,0,96.50592287877818
36,15,14,1,1,1,0,88.44601455463419
29,10,11,0,1,1,0,78.11919257978234
25,26,11,0,1,1,0,85.82466870819896
35,22,13,0,0,0,1,92.54301764816168
30,19,10,1,0,1,1,87.40225946346303
23,9,14,0,1,1,0,74.26964665395111
32,15,10,0,1,0,0,81.11616309735963
35,12,10,1,1,1,1,87.09976959352176
49,22,8,1,0,0,1,101.64505949783158
33,18,12,1,1,1,0,86.06954524449306
25,9,12,1,1,0,0,73.98511107263603
26,12,10,1,1,1,0,78.73672419335199
40,23,15,1,1,1,0,96.590678250555
30,14,7,0,1,1,1,81.44229830407627
44,12,13,1,0,0,0,90.60146654307874
32,14,15,1,0,1,0,83.75171627398308
29,24,11,1,0,1,1,89.743322630647
29,12,16,0,1,1,0,79.73871295119599
31,16,12,1,0,1,0,85.82970376074192
27,10,14,0,0,0,0,77.76854213232536
41,15,10,1,1,0,1,93.19079286257796
34,22,12,1,1,1,1,95.73852578191854
19,27,13,1,0,1,1,81.98806247735796
39,13,11,1,1,1,1,91.0908872725892
17,9,18,0,1,1,0,70.33843236451759
17,12,10,1,0,0,0,68.90993601707464
38,24,16,1,0,1,1,97.0647137486506
41,21,11,0,0,1,1,97.3062332671401
38,22,13,1,1,0,1,94.97451198440362
21,23,7,1,1,1,0,78.64854468020066
25,11,11,1,0,0,0,76.05346191155942
33,11,17,1,0,0,0,83.52255805141532
35,16,15,0,0,1,1,90.8766136781592
27,18,12,1,1,1,0,81.08266994590929
27,9,13,1,1,1,1,81.24413520542439
29,16,6,1,0,1,1,82.51220889496821
44,13,13,1,1,1,1,94.31940535173564
34,15,11,1,1,0,0,84.72675123564564
32,18,13,1,0,1,0,85.4008103512569
24,21,10,0,1,1,1,82.8867758534214
33,23,11,1,1,1,1,92.65788443819288
38,27,12,1,1,0,1,97.95969480312448
30,17,5,1,1,0,1,83.5037118773939
30,14,13,1,1,0,0,82.57053734504319
31,19,18,1,0,1,1,89.70233699426366
30,18,10,1,0,1,0,83.89329929860219
32,11,13,1,0,1,1,85.35123654875225
50,21,7,1,1,1,1,102.19320194794908
36,14,7,1,0,0,0,84.59068467259479
43,16,11,1,1,1,0,92.5404370061506
43,14,17,1,1,0,0,92.61514207774088
22,25,12,1,1,1,0,82.6643647514806
32,25,13,1,1,0,0,89.24319986380263
30,11,12,1,0,1,1,84.90626598186103
43,10,7,1,1,0,1,92.55819692768456
37,15,12,1,1,1,0,86.92580286792094
36,20,7,1,0,1,1,92.88402456831544
20,32,10,0,1,1,1,85.10736408931912
33,14,12,1,1,0,0,83.48580099157016
38,18,6,1,0,0,1,88.02440171348165
35,24,9,0,1,1,1,93.6033126592436
26,19,12,1,0,1,1,85.36437099628873
41,25,7,0,1,0,0,93.8078188564334
19,12,15,1,0,0,1,74.66698175158386
22,12,6,0,1,0,0,72.40877788077317
22,22,12,1,0,1,1,82.19804038588674
37,21,6,0,0,1,1,92.44523420171626
29,15,10,1,1,1,0,80.85377320910945
18,17,11,0,1,1,0,75.2672389592772
31,15,10,0,1,0,1,86.01792201999098
18,13,15,0,1,0,0,73.06045490100944
30,21,12,0,0,1,0,86.96148223559426
33,11,11,0,1,0,1,83.25713784549976
43,21,10,0,1,1,0,95.07880104717732
35,15,13,1,1,1,0,86.83523091036542
32,18,13,1,1,1,0,87.07376425135553
29,8,10,1,1,0,0,76.66333032362427
32,22,10,1,0,1,0,87.98173136265859
28,19,6,0,1,0,1,83.90840390527215
47,19,17,1,1,1,1,101.6069067681464
21,13,14,1,1,0,0,75.75223306809139
36,19,9,0,0,1,0,88.40251241724066
31,14,13,1,1,1,0,81.61896699679313
35,22,14,0,1,1,0,91.00296538687768
40,13,14,0,1,1,1,94.40514623350968
29,14,10,0,1,1,0,79.54288779824147
38,21,18,1,1,1,0,92.70603031337446
29,21,12,1,0,1,1,87.50587971787597
19,16,8,1,1,0,0,72.2214236179516
24,15,9,1,1,1,1,80.04139563881054
29,22,11,0,0,0,0,84.9540010959149
27,30,16,0,1,1,1,93.12686282841234
35,11,12,1,0,1,0,82.32977749715202
40,10,15,1,1,1,0,88.00971636303186
40,15,14,1,1,0,0,89.25822593195217
19,23,12,1,0,0,1,80.47207354933747
30,12,9,1,0,1,0,80.71576792188222
33,11,11,0,0,1,1,85.06846991082743
31,13,14,1,1,1,0,82.41025855705985
34,14,11,1,1,0,1,88.0123952015654
31,20,10,0,1,0,0,85.6804742780495
40,24,15,1,0,1,1,99.90044694122037
37,14,9,1,1,1,1,87.54582680526913
32,13,11,1,1,0,1,85.69725089373398
30,14,10,0,0,0,0,80.50782535899896
34,20,16,1,0,1,1,92.54593430010284
36,32,14,1,1,1,0,96.42422545740152
29,23,12,0,1,1,1,88.21285965314894
36,18,7,1,1,0,0,85.83944454530207
33,18,8,1,0,0,1,86.86227168062823
25,13,14,1,0,0,0,77.09425737217667
39,19,12,0,1,1,0,92.96961279289624
38,14,11,0,0,1,1,89.99644305559504
29,20,8,0,1,0,1,83.58265875027534
31,23,15,0,0,1,1,91.70815451939907
28,12,11,1,1,0,1,81.34314847184447
33,26,9,0,1,0,0,88.4078281778241
