age,average_income,gender,rural_setting,family_history_of_disease,proximity_to_park,physical_activity_hours,health_index
12,34,1,1,1,10,68,303.23796200971583
13,25,0,1,1,10,58,264.0197923197644
9,30,0,0,0,14,67,302.532564376802
13,20,0,1,1,11,52,244.21584420216115
8,26,0,1,0,11,61,278.967488880133
14,24,0,1,0,9,56,258.44735758310225
15,35,1,1,1,9,69,304.47876473625934
11,28,0,1,1,9,62,281.897193549612
9,26,0,1,1,11,60,276.5519142558026
15,26,1,1,1,8,57,259.0991143575836
12,28,0,1,1,10,60,272.36586239636125
11,25,1,1,1,10,58,267.4716377446093
12,26,0,1,0,9,58,265.78545990946725
9,19,1,1,1,15,55,260.1947461989799
13,23,1,1,0,6,52,242.2525373449713
8,23,1,0,1,10,57,266.4958567169562
10,25,1,1,0,10,59,273.18114590213327
14,23,0,1,1,7,55,255.17032280915043
12,24,1,0,1,10,57,263.1205294727461
13,27,0,1,1,10,59,269.00236153651844
14,24,0,1,1,13,58,267.58088605467964
12,23,1,1,1,8,55,256.7475123502986
11,29,1,1,0,8,63,286.0765313018097
14,23,1,1,0,7,53,245.5745826216908
15,23,1,1,1,13,56,258.9220750966492
14,19,0,1,1,12,50,236.2827662907365
18,22,1,1,1,12,54,248.60623247676185
13,25,1,0,1,11,57,261.6155072086738
18,27,1,1,0,8,57,257.65322611306294
12,21,1,1,1,12,54,254.3207132528758
10,29,1,0,0,7,62,280.82157473658674
10,30,1,0,0,10,64,289.09932747518906
10,20,0,1,1,11,53,250.6633180723434
11,19,0,1,1,12,51,243.56102005084284
13,23,1,1,1,9,53,246.75029149355825
9,30,1,1,1,10,64,291.1112190109694
12,23,1,0,1,8,54,254.27724678440717
15,23,1,0,0,9,53,246.28009338903945
13,24,1,1,0,7,55,254.15343851698944
11,27,1,0,1,9,62,285.2086347013381
10,26,1,1,0,10,59,270.53440318754286
10,29,1,0,1,9,62,282.20760652234026
16,24,0,1,1,7,53,245.57222140627897
9,25,0,1,0,10,59,272.85027935062385
10,28,0,1,1,7,63,285.8753606309903
8,24,1,1,0,9,57,265.38334927159394
9,25,1,0,0,13,60,276.68966516879567
13,23,0,1,0,10,53,247.6690967077792
12,26,0,1,0,10,61,278.1387497894081
10,20,1,0,1,10,51,241.95046652439908
15,22,1,1,1,7,51,239.0252694892035
13,28,0,1,0,11,62,278.418335703967
13,14,0,1,1,11,44,216.2258379513075
8,28,0,1,0,14,67,302.00165879953977
8,21,0,1,1,16,57,267.4406191920804
7,21,1,1,1,7,54,254.2190508655364
12,31,0,0,1,12,66,296.95045231296825
13,21,0,1,1,11,52,244.4869555828248
17,29,0,1,1,12,62,276.9901809021636
11,29,1,1,1,10,63,285.0978713931428
12,28,1,0,0,10,60,272.9310102797483
14,27,1,0,1,7,56,256.67368365781886
10,27,1,1,1,9,60,275.50052907300704
9,24,1,1,1,10,60,277.6372201237081
11,29,0,1,0,11,63,282.9614640458961
12,24,1,1,0,8,56,258.6863960498252
12,23,1,1,1,7,53,248.37568753217852
14,28,0,0,1,11,59,268.03754399879244
9,23,0,1,0,10,58,270.43600792778585
14,29,0,0,0,7,61,273.8459078289931
11,21,0,1,1,13,56,260.034374330303
15,20,0,1,0,11,52,243.3053663933831
15,27,1,0,0,8,58,263.4548887722395
13,24,0,1,0,7,54,250.03275215117984
12,26,0,1,1,8,58,266.13354694199114
9,27,0,0,0,11,64,291.1740543913486
9,27,0,0,0,12,62,283.7591818721461
12,28,1,1,0,11,62,278.8048266282761
4,29,1,1,1,11,66,301.9013995646296
12,30,0,1,0,8,66,296.06704925002146
11,27,1,1,0,9,60,275.7131993275138
6,26,1,0,1,13,63,292.4446520049466
9,27,1,1,1,9,62,284.0824337128189
14,19,0,1,1,8,48,230.60201308884407
10,26,1,1,0,10,60,276.15986027339795
12,27,1,0,1,11,62,282.1311260705124
13,27,1,0,0,8,58,265.5151973421593
12,29,1,1,0,4,60,271.9108842179044
4,22,1,1,1,12,57,271.0144159588895
9,23,0,0,1,9,56,259.3044958722503
10,33,0,1,1,9,67,298.13813189547346
12,30,0,1,1,10,64,288.6656612371997
15,26,1,0,1,8,55,252.0527400804569
12,25,1,1,1,9,58,268.44261957006387
12,29,0,0,1,6,61,277.8065282428187
9,27,0,0,0,7,58,266.8777977454369
11,23,1,1,1,12,56,260.5345211656244
9,29,1,1,0,12,64,288.8675945932714
14,27,1,0,0,11,59,270.0598793588436
11,24,1,0,1,8,57,263.8611644033587
10,28,1,0,1,6,60,274.15832919485774
12,22,1,1,1,7,53,248.51560478617773
11,23,1,1,1,9,54,254.04974679551688
6,24,1,0,0,13,59,275.2954442162557
8,25,1,1,0,9,60,277.8580798435006
12,20,0,0,0,9,52,246.2486652900522
11,29,0,1,1,10,62,281.22406321609634
10,23,1,1,0,13,57,263.6765933274448
12,33,1,0,1,7,66,294.3984258717561
14,33,1,1,0,11,69,304.5984422091617
9,20,1,1,1,9,52,246.3229383965154
10,21,1,1,1,12,54,254.46064233853585
15,29,1,0,0,13,62,280.74011215027633
13,27,1,1,1,10,60,273.0134001673112
13,31,1,0,1,10,65,293.25172953870504
13,29,1,1,0,6,59,267.87152423127844
16,25,1,1,1,8,55,251.9679115165841
13,29,1,0,1,10,63,283.3363072161283
11,22,0,0,1,10,54,253.55253955941456
10,24,1,1,0,9,56,260.4502346419802
7,23,0,0,0,6,54,253.07662849160943
11,30,0,0,1,10,65,292.8541783610719
13,28,0,0,1,9,61,277.2495434664335
13,24,0,1,1,9,57,263.32930863870274
11,27,1,1,1,9,60,275.3882082781638
14,31,0,1,1,7,62,277.3333579006686
7,27,1,0,0,7,62,284.75784792627826
11,31,1,1,1,7,64,287.5954070580558
9,25,0,0,0,9,59,272.0827449415803
16,26,1,1,1,9,57,262.0479916828149
11,25,1,0,1,9,58,269.41499229030137
9,28,0,1,1,9,63,285.699965053314
11,28,1,1,1,10,62,282.8006810235383
8,23,1,1,0,11,57,267.2484882475415
12,24,1,1,0,9,56,258.5977377432504
10,20,0,1,1,11,55,257.9026650278981
8,22,0,1,0,10,55,256.5860725784041
14,25,0,1,1,10,56,257.7510318782594
11,24,1,1,1,11,57,263.5487367573222
12,24,0,1,1,11,56,257.82183357240245
9,24,0,0,0,9,58,268.6378266458301
11,23,0,0,1,10,56,260.53757814355527
10,20,1,1,1,10,51,242.6943089228309
10,26,0,1,1,10,60,276.4983726204907
9,30,1,1,1,10,66,299.70403378345515
11,24,0,0,0,12,56,260.08610704755625
10,24,1,1,1,8,56,260.53587673764946
14,21,1,1,1,7,52,244.15623754388355
14,25,1,1,1,11,58,265.65940254605766
12,25,1,1,1,9,59,272.3820630425155
15,27,1,1,1,10,60,269.4206559216507
11,27,0,1,1,8,59,268.75720395837254
11,28,0,1,1,5,60,273.2526254665023
13,22,0,1,1,8,52,242.82305250257625
12,22,0,1,1,9,54,251.2150268220756
13,20,1,0,0,11,50,236.84368882981985
10,28,0,1,1,8,62,282.60266270700464
10,30,1,0,0,8,63,285.8912814809328
13,18,0,0,1,9,48,230.03780681058305
11,24,1,0,1,9,56,262.6946172662579
10,28,0,1,0,9,60,271.80165989413854
10,24,1,0,0,10,58,270.90168059350634
12,22,0,1,1,8,54,251.73444343008973
18,22,1,1,1,9,51,236.00902739488643
11,27,0,1,1,12,60,274.70169629938323
13,19,1,1,0,10,50,237.5556639740431
15,21,0,1,0,10,53,248.5387104775216
9,23,1,1,1,7,54,254.67360489793583
14,22,1,0,1,11,53,248.21074782526668
9,19,1,1,0,10,51,243.61076201414485
14,22,1,1,1,10,54,250.2140673390857
10,27,0,0,1,6,60,275.0709085544368
14,25,1,1,1,8,56,256.80811479293584
16,18,1,1,1,10,48,228.85257658797795
13,23,1,0,1,10,54,250.1091165795496
13,24,0,1,0,8,53,245.7114234239664
12,27,0,1,1,13,60,273.93927211338354
19,19,1,1,1,8,48,227.5212984534164
10,22,1,0,1,9,53,249.3489700371513
11,25,1,0,0,7,58,267.9997675224273
15,23,1,1,1,9,53,247.54362364790364
12,29,0,1,1,10,62,279.2417224610714
9,24,1,0,1,8,57,265.5346718354763
12,20,0,1,0,9,51,240.18158303384536
15,27,1,1,1,10,62,280.5928602428943
8,24,1,1,0,7,58,270.5204827201352
16,25,1,0,1,10,56,257.15860549039127
7,25,1,1,0,9,59,272.2085892761911
13,23,1,0,1,11,55,255.15695508208643
9,29,1,0,1,10,63,286.5032081336485
12,23,1,0,1,11,57,265.3452068907511
12,26,0,1,1,11,62,283.22069564519944
13,25,0,0,1,9,57,261.50919910766646
8,30,1,1,0,9,65,292.88784409620007
13,27,0,1,1,9,60,272.5034416005401
10,31,1,0,1,9,66,297.4920393904852
12,25,1,1,0,12,59,269.6739940122513
10,23,1,1,0,12,59,272.5837714930034
16,24,1,0,1,9,53,245.83271302341169
13,24,0,1,1,9,53,248.1755853619345
14,32,1,0,0,9,65,288.81095271535634
11,26,0,1,0,13,60,274.9785637039765
8,26,0,0,1,12,60,275.3123845322682
11,23,1,1,1,8,56,260.6656362877625
11,31,0,1,0,8,63,283.2940474037791
14,24,1,1,1,12,57,262.7195670919589
14,24,0,0,0,10,55,252.77775778059123
9,25,1,1,0,11,60,278.00598625694204
10,27,0,1,1,8,61,279.9042547220395
12,27,0,1,1,10,59,269.1785389989408
9,21,1,1,0,11,55,259.0920154563923
10,24,1,1,0,9,56,259.0206368470944
10,28,1,1,0,8,62,283.5364065691158
8,24,1,0,1,12,59,275.30682920703816
9,22,1,1,0,8,55,258.2335720569519
7,28,1,1,1,10,63,289.56494272555074
11,31,1,1,0,11,67,300.26915114512616
11,26,1,0,1,11,60,276.0336254559082
12,21,0,1,1,7,51,240.2304531265287
11,25,0,1,1,12,58,267.8390562263884
10,31,1,0,0,10,67,300.9300595661225
10,14,1,0,0,15,47,229.8919035381448
12,24,1,1,1,9,57,264.04849396678844
10,25,0,1,0,10,57,263.43143442362896
12,24,0,1,1,9,56,260.04782873191266
16,21,1,1,0,7,49,229.3793952902253
12,27,0,0,0,8,59,267.13858012873186
11,21,1,1,1,12,54,254.68832126284755
11,17,1,1,0,10,49,233.7259045306712
12,32,1,0,0,11,67,300.0214996932254
13,29,0,0,0,13,63,285.9109467582613
12,18,1,1,0,9,50,238.6212707876985
9,25,1,0,1,7,57,265.2787526506135
10,20,1,1,1,9,52,247.0974170480859
13,25,1,0,0,7,59,271.0618313243643
12,24,0,1,1,10,57,263.1598536137485
15,28,1,0,0,8,59,267.6378224451464
11,28,0,1,0,8,60,272.3758636949262
15,29,1,1,1,8,61,274.6350949614025
11,16,1,1,1,9,46,225.3074173228192
9,25,1,1,1,9,58,267.27191339373815
12,27,1,1,0,9,60,271.69213250921865
13,24,0,0,0,10,58,266.05533370476684
15,25,0,0,1,9,55,253.34220331734423
11,28,0,1,1,8,63,283.7239478448907
10,27,1,0,1,10,61,279.98061821993457
12,27,0,1,1,10,59,266.95813979466294
14,24,1,1,1,11,56,257.6475064894188
9,22,0,0,1,9,55,259.1537880551809
10,25,0,1,1,10,58,267.8452519388577
11,26,1,1,0,10,61,278.6493148080289
14,28,1,0,1,8,60,273.3597423722721
8,22,1,0,1,10,56,264.93352846791095
15,29,0,1,1,7,59,266.3294976745435
11,26,1,0,0,9,58,267.6209731767739
7,27,0,1,0,13,65,297.27048165647284
8,22,1,0,0,10,56,263.63784480034707
11,27,1,0,0,9,60,274.06575225114466
15,32,1,1,0,11,66,293.52257508552776
11,29,0,1,0,7,63,282.96366107689056
13,26,1,0,0,16,61,278.66847921893026
10,32,1,1,1,11,68,304.96816974548574
8,25,1,1,0,9,58,268.3203654797017
13,23,0,0,1,10,53,246.2534644476141
15,24,1,0,1,10,55,254.31939133198185
12,26,1,1,1,9,59,270.35490283141456
7,28,0,0,0,10,65,297.18487858844344
10,27,1,1,0,10,63,288.0239227951694
15,27,1,1,0,12,62,280.7719337573406
9,23,0,1,0,13,59,272.8243063550096
11,20,1,0,0,8,51,242.66036512807312
11,24,1,0,1,8,55,256.08717520843646
14,23,0,1,1,8,54,249.9578826422698
11,28,1,0,1,9,60,272.6235449007435
16,23,0,1,0,8,52,240.1360945136573
11,29,0,1,0,11,63,283.92011272065065
11,26,1,0,0,11,59,270.0255943633545
10,25,1,1,0,15,62,284.118498791586
9,24,1,1,0,8,57,265.5869169286274
8,22,0,1,1,11,57,266.38844668161624
13,22,0,1,1,13,54,251.5568173660977
9,22,1,1,1,7,53,248.60751611223543
13,24,1,0,1,11,57,265.28898341891755
10,27,0,1,1,12,63,285.22021965266805
13,30,1,1,1,9,63,283.2400566631508
10,22,1,1,0,6,53,250.7848221786097
9,29,0,0,1,8,62,280.8518627428887
11,26,1,1,1,8,58,266.64493304361974
13,23,1,1,1,9,54,251.68714264066304
16,28,0,0,0,5,58,262.968054203332
11,23,1,0,1,6,54,252.5462212606806
13,26,0,1,1,10,59,269.3162029485722
12,28,1,0,1,8,60,276.1005347648159
10,25,1,0,1,9,58,268.68164593742046
14,31,1,1,0,9,64,285.1238804492177
11,22,1,1,1,8,53,250.0446818559562
13,31,1,1,0,9,66,295.289235469087
15,23,1,1,1,4,50,230.4440793492225
12,23,0,1,1,11,56,258.61100640221696
10,22,0,0,0,11,54,255.28276180995528
8,18,1,1,1,8,51,245.9690141487053
8,24,0,1,0,9,56,260.0349061240529
11,24,1,1,0,8,56,258.533039803531
9,28,0,1,1,9,62,283.7371676541434
10,24,1,1,0,10,57,263.44802374403804
11,22,0,1,1,11,55,256.35373138282864
11,29,0,1,1,13,65,295.2114182450889
9,25,0,0,1,9,57,263.4331367755139
8,22,1,1,1,7,54,255.7420648192278
8,22,0,1,1,6,54,254.84381915907315
7,22,0,1,1,12,56,263.3189428055797
11,26,1,1,0,9,60,274.2382582247513
13,20,0,0,1,11,52,245.21808557660165
12,24,1,1,1,12,59,272.28164624297534
10,25,1,1,1,11,58,267.800249042286
9,25,1,1,0,7,59,272.4000984692658
13,24,1,1,1,11,56,257.88509148664144
10,21,0,1,1,9,54,252.39818805595263
9,25,0,1,1,12,60,276.9744894693096
10,27,0,1,0,9,60,271.9544678069303
13,19,1,1,1,9,49,234.2815148124556
11,25,1,1,0,9,58,268.19699985880703
12,19,0,0,1,8,49,235.32188880239687
9,24,1,0,0,10,59,274.26221356769736
12,27,0,1,1,8,57,261.1945589778764
9,27,1,1,1,10,64,295.5840859321287
8,28,1,1,0,11,63,286.0368740098333
12,34,1,0,1,9,69,307.70541969139816
10,24,1,0,1,11,57,264.8153706343386
15,25,1,1,0,10,56,258.1116488761472
11,30,1,1,1,10,64,289.8807806456376
12,21,0,1,1,7,51,239.22832745699503
15,28,1,0,0,8,59,268.1966881573373
11,24,1,1,0,9,57,264.0308744783569
10,26,0,1,0,10,62,281.0847394483348
13,18,0,1,1,5,47,226.2353029281821
13,26,0,0,1,9,58,268.35966395758567
8,23,1,1,1,10,56,264.85912697732203
9,27,1,1,1,10,60,277.6168470207484
10,20,1,0,0,10,54,255.1661486285145
9,27,1,0,1,8,59,272.2275553539712
16,24,1,1,0,14,58,265.99023568511245
11,30,1,0,1,9,62,279.6709127488907
10,27,1,0,1,11,62,282.23081926994166
13,20,0,1,1,9,52,246.546220640024
12,27,1,1,1,10,60,275.81834644681425
14,25,1,0,0,10,59,270.5488748437311
13,29,0,0,0,10,61,275.0388203113482
13,30,1,0,1,12,65,294.1993958436745
11,29,0,1,1,12,64,288.00361077100024
12,22,0,0,1,9,51,238.39068444680603
11,28,1,0,1,6,60,274.6906220036984
7,23,0,1,1,11,57,268.1649816843237
15,24,1,1,0,6,54,250.03489570069408
12,22,1,1,0,9,53,247.9788221727104
10,28,0,0,0,14,63,286.4503061665574
15,21,1,1,1,10,50,234.7508258303104
13,20,0,0,0,10,50,236.7103715575925
10,27,1,1,1,9,59,271.0866646694696
14,26,1,1,1,9,57,261.6618674566926
15,30,1,0,1,8,60,270.6017701893492
17,19,1,1,1,10,47,223.4348720836748
9,22,1,1,1,12,56,262.6091919729471
10,28,1,0,1,9,63,288.1137463832989
12,31,0,1,1,10,67,298.8601195638538
13,25,1,1,1,7,57,262.6064621030912
9,21,0,1,1,7,53,248.8488367061344
13,23,1,0,1,9,53,248.6088991613057
9,29,1,1,0,12,65,294.33208443157747
10,25,0,1,1,7,57,264.3806946853323
10,28,1,1,0,11,60,273.05657229692383
6,25,0,1,0,12,61,281.9105970864343
16,22,1,0,1,6,49,230.79786417626957
10,25,0,1,1,10,58,267.58955525040096
11,30,1,1,0,9,65,293.9724476918435
9,23,0,1,1,6,54,252.14241018418377
7,26,0,0,0,9,60,276.69909890394035
10,28,1,1,0,14,64,292.08827933111314
10,21,1,1,1,7,53,249.16545951887397
10,23,1,1,1,11,58,269.70289380814194
11,23,1,0,1,10,55,258.09934636879586
9,24,1,0,1,9,55,256.5871353404444
15,28,1,1,1,8,59,267.4860815929105
11,30,0,1,1,9,66,297.34666889576096
10,24,1,0,1,7,56,261.8105267424548
8,24,1,0,0,9,59,275.6230482350394
8,27,0,1,0,8,60,277.0204972831552
15,29,1,1,0,7,60,270.9431971306846
13,30,1,0,0,9,62,278.18041172473806
10,23,0,1,1,12,58,270.4922223222434
15,25,0,0,1,12,58,264.97866221081074
16,26,0,1,1,12,58,264.65593837451297
14,25,0,1,1,5,55,252.77474146857347
13,24,0,1,1,9,53,247.6267847705572
8,26,1,1,0,9,59,273.3242313623793
17,21,0,0,0,12,52,241.91760114915715
11,20,1,0,0,7,51,242.31456621699957
10,28,1,1,0,8,61,278.6005809479101
13,29,1,0,1,5,59,267.74003563809634
11,26,1,1,0,11,60,275.9120892581821
10,29,0,1,0,12,65,293.0705868878245
15,25,1,0,1,8,56,256.65692702049114
10,21,1,0,1,5,51,243.1855751577017
12,26,1,1,1,11,62,283.2151142745536
10,20,1,1,1,11,52,247.65495389420457
15,26,1,1,1,11,58,264.6976676865074
9,25,1,0,1,7,57,265.5124975714945
10,28,1,1,1,8,62,284.12775637708194
12,26,0,0,1,7,56,256.0578505720403
11,26,0,1,0,11,60,273.07554000526443
13,26,1,1,1,9,58,265.9974804291943
9,23,1,0,1,8,54,252.23146487319957
