age,income,smokes,vegetarian,meditation_practice,stress_level
19,16,0,0,1,45.680697515461226
36,19,1,0,1,37.795487640560914
35,20,1,1,1,39.68407824201738
37,15,1,0,1,38.64296324947615
30,5,0,0,0,37.87049854584768
24,14,1,1,1,43.89530657101903
40,17,0,0,0,35.68813887601265
40,12,1,1,1,35.403730244431856
27,17,1,1,0,41.02440082216114
38,22,0,0,0,36.47376403837388
27,5,0,0,1,39.837997300167565
47,20,0,0,1,34.84807521502623
29,22,0,1,0,40.11317572593353
21,16,0,0,0,45.43619669487582
45,19,0,0,0,32.253550226284744
24,31,0,1,0,44.31794884154435
33,11,0,0,1,38.976937155947645
30,15,0,0,0,39.61365361416176
23,16,0,0,1,44.8996660636146
35,14,0,0,1,39.19636015095602
19,22,0,0,0,45.082717166228335
35,15,0,0,1,37.17138380596765
28,23,1,0,1,42.83051340053306
36,12,0,1,0,36.21649813941501
18,21,0,0,1,47.07243574675543
29,19,1,1,1,42.52556734362102
35,19,1,0,1,40.09689565016712
44,20,0,0,1,36.03882776079968
30,23,1,1,1,41.93171125041482
24,19,1,0,1,44.70834247915012
24,12,0,1,1,44.0165877073067
26,24,0,0,0,42.05459939001948
28,19,0,0,0,39.64422834630111
22,18,0,1,0,42.45331222754962
32,28,1,1,0,40.1292915871199
35,18,0,1,1,38.44281642305991
30,24,1,1,1,43.64227747540276
23,25,0,0,0,42.3857025323213
41,14,1,0,1,36.02988038981053
23,19,0,1,0,44.97007137346449
41,21,1,1,0,36.593042952843554
33,10,1,1,0,38.71295450323791
28,16,0,0,0,38.56755884103842
35,14,0,1,0,36.9640381911325
40,10,1,1,0,34.912171485147354
38,11,0,0,0,34.864770234155124
28,12,1,0,0,40.87301269753445
38,8,0,0,1,36.14658217420441
39,18,1,0,1,37.082217625529125
23,16,1,1,0,43.64641139326732
30,13,1,0,1,39.41762553573196
15,11,0,0,1,48.37900467576437
19,21,0,1,0,46.32260706096368
34,22,0,1,0,38.26001241146643
35,10,0,1,1,39.03616566200944
18,8,0,1,0,43.16802350117233
24,10,0,0,1,45.16037664308713
18,19,0,0,1,45.51304493787246
24,14,0,0,0,41.76294408935226
22,28,1,1,1,46.24140895352442
30,11,0,0,1,38.56630287660026
36,17,0,0,1,38.12459905330663
40,13,1,0,1,36.3699855449749
37,21,0,0,0,37.3229498160854
26,20,0,0,0,41.31465537819656
35,19,0,0,0,35.18936528211966
43,14,0,0,1,34.922719205059
19,23,0,0,0,45.18861313115444
31,6,0,1,0,36.09740694650962
44,21,1,0,1,34.223380632828665
47,13,0,0,1,33.78700439898608
28,14,1,0,0,40.53816625299516
43,8,1,0,0,30.65806297027088
35,12,0,0,1,38.17795845386704
29,12,1,0,1,42.10054674436429
31,23,0,0,1,42.85925102658678
33,17,0,1,0,37.06896222598873
26,10,1,0,1,40.20137062935402
43,16,0,0,1,35.872531907057656
30,17,1,0,1,41.25903124704461
25,19,0,0,1,43.020197545759466
38,7,1,0,1,35.487711862712786
23,21,1,0,1,46.51922064517328
40,25,1,1,0,36.38934626028763
38,25,0,1,0,38.48362001807634
24,19,0,0,1,44.33507573711192
35,24,0,1,1,39.96161329199623
40,22,1,1,1,37.273790961498825
24,23,1,0,1,46.26313116423661
29,8,1,1,0,39.11345451080312
28,18,1,1,1,43.18503941887087
28,12,0,0,0,39.84741461082938
20,12,0,1,0,43.20790213428017
30,8,0,0,1,40.10680607397097
27,21,1,1,0,42.542404048041625
35,29,1,0,1,42.00926579554885
34,10,0,0,0,34.94283992310589
31,19,1,1,0,40.7114652634009
29,16,0,0,1,40.17841470797889
26,18,1,0,1,43.37052869606441
27,19,1,1,0,41.26644417044896
20,26,1,0,1,50.07513012144245
24,22,0,0,0,43.69319100815935
35,17,0,0,0,35.80344201831606
35,19,1,1,0,37.67427885028711
21,20,0,1,0,44.15768874195119
36,12,0,1,0,35.43953902854782
31,10,1,1,0,37.55175147078239
40,22,1,0,0,34.38374263553115
30,18,1,1,0,39.698565956395534
33,15,0,0,0,37.79328995775414
20,20,0,0,0,44.54095617244492
40,11,1,1,1,36.59080148755447
36,9,0,0,1,37.152227313885234
27,26,0,0,0,42.51200236965873
30,18,0,0,1,42.11452439065726
20,9,1,1,1,45.402044048356416
27,2,0,1,0,37.99240002475464
26,15,1,0,1,43.74383487245131
26,26,0,1,0,43.52834259941129
41,18,1,1,1,36.99004939228816
39,12,0,0,1,36.88944884568299
32,16,0,0,1,40.768024944778205
43,11,0,0,1,34.92179988920918
28,17,1,1,1,42.2189169090278
37,5,1,0,1,36.7815938279762
37,16,0,0,1,35.26002381454473
35,15,0,0,0,37.837288178457904
48,22,0,1,0,31.907348603552222
29,18,0,0,0,39.17867273181791
13,18,0,0,0,46.66363944578675
41,20,1,0,0,35.4586458686458
40,23,0,0,1,37.22392335222079
37,16,0,0,0,36.388418670816414
38,22,0,0,1,38.16897862914639
38,20,0,0,1,40.32037337044835
27,28,1,1,0,42.5427042528366
35,14,1,0,1,39.14808667543553
18,21,0,0,1,49.035142714647634
23,9,0,1,1,44.00529364338193
23,15,1,0,1,43.49388140143802
27,13,0,0,1,40.84925336559876
28,18,1,0,1,42.17961513400277
29,18,1,0,1,43.85462267599051
40,2,0,1,1,33.97360713086282
33,26,0,0,0,40.34322536995345
39,9,0,0,1,35.81119123978709
43,16,0,0,0,34.105718594930515
28,33,0,0,0,44.89339372948941
41,13,0,1,1,34.958719264785614
39,11,0,0,1,34.42074370380187
31,31,0,1,0,42.811199972630256
36,20,0,0,1,38.86429056652123
46,20,1,0,1,34.160653697181495
29,16,0,0,0,37.69772859900959
30,28,0,0,1,44.52982591644872
36,21,0,1,0,37.32390957295952
42,16,1,0,1,35.92706189053554
31,15,1,0,1,41.00311170538305
26,28,0,0,1,46.08469250422875
25,23,0,0,1,45.05756678108629
31,19,1,1,0,38.61614531211432
27,19,0,0,1,44.23833456285724
30,18,0,0,0,39.080769736829126
23,15,0,0,1,44.94297116686899
48,19,0,0,1,33.36325285753501
34,19,0,0,0,37.94455526779576
26,15,1,0,1,41.94723572872943
38,19,1,0,0,34.97473520552719
28,20,0,0,1,41.567778114652086
34,19,0,1,1,39.35044310128959
31,19,0,0,1,40.652804844717686
21,15,0,1,0,43.903822176642834
30,16,0,0,0,39.64748224966964
26,18,0,1,1,45.30665405249954
35,20,1,1,1,39.70006859178261
49,10,0,0,0,28.360079770100214
36,23,0,1,0,37.855151864867466
26,22,0,0,0,42.60584635074869
35,18,0,1,0,38.19086090483263
40,17,0,0,1,35.01064981432717
38,10,0,1,0,34.74062371136664
29,19,1,0,1,42.07110028426767
39,22,0,1,0,35.64386589599158
25,19,0,1,0,41.41550851741165
44,20,0,1,0,31.700499607734397
29,20,1,0,1,41.265609279545984
37,3,0,1,0,32.78839905423664
20,16,0,1,0,43.33595809810734
32,19,0,0,1,41.02301406003124
28,11,0,1,0,38.92550115484441
21,21,0,0,1,44.99726886486605
20,17,0,0,0,44.479910627033306
31,13,0,1,0,39.42288504792071
26,22,0,0,1,44.04956686565247
17,9,1,0,1,45.408941581381896
39,23,0,0,1,38.36515260671075
26,19,0,0,1,44.129497489893474
27,16,1,0,0,40.627803807307856
30,29,0,0,1,44.43081839557679
41,15,0,0,0,33.78449521841269
37,19,1,1,0,35.335081314212985
39,17,0,0,0,34.557892724630406
25,10,0,0,1,42.244487717132095
34,13,0,0,1,37.67821185144485
41,17,0,0,1,36.270437686843856
17,25,0,0,0,47.78116789086
23,31,0,1,0,46.16021529602372
42,22,0,0,1,37.14687338299189
31,11,1,1,1,39.07129318609669
26,21,0,1,0,42.52398551040282
25,17,0,0,0,39.08747719811865
27,20,0,0,0,41.458432289208965
33,30,1,0,0,41.39506281006832
29,14,1,0,1,41.47111975591678
42,9,1,0,1,35.93396651382471
31,18,1,0,1,41.01170660461315
12,23,0,0,0,48.54085551122488
33,16,1,0,1,40.07209450700705
40,22,0,1,0,36.2332800200474
28,15,0,1,0,40.85441300212594
26,18,0,1,0,41.24507379893701
33,22,0,0,1,38.18746963724431
35,9,0,0,0,34.636437717002536
35,25,0,1,0,39.10517356477902
31,13,1,0,1,41.45892738762811
28,14,1,0,1,41.83271851311588
33,21,0,1,0,39.26936681428719
41,19,0,0,0,33.74620327020894
36,13,1,0,0,36.81976357937266
43,9,0,0,0,33.87209384435658
38,14,1,0,1,37.93474753995768
42,22,0,1,0,34.23568862298612
26,17,0,1,1,43.51743569492974
36,21,0,0,0,38.02087237579876
32,19,0,1,0,38.611454462741065
19,22,0,0,0,44.797866545602126
48,10,1,0,1,31.78839367339694
19,23,0,0,0,44.4748231373216
26,7,0,1,0,40.2600021240965
32,12,0,1,1,37.67038626058274
23,21,1,0,1,43.90889456854494
28,11,0,1,0,39.772984541694754
29,27,0,0,1,42.7923516291807
34,17,0,1,0,36.75238580249978
24,16,0,0,0,42.50547284007296
27,20,1,0,0,40.95486317579963
22,18,0,0,1,45.33837565165054
24,25,0,0,0,44.05748168184316
42,14,1,1,1,33.5236404489253
37,13,1,1,1,37.52083045765819
35,21,0,0,1,38.47895072318896
34,13,0,0,1,39.58427068261059
23,21,0,0,1,44.02596383030493
39,18,0,0,0,36.30503465088064
36,20,1,0,1,40.86670480247343
30,17,1,0,0,38.71804228483146
16,14,0,1,0,44.56914563032564
43,9,1,0,1,35.94643559005405
