age,income_thousands,years_of_education,smoker_status,exercise_routine,vitamin_supplement,health_score
33,15,13,0,0,1,51.70663571506841
33,16,11,0,0,1,54.42098575891202
31,23,15,1,1,1,55.48434380913165
28,12,15,0,0,1,47.99945941601111
34,15,14,0,0,0,50.18575319968734
32,14,16,0,1,0,48.33398790708919
28,11,11,0,0,1,52.44000957960135
30,16,9,0,0,1,55.636006542273705
25,25,14,1,1,0,53.30875000125127
48,26,9,1,0,0,59.045884832275874
26,10,9,0,0,1,53.8804607896996
25,22,14,1,0,0,50.6926609860608
27,17,14,1,1,1,51.96031297608133
27,16,13,0,0,1,50.35920931909664
39,25,16,1,0,0,50.606565547279175
40,13,10,0,1,0,53.66797530132261
38,23,11,0,0,0,54.53712399948088
28,21,5,0,1,0,61.39306590898045
34,15,12,0,0,0,52.36620039469165
34,20,11,0,0,0,54.88776208772074
43,14,10,0,1,0,54.21777251797035
37,20,13,1,0,0,54.96579894026361
31,18,9,1,1,0,56.02910403029807
39,12,9,0,1,0,54.22905174716455
33,21,7,0,1,1,60.54292971863604
25,13,10,1,0,0,52.556048864500674
42,15,14,0,0,1,52.96345852999376
33,5,9,0,0,1,52.72366700344958
35,15,11,1,0,1,54.97590302231839
32,16,8,0,0,0,54.63090122380837
33,12,15,0,1,0,47.70346591519772
31,14,9,1,1,0,56.33726492238678
32,18,16,1,1,0,48.594243719512384
27,15,11,1,0,1,52.22832382889106
44,18,10,1,0,0,54.61730504954771
41,10,8,0,1,0,55.214229688862886
26,18,12,1,0,0,52.7738094936168
41,16,8,1,1,0,58.035170766077314
30,16,5,0,0,0,57.25765083754209
49,11,16,0,0,1,50.12872520657164
42,14,15,1,0,1,51.82719762574045
35,15,9,1,0,0,55.69012139717539
28,13,11,0,1,0,52.56693913494594
32,21,12,1,0,0,51.82194447184855
32,12,7,1,1,0,54.624145726804265
39,21,14,1,0,0,52.58552666990112
27,24,14,0,1,0,53.05203880900871
30,21,13,1,0,0,51.03669387894668
41,18,12,1,1,0,55.4654047849681
19,23,14,0,0,1,54.07723178660792
19,25,8,0,1,0,58.27087291238591
28,16,11,1,0,1,53.19712051973513
37,27,14,0,0,0,53.34506889025526
34,13,13,1,1,0,50.28990035966431
34,23,12,0,1,0,55.247851225650194
36,16,8,0,0,1,56.93439349140235
21,16,8,0,0,1,55.43487407727387
25,20,12,0,1,0,50.72565392711231
38,26,6,0,0,1,64.48705617305681
32,17,15,0,0,1,51.65103751410548
36,21,11,1,0,1,56.61396256146049
24,17,5,1,1,0,58.23447522530518
28,24,6,0,1,1,62.54053917882969
29,20,9,0,1,0,57.08726250929012
36,15,11,0,0,1,55.34123338919554
22,12,15,0,0,1,46.73302296803036
30,28,7,0,0,1,61.52732901939514
36,18,9,0,1,0,56.1079804393231
22,25,13,1,1,0,53.264530289464346
25,21,8,0,0,1,58.309400357731
30,26,17,1,0,0,50.453169426831
37,13,8,1,0,1,55.35486201723402
33,8,12,1,1,0,50.02456574817003
49,15,7,1,1,0,59.28956058299775
25,19,11,0,1,0,54.2627947038903
41,13,13,0,0,1,51.1510888193214
31,18,5,1,0,1,59.84337055051199
39,19,15,0,0,1,52.68351052653693
37,7,11,0,0,1,51.1774810646
30,19,11,0,1,1,55.93101428035881
31,21,13,0,0,1,54.11751011005638
40,10,8,1,1,0,56.03230578636318
20,16,13,0,1,0,49.03625776089304
25,14,15,1,1,1,48.93398739971437
30,25,11,0,0,1,57.78185140950263
39,18,10,1,0,1,57.19043586469951
52,16,8,0,1,0,59.14035216541674
28,25,14,0,0,0,51.55845246166192
34,20,12,0,1,0,55.77897397974912
34,23,9,0,1,0,57.516586439549926
17,11,11,0,0,1,48.723329602858925
36,5,10,0,0,0,50.2129945320072
30,16,7,0,1,0,58.20906680609165
40,14,13,1,0,0,52.50264161559149
26,14,14,0,0,1,49.60591786093198
31,14,10,0,1,0,53.661832148674215
29,23,16,1,0,1,50.72674282591205
35,13,14,0,0,1,50.15218073226984
37,10,14,1,0,1,50.40763791806379
35,20,13,1,0,1,53.9920811838372
41,16,11,0,1,0,54.16490267528297
34,13,12,0,0,0,50.16711157692143
36,11,9,0,1,0,53.05422853624108
26,16,8,1,0,1,58.22503900417951
27,17,15,1,0,0,48.56140984184419
29,10,13,0,1,0,48.9097461622832
24,22,11,1,0,1,54.953616645994416
44,22,8,1,1,0,59.11701712761453
26,24,12,0,0,1,55.34265944996813
39,12,14,0,1,0,51.383224271523126
23,19,14,1,1,0,51.23084607558186
35,11,7,0,1,0,57.58037258131942
36,9,17,0,1,0,44.08360921339597
31,19,10,0,0,1,57.93159126560806
28,17,11,0,0,1,54.6915259649392
41,17,10,1,1,1,57.482965898767794
25,21,13,1,0,1,52.57505210750781
46,14,13,0,1,0,53.93101314812705
42,19,14,0,0,0,50.81195300756653
24,16,15,1,0,1,50.57279683015353
34,11,7,0,0,1,57.22932616853654
30,18,17,1,0,0,47.78744714534111
28,22,15,1,1,0,51.53954919318328
33,14,10,0,0,0,52.88685576721709
34,24,11,0,0,1,57.56076506257804
31,19,12,0,1,0,52.096808548198055
39,16,14,0,0,1,55.84924282580568
29,17,13,0,1,1,54.27450550024773
26,20,9,1,1,0,58.42666049040163
36,15,9,0,0,1,57.03427205487791
23,16,15,0,1,0,46.80945509902468
38,19,13,1,0,1,56.12217555182798
21,22,16,0,1,0,49.764604828562376
37,26,16,1,1,0,52.802978512750926
31,29,10,0,0,1,59.00871743798212
32,17,12,0,1,0,51.199339554266224
24,15,9,0,0,1,54.65260403294443
27,22,10,0,1,1,57.720159377162766
31,19,12,0,0,1,56.22174813914806
27,12,11,1,1,0,51.41884132548538
18,12,8,1,0,1,54.1658087311147
34,13,15,0,0,0,46.4850013354734
27,22,11,1,1,0,56.88644022456257
32,14,15,0,0,1,49.757428539469736
34,13,9,1,0,1,55.66358663432022
42,19,12,0,0,1,56.45185391176452
39,19,8,1,1,0,59.23395051230189
34,18,10,0,0,0,55.18050975873067
22,12,10,1,1,0,51.62385004622631
37,13,13,0,1,1,52.64290532489595
19,15,14,0,0,1,47.87961506386432
27,23,13,1,0,0,51.582339548176535
38,18,8,0,0,0,56.60842364947952
31,21,15,1,0,1,50.80927314301571
26,12,11,0,0,0,48.83438687225389
33,17,8,0,0,1,57.47137628100563
25,15,16,0,1,1,48.78153781542888
27,11,13,0,1,0,49.34436885395398
38,16,7,1,0,1,58.61157735722608
28,18,8,0,1,0,57.02216784891826
21,16,12,1,1,1,52.996876759379184
41,15,14,1,0,1,52.754931132078944
30,17,13,0,1,0,50.45606425075864
33,11,15,0,0,0,46.41910469704485
28,23,12,0,0,1,56.49047225921322
35,26,14,0,1,0,54.4645470497576
25,14,13,1,0,1,51.282198472819765
29,16,11,0,1,0,54.16439214099925
30,15,13,0,0,1,52.25739769126912
36,18,14,0,0,1,52.204619203842114
31,13,13,1,1,0,50.32717634219104
27,23,9,1,0,0,56.60645510230513
33,13,7,0,1,0,54.61020283685055
40,12,11,1,0,1,53.72034623889133
26,21,16,0,1,0,49.6171154111143
30,17,13,0,0,1,51.58844486386633
35,33,11,0,1,0,60.93732381943927
31,15,10,1,0,0,52.91198963677186
34,11,10,1,0,1,53.28769708898413
25,21,15,1,0,1,52.440943641025335
30,23,13,0,0,1,54.86886904169806
37,9,10,0,1,0,52.53861974165671
31,14,13,1,0,0,49.53761640869367
23,15,9,0,1,1,56.79072420454439
19,27,11,0,1,1,58.86456186420519
34,20,13,0,0,0,50.567263131056535
17,14,10,1,0,1,52.24569051546917
32,22,6,0,0,1,62.77077536830581
36,20,8,1,0,1,58.85242125568379
35,27,14,0,0,0,53.10982529166579
29,18,7,0,1,0,58.60121338859508
38,10,15,0,1,0,46.25909380131602
30,17,12,1,0,0,51.48859598572839
17,24,13,1,0,1,51.745429083319486
43,10,14,1,1,0,50.354979261900056
35,19,12,0,0,1,53.82027180364376
25,19,14,0,0,1,53.2595735773778
11,26,14,1,1,0,51.5052567168537
37,14,14,1,0,0,49.29770470730345
29,18,9,0,1,1,56.214440467287446
25,21,16,1,0,1,50.37088076193244
29,21,14,0,1,0,51.91137916335824
25,18,9,1,0,1,55.11871086312976
31,19,9,0,0,1,58.2906190986424
40,16,13,0,0,0,51.59411022033551
51,24,3,1,1,0,67.54203479354557
31,21,9,1,0,1,57.42357770508816
25,12,15,0,1,0,47.91174286495704
28,20,12,1,0,1,53.80654483248273
37,22,12,1,0,1,55.39252461169903
41,15,14,0,1,0,51.60488041145744
25,15,9,1,1,0,55.32799890394076
35,11,15,1,0,1,48.76310629141961
38,27,12,1,1,0,57.31748859393373
35,19,7,0,0,1,58.5344618370149
37,14,11,0,0,0,53.52586963761431
28,18,14,0,0,1,50.80738906643596
20,15,13,0,0,1,51.04256598184776
30,12,11,0,1,1,52.26588215543247
23,19,10,1,0,1,55.6125593787524
34,15,16,0,1,0,48.81702905770644
43,11,12,0,1,0,51.59224957590399
23,23,10,0,1,0,57.92790723153478
38,15,15,0,0,0,48.30348743592422
39,27,11,0,1,0,57.43404058228485
25,17,7,0,0,0,57.20754628574412
36,22,11,0,0,1,57.841367044873245
44,19,13,1,1,0,55.20433179248728
30,10,9,0,0,1,53.15095810919069
33,20,12,0,1,0,53.08034648077087
40,10,14,1,0,0,48.0504823736002
51,26,9,0,0,0,60.84018002356725
28,12,8,0,1,0,55.40814368178821
37,11,13,0,0,1,51.65888859731432
23,17,11,0,0,1,54.28328191424213
28,20,11,1,0,1,54.13186631842213
27,13,11,1,1,0,50.93682851406935
28,12,11,1,0,1,52.424520231758926
14,17,10,0,0,1,53.01467830417892
40,8,11,0,1,0,52.14268321053974
26,15,4,0,0,1,61.108728364548185
32,23,11,0,0,1,58.90361929661788
44,14,6,1,0,1,60.20113552524353
26,17,6,1,0,0,56.06492725265287
24,18,15,1,1,0,47.99516300811092
27,14,7,1,1,0,57.13510674786156
24,22,11,1,0,1,55.17236480119754
38,18,5,0,0,1,61.83003434616307
22,19,9,0,0,0,54.2245011375088
28,20,12,0,1,1,55.59803037710073
35,24,8,1,0,0,57.591526953268016
36,14,11,1,0,0,50.96657740109414
30,9,11,1,1,1,52.07605293846623
39,12,11,0,0,1,53.64865823748618
34,14,15,1,0,1,50.68822750353618
34,21,12,0,1,1,56.18265159837293
37,18,11,1,0,1,54.35708285027963
29,15,8,1,1,0,55.78952883030584
37,11,8,1,1,1,56.86978578853929
33,16,9,1,0,1,56.61520796117151
34,18,16,0,1,0,47.54658202838828
29,16,9,0,0,1,58.0617825766318
28,14,14,0,1,0,49.74649712712172
31,26,10,1,0,1,59.22693207726622
24,13,8,1,1,1,56.47296215682091
25,10,8,1,0,1,54.04606136727324
27,13,12,1,0,1,51.881869284198665
32,18,15,1,0,0,49.438499204663465
27,29,13,0,1,1,57.3766209518938
37,24,12,1,1,0,56.79143194722114
27,27,11,0,0,1,56.58015355701846
32,26,7,0,0,1,60.76910778650831
40,22,14,0,0,1,54.464339567142446
26,21,12,1,0,1,55.87709619652178
26,19,9,1,1,1,56.793798177277566
31,33,16,0,0,1,54.122252105326936
41,19,17,1,0,0,47.71131715626788
31,14,12,0,0,0,51.44803788550087
28,10,12,0,1,0,49.12381592294501
22,15,13,1,0,0,47.75034592945341
26,16,11,0,0,1,53.186181955670506
40,20,13,1,0,1,53.974062673350616
41,19,13,1,0,0,52.710272594614686
38,10,5,0,0,1,58.70284446842708
27,16,8,0,0,1,56.51313017603594
29,10,9,1,0,1,53.105808112022224
36,14,12,0,0,1,52.61226783708182
24,15,10,0,0,1,54.759249476736215
41,18,10,0,1,1,58.34162848112261
23,6,15,0,0,1,44.74119306038719
43,13,10,1,0,1,55.18043383519374
33,19,10,1,0,1,56.22478996014478
32,20,12,0,1,0,53.93389283709851
35,24,10,0,0,0,56.57101414910856
27,15,16,1,0,1,48.64181037445047
48,25,10,0,1,1,63.66052524291105
23,20,12,1,0,0,51.41447718359875
29,20,10,1,0,1,54.56337202454567
32,5,9,0,1,0,51.28753729272736
35,20,10,0,0,0,54.90131048504804
36,18,16,0,1,0,50.06434457724807
36,17,17,0,0,1,48.834251548490506
29,19,10,1,0,1,56.71840637016627
40,11,13,1,0,1,51.54089777601314
25,22,12,1,1,1,55.32706404956221
36,15,9,0,0,1,55.001979120982746
27,20,12,1,0,1,53.751779020046285
34,14,9,0,1,0,55.31171190231014
24,25,11,1,0,1,56.85790925874854
43,10,13,0,1,0,51.02483303321304
38,24,7,0,1,0,57.860894834679534
32,23,13,1,0,0,54.775692495632896
28,20,12,0,1,0,53.97758497116466
33,21,13,0,0,0,52.38651299222043
32,18,14,0,1,0,50.84928109861176
26,19,16,1,1,0,48.168573379020415
31,34,14,1,1,1,58.79608112665331
35,21,15,1,1,0,52.16374231105447
29,14,14,1,1,0,47.72702225195878
13,24,13,0,0,1,53.60589362965284
24,18,13,1,0,0,50.140847456063554
31,17,9,1,0,0,54.71965586206738
35,5,12,1,0,1,50.43391951125105
37,18,12,1,0,1,53.08992170092657
41,17,9,0,0,1,56.81171655656213
37,17,9,1,1,0,58.8816919163033
27,24,10,1,0,1,57.90960058700476
28,16,12,1,0,1,53.43902341727355
37,21,13,1,1,0,54.973724849646494
24,14,9,0,1,1,54.67463550453562
29,17,5,0,0,1,62.86881123800711
28,25,13,0,0,1,55.17659332861871
32,21,8,0,1,0,57.702949307391485
32,13,13,0,0,1,50.505081114701234
17,15,15,0,1,1,46.47929550670677
36,21,10,0,0,1,59.40045358586662
26,18,1,1,0,1,65.81582277664218
35,15,14,0,1,0,48.93476689770765
41,25,10,0,1,0,58.51989085746303
39,14,15,0,0,1,49.81511986816432
33,26,11,1,0,0,54.45623492899744
40,20,10,1,1,0,57.22875187507741
28,15,11,1,1,0,52.30063689684574
28,13,19,1,1,0,42.96040630896512
39,17,16,0,0,0,48.223603029824176
22,12,13,0,1,0,47.93870266400004
37,20,6,1,1,0,62.20736003603303
25,18,16,0,1,1,49.4381878509756
24,10,16,1,0,1,44.30457584370556
26,19,16,1,0,0,47.464142849273045
35,15,13,0,1,0,52.281200798041226
20,23,8,1,0,1,58.3576308633741
29,22,8,0,0,1,59.33772282806471
26,9,11,0,1,0,50.50057258485571
21,12,11,0,0,1,52.623521722290576
24,13,15,1,0,1,48.22711282717649
20,19,13,0,0,1,51.21373201971073
36,24,12,1,1,0,56.04606306887676
38,23,14,1,0,1,55.04546002910864
15,18,9,0,1,1,55.82041145470511
27,6,8,0,0,1,52.85183682132178
35,17,9,0,0,1,59.13371038988241
31,11,12,0,0,1,50.23665443521174
31,20,9,0,1,0,57.43928678885996
29,18,10,0,1,1,56.818064523911424
22,23,16,1,1,1,53.46402052552224
35,20,11,1,0,1,56.29672623669278
33,17,13,0,1,0,52.76110979641226
40,9,14,1,0,1,49.92297990476745
41,24,12,0,0,0,55.90929684864568
33,25,10,0,0,1,59.677658508341
31,17,13,0,0,1,51.37711837641456
31,21,12,0,0,1,53.81107553911404
