education_years,farm_size,annual_rainfall,soil_quality,use_of_irrigation,use_of_pesticides,regional_rainfall,fertilizer_use,crop_yield
10,25,10,14,1,1,8,38,126.82495534959853
14,29,7,11,1,1,8,38,129.11374275417825
8,34,8,12,1,1,9,42,139.80560808650114
12,26,6,12,1,0,6,35,122.67327263565704
12,20,7,13,1,0,11,39,129.19355000109863
13,20,5,9,0,0,9,37,123.22238473243284
16,20,9,6,1,1,10,38,123.5638489302909
10,28,6,8,0,1,13,40,132.63542054245136
9,25,4,10,0,1,10,35,123.10224347209731
13,29,8,8,1,0,7,38,128.73708197052423
12,18,10,12,0,0,8,38,126.05134737802034
14,23,14,9,1,1,7,39,129.0145646519222
10,22,7,9,1,0,7,37,125.1909065607946
11,29,11,11,1,0,10,42,135.54587433842624
12,30,7,13,1,0,7,38,130.36543469623706
13,23,7,9,0,1,9,36,124.11066039096008
10,29,9,10,0,1,6,38,130.6017737445445
10,23,3,9,1,0,6,35,122.1511916995002
9,27,10,10,1,0,7,39,130.66308115859803
12,24,8,12,1,0,9,39,128.9560024611001
13,29,12,13,0,0,8,42,135.62483519494373
10,23,7,8,0,1,9,37,123.115724932181
14,25,0,13,0,0,9,34,119.76755187163477
5,28,3,16,1,1,6,38,132.44039915792746
13,18,5,11,1,1,12,37,123.94452426546144
13,28,10,10,1,0,11,41,135.4286710891716
8,27,8,12,0,0,10,41,135.02707509337483
10,21,10,11,0,0,8,39,127.6365094223369
6,33,8,11,0,0,9,41,135.7584250914625
11,29,3,18,0,1,11,38,131.8639001584832
10,27,10,11,1,1,11,41,134.6686652445365
13,27,4,14,0,1,8,35,124.59786008667892
8,21,11,7,0,1,7,36,121.27468004204052
9,25,10,8,1,1,6,39,129.2620607594069
9,24,8,10,1,1,10,40,129.6396108279252
13,22,9,11,1,1,9,38,126.24360027371092
10,31,6,12,1,0,9,39,133.67806143135607
12,30,6,13,0,1,5,37,126.62260692350006
9,26,8,9,1,0,8,36,126.136443273347
13,32,12,12,1,0,7,38,130.1279616987768
12,29,12,6,0,0,10,41,130.315770087416
12,19,8,8,1,1,9,38,124.2399329338012
14,29,11,8,1,1,7,38,129.37800647695065
9,32,9,12,1,0,9,41,136.48813946815568
10,26,8,10,0,1,10,39,131.94495534382185
11,32,8,12,1,0,11,39,132.54149340409174
11,23,8,11,1,1,8,37,124.29312097243802
7,24,7,10,1,1,9,39,130.75667753777998
13,22,10,8,1,1,9,37,122.3696398901571
14,24,7,10,1,1,9,36,123.31651450114148
13,25,8,12,0,1,10,38,126.18544191731893
10,27,6,10,1,0,11,38,131.06557542752842
12,28,5,9,1,1,8,37,126.66641237247326
13,27,13,12,1,0,6,38,129.27069231845647
16,24,5,8,1,1,12,38,124.793334468896
10,24,10,9,0,0,10,39,128.82783407076084
11,22,9,8,1,0,7,39,127.1719466425586
12,21,8,13,1,0,5,36,124.2673435008562
11,30,10,10,1,0,8,41,135.2941323207153
13,28,14,11,1,0,7,42,137.55524486119143
6,21,8,10,0,1,10,38,127.23133924817382
12,26,8,8,1,0,11,39,130.02878308513883
0,25,9,13,0,0,7,41,135.64977589647293
5,22,7,9,1,0,5,36,124.71369846955076
9,27,14,9,1,1,10,43,138.24757730119848
11,28,7,8,1,1,8,39,130.16440425426745
6,26,9,14,1,1,8,40,133.55537975140317
10,31,4,8,1,1,8,36,125.96158949598214
12,27,7,12,0,1,11,39,128.66539806300983
11,24,10,9,1,1,11,39,128.51572516257642
15,23,6,14,0,1,8,37,126.39720758386284
10,29,8,12,1,0,4,37,127.79894218625458
8,26,11,10,0,0,10,42,134.12974292247128
7,22,8,9,0,0,8,38,128.4635569708881
13,22,6,11,0,0,10,37,125.36177625737204
7,26,11,12,1,1,10,40,132.77910745141335
13,21,11,10,1,1,12,41,131.3145304330542
15,24,9,10,1,1,6,37,123.80136590394515
15,29,6,12,1,1,5,35,124.11783645395307
12,26,11,10,0,0,9,40,132.52097347767582
10,23,7,10,1,0,9,38,128.32438928971513
14,30,6,12,0,1,12,39,130.50867600129135
10,28,10,8,1,0,9,41,135.08994621347597
9,19,13,10,1,0,6,38,124.46159767749808
15,25,7,13,0,0,7,37,124.80868252107422
13,25,10,8,0,0,7,38,127.38964902733088
12,25,6,7,1,1,7,36,124.4378230196398
13,16,13,8,0,1,8,39,123.60220009978076
12,28,5,7,0,1,8,35,122.73587094092218
15,26,13,11,1,0,8,39,129.12084039887205
16,26,15,13,0,0,11,43,135.96981942364386
10,19,5,11,0,0,9,36,120.33098910612227
9,23,9,13,0,0,5,37,125.0969410501465
17,29,11,16,0,0,3,37,126.59692000317447
13,31,11,10,1,0,9,41,133.41647280800652
8,21,9,10,1,1,8,38,125.71243378907404
10,26,8,13,0,0,11,40,130.68894552300782
10,31,8,12,1,0,7,38,130.88847207721432
9,28,11,12,0,1,9,41,134.5659290467347
13,24,7,10,1,1,7,34,121.60282233758156
12,22,3,8,0,1,9,35,119.9077958298182
10,30,8,12,0,1,6,37,130.01731897835538
11,29,4,10,1,0,9,37,128.82052658488806
4,20,11,8,0,1,7,38,124.32090483950265
15,27,7,9,1,0,8,36,124.39634319307427
11,33,8,11,0,1,5,37,130.3037047304991
15,29,11,16,1,1,9,39,130.63871949259303
9,25,11,9,1,1,9,40,130.46461981605566
14,21,13,13,1,1,8,38,123.53965098736062
18,25,13,10,1,0,7,38,126.80377685053494
14,29,5,8,0,1,11,37,125.81859931006726
10,20,10,12,0,1,8,39,126.5847588039555
9,25,10,8,1,1,5,38,127.45476624503604
14,26,8,11,1,0,6,36,125.03735247924374
12,29,11,10,1,1,10,41,134.237246301931
13,25,8,12,0,0,10,39,128.4356782023808
5,28,10,10,1,1,8,39,132.50265660545472
12,27,11,12,1,1,8,38,129.3488479416565
14,29,5,10,0,0,11,37,128.2083023475842
10,26,7,10,1,0,10,38,127.63576065021216
11,23,8,10,0,0,9,36,126.30323673987856
9,31,7,11,0,1,6,39,131.04866143527863
10,30,9,6,0,1,5,37,127.99419711308354
11,23,6,9,0,0,9,34,120.31702520702606
13,26,4,11,1,1,4,34,121.79935760471017
18,21,10,11,1,0,6,36,120.17053238027388
10,22,12,8,0,0,7,38,126.78243100855306
9,23,9,9,1,0,10,40,130.0068354199936
14,33,8,12,1,1,8,37,129.77792366480844
11,27,12,8,0,1,11,40,131.59535791985235
11,24,10,9,1,1,6,37,125.64043968597164
8,25,8,7,0,1,12,40,128.9060960409135
13,20,9,14,0,1,12,41,130.79929338376877
12,28,5,13,0,1,10,37,127.20185461259476
18,26,9,10,0,1,8,37,125.02867913118992
13,27,6,11,1,1,11,39,129.95586405129882
14,25,10,13,0,1,11,39,129.7207673496978
14,24,7,13,0,1,3,35,123.25167181141798
10,30,9,10,0,1,8,37,129.25563375780564
11,20,8,12,0,1,6,35,121.3785169714305
18,26,11,8,1,1,7,37,124.71972749019702
13,25,12,10,0,1,6,38,126.6125789897282
10,25,13,17,0,0,8,41,135.4416571661599
10,32,9,12,1,1,7,39,132.65624763116685
10,28,8,8,1,1,8,40,132.9644138149584
14,21,9,7,1,1,12,36,123.02108574892156
16,23,10,12,1,0,13,41,131.79764271227106
12,30,14,11,1,1,10,42,136.179598656892
9,26,6,10,1,1,6,39,129.59263516893026
14,24,10,12,1,0,9,39,129.71307679820782
10,26,15,12,1,0,7,41,133.6538593358632
8,27,8,9,0,1,10,38,128.37987965714916
12,31,14,9,1,1,8,40,133.45812478290944
8,26,10,12,1,0,6,40,132.3759756620638
14,25,10,15,1,1,9,40,132.16192053810417
12,28,7,13,1,0,8,37,129.63258408726347
11,28,7,12,1,1,7,37,127.59609452242226
13,30,10,9,1,0,7,40,132.6849384741241
9,22,8,12,1,1,8,38,128.29402955559783
15,30,9,10,1,1,10,38,129.7197602665326
9,19,5,8,1,1,10,36,121.06149328161747
8,21,6,12,0,0,9,40,131.09366453219047
15,27,9,10,1,1,10,39,128.2172681474729
9,21,9,10,0,1,9,38,127.0337692593805
6,33,10,11,0,0,8,42,137.93599984355973
11,25,8,14,1,0,3,36,124.68374441091692
12,29,9,10,0,1,7,37,128.85464283379775
12,23,6,12,0,1,9,36,121.97010476262624
13,30,6,13,1,1,11,39,131.1373256116603
13,28,10,11,1,1,7,38,128.8340386556841
9,26,11,11,1,1,4,38,128.50179116330014
12,28,7,12,1,1,10,39,129.20415412968924
12,25,11,11,0,0,9,39,127.56364470471182
10,23,8,11,1,0,7,38,127.95001495156885
11,26,5,11,0,0,6,36,125.25633008981823
16,33,8,8,1,1,8,37,128.96010020416696
10,25,12,10,0,1,12,41,131.0445911828545
12,33,10,13,1,1,11,42,137.6746997205156
15,25,8,8,0,0,9,36,123.45838900725197
12,27,8,12,0,0,7,36,125.05141926642024
14,24,8,12,1,0,11,41,132.9081139444353
14,30,7,15,0,1,11,39,131.2461059551838
10,26,7,10,1,0,6,38,129.35372364629762
10,23,8,9,1,1,10,40,130.96358320980806
13,27,5,8,0,1,11,37,125.93281652611545
14,30,8,9,0,1,7,36,124.336726413027
10,21,8,12,1,0,11,39,126.56834960559704
12,29,10,5,0,1,5,35,123.05391973307128
12,27,7,10,0,1,9,38,130.58483506279242
11,28,9,14,1,1,9,41,133.5420518742584
8,32,12,9,1,1,2,39,132.8528201813266
16,22,4,10,0,0,10,34,119.80534505360326
9,29,10,10,1,1,8,39,130.8998683409787
12,23,6,15,1,1,9,36,124.79572951173836
13,25,5,14,0,0,8,37,126.38423895209482
6,24,11,15,0,1,7,41,133.58660005263818
17,22,10,10,1,1,6,35,121.02212318304495
11,24,12,9,1,0,12,42,133.54739653192684
16,19,8,8,1,1,9,34,117.15858871855562
13,18,11,10,0,0,11,40,126.45268362248454
12,27,8,11,1,0,9,40,132.44531475234655
14,30,5,12,1,0,8,38,130.8045633350039
9,25,6,11,0,1,9,35,123.40486607557472
12,25,8,7,1,0,11,40,131.8131623160461
11,28,10,12,1,1,8,38,130.39180172343316
11,24,9,13,1,0,9,40,131.87505154820622
11,28,6,9,1,1,6,36,126.78868920636856
8,26,11,10,0,1,7,38,128.41466502043463
12,25,10,9,1,0,12,40,133.07781810002973
15,20,6,10,0,0,9,35,120.59216300783206
11,18,11,12,1,1,10,39,126.35221125680906
14,30,14,15,1,1,2,40,132.80568935258418
9,26,10,13,1,0,11,41,134.95693275748252
10,25,9,7,0,1,9,38,125.18068702747864
11,23,15,12,1,0,7,41,132.07159850942105
11,27,12,13,0,1,6,38,129.32534771135465
12,21,8,12,0,1,10,38,126.62625450052312
12,29,7,13,0,1,10,37,127.99156570875026
16,26,5,15,0,1,8,37,126.52863291460665
16,25,9,14,0,1,9,39,129.65055650368032
11,31,10,9,0,0,9,41,134.8752200656848
12,24,6,10,0,1,5,35,123.6074303124674
9,25,7,10,0,1,7,36,124.7982090013506
9,20,14,10,1,1,6,39,128.52526396370683
13,30,4,13,0,1,9,39,131.34933523569455
10,33,9,6,0,1,9,41,136.1283639516959
8,17,9,9,1,1,11,39,125.29123450929616
15,25,9,13,1,1,4,36,124.74981739109174
13,21,8,12,1,1,8,36,122.88274254088758
15,19,9,11,1,0,13,40,126.46907860757663
17,25,11,10,1,1,10,39,126.70471012295758
10,21,7,11,1,1,7,35,120.9854471670715
13,25,10,15,1,0,7,37,126.81481959004608
14,23,11,8,1,0,10,40,128.6694529349081
18,31,6,11,1,0,6,36,127.71474246008952
15,21,9,11,1,0,6,36,123.2223904005557
14,28,9,14,0,0,9,39,130.89581630711672
10,34,11,11,1,1,11,42,137.4928588676865
7,24,6,9,1,1,9,37,126.08241608931124
11,24,9,12,1,1,11,41,131.68507362675206
13,20,10,13,0,1,10,40,127.78496039548148
11,29,12,11,0,1,4,36,127.20360974273709
15,24,10,10,1,1,6,37,125.01345724955084
16,21,7,11,1,0,10,38,125.36064711419272
9,31,10,13,0,1,12,43,139.18002390978245
13,27,13,10,1,1,9,39,128.9442133245725
15,29,6,7,0,0,9,37,123.19319422291632
9,26,6,13,0,0,6,37,128.51497251015576
13,26,12,11,0,0,7,39,129.0742970976346
14,25,10,10,1,0,9,38,127.56986555307228
14,25,9,12,0,1,8,38,126.82663422626328
10,29,10,11,0,1,10,41,134.53416474792846
10,30,8,11,1,1,9,39,133.13612511096798
16,24,9,13,1,1,8,36,122.93905845727836
17,26,9,13,1,0,9,38,129.1854589230718
9,31,7,11,0,0,8,38,130.62514509774397
15,27,10,10,0,0,9,39,128.08949327675668
12,23,6,13,0,1,5,35,121.78412469001265
13,33,9,15,0,1,6,40,133.84999441452598
8,18,11,9,1,1,10,41,131.25209238810996
13,29,11,13,0,1,6,38,129.13146512883674
11,27,10,9,1,0,10,40,131.4676384624281
15,32,8,12,0,0,8,39,133.0710595160096
12,27,8,9,0,1,4,34,121.48773886910656
12,23,8,13,0,1,11,40,129.57923262146147
14,31,9,11,1,1,9,40,132.64376425511082
9,26,11,11,0,0,8,40,131.79473834292597
13,26,10,10,1,1,10,38,128.27798437654803
8,24,15,10,1,0,10,42,133.96385990635002
10,27,7,9,0,0,7,37,126.44124033154084
14,20,11,11,1,1,9,38,125.4449096513589
12,22,2,9,1,0,4,34,119.07038676839548
10,25,14,10,1,1,8,41,134.5972046176977
14,25,11,12,1,0,8,39,129.10357326485774
14,26,4,16,1,1,8,36,125.36191774615072
12,25,10,16,1,0,5,39,132.14759583686106
14,28,9,12,1,1,12,40,133.03342149055104
9,26,9,12,1,1,8,36,126.72807717038587
13,16,6,10,1,1,10,38,123.211949685009
11,26,6,10,0,1,9,38,126.43756101229296
13,28,8,11,1,1,13,41,133.935343230233
10,24,7,6,1,1,6,35,122.37445490649245
12,27,5,12,1,0,9,40,132.35960860488166
11,23,12,9,1,0,11,42,135.8241007109109
12,31,7,10,1,0,8,38,130.9566487495281
13,27,6,10,1,0,7,37,127.25963735628072
12,25,13,12,1,1,11,42,135.3502818774582
10,27,10,12,1,1,5,39,130.4277451219948
12,22,11,8,0,1,9,40,128.27117056438695
9,24,12,13,0,1,12,41,131.0084189129284
11,25,7,9,1,0,9,38,127.29864959270552
7,23,7,13,0,1,8,38,129.35731984123578
10,21,6,12,0,0,8,39,127.0519258831782
14,27,11,9,1,1,9,39,128.2028398208621
10,25,7,14,1,1,9,37,127.67664209294722
12,29,7,8,0,1,10,38,128.42042526629623
13,29,8,13,1,0,9,39,132.4736857192428
15,31,11,11,0,1,7,39,130.73053616283534
11,26,8,9,0,0,8,39,129.23954256614638
17,22,4,13,0,1,6,34,118.66044977872272
14,27,12,9,0,0,9,39,130.10832379385585
14,18,4,10,1,0,7,36,121.69791051109536
15,29,8,7,1,1,10,38,129.42533024630183
13,29,8,8,1,0,9,39,132.63561509653772
11,26,10,11,0,1,9,41,132.6939746626639
12,22,11,12,1,1,10,39,126.42668062633832
10,24,14,8,0,0,9,41,131.1038813881301
10,23,7,9,1,1,11,37,125.17095354184144
14,29,6,8,0,0,4,36,125.17613090958436
12,26,5,12,1,0,7,35,124.39808468050089
13,28,6,11,0,0,11,39,130.6209337862656
7,24,5,13,0,0,8,37,126.8494563332134
12,25,8,8,1,1,8,36,123.52152983417204
10,21,10,12,0,1,10,38,126.50768303040137
13,22,8,11,1,0,6,35,119.78792014511204
12,24,11,12,1,0,7,39,130.45319645882122
11,26,12,10,0,0,8,38,129.67834695918577
10,18,5,12,0,0,11,38,125.45274197024612
15,27,7,13,1,0,11,41,134.080039784036
12,27,13,15,0,0,10,41,134.15222811542418
13,29,4,11,0,1,9,36,126.41418109344298
11,22,12,9,0,0,7,38,125.48965733042914
11,28,10,12,0,0,9,40,133.83883250128343
11,21,3,10,0,1,11,38,126.21660517951136
13,28,10,14,0,0,7,38,130.08869293445622
10,24,7,12,1,1,9,36,125.73324011621686
10,24,5,8,0,0,9,36,124.33930634053377
11,28,15,13,0,0,6,39,130.97984819166214
12,25,8,10,0,1,7,37,125.7687948436556
14,26,9,13,1,0,9,40,131.19197123681693
11,29,10,12,1,0,9,41,135.69796828572112
9,28,10,11,1,0,8,41,135.27815652140805
15,27,8,13,1,1,7,35,123.25489535413789
14,21,13,9,0,1,9,38,125.31596682926356
7,31,8,12,0,1,9,40,136.97323141472668
10,28,10,16,1,1,9,39,132.30413334401294
12,24,10,16,1,0,8,40,131.29675472122955
14,21,11,11,1,1,9,37,123.72598927552022
5,21,9,8,1,1,7,37,123.17174586497596
10,28,6,16,0,1,6,38,130.44417567027597
12,22,10,10,1,0,9,39,126.73873261325524
11,30,6,11,0,0,9,39,133.01762773711033
11,26,9,10,1,1,8,39,129.09814807575754
15,27,2,12,1,1,7,35,122.02859878356792
14,24,9,10,1,0,7,37,123.98562043238738
14,27,6,12,1,1,5,35,122.02038072898893
13,24,11,10,0,1,8,38,125.96641944116811
7,25,6,11,1,0,9,39,131.29574981552585
9,21,10,10,1,0,11,40,128.22033222646166
9,28,7,8,1,1,7,35,122.82088758391356
12,26,10,12,1,0,11,41,131.89787041294076
16,25,11,9,1,1,10,39,127.9449468100847
7,23,9,8,1,1,10,39,129.3852826617994
9,20,7,10,0,1,9,36,121.33576571730966
10,28,11,8,1,1,7,40,131.64319139218597
14,28,8,14,1,0,7,37,127.02769506732132
9,22,9,9,1,0,10,40,130.68480936076585
8,25,13,10,1,0,8,42,135.63834846560928
11,26,11,10,0,1,7,38,127.48851001013406
12,23,11,10,0,1,10,39,128.4221083881278
14,30,11,7,0,1,11,41,131.1648697421425
16,25,13,12,0,1,10,39,128.20134559155454
11,28,10,11,1,0,11,40,132.82511610654888
11,25,8,13,0,1,8,36,125.58924078554544
9,26,6,7,0,0,11,40,131.17901444173555
12,23,6,7,0,0,6,37,124.36591932475888
13,21,6,9,1,0,8,37,125.96293162755867
12,26,14,12,1,1,7,42,134.5808122390238
14,24,10,12,1,1,11,38,128.7605671653314
8,22,7,14,1,0,11,41,132.4899809857429
13,29,10,7,1,1,10,41,133.94860874723452
12,25,13,14,0,0,9,42,133.6456157139621
9,24,9,12,0,1,10,39,130.53878006516703
15,20,3,13,1,0,10,36,122.80507305026124
7,23,13,11,1,1,7,40,133.1923855486972
16,28,9,10,0,1,9,37,125.90581702412857
15,23,8,9,0,0,8,37,123.69363387713872
14,29,9,12,1,1,9,38,132.71566398933595
9,25,7,9,0,0,11,40,131.00282069585103
11,30,13,7,0,1,12,43,136.5281297243215
10,25,10,12,1,1,7,39,129.20868300583555
13,27,6,15,0,1,5,37,127.5704866899309
8,30,4,13,0,1,10,40,136.03638656543157
9,25,8,12,1,1,7,37,129.68956433455858
9,25,6,11,0,1,9,37,126.58193078233514
11,21,4,10,0,0,7,35,122.0122153622614
19,28,6,9,0,1,11,35,121.939659223527
13,25,7,12,1,0,9,39,130.71600262253892
14,25,9,14,1,0,8,40,132.36874116064854
11,24,10,9,1,1,10,39,128.28551998141495
12,26,10,12,0,1,5,36,124.73699789761908
13,28,6,15,0,0,8,38,128.5744535456784
13,22,11,10,1,0,10,38,126.26357868575911
11,18,6,12,1,1,10,37,122.30567077334489
5,22,10,8,0,1,8,40,131.13934411642492
13,27,10,11,0,1,7,37,125.77906352895558
11,24,10,9,0,1,8,39,128.8609426442512
