age,income,has_children,has_pet,lives_in_city,received_financial_advice,savings
27,23,1,1,0,1,67.8725356905541
24,10,0,1,1,1,65.39322772545296
45,17,1,0,0,1,68.0543152380894
36,12,0,1,0,0,58.762822747998165
35,24,0,1,1,1,68.62274745566629
22,12,1,1,0,1,66.00615574749739
41,29,1,1,0,0,60.360237723964175
34,14,0,1,1,1,68.56592423890639
35,16,0,1,1,0,60.01824248638809
29,12,1,0,0,0,57.34800403563664
31,21,1,0,1,1,67.11502855808263
33,19,0,0,1,1,68.0339732919422
22,15,1,1,0,0,57.710149540681314
28,13,0,0,0,0,57.91444310217853
30,19,0,0,0,1,65.3070104338306
24,15,0,0,0,0,54.18327822530704
47,12,0,0,1,1,68.4475494977621
20,19,0,1,0,0,57.554553455773416
22,18,1,1,1,0,59.62812703540031
41,12,0,0,1,1,66.90208481408011
37,10,1,0,0,1,65.04847970414504
24,22,0,1,0,0,57.40076190675087
27,16,1,0,1,0,56.68761622910776
29,7,0,1,0,0,55.98189944339356
30,21,1,1,1,0,61.3622442530104
27,26,0,0,1,0,58.13867534140851
42,12,1,1,1,1,69.56745141823515
42,24,1,1,1,1,69.44264958212673
38,14,0,1,0,0,58.768566787384806
35,17,1,1,0,0,57.71209142030338
30,22,0,1,0,1,65.38614496282462
28,18,0,1,1,1,68.65049320522498
31,21,1,1,1,1,67.00920100799534
45,20,1,0,1,0,59.25105538317901
34,7,1,0,0,1,66.8292996286768
28,21,1,1,1,0,59.87855549227577
28,18,0,1,0,1,66.30390250858088
23,26,1,0,0,1,66.93063294315053
35,25,0,1,1,1,68.32350197802661
31,17,1,0,0,1,66.31318034943008
21,23,0,0,0,1,66.14455362485813
35,21,0,1,1,0,60.17081568955293
35,21,1,0,0,1,67.13899362520735
38,8,0,1,0,1,67.73854108607733
37,17,1,1,0,0,57.310656576806025
27,20,0,0,1,1,68.12301423843952
29,7,0,0,1,1,66.07388205500415
33,14,0,0,0,1,65.96928235252139
48,20,1,1,1,0,61.59556558649572
39,13,1,1,1,0,58.16987376686151
20,24,0,0,0,1,66.55774371330973
34,17,0,0,0,1,65.37318038390146
31,17,0,0,1,0,57.83266387188184
43,20,0,1,1,0,59.22526297721586
36,16,1,1,0,1,68.07153432381243
29,22,1,0,0,1,66.4534873267422
30,21,1,0,0,0,58.67094737857182
31,10,0,1,0,1,66.98580470236415
23,21,1,1,0,0,59.05299806950318
39,16,1,0,0,1,67.14905161083956
13,27,1,0,1,0,57.00737636236283
35,28,0,1,0,1,69.90164224250398
30,20,0,0,1,1,66.92755958951088
31,17,1,0,1,0,58.72633293081725
21,22,0,0,1,1,66.87231404879223
41,18,0,1,1,1,68.0562755957016
30,18,0,0,1,0,57.58833394231
26,19,0,0,1,1,67.18498659086013
39,25,1,1,0,0,61.17678136897842
34,17,0,0,1,1,67.88138140317534
43,22,0,1,1,0,59.62075363423186
31,14,0,0,1,1,67.95226942594158
11,18,0,1,0,1,66.51046240391705
40,22,1,1,0,1,69.16213644454295
31,21,1,0,1,0,59.09201856592226
30,24,1,0,0,0,58.567774671943766
25,19,0,1,1,0,57.49919636364488
37,27,1,0,1,0,60.0137517962017
36,10,0,1,1,1,66.29635254145062
25,19,1,0,1,0,59.1087823451851
23,20,1,1,1,1,68.64373475984648
46,17,1,0,0,1,67.19204889324287
25,19,0,0,0,1,66.74071720503129
22,28,0,1,0,0,59.88311413601784
31,17,1,1,0,1,67.44341264357476
30,22,0,1,0,1,65.71608415830225
28,9,1,1,1,1,66.26537296843907
41,26,1,0,1,0,62.12833639671904
21,21,0,0,1,0,56.35879962815617
28,27,0,0,0,1,67.22745318665304
30,22,1,0,0,1,68.09699923600294
35,15,0,0,1,0,58.48870389795637
40,22,1,0,0,0,56.90449520859873
32,19,0,1,0,0,60.126131936981714
32,18,1,0,1,1,67.1968749842596
34,26,1,0,0,0,58.83883331350565
29,29,0,0,0,0,59.97032862929401
34,19,0,0,1,1,65.06859932516888
30,18,0,0,1,0,61.02021974228703
27,18,0,0,1,0,59.08997681443789
35,12,0,1,0,1,65.41581495582044
35,15,1,0,0,0,56.947223852939096
33,7,0,1,1,1,66.60182955118503
30,18,0,1,0,0,58.05674729611081
24,11,1,1,1,1,67.40231994734265
40,4,1,0,0,0,55.752242700945175
25,6,1,0,1,0,56.43750545967066
39,26,1,0,0,0,58.61056358419794
36,16,1,1,1,0,59.29197688238428
29,20,0,0,0,0,59.08468970206116
26,15,0,1,0,1,66.66941644890531
38,18,1,0,1,1,66.79024141222814
26,24,0,0,1,1,67.45117372288735
23,15,1,0,1,1,66.24648543172363
29,15,0,0,1,1,67.27275290834586
30,28,0,0,1,1,68.03443260960526
22,6,1,0,1,1,65.3727214173296
30,27,1,0,1,0,59.66136988888355
40,22,0,0,0,1,66.47643972661542
28,12,1,0,1,0,56.54445409110508
29,17,0,0,0,0,58.73723678882937
27,16,1,0,0,1,66.75501881767933
34,11,1,0,1,1,65.68342876982213
18,19,0,1,1,0,57.36982015542471
29,18,0,0,1,1,67.11964196533651
20,26,1,1,1,1,67.82293166947377
31,13,0,0,1,1,68.05066503266515
35,9,0,1,0,0,57.424942548612414
30,18,0,1,1,0,60.129986846844496
28,25,1,1,0,0,58.39077102721015
43,21,1,0,1,1,70.24728989929393
33,14,0,0,0,0,57.260523181820695
31,13,0,1,0,1,65.7678075568026
21,16,0,1,1,0,57.28906666553286
41,15,0,0,0,1,65.54193526698872
35,17,0,0,1,0,58.78104358644173
33,19,1,1,1,0,59.23120682566511
31,21,1,0,1,0,59.44413849443127
29,28,1,0,1,1,68.08681534204037
40,19,1,0,1,1,67.15731021334611
26,16,1,1,0,0,57.041617470928166
32,21,0,1,0,0,59.29710819008557
18,22,0,1,1,0,59.8034167057407
28,19,0,0,1,0,58.66202042521649
32,14,0,0,0,1,64.63588476126588
38,21,1,1,1,0,59.0273224052908
38,23,0,1,1,0,59.64959418034805
25,15,0,1,0,0,56.08706921545678
28,24,0,1,0,0,58.6090592500766
29,17,1,0,0,1,66.16891864019637
24,25,0,0,1,0,57.94068612986915
18,16,1,0,1,1,66.81527798085293
30,27,1,1,0,0,61.0073908163614
29,19,0,1,0,0,58.92637375030819
32,24,0,1,1,1,68.62208188995186
33,13,0,0,1,0,57.100447770740125
24,25,0,1,0,1,66.68245214884007
29,22,0,1,1,0,59.68396517650391
39,15,0,0,1,1,69.80339956905915
37,12,0,0,1,1,66.65436777757711
22,24,0,0,0,0,57.20772312008312
27,12,0,0,0,0,56.56538402609506
37,23,1,0,1,0,58.97449082664565
40,15,1,1,1,1,67.77226801075771
40,11,0,0,0,1,66.16735575835855
24,19,0,0,0,0,56.40297567848762
33,13,0,1,1,1,66.60973634174539
35,16,0,1,1,0,58.48253161162064
33,14,0,1,0,0,58.28818040958849
33,17,0,0,0,1,66.60795877271421
26,19,0,0,1,1,66.83596740804232
23,16,0,1,1,0,57.39675199160846
30,17,1,1,1,0,59.18097747780188
31,16,0,0,0,1,65.63697677635963
33,14,1,0,0,1,65.31987062459022
24,10,0,0,0,1,66.03798966824431
37,19,0,0,1,0,58.612133212565794
39,9,1,0,0,0,58.28028975087263
36,18,0,0,1,1,68.32615035530492
48,12,0,0,0,1,66.98830094052921
41,11,0,0,1,0,57.71551497018577
43,8,0,0,1,0,58.32033079829393
24,20,0,0,1,1,68.35669417025258
27,11,0,0,0,0,58.414011023419846
20,15,0,1,1,0,58.56641818504215
37,8,0,1,0,0,55.88344515622009
28,29,1,0,0,1,67.33831633765189
53,12,1,0,0,1,67.18050626323912
36,16,0,1,1,0,56.712231488622834
34,22,0,1,0,1,68.3628176031857
37,7,0,0,1,1,66.66122587918412
39,21,0,1,0,0,58.64907225777979
27,12,0,1,1,0,57.818016568008034
40,24,0,0,0,1,67.3288489171044
34,25,1,0,1,1,69.02144688013304
25,23,0,1,0,0,59.52395586520736
16,25,1,0,0,0,58.88501223800338
39,13,0,0,0,0,57.63397847065756
32,20,0,0,1,1,67.61289885356295
27,26,0,1,1,1,69.14000195138541
30,19,1,1,1,1,69.38118015930915
29,21,0,0,1,1,68.26824012324086
26,16,1,1,0,1,67.11297214472314
34,20,0,1,1,0,60.88506692390216
36,9,1,0,1,1,66.12029041524475
25,7,0,0,0,1,64.07431800429316
22,19,1,1,1,0,58.551045678230935
19,14,1,1,1,1,66.61753626193897
28,27,0,1,0,0,58.94672030305584
32,22,1,0,0,1,66.81343734564496
48,25,0,1,0,1,70.33404452213028
29,16,0,0,0,1,65.7999631724981
46,10,1,1,0,0,57.27938017486696
23,19,0,1,0,1,67.21561355352294
33,14,0,0,0,0,56.152545731563706
37,18,0,1,0,0,57.47445833348191
35,22,0,0,1,0,60.09143684319271
23,14,0,0,1,0,59.05228956757805
20,23,1,0,0,1,67.32362016669788
29,24,0,0,0,1,67.66585682985381
32,26,0,0,0,0,57.692126283895846
30,18,0,0,0,0,57.90058046555672
27,18,1,1,0,0,59.81034662666124
27,8,1,1,0,1,65.07617193235667
40,9,0,1,0,1,67.97705675911408
39,11,1,1,1,0,58.55568538718272
19,24,0,0,1,1,66.89968319662431
32,26,1,0,0,1,67.22393205907875
35,29,0,1,1,1,69.31635965440809
48,15,1,0,0,1,68.03808886495301
38,25,0,0,1,0,60.50861115806744
49,16,1,0,0,0,60.02917920105324
28,21,0,1,1,0,58.95554522265006
28,16,1,1,0,0,58.55515721639412
30,16,1,1,1,0,57.61741199834456
33,9,0,0,1,0,56.50514006545615
35,12,1,0,1,1,66.53622536932222
32,21,0,0,1,1,66.4317452231577
32,14,0,1,1,1,66.2414802209367
19,19,1,1,0,0,59.80618114002986
38,19,1,1,0,0,58.72730663859521
41,9,1,1,0,1,66.7540496195703
30,22,1,0,0,0,58.90554134979925
38,23,0,1,0,0,58.069484425710186
27,17,0,0,1,1,68.00841698659858
34,22,1,0,1,1,68.36012559448926
39,17,0,1,0,1,67.06557137574679
27,13,1,0,0,1,65.61029140321742
36,23,1,0,0,0,57.32618243326557
25,15,1,0,0,0,57.70730336210337
35,21,0,0,0,0,56.96770601816744
40,26,1,0,1,0,61.107172384965125
32,18,0,1,1,0,58.82818952712076
33,22,0,0,1,0,58.23478177990655
33,14,1,1,1,0,59.87350415919432
37,11,0,1,0,1,64.57976461531855
29,20,0,1,1,1,66.17233833977708
41,30,0,1,0,0,59.87966612758471
41,16,0,1,0,0,59.89632585368762
33,6,0,0,1,1,66.10069303474376
31,14,0,1,1,1,66.41223159417545
31,17,0,0,1,0,59.36263889768262
38,20,1,0,1,0,59.72224633407563
39,15,1,1,1,0,60.11237620669431
36,17,0,0,0,0,58.58141685072062
24,27,1,1,0,0,59.39704725134146
24,15,0,0,0,0,55.73212740928363
24,9,1,0,0,0,57.3014680216321
34,17,0,1,1,1,68.02480780302037
30,18,1,0,1,0,58.74612350600576
33,13,0,1,0,1,66.34606707832184
30,18,1,0,0,0,58.325735572798656
29,18,1,1,1,0,61.631633424959546
42,15,1,0,1,0,59.68238669743725
26,19,1,1,0,0,57.99282229758174
43,16,0,0,0,0,56.67288290468827
32,19,0,1,0,0,59.02128067222535
35,18,0,1,0,1,67.02616366942362
26,21,1,1,1,0,58.67926327630921
23,23,1,1,0,0,58.95178875123949
23,15,0,1,0,0,55.166100973772416
33,17,1,1,1,1,67.1333968354036
36,16,0,0,1,1,69.23982293940648
25,12,1,0,0,1,64.66455960077252
37,13,0,1,0,0,58.26282205056201
26,15,0,0,1,0,57.45987832305581
32,27,0,1,1,1,67.98774152435942
29,22,0,0,0,0,57.195744790472354
40,20,0,0,1,1,68.58787098522144
33,19,1,0,0,1,68.10031903256845
36,11,1,1,0,1,68.21775834697736
18,24,0,0,0,1,67.40077472108004
33,10,1,1,0,1,68.13898730891617
36,21,0,1,0,0,59.24661327966167
33,17,0,1,1,0,59.614373672363925
34,11,1,0,0,1,64.82775827818331
29,23,0,1,0,1,66.1507921250823
35,10,0,0,1,1,67.76737388032669
28,18,0,0,1,1,68.97565154234674
46,13,1,0,1,1,67.45351907402463
29,10,1,0,0,1,63.96728422200013
37,22,1,0,1,0,60.460339072302425
29,19,1,1,0,1,66.26443482664419
29,22,0,0,1,0,59.63213144740592
33,6,0,1,1,0,58.72011002811671
