age,annual_income,years_of_education,monthly_expenses,smoker_status,alcohol_consumption,exercise_routine,health_insurance,health_score
24,23,10,3,0,1,1,0,30.284418470601707
35,1,12,16,1,0,1,1,40.77968556378984
24,11,8,12,1,1,1,1,41.07362106638689
25,25,10,12,1,1,1,0,33.914417140691505
12,21,10,10,1,0,0,1,42.8073193577907
29,11,15,15,0,1,1,0,39.39293309671095
33,23,14,16,1,1,1,0,30.52691985846204
34,22,11,13,0,0,0,0,27.999507582619337
24,26,9,12,0,1,0,1,33.31740978193538
25,18,12,12,0,1,0,0,36.95018690573979
27,17,13,14,1,1,1,1,39.23303110630057
29,24,12,18,1,1,1,0,32.9911692753526
22,11,10,6,1,1,1,1,40.95200876802858
33,21,9,6,0,0,0,1,26.670757724691427
31,7,6,9,1,0,0,1,37.29924538722898
51,18,10,13,0,1,0,1,18.058347627831797
27,18,15,17,1,1,0,1,40.53658492627294
42,17,8,14,0,1,0,0,26.457628185646858
48,28,6,15,1,0,0,0,15.665027563760336
30,6,15,21,1,1,1,1,45.22725388241376
41,14,8,14,1,1,0,1,29.3553794263951
35,10,10,9,1,0,0,1,35.32621097175608
43,18,15,18,0,1,1,0,27.58879380525631
34,19,12,11,0,1,1,0,28.64158968963212
37,9,12,17,1,0,1,0,33.385808450441424
42,24,9,8,1,1,0,1,23.37943043143024
33,16,13,13,1,1,0,1,33.87021445823379
29,17,5,8,1,1,0,1,33.26078018682678
35,13,11,11,1,1,1,1,33.81589943182986
37,11,13,16,1,1,1,1,36.188495641749725
32,11,8,11,0,0,0,1,34.06563142528467
34,26,8,15,0,0,0,0,25.81684343057634
29,30,12,5,0,1,1,0,25.57287653562284
34,16,12,15,0,0,0,1,32.871856372664986
28,13,8,18,0,0,1,0,37.8096190533626
30,15,12,7,0,1,1,0,33.764783316614434
33,18,10,16,0,0,1,0,31.584603611740164
32,17,15,11,1,1,0,1,36.32813149243646
18,23,15,15,1,1,1,1,41.11690980457002
40,20,10,13,1,1,0,1,25.17803086492445
28,16,7,13,0,1,1,0,32.53762215506995
36,16,6,11,0,1,1,0,27.218979556980035
31,13,16,1,0,0,1,0,30.470111269529028
27,21,16,6,1,1,0,1,34.62432038448703
29,6,17,10,0,1,1,1,42.29859275161719
37,21,8,10,1,1,1,0,23.96723646568336
26,16,13,10,0,1,1,1,37.69834161449423
39,26,5,7,1,1,1,0,19.53459290178322
32,15,19,17,1,0,0,0,36.03926592969231
28,16,13,20,0,1,0,1,39.25833074028704
42,10,14,11,1,1,1,0,29.066741538499347
26,6,14,10,0,1,0,1,44.19325311397117
27,17,13,17,0,0,1,1,37.31327513389055
27,26,8,17,0,0,1,0,29.85717352987571
11,15,14,16,1,0,1,1,52.82820779031709
37,8,12,19,0,0,0,1,37.1771418510038
34,24,8,20,1,0,0,0,30.16902824306587
31,19,15,17,1,0,1,1,35.736107484422114
25,25,15,7,1,1,1,1,34.877770920764064
34,20,11,14,0,1,1,0,30.61890449468181
20,20,15,15,0,1,0,1,41.283149073269946
33,17,12,9,0,1,1,0,29.05752367680717
33,11,15,12,1,1,0,1,37.17339340448169
15,25,14,15,1,0,0,1,42.19870065694623
37,25,15,18,1,1,1,1,30.602802455220303
35,15,13,13,0,1,1,0,30.4206293947154
32,3,13,16,0,0,1,0,40.65756045649601
28,14,12,8,1,1,0,1,38.15426150297548
23,29,10,5,0,0,0,0,28.45611185768325
28,19,12,18,1,0,1,1,37.853724083389565
29,16,12,15,0,0,1,0,35.095955314109865
38,16,12,16,1,0,0,1,31.407824268678063
28,8,7,9,1,1,1,1,38.36137712590433
38,17,13,12,1,0,1,0,28.039781262702537
33,14,17,11,1,1,1,1,34.37764812187703
36,8,15,16,1,0,1,0,36.90889679085221
37,14,13,18,0,1,1,0,32.48590898691389
35,9,9,17,1,0,0,1,37.50348023725764
30,10,13,15,0,0,1,0,38.17167055805888
20,27,10,11,1,0,0,1,35.81523717529385
33,7,11,10,1,0,1,1,36.02776385259228
41,23,8,17,0,0,0,0,23.677963080278477
42,21,12,19,1,1,0,1,27.742517840525693
45,17,15,17,0,1,1,0,26.03439016283848
29,15,14,9,1,1,0,1,36.625605538014696
40,16,13,11,1,1,1,0,26.00212931733493
16,16,16,10,1,1,1,1,45.79227071400153
36,15,6,8,0,0,1,0,25.978756678235417
37,27,13,15,1,1,1,0,26.25389115673541
16,17,14,17,1,1,1,0,47.041120773954745
34,17,16,8,0,0,0,1,32.67464106659566
39,23,14,15,0,1,0,0,25.930963211090116
35,10,12,18,1,1,0,1,36.07143658312246
24,19,15,10,1,1,1,0,36.83201033720323
32,15,11,12,0,0,0,0,32.588314398543694
35,25,11,12,0,1,0,0,23.615603953301413
29,11,10,14,0,1,1,0,38.015305931815945
28,22,11,11,1,0,0,1,34.45580677156195
23,10,10,12,1,1,1,1,43.224485168893054
33,11,8,11,0,0,1,1,32.78544980947578
36,20,9,11,1,1,1,0,26.746048302475444
14,20,15,10,1,0,1,1,44.3905839407977
33,12,16,8,1,0,1,1,35.35602328199359
32,13,10,16,0,1,1,0,34.94258591891846
40,25,12,8,1,0,1,0,21.48503507223193
24,17,12,16,0,0,1,0,38.61802948116247
30,24,11,15,1,0,1,0,29.064113204925345
29,20,10,11,0,0,1,0,29.53453339810175
22,19,11,11,1,0,0,1,40.42973867625368
37,14,16,13,0,1,1,0,31.93538559125486
31,8,7,10,0,1,0,1,35.747871076924106
25,21,15,16,0,0,0,0,36.59809510268266
29,22,13,12,1,1,0,1,34.67821035365625
35,17,13,14,1,1,1,0,31.600261726288856
28,23,7,15,1,1,1,0,31.648242179032096
22,25,12,8,1,1,0,1,35.01629369950076
36,15,14,15,0,1,1,0,31.308095010265298
43,25,7,11,0,1,1,0,18.99199045265459
35,14,12,7,1,0,0,0,30.13017822977616
34,13,17,11,0,0,0,1,34.51904990955158
31,7,11,2,0,1,0,1,35.598670364962835
32,29,15,23,0,0,0,1,31.41381779712602
33,18,12,17,1,0,0,1,34.130593811161006
29,31,13,17,1,1,0,1,31.43144382720193
32,9,9,10,0,0,1,0,34.533512921256445
29,18,15,9,0,1,1,0,32.571382213143906
34,17,12,10,1,0,0,1,33.19150050814516
33,17,10,12,1,1,0,0,32.21074057900378
30,20,10,15,1,1,1,0,34.77208021414619
40,10,6,17,1,1,0,1,33.64243318499718
23,25,12,5,1,0,1,0,31.05517663026257
28,8,14,17,0,1,1,1,43.10324111523091
21,20,2,11,1,1,1,1,35.10302669078289
33,22,17,20,0,0,1,0,33.55230942264947
23,19,7,11,1,1,1,1,38.64058055430152
36,20,9,15,1,1,0,1,29.660813938729635
38,22,8,18,1,1,1,0,26.65423423455609
26,22,13,10,1,1,1,0,34.28655588877705
24,8,9,16,0,0,0,0,42.499761732902826
49,22,11,15,1,1,1,1,19.419486985096317
27,11,10,18,1,0,0,1,42.59291308197513
33,17,9,13,0,0,1,0,31.04732402671531
35,25,10,15,0,1,0,1,27.33779912360128
29,23,15,15,1,0,0,1,34.78795932154658
35,25,15,10,0,0,0,0,23.70720132351876
23,22,17,14,1,0,1,0,38.70214459402845
51,15,13,7,0,1,0,0,18.20930344093354
41,26,7,7,0,0,1,0,16.389898155844076
39,20,11,15,1,1,0,1,28.05693009721646
41,11,11,5,0,1,0,1,28.25615822856327
35,21,11,10,0,1,1,0,26.31723275958463
16,22,17,9,1,0,1,1,41.48314099294871
37,17,9,13,1,1,1,0,29.533546627838728
30,22,11,14,0,1,0,1,33.18557569860109
42,20,12,4,1,1,1,1,22.215021682311857
33,8,10,6,1,1,0,1,34.42070586216036
22,25,13,15,0,0,0,1,36.98093531202963
25,17,18,8,0,1,0,1,36.421600147632425
31,21,5,17,0,0,0,1,31.71695718314805
25,22,10,15,0,1,1,1,35.31220014046579
31,14,8,14,0,0,1,1,33.52963500799909
38,18,10,13,1,0,1,1,26.626429771064675
28,20,14,7,0,1,0,1,32.97211917416921
30,19,13,10,0,0,0,0,30.695622547178523
33,19,10,19,1,0,1,1,34.68290164991284
22,8,8,14,0,1,1,0,41.21624321110204
31,15,8,6,1,1,0,1,33.66767638027225
37,22,11,15,1,1,0,1,29.98955416560421
26,16,8,6,0,0,0,1,34.34107855038141
31,27,14,24,0,0,0,1,31.853202998218244
24,22,16,17,0,1,1,0,37.83779701173323
26,11,10,14,1,0,1,0,39.812114411646405
38,20,16,14,0,1,0,0,28.02865833996015
35,17,14,15,1,0,0,1,32.954644718501335
30,19,12,18,1,1,0,1,37.190609071383626
25,17,12,17,1,0,1,0,40.676950956352215
35,16,15,15,1,1,1,1,34.696077080286
38,10,10,18,0,1,1,0,31.70394638913696
28,19,10,3,0,1,1,0,29.30335665599124
36,18,14,3,0,0,0,1,26.33081882758339
21,16,14,6,1,0,1,0,39.28659161625452
32,12,10,18,0,1,0,1,38.69745253321089
27,16,10,16,0,0,0,1,37.77253122081623
33,20,10,12,0,1,0,1,31.04085357596089
37,20,10,6,1,1,1,0,23.93308610492975
25,22,12,5,1,1,1,0,33.68519982105056
35,19,10,17,0,1,0,1,33.32675842230921
37,19,11,10,1,1,1,1,29.3887374464774
32,15,8,6,0,1,1,0,30.785921499009017
39,17,12,13,0,0,1,0,27.743124521908324
23,25,7,19,1,1,0,1,37.23331255913093
24,18,9,18,1,1,1,0,40.6835894286804
45,18,7,15,1,1,1,0,23.00496328682165
28,15,11,5,0,0,1,0,31.854633859995605
30,24,11,20,1,1,1,1,35.92789232285838
36,30,14,16,0,0,1,0,22.90688138702936
38,23,13,14,1,0,1,1,27.00437918217591
35,15,13,11,0,0,0,0,31.74549074009649
46,14,5,16,0,0,1,0,23.10001226590633
