school_id,post_period,received_tutoring,average_test_score,average_class_size,percentage_free_lunch,urban_location,school_size,percentage_english_learners
148,0,1,53.06995278568895,6,7,1,1,1
149,0,1,54.33713215132196,0,5,0,0,1
150,0,0,54.02245905829568,2,6,1,1,1
151,0,1,54.592197253167534,5,9,0,0,0
152,0,1,54.82955161178223,2,5,1,0,1
153,0,0,52.56957906670661,4,6,1,0,1
154,0,0,54.08378365797888,3,6,1,0,0
155,0,0,53.51529409057035,3,6,1,0,1
156,0,1,54.061898444052666,3,6,1,1,0
157,0,1,55.77635882958656,4,5,1,0,1
158,0,1,53.419412143407854,3,5,1,1,1
159,0,1,53.92546499657991,3,6,1,0,1
160,0,0,52.07410928830772,2,6,0,1,1
161,0,1,53.86730979995446,1,5,1,0,1
162,0,0,54.59659627973121,1,7,0,0,1
163,0,1,54.87033261123958,3,6,1,1,0
164,0,1,54.89226155359777,4,6,0,1,1
165,0,1,53.36188451186438,1,5,0,1,0
166,0,1,53.29526480872848,7,5,1,0,0
167,0,1,52.1315908993364,3,4,0,1,1
168,0,1,54.02763360725324,2,6,1,1,0
169,0,0,53.14441930551165,7,5,1,1,1
170,0,1,53.93519525232759,2,6,1,0,1
171,0,0,52.99790714771247,4,5,1,1,0
172,0,0,54.29337722618786,5,5,0,0,0
173,0,1,52.93870699964814,5,6,1,0,1
174,0,0,53.17129740971913,4,5,1,1,1
175,0,0,54.42167436273483,2,5,1,0,1
176,0,1,53.49022656901443,1,6,1,1,1
177,0,0,54.25645757587874,4,7,1,1,1
178,0,0,53.45517553272209,4,5,1,0,0
179,0,0,54.712808245118815,4,8,1,1,1
180,0,1,55.93109723156056,1,7,0,1,0
181,0,0,52.46099520021604,6,6,1,1,0
182,0,1,54.21265385314021,5,5,0,1,1
183,0,1,53.85673595623215,2,5,0,1,0
184,0,0,55.7581137454449,3,5,0,1,0
185,0,0,54.19293331452093,1,5,0,1,0
186,0,1,52.32190328092493,4,3,0,1,1
187,0,0,52.48762972178313,1,5,1,0,0
188,0,1,52.89936278205162,3,5,0,0,0
189,0,0,53.38724017379333,3,7,1,1,1
190,0,1,54.01271252213274,0,3,0,0,1
191,0,0,54.41690145638087,5,6,1,0,1
192,0,0,54.13651992479452,5,8,0,0,1
193,0,1,54.0856281127334,6,6,1,0,0
194,0,0,53.123083893905616,5,6,1,0,1
195,0,0,54.283480636565045,6,5,1,0,0
196,0,0,53.93545619048968,3,5,0,0,1
197,0,0,51.8041825641397,1,5,1,1,0
198,0,0,53.56148753320053,4,5,1,0,1
199,0,0,51.94825358851942,4,4,0,0,1
200,0,1,53.58245493408966,4,5,0,1,0
201,0,1,53.62298159717261,4,4,1,0,0
202,0,0,53.58528120979848,4,6,1,0,1
203,0,1,52.37507837557871,5,7,1,1,0
204,0,1,53.66281867574333,2,4,0,0,1
205,0,0,52.52997226935988,3,8,0,1,1
206,0,1,54.55454312080917,1,6,0,0,1
207,0,1,53.65971419637761,5,5,1,0,0
208,0,1,53.89912445608411,0,6,0,0,1
209,0,1,53.155993455995215,3,5,1,1,1
210,0,1,52.88531873330287,8,4,1,1,1
211,0,1,53.72645024083162,3,6,1,0,0
212,0,1,56.573682685304846,3,6,1,0,0
213,0,1,54.323320798157546,7,7,0,1,0
214,0,1,56.0531397225384,3,6,0,0,1
215,0,0,56.59123593349505,3,6,1,0,0
216,0,1,53.59122278130871,2,4,0,1,1
217,0,0,52.73174700474474,4,5,0,0,1
218,0,0,53.65463041279912,2,5,1,0,0
219,0,0,56.4493543143786,2,5,1,1,0
220,0,1,54.30692174408588,6,6,0,1,1
221,0,0,55.073083889981056,8,4,0,0,1
222,0,1,52.34846709543198,3,5,1,1,1
223,0,0,55.04064067781699,4,5,0,0,1
224,0,0,50.51795556002081,2,5,1,1,1
225,0,1,56.47846004962381,5,4,1,1,0
226,0,1,53.54294956435585,2,5,0,0,0
227,0,1,53.89923859480652,2,7,1,1,0
228,0,0,53.65787654925951,4,6,1,0,0
229,0,1,53.64920288774762,4,4,0,1,1
230,0,0,55.49733114798801,3,5,0,1,1
231,0,1,52.84570338848223,0,4,1,1,1
232,0,1,52.850739143428754,3,5,0,1,0
233,0,0,51.47534978509333,3,5,1,1,0
234,0,0,54.54517588318295,6,4,1,0,0
235,0,1,52.91794431697004,1,5,1,0,0
236,0,0,54.32177379831873,3,7,1,1,1
237,0,1,56.2315802725516,4,4,0,1,0
238,0,0,53.62761314508597,5,6,1,1,1
239,0,0,53.86274912814352,2,6,1,0,0
240,0,1,55.7572086557901,2,6,0,0,0
241,0,0,54.74124680261472,3,6,1,1,0
242,0,0,54.3034154736205,5,6,0,0,1
243,0,1,54.39033560776336,4,4,0,1,1
244,0,0,54.133566697704936,3,5,1,0,1
245,0,1,53.10762109178056,0,4,0,0,1
246,0,0,53.26124616907288,6,6,0,1,1
247,0,1,53.05575827007031,6,4,0,1,1
248,0,0,52.15189796849505,5,5,0,1,0
249,0,0,50.640550810281134,5,6,0,1,0
250,0,1,53.9034903721728,5,4,0,0,1
251,0,0,53.50140429672628,4,6,0,1,0
252,0,0,52.75429181496663,3,5,1,1,0
253,0,1,52.96086557978798,3,5,1,0,0
254,0,1,53.00855361905483,0,5,1,1,0
255,0,1,54.4726991919907,4,7,1,1,1
256,0,1,54.461936740358496,3,6,1,0,1
257,0,0,54.68343140525508,7,7,0,1,1
258,0,0,54.4096897403325,4,5,1,1,0
259,0,1,54.04530785526716,2,6,1,0,0
260,0,1,53.46311239572496,7,5,0,1,1
261,0,0,52.33385933186784,7,5,0,0,1
262,0,0,53.174274252465565,2,4,1,0,0
263,0,0,53.50608330141592,2,6,1,1,0
264,0,0,52.8002317194598,5,5,0,0,0
265,0,0,55.44839957004709,2,4,0,0,0
266,0,1,56.3106437430152,3,4,0,0,0
267,0,0,53.77508445799637,4,4,1,0,1
268,0,1,52.587050725666,2,4,1,1,0
269,0,1,54.4254480266624,4,5,1,0,1
270,0,0,51.48540455726082,5,5,1,1,1
271,0,0,53.52233860289376,2,3,0,1,1
272,0,1,54.37091968797794,0,5,0,1,0
273,0,0,53.56579499111975,2,7,1,0,1
274,0,0,53.969988659033525,3,7,1,0,0
275,0,1,54.57605022734633,3,6,0,0,1
276,0,0,54.46332210083556,5,4,0,1,0
277,0,1,53.49614886927134,3,3,0,1,1
278,0,0,52.231536716869066,3,6,1,1,0
279,0,0,53.320567106460295,4,5,1,1,1
280,0,0,55.1529097453692,3,5,1,0,1
281,0,0,53.83381434181986,2,5,1,1,0
282,0,0,53.758380817904936,6,5,1,0,1
283,0,1,53.97735026409354,3,5,1,1,1
284,0,0,54.32986224506753,5,5,0,1,1
285,0,1,53.69182155545487,2,7,0,0,1
286,0,0,54.10677737238482,4,6,0,0,0
287,0,0,52.58127477106044,4,4,0,1,1
288,0,0,51.8746247288491,4,4,1,0,1
289,0,0,54.48583248254721,1,6,0,1,0
290,0,1,55.76127770480223,2,6,1,0,0
291,0,0,53.06550045520061,3,5,1,0,0
292,0,1,53.26496689097981,4,5,1,1,1
293,0,1,53.87121086055655,4,6,1,1,1
294,0,1,53.79963289573546,1,6,0,0,0
295,0,1,54.145155365413935,4,5,1,0,1
296,0,1,53.58177376797929,4,6,1,1,1
297,0,1,55.39530933531671,1,6,1,1,1
298,0,1,55.754401055629366,6,4,1,0,1
299,0,0,53.00691096522022,1,5,0,1,1
300,0,0,56.06699297228696,3,7,0,1,1
301,0,0,52.41013453540874,4,5,1,1,1
302,0,0,54.058878760666765,4,5,1,1,0
303,0,1,54.13884701169597,5,4,1,0,0
304,0,1,55.38012553610452,1,4,1,0,0
305,0,0,54.02796777032174,4,5,0,0,0
306,0,0,53.431850136496415,2,6,0,0,0
307,0,1,53.42521867579374,3,5,0,0,1
308,0,1,55.532934434535136,3,7,1,0,0
309,0,1,51.80715748699911,6,5,1,1,0
310,0,0,54.81192679369735,2,7,0,1,0
311,0,0,52.831464785074765,5,7,1,1,1
312,0,0,53.78174935329546,2,5,1,0,1
313,0,0,52.68762466139122,2,4,1,1,1
314,0,1,55.71846707536099,4,6,0,0,0
315,0,0,53.35681170833116,5,6,0,0,0
316,0,1,53.691847935616046,4,4,0,0,0
317,0,0,51.841664934646126,1,6,0,0,1
318,0,0,53.42327782142971,3,2,1,1,1
319,0,1,54.98788631450551,5,5,1,0,0
320,0,0,51.88246325908359,2,4,0,0,1
321,0,1,55.28749394388216,3,3,1,0,0
322,0,1,52.22542497486597,5,5,1,1,1
323,0,0,53.62265554183462,3,6,1,1,1
324,0,0,53.758817012549706,4,4,0,1,0
325,0,0,51.869205125030206,0,4,1,0,0
326,0,0,53.37690560804091,4,5,1,0,0
327,0,1,56.56299938908019,3,3,1,1,1
328,0,0,52.78174193682444,5,6,1,0,0
329,0,1,55.336955677721015,3,5,1,1,1
330,0,0,53.03137302787841,5,5,1,0,1
331,0,0,53.97904538897652,2,7,0,1,0
332,0,0,53.30337405510055,8,7,1,0,1
333,0,0,52.89051543816351,4,4,1,0,0
334,0,0,52.61535389550278,4,5,1,1,1
335,0,1,54.46005356302887,6,4,1,0,0
336,0,0,53.25220916355157,4,5,0,0,1
337,0,0,52.031643014407855,4,7,1,0,1
338,0,1,54.93083891808968,4,6,0,0,0
339,0,0,52.703541038162086,4,6,1,1,0
340,0,1,53.02583080582883,3,7,0,1,0
341,0,0,53.47726953695624,5,3,1,1,0
342,0,1,54.31081221135285,4,5,0,0,1
343,0,0,56.25405338075169,0,5,0,1,1
344,0,0,52.53053647159073,3,5,0,0,1
345,0,0,51.456953985165136,6,7,1,0,1
346,0,0,52.76296116017018,5,5,1,1,1
347,0,0,53.72963941694841,2,8,1,1,1
348,0,1,54.42267564016438,6,6,0,1,1
349,0,0,52.91835935117412,2,5,0,0,1
350,0,1,54.20024869690309,2,6,0,1,1
351,0,1,54.47941559864452,5,5,0,0,1
352,0,1,54.327928290310176,5,4,1,0,0
353,0,0,53.88112450823084,4,5,0,1,1
354,0,1,53.74446227076351,5,5,1,1,0
355,0,0,52.6672359741474,4,6,0,0,1
356,0,0,53.786907721180135,3,6,0,0,1
357,0,1,54.53738980391109,5,5,0,0,0
358,0,1,55.241651227662366,4,5,0,0,1
359,0,0,51.565639119485496,3,5,0,1,1
360,0,0,51.46742299203255,1,5,0,0,1
361,0,1,55.00418723173206,-1,5,0,0,0
362,0,1,53.235513950282005,3,7,1,1,0
363,0,0,52.48527356652311,3,5,0,1,0
364,0,0,52.976113283784905,4,5,1,0,0
365,0,0,53.50191635502444,0,4,0,1,0
366,0,1,54.65643402555048,3,7,0,1,1
367,0,0,54.80712730169476,2,7,1,1,1
368,0,1,53.363115906706845,4,4,1,0,1
369,0,0,54.295186100143326,4,5,1,0,0
370,0,0,52.88973017353205,3,5,0,0,0
371,0,0,52.1881256155592,2,4,1,0,1
372,0,0,52.22112336834983,4,6,0,1,1
373,0,0,54.38769624513617,2,5,1,0,1
374,0,0,54.06434992986506,4,7,0,0,0
375,0,1,54.893090837067234,2,5,0,1,1
376,0,1,54.82081667034016,3,5,1,0,1
377,0,1,54.08031752484676,1,6,0,0,1
378,0,0,54.72248691532277,3,6,0,1,1
379,0,1,53.58401315709822,4,6,1,1,1
380,0,0,54.04576487411007,4,6,1,1,0
381,0,1,53.77374327676751,3,5,0,1,0
382,0,0,54.54821526127566,3,6,1,1,1
383,0,0,53.83517938524663,4,5,0,1,1
384,0,0,53.49149252545204,3,6,0,1,1
385,0,0,55.65296928947081,3,6,0,0,0
386,0,0,52.65400796192064,4,6,1,0,1
387,0,1,54.155635156041306,5,5,1,0,0
388,0,1,54.14807343169734,5,7,0,1,1
389,0,0,52.91490791575944,2,5,1,0,1
390,0,0,52.28516727475471,3,6,0,0,1
391,0,0,51.57914487742869,4,6,0,1,1
392,0,0,54.431502890592256,0,5,0,1,1
393,0,0,53.32256273173269,4,5,0,0,1
394,0,0,54.38641862184282,5,5,0,1,0
395,0,0,53.95094951050708,2,4,0,0,1
396,0,0,53.01481007564549,1,7,0,0,0
397,0,0,53.37735963116885,3,6,1,1,1
398,0,1,51.894530629470886,2,6,1,1,0
399,0,0,53.49105902637328,6,7,1,1,1
400,0,0,53.96026207434476,2,5,0,0,0
401,0,1,54.09005226993292,4,6,0,1,0
402,0,1,55.23220998526346,1,5,1,0,1
403,0,1,53.27145707414097,3,7,0,0,0
404,0,0,53.10192206518631,2,4,0,0,0
405,0,1,54.33509024320367,4,7,1,1,0
406,0,0,52.98331433013241,6,7,0,1,0
407,0,0,51.83738445433141,3,5,1,0,0
408,0,0,54.59417062480706,5,4,1,1,1
409,0,1,53.35510691675388,4,4,1,0,0
410,0,0,53.45537169631896,5,5,0,0,0
411,0,0,54.32719246156199,3,4,1,1,1
412,0,0,54.41205530750488,2,5,1,0,0
413,0,1,54.07072430072812,4,5,0,0,1
414,0,0,53.96032492442092,2,6,0,1,1
415,0,0,53.71087034971275,5,6,1,1,0
416,0,0,53.55758475022903,3,4,1,0,1
417,0,1,55.480679577395215,5,6,0,1,0
418,0,1,55.0930993098542,1,5,0,1,0
419,0,0,52.48618767699293,3,6,1,1,1
420,0,1,54.196739767108326,3,5,1,0,1
421,0,0,54.66967295312988,5,6,1,0,0
422,0,0,54.08255888761558,1,5,1,0,1
423,0,1,53.82551487669028,3,4,1,0,1
424,0,0,54.03454337038761,5,6,0,1,1
425,0,0,54.78820608785583,3,7,0,0,1
426,0,1,54.12213210854865,4,4,0,0,1
427,0,1,53.33023345114182,3,4,1,0,0
428,0,1,55.10632922986374,5,5,1,1,0
429,0,0,53.15766426897681,1,5,1,1,1
430,0,0,53.838941854332575,6,6,0,0,0
431,0,1,52.1863375339932,3,5,1,1,0
432,0,1,53.96747905825853,3,6,0,0,1
433,0,1,53.86236295488536,4,6,1,0,1
434,0,0,54.72918701957495,2,4,0,0,0
435,0,0,53.59681885985002,1,5,1,1,0
436,0,0,53.74375046771281,4,7,1,1,1
437,0,0,55.22403380452411,0,8,1,0,0
438,0,1,55.66212424125517,4,5,0,1,1
439,0,0,53.01231884608383,2,4,0,0,1
440,0,1,54.069289403501166,3,7,0,1,1
441,0,0,53.23969485546805,6,5,0,0,1
442,0,0,53.565901892088505,1,3,1,1,0
443,0,0,52.83520517469625,2,6,0,0,0
0,1,1,56.01963863242133,1,5,0,1,1
1,1,0,54.47451391196731,2,6,0,0,1
2,1,1,57.65712496236917,4,4,0,0,1
3,1,1,56.24086656445276,0,6,0,0,1
4,1,0,51.87180847371056,1,4,1,1,1
5,1,0,51.7804580769056,2,6,0,1,1
6,1,0,53.37291389196101,4,5,0,1,0
7,1,1,57.48334184151442,5,5,1,1,1
8,1,0,52.06283710078765,4,6,0,0,0
9,1,1,57.54605670499499,3,7,1,0,1
10,1,1,56.63317392199337,2,5,0,1,1
11,1,1,58.16246731991322,5,5,0,0,0
12,1,0,53.29866077748965,3,5,1,0,0
13,1,0,53.110353047997656,2,5,0,0,1
14,1,1,57.3534763089408,4,5,1,1,0
15,1,1,59.03814510937281,6,6,1,1,0
16,1,0,53.38707312565128,3,5,1,1,1
17,1,0,52.57055462826681,1,7,0,0,0
18,1,1,57.53915489738053,5,5,0,0,0
19,1,0,52.8694670779812,0,6,0,0,1
20,1,0,53.50169825328303,5,7,1,1,0
21,1,0,52.315009754817424,3,6,0,1,1
22,1,1,58.11943664400975,7,5,0,0,1
23,1,1,57.12911463441348,2,4,1,0,0
24,1,0,52.29759313820314,5,5,0,1,0
25,1,0,53.36515273484803,1,7,0,1,1
26,1,0,53.042356340427496,2,7,1,1,1
27,1,0,50.65251967947402,6,5,0,0,0
28,1,1,54.42541877014731,4,5,1,1,1
29,1,0,53.8103793907724,5,5,0,0,1
30,1,1,58.57209915120213,2,6,1,0,1
31,1,1,54.038359042980325,2,4,0,1,0
32,1,1,58.2397364685959,4,6,0,0,1
33,1,0,52.93448544595427,3,4,0,1,1
34,1,0,52.470357527338734,3,7,0,0,1
35,1,0,54.37525046118188,2,6,0,1,1
36,1,0,50.8861284327395,4,5,1,0,1
37,1,1,58.67296321508966,4,4,1,0,0
38,1,0,51.27227771603917,4,4,1,0,0
39,1,1,57.25547195383207,5,6,1,1,0
40,1,0,50.94287984025855,1,5,0,0,0
41,1,1,57.52743179575383,7,7,0,1,0
42,1,0,52.6933020215738,2,4,1,0,0
43,1,1,56.16658425602441,1,5,0,0,1
44,1,0,52.826205893221456,6,5,0,1,1
45,1,1,56.582409299374696,2,4,1,1,0
46,1,1,57.310974998280535,8,5,0,0,0
47,1,0,52.78715234360532,3,3,0,0,1
48,1,0,51.13669170770381,7,7,0,0,1
49,1,1,55.92331361100365,2,5,0,0,1
50,1,0,53.11252186197373,3,6,1,1,0
51,1,0,52.90829766749148,5,5,0,0,1
52,1,1,58.86526283305455,6,5,0,1,1
53,1,1,57.88358638471437,5,5,1,1,1
54,1,0,52.33762849207941,2,6,0,0,0
55,1,1,56.28493540581988,3,5,1,1,1
56,1,1,56.86820426986142,5,4,0,0,1
57,1,0,52.99794403071623,4,5,1,0,0
58,1,0,51.16353519884023,2,5,1,1,1
59,1,1,56.1918309799752,5,5,1,0,1
60,1,0,53.556435201023554,7,6,1,0,0
61,1,0,52.282616979042345,0,6,1,1,1
62,1,1,56.22665478443447,3,6,1,1,0
63,1,1,58.38241346516715,4,7,0,1,0
64,1,1,58.17969121434606,2,7,0,0,1
65,1,0,53.48064944485947,2,6,1,0,1
66,1,0,55.18818023897508,4,7,0,1,1
67,1,1,57.76356400607335,5,6,0,1,1
68,1,0,53.3022150316572,7,5,1,0,1
69,1,1,55.0485197316052,3,7,0,1,1
70,1,0,53.01479828067463,4,6,1,1,0
71,1,1,57.206628846741005,3,7,1,1,1
72,1,0,52.97404041540675,0,5,0,1,0
73,1,0,53.72477836768639,4,7,1,1,0
74,1,0,52.123945081631945,2,7,1,1,0
75,1,1,55.59559131211665,5,5,0,0,1
76,1,0,52.583886724833,3,6,0,1,0
77,1,1,57.10282990416597,2,5,1,0,0
78,1,1,58.45330260046003,3,6,1,1,1
79,1,0,51.43760924844586,4,6,0,0,0
80,1,1,58.73601881553513,1,6,1,0,1
81,1,0,51.63933169241467,3,6,0,1,1
82,1,0,52.91111724035958,3,5,1,0,0
83,1,0,53.8505573728046,6,4,1,0,1
84,1,0,52.41797817005168,5,5,1,1,0
85,1,0,51.32891946711326,2,5,0,1,0
86,1,1,56.70701166176467,2,6,0,1,0
87,1,0,51.67228954599443,5,5,1,1,1
88,1,0,53.22218406879386,-1,4,0,0,0
89,1,0,52.96563549127332,2,6,1,0,1
90,1,1,58.04223994435662,6,7,0,0,1
91,1,1,57.68734975898503,3,4,0,0,0
92,1,1,56.65001108523367,7,5,1,0,1
93,1,0,53.14703830416378,3,4,1,1,1
94,1,1,56.158868683948015,2,5,1,0,1
95,1,0,51.78658703626944,4,5,1,0,0
96,1,0,52.42783209583812,5,5,1,0,1
97,1,0,51.620513328851146,4,7,0,1,1
98,1,1,57.85772699093204,4,6,1,1,0
99,1,1,57.721636166206494,3,5,0,1,0
100,1,1,56.01123321983539,4,7,1,0,0
101,1,1,55.16814656320304,4,6,0,1,1
102,1,0,52.96760792014124,5,5,0,0,1
103,1,1,56.303171874967866,5,6,1,0,1
104,1,0,51.50790357340394,4,6,0,1,1
105,1,1,57.879166418983885,2,5,0,1,0
106,1,0,52.73173801893316,4,4,1,0,1
107,1,1,57.36931641489466,2,5,1,1,0
108,1,1,55.72751076133435,3,7,0,1,0
109,1,1,58.98452333689641,5,6,1,0,0
110,1,0,52.642636117306935,5,7,1,1,1
111,1,1,55.94022622484128,0,7,1,1,0
112,1,0,52.164791202564246,2,5,1,1,0
113,1,1,56.48190271109025,4,4,0,1,1
114,1,1,59.6097238520899,3,7,1,1,0
115,1,1,57.2975509578388,1,5,1,1,1
116,1,1,57.57209376702874,2,7,1,1,1
117,1,1,57.39645083307829,1,6,1,0,0
118,1,1,56.89474227550807,4,5,1,1,1
119,1,0,52.57678441611134,4,6,1,0,1
120,1,0,53.41013345367833,2,6,0,0,1
121,1,0,51.96814024367253,5,6,0,1,1
122,1,0,52.095807464451546,0,5,1,1,1
123,1,0,52.46216305057788,3,4,1,1,1
124,1,0,52.92037509155615,3,4,1,0,1
125,1,0,53.97676569947976,3,5,0,1,0
126,1,0,52.23238097891567,1,5,1,1,0
127,1,1,57.84259884728797,2,7,0,0,1
128,1,0,53.99986043930718,1,6,1,1,1
129,1,1,56.99397179977253,4,6,0,1,1
130,1,1,58.503804655907565,1,6,0,1,0
131,1,0,53.40211034776609,3,4,1,0,1
132,1,0,52.71382082429756,3,5,0,1,0
133,1,1,56.09194178835063,5,6,0,0,0
