test_score,socio_economic_status,gender,ethnicity,enrolled_students,reduced_class_size,cutoff,final_grade
15,0,0,1,11.546423657271015,0,13,10.952547243299923
13,1,1,1,10.4755482250112,0,13,7.936752595385077
14,3,1,0,14.181807193827714,1,13,22.808024003524388
15,9,1,1,12.545459051042355,0,13,11.840492044066874
15,1,1,1,12.587195464777626,0,13,12.316198101064884
17,4,1,1,11.846397572715825,0,13,11.671373390158248
12,3,1,0,13.858066252108964,1,13,22.03347077163447
12,0,1,0,12.969509605557532,0,13,11.856759404470548
12,5,1,1,9.22314094569941,0,13,6.590220766666075
12,0,1,0,15.675619614212293,1,13,23.77559741299869
16,3,0,1,9.09844833426475,0,13,7.325360769031841
15,6,0,1,10.211908733667014,0,13,8.631390715821924
15,9,1,0,12.59439367261529,0,13,12.406665964932431
16,3,1,1,15.309415100066568,1,13,24.272692724383813
13,7,0,0,12.347481766206007,0,13,11.680895825816595
13,4,1,0,10.582212071811677,0,13,8.686484145351788
10,0,0,1,10.294789342733862,0,13,6.539843924098049
17,3,1,1,12.66455700572592,0,13,13.61188653411897
20,2,0,1,13.818653831939304,1,13,23.71437851448155
13,3,0,1,11.722058991508694,0,13,11.003368718327948
10,2,1,1,11.51448367380213,0,13,8.464765422187542
14,8,1,1,12.83895853562634,0,13,11.808685465714552
12,1,0,1,13.639014729971064,1,13,22.372065949169887
15,2,0,0,11.650270045820555,0,13,11.42030933470315
12,0,1,1,15.5288037032005,1,13,23.93941449343912
12,-3,1,1,14.397561376383395,1,13,23.202409892882937
14,2,1,0,14.69117620621262,1,13,23.431544591213942
12,6,1,1,14.474656024035044,1,13,22.37504807594756
14,0,0,1,8.642958735631495,0,13,5.3572767387638764
12,2,0,0,13.596978190987793,1,13,22.2958358659034
20,5,1,1,12.183997779957876,0,13,12.846082849958496
18,5,1,0,12.260758733205307,0,13,12.17185366043419
17,1,0,0,13.015658969044516,1,13,22.95782513088549
12,2,1,1,12.687306633064171,0,13,11.482890842719126
16,6,1,0,11.582146810396615,0,13,10.661385298322363
9,3,1,1,13.67187070318213,1,13,21.96148080621567
13,-3,1,0,10.791161771033591,0,13,8.891389015290047
13,5,1,1,11.64233556465118,0,13,10.25238989080806
10,7,1,1,15.504058656980146,1,13,23.3597283378908
17,6,0,1,15.125215452428694,1,13,24.423591393347383
13,1,1,0,16.373296019728084,1,13,25.13305073873958
15,0,1,1,9.403036777041816,0,13,7.000170277755842
14,1,0,0,13.333810083137562,1,13,22.899445056734457
14,1,1,0,12.816054449641078,0,13,12.283021874328558
15,4,0,1,11.483141268190597,0,13,9.912709684904195
15,0,0,1,13.198615400526975,1,13,22.891692118706786
15,5,0,1,13.648356676941209,1,13,23.08327233260289
10,0,0,0,8.57340932001716,0,13,4.330994642776238
10,5,1,1,14.479846191677836,1,13,21.49118839803457
15,3,0,1,13.780461396160572,1,13,22.23895549714836
17,4,1,1,12.39545637722741,0,13,12.390471157906257
15,5,1,1,11.52877542601653,0,13,10.440693681939347
10,2,0,0,16.18868488427307,1,13,23.82539882820714
13,6,1,0,10.832478136535697,0,13,9.474156579851533
13,6,1,1,13.19808979440372,1,13,22.532613338935462
16,0,1,1,14.101211683536278,1,13,23.82736513370498
9,2,1,0,13.166238502276135,1,13,21.58365789684934
15,7,1,1,13.962243603052256,1,13,22.55832679553919
15,4,0,1,14.24137153612606,1,13,22.72131804689736
16,4,1,1,15.894528371051956,1,13,24.890463404443462
14,7,0,0,12.664746359712518,0,13,12.056702073799276
15,6,0,0,13.29863941195673,1,13,22.87162271110132
13,2,1,0,12.884493309516769,0,13,12.668478367915686
14,2,0,1,14.626507704636817,1,13,24.505253819967898
12,6,0,0,9.559538268584296,0,13,7.808664850888109
12,1,0,1,14.042336067805158,1,13,21.81990176992969
14,3,1,1,13.389646780086148,1,13,22.57327534441419
10,3,1,0,15.339781211599854,1,13,22.55795873347717
11,6,1,1,11.73137944443426,0,13,9.622516985056048
12,4,1,1,12.51467035355402,0,13,11.578327769034448
13,6,0,0,15.147146179246718,1,13,24.19281064533269
11,-3,1,1,14.265120684254676,1,13,21.96796634818937
15,4,1,0,12.289395861740426,0,13,11.758054389737582
14,6,1,1,14.378642811422395,1,13,23.092164817441613
9,5,1,0,11.591466562587549,0,13,8.61311466783673
15,6,1,0,15.346118846301508,1,13,23.652799728660884
12,1,0,1,12.510983285088267,0,13,11.283320419444117
15,-2,1,0,11.92977427769133,0,13,11.198704865319527
13,3,1,0,12.68688048797292,0,13,12.217321569921909
14,3,1,0,11.493294177022934,0,13,10.198789979608518
13,-1,0,1,11.635471722838655,0,13,9.60496485856957
15,0,0,1,13.028453409956445,1,13,21.783929843815848
12,1,1,1,11.79438450209105,0,13,10.329043378502432
14,6,0,1,13.537412706767222,1,13,22.574056277850936
12,-2,0,0,15.41736016455242,1,13,24.029930955403497
14,3,1,0,13.551610754676988,1,13,23.151094140172084
15,0,0,1,11.12975790019146,0,13,9.770520210783388
13,6,1,0,10.74884659977749,0,13,8.964955169407114
10,2,0,1,12.9600818056194,0,13,11.2212474585678
13,8,0,0,13.5920054895997,1,13,22.730299605056352
15,4,1,1,15.901628586854926,1,13,24.90433493223161
13,5,1,1,13.195630649724416,1,13,22.878327397347988
15,7,0,1,13.823519089513251,1,13,22.821336337409537
15,-1,0,1,9.728882625422724,0,13,8.504007929118824
17,6,1,1,13.597396321981057,1,13,22.78908476593959
11,6,1,1,15.988842160280583,1,13,23.15362817938805
17,-1,0,1,11.1562798868128,0,13,10.207008663087382
16,0,1,1,12.872535185837664,0,13,12.705576579224036
10,6,1,1,11.660573961763458,0,13,9.928767090189671
16,0,1,0,10.079683380594073,0,13,9.104471551988985
13,0,1,1,13.304836948058355,1,13,21.4842563802303
12,2,1,0,12.80198828168278,0,13,11.954539454027824
11,0,1,1,13.667360133510506,1,13,22.593885627405708
12,1,0,1,11.610364955554152,0,13,9.531585659950808
15,3,1,0,12.210944679580438,0,13,11.309626408726407
17,1,0,1,12.009145120012503,0,13,10.77085145618888
12,4,1,0,11.236377083313515,0,13,9.722529171154642
16,4,1,0,10.090022160063208,0,13,8.424512622420645
10,2,1,0,12.87042887950823,0,13,12.21474791573552
14,0,1,1,9.717642803398263,0,13,7.55870891775726
8,0,1,1,10.505838790901302,0,13,7.818446316161258
12,1,1,0,12.917941131768035,0,13,11.093354518780208
17,0,1,1,11.54679830225509,0,13,11.304481555412734
13,4,1,0,15.286655937871204,1,13,23.214345243203592
15,3,1,0,14.39180190634395,1,13,23.596995326650376
16,0,1,1,15.703960676780458,1,13,24.34814613033113
15,5,1,1,14.326726479808906,1,13,24.29363412491361
11,4,0,1,15.053177467282897,1,13,23.62763974408445
12,6,1,1,11.722146049236342,0,13,10.55400207307932
16,0,1,0,15.520349078252924,1,13,24.718079904684856
14,2,0,0,13.9824328125773,1,13,23.806275221162394
17,5,1,0,14.73006948501739,1,13,24.057032479228727
15,2,1,0,15.76958294391821,1,13,25.406032831959426
13,0,0,1,14.581416423041128,1,13,24.391913708149385
10,2,1,1,12.383898508608734,0,13,11.041439268768164
16,-2,0,0,13.835529828607154,1,13,22.256684661160968
13,2,0,0,13.28457959887035,1,13,22.53102666704777
16,0,1,1,12.045159872343168,0,13,11.248600363681756
18,4,1,1,14.098122983480565,1,13,23.766969190649835
16,2,0,1,12.307616037895066,0,13,11.68629565160946
13,-1,1,0,15.092287823267094,1,13,23.46098046535017
14,2,1,1,14.3428571406289,1,13,23.8438218724046
12,5,0,1,10.879087994006998,0,13,8.788413293613864
15,6,1,1,12.781089251611098,0,13,12.656289753996282
10,4,0,1,17.105047405946927,1,13,25.737166891975907
12,1,1,1,11.945123359270635,0,13,10.555269107537242
12,6,0,0,10.83079855474417,0,13,9.537465756986636
15,1,1,1,16.03578494675076,1,13,25.43605339234889
15,1,1,1,15.102479475508613,1,13,23.464067340732303
17,3,0,1,10.061812030788053,0,13,9.391540213424436
18,1,0,1,14.415378064400452,1,13,24.43580835575142
12,1,1,1,12.889614564135949,0,13,11.427288440707324
17,2,1,1,13.245211747206062,1,13,23.07026191517023
14,4,0,0,13.689514149850313,1,13,23.11994486357242
15,3,1,1,13.928307525794647,1,13,22.86576718629465
10,0,1,1,16.43036733747732,1,13,24.41082426443889
12,4,0,1,11.826316264440566,0,13,10.353401044055188
11,5,0,1,12.93457864664253,0,13,12.549455147545595
15,7,1,1,12.265921230142002,0,13,10.958163962280851
11,7,0,1,12.161998424997348,0,13,10.040240096626173
12,1,1,1,13.451852266783302,1,13,22.0424306635779
16,3,1,1,12.511918757876172,0,13,12.199143550103532
15,3,1,1,13.462776784846907,1,13,22.797384789723147
17,6,0,0,11.313733866038504,0,13,11.46651256799504
13,2,0,0,13.314821070393496,1,13,22.29935929499373
12,3,0,1,8.197099326969425,0,13,6.0806914459481725
14,1,1,0,10.917599426166596,0,13,9.574339294465714
15,0,1,1,11.920489710033296,0,13,11.254021501793796
12,7,0,1,15.038257246303884,1,13,23.536810255942232
10,2,0,1,14.864615326422,1,13,21.93485839456519
12,3,1,0,13.566853426013196,1,13,22.127250897993484
13,4,0,1,15.449944398359618,1,13,24.17047256381606
15,5,1,1,10.373280471121005,0,13,8.837444065507146
8,2,1,0,7.192667178645844,0,13,2.2930601971871805
15,-1,1,0,12.887114594754989,0,13,12.465248157002916
16,3,1,1,9.859792838314466,0,13,7.215823020358514
13,-2,1,1,13.920267014425354,1,13,23.22426028843345
14,1,1,0,16.683623852156117,1,13,24.773337213857744
14,0,0,0,10.779711311317588,0,13,9.930609711143232
15,5,0,1,16.100406534119173,1,13,24.240700220326406
17,-1,1,0,12.485104972524727,0,13,12.82170053874744
7,3,1,1,13.927791141384937,1,13,21.517840865879005
11,5,1,1,10.186244519291847,0,13,7.263596287437573
11,1,1,1,15.1052583850877,1,13,22.73245768168479
9,-2,0,0,15.335496106893682,1,13,22.898834980655256
17,7,1,1,11.273208989720429,0,13,11.369807928935671
12,0,1,0,15.60672852889336,1,13,24.24200945815307
15,3,1,0,15.00712625854844,1,13,24.37399021823761
11,4,0,0,11.809504308707291,0,13,10.804601934663411
11,3,0,1,15.86768393249478,1,13,23.435222995984887
15,2,1,0,13.324576344239947,1,13,23.903430837134465
11,3,0,1,13.25348059866026,1,13,22.005362236770424
15,6,0,0,13.29460816867374,1,13,23.11504802484139
18,0,0,0,14.970675776048296,1,13,24.8303167094467
12,2,0,1,16.422679985514275,1,13,24.52754402823214
13,3,1,0,12.694858221104102,0,13,11.965302510239066
16,0,1,1,14.92917961944221,1,13,23.71284026729265
16,5,0,1,13.161607491845416,1,13,22.753151061986557
16,0,0,0,12.039647141078463,0,13,12.07393889989276
18,1,0,1,9.795902488740822,0,13,8.618062529769741
7,0,1,0,13.435735523108486,1,13,21.558453739315794
15,-1,1,0,10.990275711335018,0,13,9.893714541539108
12,5,0,0,13.315566667368207,1,13,21.998873820233463
17,1,0,1,12.279540119918,0,13,12.451877454552475
11,3,0,1,13.280527291157911,1,13,21.88289913782448
12,7,1,0,13.16802217534338,1,13,22.28752270751408
12,-1,1,0,7.110030682400319,0,13,3.1343439169914107
19,-1,1,0,12.076386579601683,0,13,11.766664984573206
9,4,0,1,15.65869187037412,1,13,23.009991631120226
14,2,1,1,13.451366231944483,1,13,22.64562683933375
12,3,1,1,13.792188967313356,1,13,22.807703548848973
10,5,1,1,12.74409920641469,0,13,11.24301065327719
11,9,1,1,17.70443766721687,1,13,24.686632779115463
15,5,1,1,9.375574260700578,0,13,7.7847810897945235
12,2,1,1,12.003535436807653,0,13,11.13394268605283
15,5,1,0,13.785331715622748,1,13,22.919635628731378
12,-2,0,1,11.26380468956985,0,13,9.737741751296154
12,8,1,1,11.70806897525992,0,13,9.3435414552445
14,-2,0,0,18.061778651520896,1,13,27.11708113277127
13,3,1,0,13.410339862195508,1,13,22.928425198477232
12,3,0,1,12.55713181361504,0,13,11.473742818358486
12,0,1,1,16.959013055769006,1,13,24.684720575949367
14,4,1,1,11.461205609779457,0,13,10.341881355898568
17,9,1,1,12.73126994357685,0,13,12.572303421886318
16,4,1,0,10.24626512419142,0,13,8.964633544497111
12,-1,1,1,11.873198498259365,0,13,10.266462929803096
15,1,1,0,10.09831077329957,0,13,7.977976948389524
14,3,1,1,13.505107097224087,1,13,22.25152756213746
9,8,1,0,15.114172162498836,1,13,23.20221742785138
14,3,0,1,8.750325850417575,0,13,5.872631442828172
16,7,1,1,10.446271036904935,0,13,8.050563521675544
15,7,1,1,16.47812050120482,1,13,25.51048435317797
14,3,1,0,12.433859577093012,0,13,11.753959086351818
13,1,0,1,11.907859805075372,0,13,9.549256419988147
13,5,0,0,12.434529316836432,0,13,11.730196869029614
13,7,0,0,10.200182966394632,0,13,7.573208773596192
10,2,0,1,12.146578511461236,0,13,10.46245795640755
13,-1,1,1,7.726368705625997,0,13,3.983248090661335
13,1,1,0,12.006096325904208,0,13,9.7927818520986
9,4,0,1,12.853303878926615,0,13,11.064228217090148
15,2,1,1,11.929112395150405,0,13,10.849399594075358
13,7,0,0,12.97942008135845,0,13,13.034266546364744
14,2,1,1,15.6110260962008,1,13,24.08849624683896
19,3,1,1,13.755352681652608,1,13,24.302833055212847
11,6,1,1,11.632885084657929,0,13,9.682506523205236
15,0,0,0,12.65507177812602,0,13,11.94525126060723
15,4,1,1,14.527564350769016,1,13,23.68415138974685
15,4,1,1,14.755234799499595,1,13,23.71052048733362
15,4,1,1,13.231022318491313,1,13,22.85282594032406
14,8,0,1,12.300255243544028,0,13,10.370515732890068
14,3,1,0,13.17417532747709,1,13,22.025205222122104
14,3,1,1,13.50034010485868,1,13,22.646621068558577
13,5,1,0,15.029744446010543,1,13,24.49633531540201
11,2,0,0,12.241504996194776,0,13,11.398255430902768
15,3,0,0,11.49672248836491,0,13,10.710995896483592
13,0,0,1,10.650611990390065,0,13,8.753891313454583
13,5,1,0,14.651109499827772,1,13,23.020911634035805
15,0,0,1,12.32660173324589,0,13,11.498645337440712
12,2,1,0,15.1009395571762,1,13,24.43200948253196
14,4,1,0,11.701887546360386,0,13,10.92345177160099
14,7,1,0,11.019979862024242,0,13,9.913850376371313
19,-1,1,0,12.411171673690196,0,13,12.707315389607308
13,1,1,0,12.741678390230865,0,13,12.47565530526483
15,4,1,1,13.81299771314954,1,13,23.294185921585026
16,0,0,1,15.857161322489294,1,13,24.68226185214488
15,2,1,0,12.942023600912671,0,13,12.914871589252565
17,3,1,1,13.251031033140922,1,13,23.46020009962938
12,4,1,0,14.613132108979247,1,13,23.875319191573475
13,4,0,0,15.089761790785849,1,13,23.4368169477532
11,3,1,1,10.49683574674256,0,13,8.531128178906668
14,4,0,1,12.777122257786283,0,13,12.1637494089976
11,1,0,1,17.353049362874618,1,13,24.98257669840361
13,3,1,1,13.441070385067784,1,13,22.92513018964037
15,6,0,1,14.917189864150355,1,13,23.77118512554359
11,9,0,1,11.13986613264133,0,13,9.058576032787334
12,5,1,1,15.090339905004631,1,13,23.42030344413413
15,0,0,0,13.02771972321693,1,13,23.215341760603348
9,4,1,0,17.304977782769882,1,13,23.95852337865801
16,1,0,1,10.050667443003675,0,13,8.892806856189603
13,-2,0,0,13.07380605693574,1,13,22.13875594578685
15,0,1,0,11.75092021201818,0,13,10.931864014916442
14,2,0,1,16.58898348921378,1,13,25.251940426144262
9,1,1,1,12.853444776330116,0,13,11.383126230939268
11,1,0,0,14.247373862485295,1,13,22.81042458932651
11,-1,1,1,14.45316506343844,1,13,22.709340947661214
13,1,1,1,13.901737938528044,1,13,22.93892266818262
16,-2,0,0,12.245621194455678,0,13,13.1791672868576
14,5,0,1,16.33407803849451,1,13,25.202936811609774
14,2,1,1,11.774653669329128,0,13,10.812500662380252
16,0,1,0,15.786985670889797,1,13,24.74401609523781
12,1,1,0,13.88123037622274,1,13,23.00525518070712
16,5,1,0,9.630532427097576,0,13,7.653301559795754
17,0,1,1,10.459899140423522,0,13,8.520418742237487
11,4,1,1,13.240920621717027,1,13,22.278576960053005
16,1,1,1,12.606585945520962,0,13,13.485540526272022
12,6,1,0,14.077944035012202,1,13,22.67459550313609
13,1,1,1,10.719335375098426,0,13,8.63658000021459
11,0,0,1,10.673814525601532,0,13,9.384899320145871
13,5,1,0,13.49083903263509,1,13,22.70759823742141
15,9,0,1,10.962009485973336,0,13,10.120441296919877
10,0,1,0,11.045581729572405,0,13,9.998861091762148
15,2,0,1,14.167093720919295,1,13,23.36494310937353
16,5,1,1,16.150625435485892,1,13,24.67680020289308
16,3,0,0,12.373037353426175,0,13,12.783051371796304
12,1,1,1,9.486928762803633,0,13,7.108612692982272
10,1,0,1,13.41461294657301,1,13,21.79104802603138
14,2,1,1,12.240402988828436,0,13,11.86727253572426
8,4,1,1,12.385315913494956,0,13,11.095503974651653
14,-3,1,0,15.149935565730296,1,13,23.92022242567777
19,1,1,0,12.71005912936049,0,13,13.067404685338053
13,0,1,1,10.342588765982532,0,13,8.168740423504687
13,-1,1,0,9.933770260568288,0,13,7.211894309944925
14,1,1,1,12.820859419203405,0,13,12.531522442809626
16,0,0,0,14.608753609527025,1,13,23.59919799474569
16,3,1,1,15.752177779425905,1,13,25.37530702993016
16,1,0,0,9.484126967054076,0,13,7.60848967102356
