club_id,measurement_year,air_purifier_installed,average_workout_duration,membership_size,average_age_of_members,weekday_opening_hours,weekend_opening_hours
6,1,0,49.38533652677769,2,3,0,0
6,2,0,45.855174156428006,2,3,0,0
6,3,0,52.10606744023188,2,3,0,0
6,4,0,49.88562273156747,2,3,0,0
6,5,0,48.31565789623594,2,3,0,0
6,6,0,49.88547782503954,2,3,0,0
6,7,1,58.11819106490195,2,3,0,0
6,8,1,59.2137274425711,2,3,0,0
6,9,1,59.63089066616231,2,3,0,0
7,0,0,47.3906594971884,2,2,0,1
7,1,0,51.07647830874513,2,2,0,1
7,2,0,46.964803324407605,2,2,0,1
7,3,0,47.835559801518535,2,2,0,1
7,4,0,48.664915169051895,2,2,0,1
7,5,0,45.65997322707905,2,2,0,1
7,6,0,49.246668537647984,2,2,0,1
7,7,0,46.577176900727125,2,2,0,1
7,8,0,47.78958866923389,2,2,0,1
7,9,1,58.24629679866398,2,2,0,1
8,0,0,48.44345354797292,4,14,1,1
8,1,0,50.62133357900126,4,14,1,1
8,2,0,48.521884823130456,4,14,1,1
8,3,0,51.25589411711505,4,14,1,1
8,4,0,50.23698035233637,4,14,1,1
8,5,0,47.277285236920726,4,14,1,1
8,6,0,50.81668125634646,4,14,1,1
8,7,0,47.4426197657034,4,14,1,1
8,8,0,48.28191935406946,4,14,1,1
8,9,0,51.3477736162322,4,14,1,1
9,0,0,48.98730083622037,4,11,1,0
9,1,0,48.370657399688014,4,11,1,0
9,2,0,49.0453569004909,4,11,1,0
9,3,0,50.78734485382031,4,11,1,0
9,4,1,59.55243230444204,4,11,1,0
9,5,1,57.012769009282096,4,11,1,0
9,6,1,58.63253072547427,4,11,1,0
9,7,1,58.82990898590937,4,11,1,0
9,8,1,58.28145839579068,4,11,1,0
9,9,1,58.37478559535789,4,11,1,0
10,0,0,46.56840128309947,1,6,1,0
10,1,0,47.23859589065367,1,6,1,0
10,2,0,47.94199587508432,1,6,1,0
10,3,0,48.16061817145338,1,6,1,0
10,4,0,46.34351642332163,1,6,1,0
10,5,0,46.04704702097642,1,6,1,0
10,6,1,55.822434939395954,1,6,1,0
10,7,1,55.696856290126966,1,6,1,0
10,8,1,55.035395575631895,1,6,1,0
10,9,1,56.23887573285028,1,6,1,0
11,0,0,46.38967675992236,4,5,1,1
11,1,0,47.524588615976754,4,5,1,1
11,2,0,46.64359057603293,4,5,1,1
11,3,0,48.29863262403594,4,5,1,1
11,4,0,48.15988196915679,4,5,1,1
11,5,0,45.491382219975314,4,5,1,1
11,6,0,49.01626149311616,4,5,1,1
11,7,0,45.08116767594599,4,5,1,1
11,8,1,57.3343056825292,4,5,1,1
11,9,1,58.35729995425989,4,5,1,1
12,0,0,48.303767333550326,3,7,1,1
12,1,0,48.64504665770426,3,7,1,1
12,2,0,48.79138102588254,3,7,1,1
12,3,0,50.80299449728812,3,7,1,1
12,4,0,50.59699792677367,3,7,1,1
12,5,0,47.55849431163109,3,7,1,1
12,6,1,60.77983480470431,3,7,1,1
12,7,1,59.42432949345189,3,7,1,1
12,8,1,58.22228959310589,3,7,1,1
12,9,1,58.58886689159412,3,7,1,1
13,0,0,46.981530405442335,4,10,1,1
13,1,0,47.5267763650279,4,10,1,1
13,2,0,47.31698809477359,4,10,1,1
13,3,0,49.76887299285997,4,10,1,1
13,4,0,49.39794926060495,4,10,1,1
13,5,1,58.41764218013432,4,10,1,1
13,6,1,58.5909971988397,4,10,1,1
13,7,1,58.02923697849809,4,10,1,1
13,8,1,60.28248992716869,4,10,1,1
13,9,1,60.64072838807135,4,10,1,1
14,0,0,48.05618690161517,3,5,0,0
14,1,0,49.21998330724376,3,5,0,0
14,2,0,47.12084687038652,3,5,0,0
14,3,0,50.27444447797339,3,5,0,0
14,4,0,49.27595237038411,3,5,0,0
14,5,1,56.53766704551781,3,5,0,0
14,6,1,58.84495661138774,3,5,0,0
14,7,1,58.78909651326572,3,5,0,0
14,8,1,58.44147628886036,3,5,0,0
14,9,1,56.7126577256185,3,5,0,0
15,0,0,49.54744909574424,2,9,0,1
15,1,0,48.57314022147978,2,9,0,1
15,2,0,48.680502257827946,2,9,0,1
15,3,1,58.81635205738031,2,9,0,1
15,4,1,61.00106651871406,2,9,0,1
15,5,1,55.09280673698444,2,9,0,1
15,6,1,57.937873437869335,2,9,0,1
15,7,1,56.37792882812858,2,9,0,1
15,8,1,57.99897883665172,2,9,0,1
15,9,1,57.38618920690365,2,9,0,1
16,0,0,49.47075550867676,6,10,1,1
16,1,0,48.69347352706826,6,10,1,1
16,2,0,48.17584418100547,6,10,1,1
16,3,0,49.123745637112215,6,10,1,1
16,4,0,51.13054062949506,6,10,1,1
16,5,1,56.561934479074885,6,10,1,1
16,6,1,59.1033036321368,6,10,1,1
16,7,1,58.4301753544913,6,10,1,1
16,8,1,57.67584943519572,6,10,1,1
16,9,1,58.26412534573365,6,10,1,1
17,0,0,50.13919527867032,3,9,1,0
17,1,0,49.34967495946959,3,9,1,0
17,2,0,48.604647453007374,3,9,1,0
17,3,0,50.46526220436799,3,9,1,0
17,4,0,49.093971092749605,3,9,1,0
17,5,1,56.767437513910544,3,9,1,0
17,6,1,56.96236877796094,3,9,1,0
17,7,1,58.78060233301591,3,9,1,0
17,8,1,58.19080313681104,3,9,1,0
17,9,1,59.00521400356544,3,9,1,0
18,0,0,49.29072422947614,5,8,1,1
18,1,0,49.170247209775205,5,8,1,1
18,2,0,46.1342639096998,5,8,1,1
18,3,0,50.07310925203289,5,8,1,1
18,4,1,58.2373593154692,5,8,1,1
18,5,1,54.10451898647112,5,8,1,1
18,6,1,58.3111423105801,5,8,1,1
18,7,1,57.16231490756413,5,8,1,1
18,8,1,56.81347043463867,5,8,1,1
18,9,1,59.23107585114639,5,8,1,1
19,0,0,50.46084884059339,2,7,1,0
19,1,0,51.94665203583133,2,7,1,0
19,2,0,50.22194032995207,2,7,1,0
19,3,0,51.17943372654697,2,7,1,0
19,4,1,60.80302074073442,2,7,1,0
19,5,1,59.30490034033123,2,7,1,0
19,6,1,61.14070943932715,2,7,1,0
19,7,1,59.46051606414849,2,7,1,0
19,8,1,62.09467677647445,2,7,1,0
19,9,1,59.90824041557298,2,7,1,0
20,0,0,50.26110736326864,0,11,1,1
20,1,0,51.59338014232554,0,11,1,1
20,2,0,49.23466857817965,0,11,1,1
20,3,0,52.998703199918864,0,11,1,1
20,4,0,50.04956412178715,0,11,1,1
20,5,0,50.01414308636164,0,11,1,1
20,6,0,52.24494757716824,0,11,1,1
20,7,0,51.71863313793799,0,11,1,1
20,8,0,52.02114143431125,0,11,1,1
20,9,0,52.23169459769712,0,11,1,1
21,0,0,46.86972518374279,3,1,1,1
21,1,0,49.27923350252647,3,1,1,1
21,2,0,46.82627599697514,3,1,1,1
21,3,0,49.81379852649521,3,1,1,1
21,4,0,48.85378344868277,3,1,1,1
21,5,0,46.42532289992893,3,1,1,1
21,6,0,46.63309963651098,3,1,1,1
21,7,0,48.102455299362624,3,1,1,1
21,8,0,48.18483020904599,3,1,1,1
21,9,0,48.8754173531704,3,1,1,1
22,0,0,48.87668071208721,1,4,0,0
22,1,0,47.89954099972831,1,4,0,0
22,2,0,48.15578888860679,1,4,0,0
22,3,0,50.22266413793848,1,4,0,0
22,4,0,50.243365989573945,1,4,0,0
22,5,0,49.05057617649221,1,4,0,0
22,6,0,49.55437352686837,1,4,0,0
22,7,0,48.06991469591911,1,4,0,0
22,8,1,59.0927747883987,1,4,0,0
22,9,1,58.0240717130065,1,4,0,0
23,0,0,50.10404443297193,4,11,1,0
23,1,0,50.17060098317548,4,11,1,0
23,2,0,49.40736828680707,4,11,1,0
23,3,0,50.6800801888466,4,11,1,0
23,4,0,50.22338417680708,4,11,1,0
23,5,0,49.2155225303432,4,11,1,0
23,6,0,49.11366375527948,4,11,1,0
23,7,0,51.64966694753568,4,11,1,0
23,8,0,51.15302893750537,4,11,1,0
23,9,1,60.6217078673988,4,11,1,0
24,0,0,50.119764326096295,1,13,1,0
24,1,0,50.49260069648654,1,13,1,0
24,2,0,49.2897293078476,1,13,1,0
24,3,0,52.38579100502607,1,13,1,0
24,4,0,50.79322398009039,1,13,1,0
24,5,0,48.2377851430938,1,13,1,0
24,6,0,49.697103180535294,1,13,1,0
24,7,0,51.14539358639056,1,13,1,0
24,8,0,49.6676112225311,1,13,1,0
24,9,0,49.56678290300973,1,13,1,0
25,0,0,48.77000127818576,1,7,0,0
25,1,0,49.69529912951709,1,7,0,0
25,2,0,50.27828686320563,1,7,0,0
25,3,0,51.75823948913669,1,7,0,0
25,4,0,51.6696849942178,1,7,0,0
25,5,0,49.98558106686188,1,7,0,0
25,6,0,50.28922706280586,1,7,0,0
25,7,0,50.35998216050962,1,7,0,0
25,8,0,49.92330176459145,1,7,0,0
25,9,0,50.032255651599,1,7,0,0
26,0,0,50.355846929157,2,7,1,0
26,1,0,51.52515310730756,2,7,1,0
26,2,0,49.38288467004984,2,7,1,0
26,3,0,50.7237188539479,2,7,1,0
26,4,0,49.50922536173453,2,7,1,0
26,5,0,48.39330200141676,2,7,1,0
26,6,0,49.71512375793706,2,7,1,0
26,7,0,48.12741832097861,2,7,1,0
26,8,0,50.61137350214709,2,7,1,0
26,9,0,46.0498640766016,2,7,1,0
27,0,0,52.75140607280567,3,11,0,1
27,1,0,51.78369180358245,3,11,0,1
27,2,0,49.63820174856644,3,11,0,1
27,3,0,51.52215853875719,3,11,0,1
27,4,0,49.21630455947167,3,11,0,1
27,5,0,47.25351892110407,3,11,0,1
27,6,0,47.24679241363199,3,11,0,1
27,7,0,50.79485242902159,3,11,0,1
27,8,0,52.111964487157614,3,11,0,1
27,9,0,50.45565812461425,3,11,0,1
28,0,0,45.92396704047575,6,10,0,1
28,1,0,46.488819850415,6,10,0,1
28,2,0,45.06896086356301,6,10,0,1
28,3,0,50.04793754264352,6,10,0,1
28,4,0,47.46119988739847,6,10,0,1
28,5,0,45.08866637747353,6,10,0,1
28,6,0,44.99195450690094,6,10,0,1
28,7,0,45.282242504259536,6,10,0,1
28,8,0,47.43898211259045,6,10,0,1
28,9,0,46.658232814606585,6,10,0,1
29,0,0,50.40726534534824,3,8,1,1
29,1,0,51.02517770158341,3,8,1,1
29,2,0,48.62106886514661,3,8,1,1
29,3,0,50.32962413675497,3,8,1,1
29,4,0,51.02048516721884,3,8,1,1
29,5,0,48.05193574816356,3,8,1,1
29,6,0,48.15820508926558,3,8,1,1
29,7,0,51.50265649101067,3,8,1,1
29,8,0,49.62911311590177,3,8,1,1
29,9,0,49.85861124844853,3,8,1,1
30,0,0,48.50644845899094,3,12,0,1
30,1,0,49.60630417268163,3,12,0,1
30,2,0,47.68857870318808,3,12,0,1
30,3,0,49.43910064171609,3,12,0,1
30,4,1,56.5246678938932,3,12,0,1
30,5,1,55.8232774065715,3,12,0,1
30,6,1,58.37141568393566,3,12,0,1
30,7,1,59.16890279769871,3,12,0,1
30,8,1,58.59912928198991,3,12,0,1
30,9,1,57.545797121894886,3,12,0,1
31,0,0,51.08957366029622,3,14,1,1
31,1,0,50.755575811577735,3,14,1,1
31,2,0,51.16027192840547,3,14,1,1
31,3,0,52.73663700184159,3,14,1,1
31,4,0,52.76783959376731,3,14,1,1
31,5,0,51.24435985233914,3,14,1,1
31,6,0,52.94889023407558,3,14,1,1
31,7,0,50.84400158639502,3,14,1,1
31,8,1,61.55508983955056,3,14,1,1
31,9,1,61.19290833136144,3,14,1,1
32,0,0,49.19765863545405,6,8,1,1
32,1,0,49.561982790218,6,8,1,1
32,2,0,49.29086421508965,6,8,1,1
32,3,0,50.32287474818045,6,8,1,1
32,4,0,51.41972191367656,6,8,1,1
32,5,0,46.77493407881361,6,8,1,1
32,6,0,49.90921824156244,6,8,1,1
32,7,0,49.56183187177376,6,8,1,1
32,8,0,49.31956044612455,6,8,1,1
32,9,0,49.7665126844987,6,8,1,1
33,0,0,51.78556347082375,3,3,1,0
33,1,1,61.21063525287785,3,3,1,0
33,2,1,59.92540723523813,3,3,1,0
33,3,1,58.909766752874,3,3,1,0
33,4,1,60.457760610020266,3,3,1,0
33,5,1,57.15160397709222,3,3,1,0
33,6,1,59.35206903390302,3,3,1,0
33,7,1,60.213010885774935,3,3,1,0
33,8,1,61.80564653246182,3,3,1,0
33,9,1,60.25511996288132,3,3,1,0
34,0,0,49.15863982579397,3,10,1,0
34,1,0,49.64961415118562,3,10,1,0
34,2,0,49.77494299213244,3,10,1,0
34,3,0,52.764487156943375,3,10,1,0
34,4,0,49.08203770532688,3,10,1,0
34,5,0,49.232877654019,3,10,1,0
34,6,0,50.90301850202574,3,10,1,0
34,7,0,49.02912395777947,3,10,1,0
34,8,0,49.42748661035706,3,10,1,0
34,9,0,49.51751939861254,3,10,1,0
35,0,0,47.01808569513727,3,9,1,1
35,1,0,47.60732848296952,3,9,1,1
35,2,0,47.00780485155165,3,9,1,1
35,3,0,48.4226014029038,3,9,1,1
35,4,0,51.04126292982475,3,9,1,1
35,5,0,47.96679643009792,3,9,1,1
35,6,0,46.52169228522376,3,9,1,1
35,7,1,58.414157225522594,3,9,1,1
35,8,1,57.948949172995,3,9,1,1
35,9,1,59.67663741935218,3,9,1,1
36,0,0,46.82992492034776,3,6,0,1
36,1,0,47.15554775947512,3,6,0,1
36,2,0,47.1616216820252,3,6,0,1
36,3,0,48.49441156415208,3,6,0,1
36,4,0,46.71022297854099,3,6,0,1
36,5,1,56.248495112444594,3,6,0,1
36,6,1,57.21776664694558,3,6,0,1
36,7,1,57.127173105380855,3,6,0,1
36,8,1,58.772575124558806,3,6,0,1
36,9,1,57.11893283472373,3,6,0,1
37,0,0,52.1646829936078,3,9,1,0
37,1,0,51.311542368699634,3,9,1,0
37,2,0,51.678084742965446,3,9,1,0
37,3,0,53.149694066920304,3,9,1,0
37,4,0,52.04967841070807,3,9,1,0
37,5,0,49.16113655182893,3,9,1,0
37,6,0,51.60610771405205,3,9,1,0
37,7,0,51.568037512339856,3,9,1,0
37,8,0,51.07959548387385,3,9,1,0
37,9,0,51.967599443729135,3,9,1,0
38,0,0,47.95722113894894,3,5,1,1
38,1,0,48.81766641455732,3,5,1,1
38,2,0,48.13186321438482,3,5,1,1
38,3,1,59.76779805302357,3,5,1,1
38,4,1,60.06214951418384,3,5,1,1
38,5,1,55.99897663514341,3,5,1,1
38,6,1,58.616397719816106,3,5,1,1
38,7,1,56.7572330560559,3,5,1,1
38,8,1,58.879915373992034,3,5,1,1
38,9,1,57.38159056466491,3,5,1,1
39,0,0,50.34782917904983,6,7,0,1
39,1,0,49.78008504272825,6,7,0,1
39,2,0,46.072262661702126,6,7,0,1
39,3,0,49.15859612056271,6,7,0,1
39,4,0,50.46122808652573,6,7,0,1
39,5,0,47.33002017843293,6,7,0,1
39,6,0,49.45703840970117,6,7,0,1
39,7,1,57.91301536001406,6,7,0,1
39,8,1,57.9802724752383,6,7,0,1
39,9,1,57.53744931076008,6,7,0,1
40,0,0,49.42094135731404,5,8,1,0
40,1,0,50.64851964750961,5,8,1,0
40,2,0,48.22555039780173,5,8,1,0
40,3,0,51.2956854368359,5,8,1,0
40,4,0,47.29540936596077,5,8,1,0
40,5,0,47.76070043634732,5,8,1,0
40,6,0,49.75654840535041,5,8,1,0
40,7,0,48.29896616773429,5,8,1,0
40,8,0,49.6126729426427,5,8,1,0
40,9,0,47.95738796752599,5,8,1,0
41,0,0,49.87751607300122,0,9,0,0
41,1,0,51.62888379188652,0,9,0,0
41,2,0,49.94587438952413,0,9,0,0
41,3,0,50.56271752420176,0,9,0,0
41,4,0,51.39964303706836,0,9,0,0
41,5,0,47.41340073422558,0,9,0,0
41,6,0,51.92880121635741,0,9,0,0
41,7,0,48.18988686544643,0,9,0,0
41,8,0,49.84655116785251,0,9,0,0
41,9,0,50.220021740327525,0,9,0,0
42,0,0,50.965350103630165,3,10,1,1
42,1,0,52.29280453251775,3,10,1,1
42,2,0,51.42113135438892,3,10,1,1
42,3,0,52.19711995340442,3,10,1,1
42,4,0,51.22590545667748,3,10,1,1
42,5,1,59.40824705355805,3,10,1,1
42,6,1,60.57360244818724,3,10,1,1
42,7,1,59.415267876788654,3,10,1,1
42,8,1,61.00852321845523,3,10,1,1
42,9,1,60.804198849951135,3,10,1,1
43,0,0,48.262083695756495,1,7,1,1
43,1,0,48.69161553933857,1,7,1,1
43,2,0,48.24525962930926,1,7,1,1
43,3,0,47.35348645369339,1,7,1,1
43,4,0,49.489374297880666,1,7,1,1
43,5,0,44.99776058890557,1,7,1,1
43,6,0,48.81126955832947,1,7,1,1
43,7,0,48.424477701893785,1,7,1,1
43,8,0,47.7794541865938,1,7,1,1
43,9,0,49.36329325166788,1,7,1,1
44,0,0,48.417838271351286,6,9,0,0
44,1,0,50.05486025418121,6,9,0,0
44,2,0,48.54898008427206,6,9,0,0
44,3,0,49.19648626602207,6,9,0,0
44,4,0,49.07204927469226,6,9,0,0
44,5,0,48.483243317136576,6,9,0,0
44,6,0,50.35234624688857,6,9,0,0
44,7,0,48.41066794813694,6,9,0,0
44,8,0,50.23698663643998,6,9,0,0
44,9,0,48.26592765361033,6,9,0,0
45,0,0,47.28685626393892,0,7,1,1
45,1,0,47.13504974620029,0,7,1,1
45,2,0,48.629061905552426,0,7,1,1
45,3,0,51.0921761029373,0,7,1,1
45,4,0,48.69139586487119,0,7,1,1
45,5,0,47.14603075325147,0,7,1,1
45,6,0,47.03013473571135,0,7,1,1
45,7,0,48.08958422339546,0,7,1,1
45,8,0,48.00371545302487,0,7,1,1
45,9,0,48.00439271686708,0,7,1,1
46,0,0,48.50011432546267,6,9,0,1
46,1,0,47.90977550739213,6,9,0,1
46,2,0,46.94616726587847,6,9,0,1
46,3,0,49.566585545002845,6,9,0,1
46,4,0,47.77315959880929,6,9,0,1
46,5,0,47.01305445740715,6,9,0,1
46,6,0,47.22091876664194,6,9,0,1
46,7,0,47.11401266076458,6,9,0,1
46,8,1,58.28670641330186,6,9,0,1
46,9,1,57.22933735218875,6,9,0,1
47,0,0,49.77181961417466,1,14,1,0
47,1,0,48.234264374687015,1,14,1,0
47,2,1,57.3277458892452,1,14,1,0
47,3,1,57.98192349528329,1,14,1,0
47,4,1,60.02721255536081,1,14,1,0
47,5,1,56.7802491573295,1,14,1,0
47,6,1,56.73660761072662,1,14,1,0
47,7,1,59.48764793304554,1,14,1,0
47,8,1,57.56768103816764,1,14,1,0
47,9,1,57.8965305652148,1,14,1,0
48,0,0,48.70148036881077,4,6,1,1
48,1,0,49.53387750092814,4,6,1,1
48,2,0,48.9238251303968,4,6,1,1
48,3,0,50.00420018277631,4,6,1,1
48,4,0,51.33771635551296,4,6,1,1
48,5,0,48.77981080267092,4,6,1,1
48,6,0,50.18043942531988,4,6,1,1
48,7,0,50.22314587346726,4,6,1,1
48,8,0,50.42951273262168,4,6,1,1
48,9,1,57.11746058472335,4,6,1,1
49,0,0,50.58637396890426,1,9,0,1
49,1,0,50.96655390977597,1,9,0,1
49,2,0,50.85870398512739,1,9,0,1
49,3,0,51.23266364616237,1,9,0,1
49,4,0,51.232458397149415,1,9,0,1
49,5,0,50.53046188552599,1,9,0,1
49,6,0,50.86057925230826,1,9,0,1
49,7,0,51.54153799305471,1,9,0,1
49,8,0,50.59468006856434,1,9,0,1
49,9,0,50.93796638571879,1,9,0,1
50,0,0,48.14430148978851,5,7,1,1
50,1,0,50.3377340890765,5,7,1,1
50,2,0,49.3391489125671,5,7,1,1
50,3,0,51.02930576242888,5,7,1,1
50,4,0,51.34134994969362,5,7,1,1
50,5,0,48.64531984256052,5,7,1,1
50,6,0,50.135123756514254,5,7,1,1
50,7,0,49.05180181931669,5,7,1,1
50,8,0,50.83445541283143,5,7,1,1
50,9,1,60.23616538171189,5,7,1,1
51,0,0,46.063398219021,2,7,1,1
51,1,0,48.087277378681385,2,7,1,1
51,2,0,47.2578843124819,2,7,1,1
51,3,0,48.18315090988877,2,7,1,1
51,4,0,47.75161832963294,2,7,1,1
51,5,0,44.46719941954266,2,7,1,1
51,6,0,48.79666508190831,2,7,1,1
51,7,0,47.60982071322386,2,7,1,1
51,8,0,47.71903382009059,2,7,1,1
51,9,0,48.693413477275385,2,7,1,1
52,0,0,48.23571945945351,8,9,0,1
52,1,0,51.23573706518614,8,9,0,1
52,2,0,47.51534128593248,8,9,0,1
52,3,0,48.96208036311655,8,9,0,1
52,4,0,49.12962765544672,8,9,0,1
52,5,0,46.9374137066155,8,9,0,1
52,6,1,58.97736265129985,8,9,0,1
52,7,1,56.32132504070146,8,9,0,1
52,8,1,60.18297059305592,8,9,0,1
52,9,1,58.7776347020643,8,9,0,1
53,0,0,50.12262950633288,3,9,1,0
53,1,0,50.91830861460018,3,9,1,0
53,2,0,49.154345913789086,3,9,1,0
53,3,0,52.00001847075291,3,9,1,0
53,4,0,48.28085864110155,3,9,1,0
53,5,0,46.99902457078733,3,9,1,0
53,6,0,48.62759175639421,3,9,1,0
53,7,0,50.54100997918542,3,9,1,0
53,8,1,58.88730443739539,3,9,1,0
53,9,1,59.90588366687434,3,9,1,0
54,0,0,48.33243134201074,1,13,0,1
54,1,0,51.7522504987151,1,13,0,1
54,2,0,50.236334448109695,1,13,0,1
54,3,0,53.162151110937046,1,13,0,1
54,4,0,51.43107474961136,1,13,0,1
54,5,0,48.66776159220134,1,13,0,1
54,6,0,49.96131268865338,1,13,0,1
54,7,0,49.78704841580326,1,13,0,1
54,8,1,59.47589131315123,1,13,0,1
54,9,1,60.02445790428632,1,13,0,1
55,0,0,47.52647817964526,5,10,0,1
55,1,0,47.97964371909396,5,10,0,1
55,2,0,45.97238839052073,5,10,0,1
55,3,0,49.71597902835544,5,10,0,1
55,4,0,47.5273779489188,5,10,0,1
55,5,0,46.43824736610293,5,10,0,1
55,6,0,46.744246076723,5,10,0,1
55,7,0,47.77213449377748,5,10,0,1
55,8,0,47.6780201136797,5,10,0,1
55,9,0,47.21880493284293,5,10,0,1
56,0,0,49.28078350505343,1,8,1,0
56,1,0,48.38341628525644,1,8,1,0
56,2,0,49.01533702961513,1,8,1,0
56,3,0,48.94927955433731,1,8,1,0
56,4,0,48.56216222583922,1,8,1,0
56,5,1,57.16703323630713,1,8,1,0
56,6,1,58.654930517608335,1,8,1,0
56,7,1,56.95330407675808,1,8,1,0
56,8,1,59.2078839327039,1,8,1,0
56,9,1,60.12251994933818,1,8,1,0
57,0,0,45.49590462724943,4,7,1,0
57,1,1,57.24572220466448,4,7,1,0
57,2,1,56.226183271015344,4,7,1,0
57,3,1,55.6634225916342,4,7,1,0
57,4,1,56.13049247304793,4,7,1,0
57,5,1,57.74217676500616,4,7,1,0
57,6,1,59.01237766014047,4,7,1,0
57,7,1,58.4059087279706,4,7,1,0
57,8,1,57.71754801130803,4,7,1,0
57,9,1,58.647968326774325,4,7,1,0
58,0,0,49.3820362825964,4,9,1,0
58,1,0,50.91483081946912,4,9,1,0
58,2,0,48.04893242329516,4,9,1,0
58,3,0,50.38800991502144,4,9,1,0
58,4,1,59.22845194468014,4,9,1,0
58,5,1,59.18049785349916,4,9,1,0
58,6,1,60.31827848927266,4,9,1,0
58,7,1,60.27795928315151,4,9,1,0
58,8,1,59.0474070421154,4,9,1,0
58,9,1,61.71278852367392,4,9,1,0
59,0,0,49.86158082106607,4,11,0,1
59,1,0,48.223850401834746,4,11,0,1
59,2,0,49.44934651561423,4,11,0,1
59,3,0,52.923144780885046,4,11,0,1
59,4,0,51.04681529317264,4,11,0,1
59,5,0,46.89272838784486,4,11,0,1
59,6,0,49.707560420209,4,11,0,1
59,7,1,60.74190911367211,4,11,0,1
59,8,1,60.70749247887159,4,11,0,1
59,9,1,61.4178719068827,4,11,0,1
60,0,0,48.10593003422358,4,6,1,1
60,1,0,50.62496588424049,4,6,1,1
60,2,1,56.70023037101027,4,6,1,1
60,3,1,59.515487234012106,4,6,1,1
60,4,1,59.451748658927,4,6,1,1
60,5,1,55.97464168647165,4,6,1,1
60,6,1,58.80158061278336,4,6,1,1
60,7,1,59.4977653521976,4,6,1,1
60,8,1,59.17884337752887,4,6,1,1
60,9,1,58.29091449784181,4,6,1,1
61,0,0,50.13138806279424,2,9,0,1
61,1,0,50.42036414554553,2,9,0,1
61,2,0,48.33218318873191,2,9,0,1
61,3,0,50.03241033333918,2,9,0,1
61,4,0,50.13676072865814,2,9,0,1
61,5,0,47.26729616605903,2,9,0,1
61,6,0,49.48453028603297,2,9,0,1
61,7,0,48.73901269190102,2,9,0,1
61,8,1,58.01040271453378,2,9,0,1
61,9,1,56.96497829656104,2,9,0,1
62,0,0,47.76100378360152,2,11,1,1
62,1,1,58.09186141673406,2,11,1,1
62,2,1,56.69673162190728,2,11,1,1
62,3,1,58.991736103381456,2,11,1,1
62,4,1,59.1052013340108,2,11,1,1
62,5,1,56.904964510210746,2,11,1,1
62,6,1,58.11337871924441,2,11,1,1
62,7,1,58.27252919179576,2,11,1,1
62,8,1,57.80926519732024,2,11,1,1
62,9,1,58.68632717523476,2,11,1,1
63,0,0,49.31140673516637,3,11,0,1
63,1,0,48.50197305408921,3,11,0,1
63,2,0,45.66412149030792,3,11,0,1
63,3,0,52.02244552692878,3,11,0,1
63,4,0,49.21481024760381,3,11,0,1
63,5,0,45.74582765471081,3,11,0,1
63,6,0,49.624550074651424,3,11,0,1
63,7,1,56.942877413847306,3,11,0,1
63,8,1,57.4828695051541,3,11,0,1
63,9,1,57.42506068567807,3,11,0,1
64,0,0,52.460995305044975,3,5,1,0
