income,tax_paid,home_ownership,married_status,credit_score,loan_granted,credit_score_cutoff,loan_amount
14,6,1,1,11.866290212363852,0,12,7.8355128783615395
18,0,0,1,9.75943700021122,0,12,5.324083866428087
13,1,0,0,13.343489152293104,1,12,17.87140426432615
16,2,1,1,11.057773396571356,0,12,7.300974899483907
16,4,1,1,12.594767058936874,1,12,18.08547838059347
12,0,1,0,13.941678693315527,1,12,19.67158367583738
17,6,1,1,14.850219157967594,1,12,19.50865423596529
18,1,1,0,11.865570390283091,0,12,8.676136698450653
12,-2,1,1,12.308153888025537,1,12,19.61585671365697
12,1,1,0,10.466970698030506,0,12,7.169378319876996
13,0,1,0,12.555714451520958,1,12,17.887451434709558
15,-2,1,1,12.950531581041677,1,12,19.35761337767876
13,6,1,1,13.926126700365092,1,12,19.54631901546034
17,-1,1,1,12.70946723455526,1,12,18.176079454752458
14,3,1,1,11.57557756950067,0,12,7.694017213874226
11,4,1,1,9.552603520835603,0,12,4.2121740766599975
12,2,1,1,13.398637633074811,1,12,18.944178652349127
7,-1,1,1,14.681600902663874,1,12,21.12751468419834
11,1,1,1,15.669705575330106,1,12,20.999180712989627
11,2,1,1,12.633523060056389,1,12,19.1195307020554
12,4,1,1,11.867046759162928,0,12,8.045226476924665
18,5,1,1,8.961713041142744,0,12,2.4776996594043226
15,5,1,1,11.27704400157126,0,12,7.241193346570411
11,1,1,0,8.547955090601494,0,12,3.517509132294604
10,0,1,1,11.92057334987325,0,12,8.878215830116835
15,-4,0,1,15.229438929833712,1,12,20.96450594822601
11,5,1,1,13.230166633097223,1,12,18.167359988655164
14,1,1,1,12.344444687147105,1,12,18.29743170487784
11,0,0,0,5.649759238595845,0,12,-0.5510778480417697
17,3,0,1,13.307907493684732,1,12,18.979605206525136
11,0,0,1,10.010253474304058,0,12,6.674252398410799
15,0,1,1,9.025326485197915,0,12,4.47072614448229
12,-1,0,1,12.293301864303654,1,12,20.21336326135036
13,-2,1,1,12.155762066053038,1,12,19.73169661171675
8,2,1,1,10.96121857164878,0,12,7.321272383751048
11,0,1,0,13.749216887024676,1,12,19.30378148134289
13,2,1,1,11.701271579470482,0,12,8.662284852911345
16,0,1,0,10.733986336960315,0,12,7.256416740122324
12,2,0,0,13.425752595256265,1,12,19.44765069578318
15,5,0,1,11.860200561486156,0,12,8.457907092400134
17,1,1,1,12.216168766068314,1,12,17.914853449602358
16,7,1,1,13.15493985415415,1,12,18.916350714302872
16,3,1,1,13.287272660000086,1,12,19.2378726167753
18,6,0,0,15.582306212352254,1,12,20.658757238582574
10,0,0,0,10.48141495592763,0,12,7.043025346901575
8,-1,1,1,11.104697557709786,0,12,8.051410498002884
17,1,1,1,10.924065793884068,0,12,6.4019250207315626
10,3,1,0,14.678669224672484,1,12,19.96112130082721
17,3,0,1,15.144188256268142,1,12,20.32774251379329
11,5,1,1,9.042873518450149,0,12,3.740825974568605
12,3,1,0,12.349609682591726,1,12,18.233312604659247
14,0,0,1,13.113828718745276,1,12,19.699456087148352
11,4,0,1,13.554210352753,1,12,19.44224041079781
12,-4,1,0,12.679168224985007,1,12,19.59705635300864
11,6,1,1,10.2657519640872,0,12,5.6053671107231455
14,1,1,1,10.402917372743408,0,12,7.007315840253095
12,2,1,1,7.677079666570575,0,12,2.470646963875235
16,5,0,1,9.603898890714724,0,12,3.8202591203086462
17,0,1,0,12.555472766322325,1,12,18.14366794094626
12,1,1,1,14.041523535489524,1,12,20.004830831203503
14,2,1,1,9.711349163725435,0,12,5.415361406437055
12,0,0,1,11.6736900297939,0,12,9.831032779213372
10,0,1,1,13.86440868240313,1,12,20.69885577884612
11,4,1,0,11.633772569293676,0,12,8.605089648160268
15,2,1,0,12.729337634546406,1,12,19.30316219225457
16,3,1,1,10.278946771246051,0,12,6.095951296219215
17,0,0,1,11.073370822065725,0,12,8.29874078382134
11,1,0,0,9.288722249431554,0,12,4.338522568359108
14,8,1,0,13.969762573993,1,12,19.125852227683325
14,1,1,0,10.344977663959511,0,12,7.026191542350763
16,5,1,0,13.146824795198269,1,12,18.50936106983216
12,4,0,1,13.43030844428374,1,12,19.19535275254302
10,6,1,1,9.354855036733753,0,12,4.36026269419532
10,0,0,1,13.753175535777446,1,12,20.49303614965321
17,1,0,1,10.879114933212094,0,12,7.416163251351558
8,1,1,1,8.159225488590629,0,12,3.1783312426758075
18,3,1,1,9.030087400316766,0,12,3.35861348253034
13,3,1,1,12.97097608956456,1,12,18.97182750928455
12,0,0,1,11.101078397814817,0,12,8.7667832145809
15,3,1,1,10.562819148922395,0,12,5.800853657991982
12,2,1,1,12.764398962437053,1,12,18.21398801908708
14,2,1,1,13.34514420097106,1,12,19.36355432628405
18,0,1,1,13.13337231989875,1,12,18.101655611138007
12,6,1,1,12.675871735877289,1,12,18.65643264193197
11,1,0,1,11.231303853866253,0,12,7.973320235580232
11,5,0,1,10.544752663995608,0,12,5.842096981167709
10,4,0,1,13.10082221004846,1,12,19.15914295243151
19,1,0,1,12.71230651780482,1,12,17.2634067595847
14,3,1,1,13.665730947874394,1,12,18.974205623132665
9,-2,1,1,12.11605709524535,1,12,19.209749859517697
12,6,1,1,13.354799313996793,1,12,18.26861926224992
14,2,1,1,14.516945017449547,1,12,21.145132705946875
15,7,0,1,11.24687371071559,0,12,6.1062310871673
13,0,0,0,11.966147529334682,0,12,8.339143735594371
15,-1,1,0,10.657885998336798,0,12,6.671838569494744
12,0,1,0,11.7908305145788,0,12,8.728811443496364
12,0,0,1,11.033047613910696,0,12,8.444781601638704
13,2,1,0,12.333139982593996,1,12,18.43097321554614
13,1,1,0,11.496998064769928,0,12,8.608531018515786
13,3,1,1,12.736479391843222,1,12,18.63340645663082
11,6,1,0,13.998786047782264,1,12,19.69364603784524
14,2,0,0,12.447034268648077,1,12,19.05750170294375
16,5,1,1,13.065038907128356,1,12,18.56545505477219
14,2,1,0,12.832623575365211,1,12,18.94965574272176
16,1,1,0,8.487246897835043,0,12,4.591877943323985
13,1,1,1,12.937658407510996,1,12,20.06060046347212
13,6,1,0,11.840649784756202,0,12,7.84803145626265
11,2,1,0,13.094463324482842,1,12,19.534109450741592
15,0,1,1,17.1511360429792,1,12,22.48598261617824
14,1,1,0,10.991221839447007,0,12,8.3191764195322
10,4,1,1,11.992067526448034,0,12,9.001913023057941
10,1,1,1,11.846034501540526,0,12,8.81938925848135
11,1,1,0,12.856819338999976,1,12,19.03177861876548
12,7,1,0,15.32176933140044,1,12,19.92512286013131
12,5,0,1,9.837557973339765,0,12,5.545089109633481
18,0,1,1,9.339531832639135,0,12,4.149077430680071
14,5,0,1,12.933978482806769,1,12,18.23804937841281
13,4,1,0,10.618789999333831,0,12,6.782835671745522
14,4,0,0,13.500429231888496,1,12,19.14476882713629
11,-1,1,1,11.76803426815841,0,12,9.624794908508855
14,1,1,1,12.222423198733528,1,12,17.499277591015666
15,2,0,0,14.938567194382872,1,12,19.67201692184724
13,9,1,1,12.125440250958496,1,12,17.938415618918327
12,1,0,1,10.157344181222625,0,12,5.693736797532888
17,7,1,0,7.504444742168102,0,12,0.6962953009512558
14,5,0,1,12.682549205697498,1,12,19.31809553986188
11,2,1,1,12.857193756653128,1,12,18.275807177276253
15,-3,0,1,13.873092026225605,1,12,20.35801507469048
14,3,1,1,13.055862181698084,1,12,18.109803702508376
14,1,1,0,15.920149774269614,1,12,21.342762685700396
12,7,1,0,9.174944160350863,0,12,4.067121521733384
11,2,0,1,11.676948112347777,0,12,8.858581086153201
16,3,1,0,11.525399348789874,0,12,7.433302196021269
16,0,0,0,11.492691613771088,0,12,8.799240062619226
13,5,0,1,11.019783750352618,0,12,6.305730685580448
12,2,0,1,17.22352459202569,1,12,22.157991342823493
9,2,1,1,10.5608091858979,0,12,7.071162140804195
14,7,1,0,14.694214854641952,1,12,20.485990206960984
13,4,0,0,10.877516100893809,0,12,7.1266307929324
16,-1,1,0,11.21441453341157,0,12,8.81264211614038
12,0,1,0,13.14816013955006,1,12,19.457824909548272
11,2,1,1,11.366363824164283,0,12,8.486899295034796
14,2,1,1,10.997924020132638,0,12,7.09070509539521
14,5,1,1,12.321053435197392,1,12,17.786989938791237
10,0,0,1,14.144796906072228,1,12,19.720039988906915
13,3,1,0,12.627131671083385,1,12,19.182737335240752
13,5,1,1,14.259133847449329,1,12,19.46752013093757
15,-1,1,0,12.034073286356708,1,12,19.132721372067397
14,-1,0,0,10.505651820194943,0,12,7.284905749545474
13,1,1,0,13.85792088589728,1,12,20.36921269849069
16,5,0,1,9.802710244615644,0,12,5.00031565238914
9,6,1,0,12.200455911518086,1,12,17.93479002934419
15,2,0,0,12.561544168726105,1,12,17.432781741967553
13,1,1,1,11.809740747018024,0,12,8.292443341882315
14,1,0,1,6.906880551886652,0,12,0.6131375001269798
13,1,0,1,15.53617461129322,1,12,21.25806085887864
16,3,1,1,9.873969211008893,0,12,5.92493468211503
18,0,1,1,8.993160532844962,0,12,3.8322202944374095
11,5,0,0,13.90566209536196,1,12,19.029525618353595
14,4,1,1,12.207336129520437,1,12,19.02381549353152
14,1,1,1,10.963285599555098,0,12,7.686105703214642
18,0,0,1,12.462546163609476,1,12,18.60968935030328
14,4,1,0,8.313699767106485,0,12,3.7002791502898646
14,0,1,1,12.939348520778976,1,12,18.879952094347725
15,2,1,1,14.537974880609172,1,12,20.5416408918628
13,8,1,1,14.29159077107814,1,12,18.97671124203808
12,6,0,1,13.12051354882988,1,12,18.080925738945204
16,1,1,1,10.83074220879222,0,12,7.078459976725168
11,0,1,1,12.065103990966298,1,12,18.25989390257663
13,5,1,1,13.250495128721756,1,12,17.990150308822955
16,2,1,1,10.500308724274522,0,12,6.509682408892303
11,3,0,0,11.5692954077619,0,12,8.060592509449465
11,-1,1,1,14.939873971326683,1,12,20.85967052488869
13,2,1,0,10.890694379037171,0,12,6.915794132274893
14,3,1,1,13.038241963365806,1,12,18.85143283299191
15,6,1,1,15.33778153491536,1,12,19.729961661817228
17,4,1,1,15.22949061802339,1,12,20.07379214841039
16,4,0,0,12.645777227793376,1,12,18.0144804952732
17,1,0,1,13.40417145832317,1,12,19.3226780953862
8,1,1,1,13.36619927921449,1,12,19.28884921949623
12,-1,1,1,14.577918837941253,1,12,20.670767600405945
14,0,0,1,15.25819818145601,1,12,21.32737429400951
15,1,0,1,10.77028443999114,0,12,7.025053524438199
15,1,1,1,11.60003166009781,0,12,8.009515372166078
9,7,0,0,10.986435043564072,0,12,7.200598080932991
12,0,1,1,8.262958161528818,0,12,4.047089054112108
13,1,0,1,10.25532025929026,0,12,6.642458709017315
17,0,1,0,14.062921287775552,1,12,19.38591365322605
13,2,0,0,15.158653962446907,1,12,20.65476552512682
12,1,1,0,8.451001741086053,0,12,4.542494617244817
11,6,1,1,13.748050839999712,1,12,18.69192276804424
14,6,1,0,13.946380764828575,1,12,18.96966560064892
14,0,1,1,12.27854092300338,1,12,18.619403501807017
15,2,0,1,10.71567491348534,0,12,5.365431336193694
13,0,0,0,15.739089578805697,1,12,21.585759412505105
10,2,1,1,12.761739494032325,1,12,18.09709998169384
13,8,0,1,15.18205139413299,1,12,19.470183628606403
11,0,1,0,13.199172509895844,1,12,19.759331120671668
10,0,1,0,15.21648776770748,1,12,20.897739109061604
15,3,1,0,11.453584182360787,0,12,8.08962268421867
15,3,0,0,12.018385404156833,1,12,17.11093613641514
13,4,1,0,12.573981401492556,1,12,18.345799307473666
11,6,0,1,11.599670253993866,0,12,7.269129190338106
12,3,0,0,7.300188090244635,0,12,0.5242847317549038
16,4,0,0,9.7212387824708,0,12,5.191868672377106
14,0,1,1,12.406531821409091,1,12,18.81280007487594
15,-2,1,0,10.510522772050251,0,12,7.682852079444853
14,0,0,1,10.25585430496226,0,12,6.100705576686762
11,2,1,1,8.623180142951322,0,12,3.431243534308398
12,7,0,1,14.693895712766986,1,12,19.728924863738637
14,3,1,1,15.767688785470742,1,12,21.52874345706981
15,1,0,1,12.567424193264513,1,12,18.99679936849197
14,0,1,1,15.66216922919206,1,12,20.34593426950761
10,1,1,1,10.790267541130598,0,12,6.992466722999593
12,8,0,1,14.24672353680128,1,12,18.33449280204746
12,0,1,0,13.670235141406511,1,12,20.161662542713707
14,0,1,1,10.778735472407456,0,12,7.952228507072336
15,6,0,0,12.312223170476305,1,12,17.254508128290492
22,0,1,1,13.704842092442767,1,12,18.927163222255647
15,4,1,1,11.327733616823927,0,12,7.77767932047163
10,0,1,1,11.872432745857877,0,12,9.36302003106118
16,3,0,0,15.127185993394823,1,12,20.21388137108015
18,-3,1,1,9.783473534103454,0,12,5.407768489444912
17,-1,0,1,10.775525544766287,0,12,8.43561828828841
17,0,0,1,10.64786049278124,0,12,7.23345071913132
9,1,1,1,11.169291680321692,0,12,7.892827312389422
8,4,1,0,11.585796943324548,0,12,7.434128258176205
12,4,1,1,13.162186407924546,1,12,18.24958071331951
13,0,0,0,8.627667173797708,0,12,4.526190114426176
14,5,1,1,12.029021181036184,1,12,17.092389609755994
12,1,1,0,12.156118397363166,1,12,18.374093826533237
13,0,0,1,10.749783903432556,0,12,6.97187672437637
14,9,1,1,9.122868287747764,0,12,3.200916214093764
16,3,0,0,13.8757722558169,1,12,19.62462749553708
17,6,1,1,13.778285235633438,1,12,18.221825251602503
13,3,1,0,10.802520323086968,0,12,7.0178932809822285
15,7,1,1,12.198013430847974,1,12,17.094952175917008
9,4,1,1,14.381153397195591,1,12,19.84049606932213
12,4,1,0,14.847430595317698,1,12,20.52842168459608
13,11,1,1,12.362357074897712,1,12,17.483860796310736
13,1,1,0,10.699885998204802,0,12,7.571893777220215
14,0,0,0,10.410240582423157,0,12,7.0224448076420645
16,5,1,1,12.355199342624571,1,12,17.725433501883995
15,4,0,1,14.358609958178633,1,12,19.443356744575635
13,0,1,1,9.28860820339398,0,12,5.352453028342137
15,6,1,0,13.205784386943591,1,12,18.54515650730518
13,3,1,1,9.590536622710236,0,12,5.00059291905775
15,9,0,1,11.056602994934869,0,12,5.939593035538897
10,2,1,1,12.54438867448386,1,12,18.86472988460749
13,4,0,1,7.767833522360847,0,12,2.172762940286745
18,0,0,1,9.16304046928985,0,12,4.633324277718414
14,1,1,1,10.55730954253082,0,12,7.398893659943064
19,7,1,1,13.592516338371244,1,12,17.221274887493937
16,0,0,1,14.639435736023438,1,12,20.627993744708583
11,0,1,0,9.91518726425769,0,12,6.285492370447959
16,-1,1,0,11.8467078556016,0,12,9.498447825638532
11,1,0,1,9.777083358152142,0,12,4.801355707480139
15,3,0,1,11.210896997375276,0,12,7.317637785291028
9,2,1,1,12.029915763514165,1,12,17.454133976905577
10,4,0,1,8.155723428823517,0,12,3.3899751432892127
13,2,1,0,9.170600712283656,0,12,4.406481030466376
11,2,1,0,12.019421224126132,1,12,18.556130685025902
14,2,1,0,13.149583885258396,1,12,18.654891852741088
13,2,0,1,14.266429659451294,1,12,19.07225884318936
14,5,1,1,11.86154339021742,0,12,8.154590813677718
15,1,1,0,13.02482666475454,1,12,19.25851035699363
13,4,1,1,10.827615856302998,0,12,6.752093063148647
14,1,1,1,15.3374591140863,1,12,20.533752175675005
15,1,0,0,12.663898431222025,1,12,19.93994509689883
19,0,0,1,14.214846405862067,1,12,20.36957940281697
12,5,1,0,11.575737221796452,0,12,7.427883676209258
13,0,0,1,12.276074925285402,1,12,17.986374479033415
13,4,1,1,13.950712932670518,1,12,18.56388561523548
11,2,0,1,11.645179271480572,0,12,8.169000658523178
16,3,0,1,9.98067547768173,0,12,5.583226696359562
22,-2,0,1,13.926088095661994,1,12,19.926698571470794
17,6,1,1,16.140278322734154,1,12,20.511399761375618
15,5,1,0,10.78095835416708,0,12,6.1405018024623
11,3,1,1,14.63431208907853,1,12,19.501680669587657
16,6,1,1,11.491959762227117,0,12,7.273329315818616
13,1,1,1,10.227386490832505,0,12,6.9674249959056285
9,3,1,1,16.76143386061827,1,12,21.398782868602297
15,2,1,1,11.803894145828778,0,12,8.474999676742831
12,0,1,1,15.482246722254114,1,12,21.54573403263165
14,7,0,0,11.332296698403873,0,12,6.377129071919155
18,3,0,0,12.319445951684605,1,12,18.02413267456895
11,5,0,0,11.34471006664478,0,12,7.514459242160564
19,4,0,0,10.22918492236498,0,12,5.763805636006247
11,7,1,1,11.219875145804227,0,12,7.863215907315117
12,4,1,1,10.42141668238662,0,12,5.804075405214478
12,1,1,1,13.460455205476062,1,12,18.934054970268907
10,4,1,0,12.166264872568767,1,12,18.345017647204227
13,5,0,1,11.156137305332386,0,12,7.046394053849236
10,5,1,1,13.711932431760571,1,12,18.16891028635844
14,8,1,1,12.05124175035844,1,12,16.87538442021071
16,9,1,1,13.93858568566704,1,12,18.500283773282604
13,6,1,1,8.892196203067623,0,12,3.1825283855128514
15,7,0,0,15.757691147578653,1,12,19.349712331342616
15,-2,0,0,8.843727062760417,0,12,5.005528560787824
11,1,1,1,10.066457232810432,0,12,6.007511806871238
11,5,0,1,13.491198278173725,1,12,18.68371201211152
13,3,1,0,13.75858504583554,1,12,18.51687201527686
10,2,1,1,10.245089533503156,0,12,6.399563308590611
12,5,1,1,10.392848544398763,0,12,6.312447861412338
18,2,1,1,10.98621920855337,0,12,6.689190708485985
9,8,0,0,12.652120025385884,1,12,17.780162715235765
10,5,1,0,14.028153264728228,1,12,19.511663178841754
15,2,1,1,11.911298815228596,0,12,9.074750093941224
17,1,1,1,14.157960151111531,1,12,20.387074707541405
10,-1,0,1,15.176871587261768,1,12,21.692029199093195
11,4,1,0,14.27718215782869,1,12,20.2054355566883
11,0,1,1,13.993476831505184,1,12,19.90392935661273
13,2,1,1,12.206051380593824,1,12,18.52975739685896
10,0,1,0,12.184997879956631,1,12,18.46101063568604
17,4,1,1,12.278404130839926,1,12,17.089471238534536
12,0,0,1,14.457494762864222,1,12,20.701056064094267
13,2,0,0,15.124792391875166,1,12,21.16826799420161
15,3,1,1,10.221701949392967,0,12,5.598817812936902
15,4,0,0,13.921344070424237,1,12,18.296908768410905
13,3,0,1,10.144554378931042,0,12,5.730156679154094
17,0,0,1,9.451544769020678,0,12,5.161984404296706
13,1,0,1,13.46831301427818,1,12,19.41041376351598
11,1,0,1,15.248825621822991,1,12,21.384880940674066
14,4,0,0,14.43162317637298,1,12,19.717390838822197
14,0,1,1,14.509801557354647,1,12,19.16871232224036
13,5,1,1,10.04892047290247,0,12,6.339077290584399
9,0,1,1,11.930408645272117,0,12,9.200421439121518
11,5,0,0,11.439337933553311,0,12,7.530055160393476
12,4,0,1,15.734996285854663,1,12,20.79765758058234
8,2,0,1,13.14826190163289,1,12,18.6845605673494
11,3,0,1,12.53589965806116,1,12,18.45787482267099
15,1,1,1,13.753046539722463,1,12,18.992561719169583
20,2,1,1,13.7253285579703,1,12,19.1571661089936
12,1,1,1,11.47883319119905,0,12,8.055350619095279
10,4,1,0,11.910401823004738,0,12,8.098469834946412
12,3,1,1,13.42917501284784,1,12,18.88253859191748
21,3,1,1,13.190421876113229,1,12,18.319885185677755
12,7,1,0,10.421165024263656,0,12,5.618447034812666
15,1,0,0,11.009565666904846,0,12,8.381698673814366
