age,income,distance_from_city_center,has_car,has_kids,is_married,owns_house,life_satisfaction_score
23,22,11,1,1,1,0,51.30364080718188
33,18,10,0,0,1,1,51.869114440587616
32,11,13,0,0,1,0,43.44142351702708
26,23,10,0,0,0,0,48.83249999032509
10,16,13,0,0,1,0,46.47961565181835
22,21,10,1,1,1,0,48.39359018376064
40,21,10,1,0,0,1,53.02775900616332
37,9,12,0,0,1,0,44.08032205000098
34,22,11,1,0,0,1,53.29874650685896
25,17,16,0,0,0,1,50.2761266665136
32,17,9,0,1,1,1,52.9894550490294
33,16,11,1,0,1,0,45.50513914772118
26,18,11,1,0,1,1,51.86961894183983
32,13,11,1,1,1,0,44.53253091107887
29,7,8,1,0,1,0,44.87264958819157
26,13,8,1,1,1,0,47.73304670553318
20,30,11,0,1,0,1,57.00473445549437
29,18,10,1,0,0,1,53.07978261029599
33,9,12,1,1,1,0,43.221800007806685
32,37,15,0,1,1,0,52.354645760132925
29,25,14,0,1,0,1,52.92716716956075
30,14,14,1,0,1,1,50.877698519099376
23,21,13,0,0,1,1,53.02566644188606
33,21,15,0,1,0,1,51.39049382574285
32,20,13,0,0,0,0,46.192271222331016
39,17,7,1,1,0,1,53.33183598887283
37,22,10,1,1,1,0,47.81478379515874
31,19,13,1,0,0,1,51.145229372722
37,23,13,0,0,1,1,51.82183775271005
29,9,9,1,0,1,1,50.261756344162336
43,17,13,0,1,0,0,43.190057412407725
22,18,11,1,0,1,0,48.41762090451852
34,16,7,1,0,1,1,53.67245350414551
37,9,13,1,1,0,1,49.16674228958741
22,26,9,0,0,1,1,56.62039238803708
28,19,15,1,0,1,1,53.67831785227613
21,12,14,1,0,0,1,51.4205237715352
25,21,7,0,0,1,1,54.807925045879095
27,17,13,1,0,1,0,45.48505439655085
28,25,10,1,1,1,0,50.26658157975704
40,18,13,1,1,0,0,46.22018430268009
17,24,15,0,1,0,0,49.77249937911031
26,9,12,1,1,0,1,49.68677718900541
34,19,8,0,1,1,1,54.56278883738701
45,18,8,1,1,1,1,54.76989432067135
41,10,12,1,1,0,1,49.0244781717269
25,16,9,1,1,1,1,55.61085437907613
16,30,9,1,1,1,1,60.20049942993622
39,25,11,1,1,1,1,55.874711412449216
37,17,16,0,1,1,0,43.19095748671096
36,21,11,1,1,1,1,54.63846987228069
36,13,8,1,0,0,1,52.89575530546311
26,15,10,1,0,1,0,46.54596704888831
38,6,10,1,0,1,1,50.44159933711913
31,11,12,1,0,0,0,43.61093742853807
27,24,9,0,1,1,1,56.57824890370632
30,19,15,1,1,0,0,44.52783017794237
20,20,11,0,1,0,0,48.328645945827496
32,16,11,1,0,1,0,45.20115902125366
21,9,12,1,1,0,0,45.27156962816989
31,18,12,0,0,1,0,44.86559551433543
29,14,12,1,0,1,0,45.46835757293707
29,18,14,0,1,1,1,49.963588410537625
31,15,15,0,0,0,1,50.77142061583517
25,24,9,1,1,1,0,49.538548112799205
29,20,11,0,1,0,1,52.576487501998166
44,16,12,0,1,0,1,50.813514952842034
36,11,9,1,0,1,0,44.75159846018908
27,18,12,1,1,1,0,46.587211302980485
27,24,10,1,0,1,0,50.29528367796293
32,24,8,0,1,0,1,54.68864731810713
39,24,17,0,1,0,0,47.15594289422795
37,29,14,1,1,1,0,48.788623826464935
38,21,9,0,1,0,1,52.85758657700888
21,15,10,1,1,0,1,50.626083455034426
17,21,9,1,0,0,0,51.72844303708433
27,13,12,1,0,1,0,47.11968853034377
41,5,18,1,1,1,0,38.34577108582113
10,27,10,1,1,1,0,52.70371424015645
36,24,10,1,1,0,0,48.087333375239645
31,24,11,0,0,1,1,53.36698987408119
36,13,10,1,0,1,0,44.06079685089544
27,17,11,1,1,1,1,54.15612417320633
38,17,11,0,0,1,1,50.72187801221845
28,16,8,0,1,1,0,46.560579912632846
25,8,9,1,1,0,0,44.19395635476737
34,17,10,0,0,0,1,53.89904776211688
36,26,9,0,0,0,0,48.38430643673458
27,22,6,0,0,0,1,55.4009099941724
40,8,10,0,1,0,1,49.03392756934063
30,18,9,0,1,0,1,52.45689217581216
25,19,11,0,0,1,0,46.57652278638246
43,13,8,0,0,0,1,47.59365197780032
44,16,12,1,0,1,0,43.78370461003901
40,12,10,1,1,0,0,45.592829110919226
22,19,13,0,0,0,1,53.790522229870525
35,21,8,1,0,0,0,48.99084751895538
28,17,11,0,1,1,0,45.91847536070849
38,19,16,0,1,1,1,50.82271700032947
25,22,16,0,0,0,0,46.11444280756992
32,23,10,0,1,0,1,54.76553221894241
32,16,11,1,0,0,0,45.55169508504312
27,24,14,0,0,1,1,52.399982889499775
31,12,15,0,1,1,1,49.96458605769552
35,21,9,0,0,0,1,53.03319945132889
39,14,10,0,0,1,1,50.69212090603975
34,24,12,0,0,1,0,48.09450143932308
44,18,14,1,0,1,0,43.5017408155365
24,15,13,0,1,0,1,51.75441240625827
44,11,13,1,1,1,0,41.01681070819478
34,27,12,0,1,1,0,49.3517279721592
34,16,15,1,0,1,0,43.77171235009333
26,14,10,0,1,1,0,45.81815186181201
29,15,12,1,0,1,0,44.73690637556137
33,14,12,0,1,1,0,43.41215425858848
30,8,11,1,1,0,0,43.98103268172809
37,18,15,1,0,1,0,44.46070366777653
35,11,12,1,0,1,1,51.39346476994933
27,19,9,1,0,0,0,46.735718375607696
27,19,14,1,0,1,1,53.07618480272145
34,25,8,0,1,1,1,56.21512325510128
30,25,10,1,1,1,0,49.54464324395044
26,28,8,0,1,1,0,50.98239115836086
28,28,12,0,0,1,0,48.61020095507931
37,29,10,0,1,0,1,55.05765580595129
31,14,11,0,0,1,0,42.13355043304728
30,23,10,0,0,0,1,54.60099861481427
29,29,8,1,0,1,0,50.76063031781872
6,22,15,0,0,1,0,47.49969436205414
32,18,10,0,1,0,0,46.5432239108795
37,20,14,0,0,0,1,49.90135090779128
24,19,11,1,0,1,0,48.4913943358294
31,15,13,1,0,1,0,44.01694823481794
34,16,12,1,1,0,0,45.21392837929291
30,19,7,1,0,1,1,54.4069080855557
28,30,13,1,0,0,1,57.8629720871328
29,12,14,0,1,1,0,43.05065269026496
30,17,7,0,0,0,1,55.18950007668045
41,21,12,1,1,1,0,46.61533692663457
34,34,11,1,1,1,0,53.73646583131698
36,17,12,0,1,0,1,50.25846950293424
31,12,9,1,0,1,0,47.47776764690932
19,10,12,0,1,0,1,50.29678257492351
32,29,15,0,0,1,1,53.60949425877758
31,18,9,1,0,1,0,48.22262915422525
27,20,8,0,0,0,0,47.67664325019718
24,11,10,0,1,0,1,49.923370575263945
23,13,10,0,0,1,0,44.25469547771082
30,22,18,0,1,0,0,44.87781808740221
33,20,12,1,0,0,0,46.4296404176042
24,31,13,0,0,1,0,49.3367140273196
27,12,8,0,1,0,0,45.082425954971065
34,23,15,1,1,1,0,46.127382131937374
21,19,16,1,1,1,0,47.77701269670192
30,13,12,0,1,0,0,44.66488657338
29,15,11,0,1,1,0,45.30234211986439
31,20,11,1,0,0,1,54.32359814827706
26,23,14,0,0,0,1,53.53956235666088
36,21,8,0,0,1,1,54.40693261183469
29,22,12,0,1,1,0,46.97800207968542
30,9,11,0,1,1,0,42.68646259896301
33,21,12,1,1,1,0,47.81648352828104
29,15,12,0,0,0,0,45.14578691858622
29,12,12,0,0,0,0,44.85453341230185
44,31,17,0,0,0,0,46.601685790384686
39,11,12,1,0,0,0,43.09324000195279
34,13,10,1,1,1,0,44.67628898723824
32,25,9,1,1,1,0,49.51107781587363
30,14,12,1,1,1,0,45.768476342410665
22,20,14,0,1,0,1,53.11252393878288
39,18,6,0,1,1,1,52.16816069865355
34,18,17,1,0,1,0,43.34862399198029
35,14,13,1,0,1,0,44.26788020829807
33,14,9,0,1,1,1,52.02888031277086
34,20,14,0,1,0,0,43.34475748975009
39,15,16,1,1,1,0,41.89330420265669
31,11,13,1,0,1,0,44.46619290288852
19,19,10,0,0,0,1,54.2767812573804
26,17,17,1,0,0,0,44.085038141144175
41,16,13,1,1,0,0,43.95370302259496
37,23,9,1,1,0,1,55.239284381886144
32,16,14,1,0,1,0,44.5122205452932
33,24,12,0,0,1,0,49.83438691550432
41,7,11,0,1,1,1,47.2452255935952
23,15,14,1,1,1,0,46.75782841773973
28,15,6,1,1,1,0,48.20018688366356
33,19,11,1,0,0,1,52.732871358735096
40,21,15,1,0,0,0,45.80379429728732
43,25,11,1,1,1,0,47.78139903220763
31,11,8,1,1,0,0,45.01975677106334
47,13,8,1,1,0,0,43.19327387828957
38,15,11,0,1,1,1,50.67755669524572
40,25,15,0,1,1,0,43.93260230085508
29,23,13,0,1,1,1,54.4103375314788
27,13,14,1,1,0,0,44.35099425960008
42,20,8,0,1,1,0,45.39474649714985
27,17,9,0,1,1,1,54.10310015476783
18,25,11,1,1,1,0,50.89480900598373
41,11,9,0,1,0,1,48.50758592410302
46,27,10,1,0,0,1,54.92002598139468
30,10,9,0,0,0,1,50.186260911198445
30,23,12,1,0,1,0,48.60526119309676
27,14,11,0,1,1,1,51.93541699660658
32,24,9,1,0,1,1,55.81122367498919
42,13,13,0,0,0,0,44.38270884638962
41,2,16,0,0,0,1,43.62947738087421
36,12,8,0,0,1,1,51.81003885160069
38,19,13,1,0,1,0,46.68830768937954
30,28,14,1,1,0,0,50.12265878833713
38,22,10,0,0,1,0,46.6142431861028
31,11,9,0,0,1,1,51.44997114109134
32,15,11,1,1,1,0,43.77816141793095
32,13,11,1,0,0,1,51.74839396377154
32,20,7,0,0,0,0,48.27685551455812
27,17,15,1,0,1,0,45.60660181288132
30,20,11,1,0,0,1,54.525567493995474
29,25,12,0,1,1,0,48.64133567931172
29,9,9,1,1,0,0,45.03607065069748
27,13,14,1,1,1,1,52.06858840001722
29,26,6,1,0,1,0,52.01346740280011
28,18,4,0,1,1,1,56.99931741500501
31,18,12,0,1,0,0,46.108320983147934
37,19,14,0,0,0,1,49.43346643732788
42,14,10,0,0,1,1,48.72202892624733
39,26,15,1,0,1,1,52.47099993074607
30,18,17,1,0,0,1,52.046549813127086
39,19,9,1,0,1,1,54.54851221232846
40,12,8,0,0,1,1,48.418966456115854
36,18,6,0,0,1,1,54.63862004380118
34,13,13,0,0,0,0,42.79403332205984
26,21,11,0,1,1,0,49.75102967507316
38,22,14,0,1,0,0,44.49190213381927
23,16,7,1,0,0,0,48.6852365357858
35,22,14,1,1,1,0,46.97467591312678
32,14,14,0,0,0,1,49.07700679257736
41,8,8,0,1,0,1,47.49539206855617
29,19,13,1,1,0,0,47.3123628277956
37,8,8,1,0,0,1,49.94005306606015
23,23,13,0,1,1,1,52.90638140836367
51,20,11,0,1,0,1,49.96990423179061
38,17,7,0,0,1,1,51.95489857373225
29,12,8,1,1,0,1,53.69666842475486
33,15,10,1,1,0,1,52.936963906873736
31,20,6,0,0,1,1,55.45647462915691
33,20,8,1,0,0,1,55.811831038376745
37,26,13,1,0,1,0,47.38626884963512
31,11,13,1,0,0,1,49.02904833260465
40,32,13,1,0,1,0,50.50067227698018
28,16,12,0,0,0,1,51.91377483178135
34,21,9,0,0,1,1,52.00164094654608
31,10,12,1,0,0,1,48.7624925748063
29,-2,8,1,1,1,0,42.60291986052021
31,14,10,1,1,1,0,45.89913007514716
28,19,11,1,0,0,0,46.98388631871882
45,23,13,1,1,1,0,45.24556148898721
38,17,9,0,1,1,0,46.02765256770326
29,15,11,0,0,0,1,51.661223930160766
15,20,9,1,1,0,0,49.33872287925705
41,11,13,1,1,1,0,45.80608102559989
24,24,8,1,1,0,0,50.51147622134711
30,16,11,0,0,0,1,53.19136390452743
26,5,8,0,0,0,1,48.00429594509286
29,18,15,0,1,0,1,48.91374330006664
15,7,16,0,1,1,0,42.39562272440445
39,16,9,0,1,0,1,48.7208442179353
27,20,7,0,0,0,1,52.23743329811359
38,16,12,0,0,1,1,49.13225833446671
27,13,12,0,0,1,0,43.56238093622788
32,24,13,1,1,1,0,47.20240804932068
31,23,8,1,0,0,0,49.61031069137061
29,27,11,1,0,0,0,52.54424931541315
34,16,11,1,1,0,1,51.82411919697386
37,27,6,0,0,0,1,56.68704036245384
31,19,7,0,0,0,0,49.62015741976767
40,22,9,1,0,0,1,52.66562710169933
32,15,15,1,0,1,0,44.98577555899253
32,18,10,1,0,1,0,47.71861337004589
40,19,14,1,0,1,0,46.51208299242976
36,15,15,1,0,1,0,44.22330131806425
39,7,7,1,1,1,1,50.14536526375963
38,13,10,1,0,1,0,45.13203891431741
27,23,19,1,1,0,0,48.62125718864276
16,14,13,1,1,0,1,52.16974591036529
40,8,11,1,0,1,1,48.82578857017825
16,18,13,0,1,1,0,47.01088180411953
48,20,13,1,1,0,0,42.07537528400696
34,20,10,1,0,1,1,54.37534833022308
34,21,16,1,0,1,0,46.30918194261862
40,23,12,0,0,1,0,46.34980150211341
35,11,8,1,1,1,1,51.86428271241085
30,23,11,0,1,1,0,47.31580407532911
37,16,10,1,0,0,1,51.47007825781725
34,20,15,0,1,1,0,44.13440785929343
27,23,9,1,1,1,0,48.24399358728092
23,15,10,0,0,0,1,52.78786798598978
19,15,7,0,0,1,1,53.27234485762365
20,23,15,0,1,0,0,46.89055055628846
43,27,12,1,0,1,1,54.287566954887495
34,28,10,1,1,0,0,47.617548172138726
30,17,14,1,1,0,0,44.58313595634964
34,20,18,1,1,1,0,45.85718496366861
45,12,10,1,0,0,1,47.84349707937283
29,13,8,0,0,0,1,52.86419384868859
37,24,16,1,0,0,0,47.44307644330663
42,17,14,1,0,1,1,50.63209644749113
39,21,11,0,1,0,1,50.10799437519571
40,15,11,0,0,1,1,49.20969231598557
40,23,11,1,1,1,0,48.38044808231339
33,13,12,1,1,1,0,44.80538435246328
31,14,9,1,0,1,0,47.62166812333516
45,18,13,0,1,1,0,44.16224505214274
39,16,11,1,1,1,0,46.839662945194576
33,22,10,1,1,0,1,54.56743942064636
21,24,14,0,0,1,1,55.20602370770079
35,17,12,1,0,1,0,45.69259648752186
27,18,11,0,0,1,1,52.2629764713841
38,11,9,1,0,1,1,51.29268835030955
27,18,14,1,0,1,0,46.50301854114843
36,10,12,1,1,0,0,42.8862772714468
25,19,17,1,0,1,0,45.40944530345943
30,18,11,1,0,0,1,52.93899756971861
25,20,12,1,0,1,0,46.1817850296924
24,19,12,1,1,0,0,47.59052909058132
47,13,13,1,0,1,1,48.98751866974351
33,18,4,1,0,0,0,48.774986942060416
30,14,12,1,1,1,1,51.97329251168727
18,16,11,0,1,1,0,46.933150465586735
24,14,10,1,0,0,0,47.6740159556177
34,18,11,1,1,1,0,46.42407092647366
36,14,15,1,1,0,0,42.13327830436145
30,7,13,0,1,0,1,47.611986570692245
29,24,17,1,1,0,0,45.34524212415253
24,11,12,1,0,0,1,52.03268086361376
25,14,13,0,0,1,0,44.66477616096683
30,8,11,1,1,0,0,44.40841377370806
37,23,11,1,1,1,1,54.84080677005842
43,17,14,0,0,0,1,49.22351097226195
32,12,12,0,0,1,1,49.56641227675518
31,27,9,0,0,1,1,55.10863390471138
47,19,6,1,0,0,1,53.626996589450336
22,17,13,1,1,0,0,45.8168286843514
34,16,8,1,1,0,1,53.00147687762134
23,19,9,1,1,0,0,48.08617904800177
31,18,13,1,1,0,0,46.82218431212967
33,18,10,0,1,1,1,52.17213282327898
37,17,10,0,1,0,1,50.92347391451772
40,17,6,0,0,0,1,51.903519463115295
35,16,8,1,1,1,0,46.9953712588876
32,17,10,0,1,0,1,52.339055813667656
30,14,13,0,1,1,1,51.360563744079656
33,16,16,0,1,1,0,42.4877163509557
29,12,8,1,1,1,0,44.31392660895656
30,21,13,0,1,1,0,45.67699169735794
39,15,14,1,1,1,0,45.181277746913565
45,24,12,0,0,0,1,51.72457334143176
32,15,10,0,0,1,0,45.332765447047
33,20,11,0,1,0,0,45.91541878142755
31,18,8,1,1,0,0,46.48628252096756
32,22,11,1,0,0,0,45.99060691099496
31,23,8,1,0,0,0,49.61129581365914
35,25,14,0,0,1,0,46.95764483966021
32,22,12,1,0,1,0,48.87709163407879
40,11,6,1,1,1,0,46.67080003602872
37,15,12,0,1,0,1,46.907940442209934
34,25,8,1,1,1,0,49.20293641934064
25,18,13,1,1,0,0,47.637357160073066
33,18,5,0,0,1,1,56.19279488507194
34,21,8,1,1,0,1,55.717017517786815
23,15,14,1,0,1,0,46.730649648340055
29,27,11,0,0,1,0,50.952125696789565
42,23,13,1,1,1,0,48.88698766752044
40,17,9,1,1,0,0,47.32947031601635
31,11,5,1,1,1,0,48.80870514804504
25,19,13,1,1,1,0,48.13882821745885
41,16,11,1,1,1,0,43.06344522402624
27,20,11,0,0,1,1,52.21109456412765
36,16,10,0,0,0,1,51.76028756634188
31,25,10,1,1,1,0,49.43377125046585
