age,income,education_level,hours_worked_per_week,smoker_status,alcohol_consumption,physical_activity,dietary_adherence,life_satisfaction
28,22,7,9,0,1,0,1,39.73536097431986
42,10,11,13,1,0,0,0,29.58293615220098
31,12,13,9,1,1,1,0,33.40859018023946
31,8,10,11,1,0,1,1,43.013972003185934
24,16,16,16,0,0,0,0,38.66100181012923
27,14,13,19,0,1,0,0,39.37740671945999
38,19,13,14,1,0,0,1,36.09338309782466
26,19,16,10,0,1,0,0,34.25441481045657
26,22,7,9,0,1,1,0,35.28201422682889
27,9,11,15,1,1,0,0,40.31557502707546
29,18,16,10,0,1,0,0,30.43646919690202
34,16,12,13,0,0,1,0,31.89700792720232
23,16,9,16,1,0,1,1,45.8866229744668
18,15,14,19,0,1,1,1,49.22885625552332
27,17,13,12,0,0,0,1,39.676000550197806
26,21,10,11,1,0,0,1,41.02950339888002
24,16,14,13,0,0,1,1,44.17642304628904
27,4,11,9,1,1,0,0,37.910552020202246
34,22,12,12,0,1,1,1,35.07514479395675
32,15,16,10,0,1,0,0,32.09234551445948
25,22,14,16,0,1,1,0,36.721893963740655
25,15,12,17,1,1,1,0,38.3230595105809
29,25,11,15,0,0,1,0,32.288295822909696
29,18,14,17,0,1,1,1,41.11607968137609
22,20,11,8,0,1,0,0,36.69958330826282
28,22,12,12,1,1,0,0,31.39673653647508
34,19,12,20,0,0,0,1,39.77784468597301
32,22,7,12,1,1,1,0,32.56817736482946
48,13,14,15,0,1,1,1,28.864436756098485
19,16,10,8,1,0,0,0,38.95595095907325
31,11,16,20,0,1,1,1,42.70582589545798
18,13,13,5,1,1,1,0,39.17014601393343
37,20,11,13,0,1,0,1,35.23440443442597
23,15,11,9,0,0,1,1,41.924930033248536
28,14,16,11,0,1,1,1,38.449883423597655
24,22,16,11,1,0,0,0,32.59882060573605
35,21,12,12,0,1,1,1,35.712574043399194
37,24,14,5,0,1,0,0,23.448605604955866
32,14,17,6,0,0,0,1,34.13361613260633
48,21,17,13,0,0,1,1,27.319770283198807
30,19,13,5,1,0,1,0,27.933578479501055
34,11,14,15,0,1,0,1,40.1983686764543
39,11,14,7,0,0,0,1,33.82033048046311
33,13,16,9,0,1,1,1,33.85507378120839
30,26,8,10,1,0,0,0,32.2131751442562
26,21,16,7,0,1,1,1,38.14382916065594
20,18,13,8,1,0,0,0,34.68784112963481
22,26,11,7,1,0,1,0,33.38408221227437
43,12,11,22,0,1,0,1,38.48234077969559
30,15,8,13,0,1,1,1,43.543644390408815
32,22,13,20,0,1,0,0,33.8626821039224
24,17,8,10,1,0,0,0,36.41505714302088
42,21,9,14,0,1,1,1,30.949474798657587
37,17,8,5,0,1,1,1,33.24137219678472
14,26,14,14,0,0,0,1,47.48821390630688
34,26,11,14,0,0,0,1,35.518044662658404
32,17,14,3,0,0,0,0,29.69156279490743
34,23,11,16,1,0,0,0,30.640000232543173
41,14,12,16,0,1,1,1,37.14565555077351
31,12,7,15,1,1,1,0,35.923591198208705
23,13,15,10,1,0,1,1,44.01803263161048
34,18,13,20,1,1,0,0,35.29053688772536
35,23,13,12,0,0,1,1,33.11288019644288
33,21,18,6,1,1,1,0,25.396302578069857
34,17,15,10,0,0,1,1,34.6042992657727
31,20,12,18,1,0,1,1,38.83878545481681
24,25,10,14,1,1,1,0,36.57441435044859
28,23,11,9,0,1,0,0,33.446231914903095
28,6,14,8,1,1,1,0,35.09601269697299
37,9,10,12,0,0,1,1,37.97456185402047
37,18,10,15,0,1,0,1,36.93927358126143
19,25,14,22,0,1,0,1,47.997287543226285
28,16,8,15,0,1,0,0,37.768876327617214
25,18,13,14,0,1,1,1,43.13932464772664
38,26,13,18,1,1,0,0,27.07983204226373
29,16,14,14,1,0,1,0,35.29215042937638
39,8,10,15,0,1,1,1,39.7549510559592
36,23,6,12,1,1,1,0,29.609018325701225
27,22,15,14,0,1,0,0,33.41588768960036
25,24,14,12,0,0,0,1,39.92361056723527
27,10,8,11,0,1,0,0,41.55610965043184
28,22,14,8,1,1,0,0,32.51672342269349
28,20,12,11,0,0,1,1,38.86520659266896
30,15,8,13,1,0,1,1,41.42098786786864
32,20,12,17,1,0,1,1,37.70244542122947
24,16,12,19,1,0,0,1,45.93965961651343
27,22,11,10,0,0,0,1,39.17358773834568
28,14,12,13,0,1,0,1,43.5471000393886
35,3,15,20,1,1,0,1,41.844385916073215
39,14,13,16,0,0,0,0,31.43465774948258
32,16,13,16,1,0,1,1,39.6481400336269
30,13,15,3,0,1,0,0,30.036314189179112
32,6,13,8,1,1,1,0,34.251307296956774
38,24,16,16,0,1,1,1,31.793203226531794
33,22,15,11,1,0,0,0,26.70812587041028
35,11,9,12,1,0,1,1,36.69161259586321
35,24,9,12,0,0,0,1,35.373202526322984
29,9,14,14,1,0,1,1,42.672480553853546
27,14,9,15,0,0,0,0,38.60410753576919
34,17,12,17,1,1,1,0,31.821802714652296
39,10,15,10,1,1,1,0,26.009839185044942
33,22,13,15,0,1,0,1,37.97690414006227
19,12,11,12,0,0,1,1,48.6126935048919
20,19,14,9,1,1,0,0,37.774523052216686
31,16,7,13,1,1,1,0,34.64820197695518
23,14,14,13,1,0,1,0,38.60192330993132
42,15,13,17,1,0,0,1,34.38654489055956
28,12,12,13,0,1,0,0,37.39362952375559
13,16,9,3,1,0,0,0,41.157202357269206
35,8,12,16,0,1,1,1,43.082878489163896
42,19,10,18,1,0,1,1,34.15013524203046
35,10,11,10,1,1,1,1,37.52503723969525
35,25,11,19,1,0,0,0,31.952085949059096
27,12,12,11,1,1,1,0,38.046269724292486
36,30,11,9,1,1,1,0,23.06622591874417
33,15,9,12,1,0,0,1,38.33744753279473
37,18,12,14,0,1,0,1,37.11347544350541
31,23,9,8,1,0,1,1,35.71355540652679
32,17,15,20,1,1,1,0,33.22507582011234
28,15,10,17,1,0,0,1,43.11948336015887
30,27,10,9,0,0,0,0,29.3662451296504
18,34,10,14,1,0,0,0,36.38262521105114
31,15,14,9,0,0,1,0,31.996322807695083
28,12,12,17,0,1,0,1,46.371630746637145
24,15,12,16,1,1,0,0,40.95851078478764
35,20,13,16,1,0,0,1,35.14668784704109
23,18,16,10,1,1,1,1,39.78021465639568
32,14,11,15,1,0,1,1,40.06447848251739
21,16,14,12,1,1,1,0,39.12977143643575
31,23,11,18,1,0,1,1,38.89182186226584
28,22,7,9,0,1,0,0,33.89649124303533
24,20,12,10,0,1,1,1,41.082148286933496
17,21,14,6,0,1,1,0,36.5887577593824
21,26,11,11,1,0,0,0,35.74916496290077
36,19,12,12,1,1,0,0,28.09505131985404
34,18,9,8,1,1,1,0,30.435972263846903
42,18,14,16,1,0,1,1,31.529121032125783
23,20,10,15,0,0,0,1,43.88156111955952
32,19,12,10,1,1,0,0,31.764188523203696
52,24,9,15,1,0,1,1,26.41568469138519
37,15,11,13,1,1,1,0,30.552514516110115
31,16,8,14,1,1,0,0,35.43982869301737
32,16,7,12,0,0,1,1,40.62220433482239
16,25,10,10,1,0,0,0,38.9155408134622
33,17,5,17,0,1,0,1,44.09367630062522
32,18,11,7,1,0,0,0,30.093137199059456
34,14,8,15,1,0,0,1,40.236867615588494
28,17,13,10,1,1,1,0,33.42692909582119
39,15,11,10,0,0,1,1,36.02352169072084
37,28,18,12,1,0,0,0,26.066295047058787
34,17,10,12,0,1,1,0,32.12403228736539
23,18,9,15,0,1,0,0,39.62624174671534
24,7,12,13,0,1,1,1,48.724993363104346
30,17,12,20,1,1,0,0,38.22432925677317
40,12,10,16,1,1,0,1,36.881301792865074
30,21,17,8,1,1,0,0,29.8125542630719
32,22,12,19,1,0,1,1,37.5401449190398
45,20,13,15,1,1,1,1,30.85556598691966
42,15,15,20,0,1,0,1,37.08912547556738
36,20,13,11,0,1,1,1,33.844935350923954
33,12,14,10,1,0,1,1,35.57066750093747
22,17,12,16,0,0,0,0,39.66033587895287
19,16,11,13,0,1,0,0,40.78804312062945
28,12,7,16,0,1,0,1,46.30016196941837
32,11,12,11,1,1,0,0,33.49203945807208
35,14,12,11,0,1,1,1,37.48104822215185
38,16,9,9,1,0,1,1,35.50894121622022
31,19,6,3,1,1,1,0,29.33636289579215
30,20,11,13,1,1,0,0,33.365786084247084
31,24,8,15,1,1,0,0,33.29958104588856
33,20,12,13,1,0,1,1,37.29901155098031
28,15,10,8,0,1,0,0,34.166661689924005
31,22,10,14,0,0,1,1,38.4664841853823
33,19,17,15,0,0,1,1,35.21175146414222
19,29,8,18,1,1,0,0,41.43411021957206
19,8,14,14,0,0,1,1,50.00485303429271
33,16,13,17,0,0,0,1,40.63553361011564
25,15,11,6,0,0,0,0,34.96804370618561
29,11,6,10,1,1,1,0,38.62155585554195
33,24,11,13,1,0,1,1,36.18422237096395
43,9,10,9,0,0,1,1,32.83791509577476
33,23,14,16,0,1,0,1,35.78866585844484
40,14,12,12,1,0,0,0,29.75942290804779
29,24,8,22,1,0,0,1,45.2282205240298
12,24,12,17,1,1,0,0,45.463257520647566
30,11,8,13,1,1,1,0,33.96903201062284
37,21,7,7,0,0,0,1,34.648033214470175
35,23,12,14,1,0,1,0,29.67305579859396
31,33,9,17,0,1,1,0,32.97140643208008
33,11,11,17,1,1,1,0,36.86236743936424
36,20,10,12,0,0,0,1,37.15714175944954
31,26,16,18,0,1,0,0,31.4929508059968
25,10,18,10,0,0,1,1,42.49660298829154
26,23,8,11,1,1,1,0,36.38119230647539
26,24,12,16,1,0,1,0,34.84030829917398
29,19,16,12,1,0,0,1,38.20931367486743
30,14,16,17,0,1,1,0,35.52655605325567
27,16,8,10,0,0,1,1,43.15152464685113
36,16,11,19,1,1,1,1,38.61123862077034
39,11,16,13,0,0,1,1,35.16363781134697
24,14,11,14,0,1,0,0,39.19552260310437
34,19,11,20,1,1,0,1,39.53996191966431
34,20,10,7,1,0,1,0,28.92700915721092
33,18,16,12,0,0,1,1,37.60349824854684
31,23,13,9,0,1,1,1,32.93594545306562
27,14,16,13,1,1,1,0,35.41145953480326
34,15,7,12,0,1,0,0,32.93165816909415
27,26,16,13,1,0,0,0,30.372954780664283
31,13,13,12,0,0,0,1,40.253284115388965
45,19,12,14,1,1,0,0,25.03283312589628
21,27,10,12,1,1,1,0,36.8489190472465
31,23,9,14,1,1,0,0,32.830655232414266
31,19,13,9,0,0,0,1,37.26733469112436
34,16,11,3,0,0,0,1,34.26909319232855
14,25,15,13,0,1,0,0,41.562503585259314
43,19,11,12,0,0,0,0,25.23357911590992
34,21,14,9,1,0,0,1,33.725696285996044
33,18,12,9,1,0,0,1,37.60548753772493
32,6,16,11,0,0,1,1,40.6842918166364
37,20,15,9,1,1,1,0,24.8303150045402
40,19,14,7,0,1,0,0,24.26427464917348
43,21,13,19,0,1,0,1,33.027354904810664
24,14,4,15,1,1,0,0,42.56859550223517
13,23,8,14,1,1,0,0,46.11339957548574
33,29,12,6,0,0,0,0,27.05593643799465
48,12,10,12,1,1,1,0,21.65062841809152
23,20,10,18,1,0,0,0,41.25867821084681
33,13,12,14,1,1,1,1,39.107955193151895
40,11,10,20,0,0,1,1,39.60908005949543
30,16,12,10,1,0,0,1,40.02623529466061
46,12,10,10,0,0,0,1,30.3001253558794
34,12,10,15,1,0,0,1,40.44467543334484
26,15,19,11,0,1,1,0,32.49435663615267
34,23,10,8,0,1,0,1,33.770483905515405
33,16,10,6,0,0,1,1,37.00778924882541
31,20,12,18,1,1,1,0,34.31521172883468
31,25,12,13,0,0,1,1,37.687541412863645
40,4,14,15,0,1,1,0,32.27146345360613
31,5,15,11,1,1,1,1,41.29357780525742
31,17,14,20,0,1,0,1,43.21708912840928
41,9,15,10,1,0,1,1,31.93428355676429
24,18,5,13,1,1,1,0,37.61372409150319
39,16,11,13,0,0,1,1,35.48881398282393
35,13,10,14,1,1,0,1,39.8915603645598
32,21,17,10,1,0,0,0,27.239135075906862
43,11,10,9,1,0,0,1,31.85322827284622
51,22,14,13,1,0,0,1,23.910878680551384
41,13,10,18,0,0,1,1,34.64881161254428
30,20,15,12,1,0,0,0,32.73215467535163
15,18,15,17,0,1,1,0,45.1447516411252
36,25,10,15,0,1,0,0,29.21300866814116
40,17,11,11,0,1,0,1,33.22371220968668
19,21,11,6,0,1,0,0,34.165753131757285
48,26,11,12,1,1,1,1,23.920961426440478
45,17,13,11,1,0,1,1,29.63610335328956
36,11,13,14,1,1,1,0,31.455902549088098
