avg_teacher_experience,avg_students_per_class,school_type,is_rural,avg_final_math_grade,tutoring_program,math_grade_threshold,avg_final_science_grade
12,9,0,1,6.600924204184325,1,4,15.548618175176973
11,2,1,0,6.351443833762672,1,4,14.32595603899817
9,3,1,0,3.878798201021929,0,4,8.869255156294788
16,4,1,1,7.433503993421729,1,4,14.67419583345028
15,-1,1,1,2.9375196688830365,0,4,7.35611538515449
10,1,0,1,6.068081895823614,1,4,13.33457094106146
14,2,1,0,0.7000295826909793,0,4,4.480762442338658
13,2,0,0,5.889675001945821,1,4,13.978445483833742
14,-4,0,0,4.563784250899106,1,4,11.648405660929171
10,4,0,1,0.4013283565582166,0,4,3.4252450492139506
10,2,1,1,4.657313247818492,1,4,13.488458713678918
12,3,1,0,3.137365444720265,0,4,7.908668793287693
12,2,1,1,5.101870615953978,1,4,12.327035763179868
17,1,1,1,5.766508609058192,1,4,13.178525049369194
12,-2,1,0,3.6525464606223834,0,4,8.830611461791207
11,2,1,1,6.455143181776975,1,4,14.686038613665955
14,-1,1,1,3.3033151597650896,0,4,7.292416730213309
12,3,0,1,1.963451683806964,0,4,6.221468478815623
15,0,1,1,1.9586183700324464,0,4,4.794091189419506
13,4,0,1,5.410049044426197,1,4,13.4118447622964
14,1,1,0,-0.9401502540157196,0,4,0.9291184285441096
15,-1,0,1,1.9090697432301087,0,4,4.82340527554501
12,2,0,0,3.779253167160346,0,4,8.358114258416435
12,2,0,1,3.290214847464835,0,4,6.955195261496426
12,1,0,1,2.388434881215153,0,4,5.970146300935004
11,1,1,1,2.511743725258337,0,4,7.002574790302711
12,2,0,0,2.357861604461098,0,4,6.642944204619677
18,3,1,0,4.355685226459345,1,4,12.14479437915547
16,2,1,1,4.345688239929832,1,4,12.215104568009073
11,2,1,0,6.363727189648458,1,4,13.932410091654695
11,-1,1,1,9.626306442164484,1,4,16.917995321471345
14,6,0,1,5.684902671808182,1,4,13.773294774095312
15,6,1,0,5.438031338610135,1,4,14.516347134029669
15,5,0,0,5.2886847311469865,1,4,13.207174473220658
10,-1,0,0,5.236329700213448,1,4,12.277488822430747
12,3,0,1,1.3313499605079446,0,4,4.047392520181094
10,1,1,0,-1.115434918229954,0,4,1.1633076328514922
9,8,1,0,3.380464555326742,0,4,9.736742945744686
15,5,1,1,2.7065591336934425,0,4,7.259189431035806
14,3,1,1,6.09846323307892,1,4,13.949279381617131
15,2,1,0,7.122903117014305,1,4,12.949929471524996
14,3,1,0,2.72756782666162,0,4,6.961574724280448
15,1,1,0,7.468991130308866,1,4,14.637528269401788
15,0,1,0,5.462160557859326,1,4,12.482002241089274
12,5,0,0,3.8135027422961887,0,4,8.84037921050462
15,-4,0,1,4.383554132499451,1,4,11.110055754227512
16,-3,0,1,1.6598494357752274,0,4,4.221059035083887
12,3,0,1,4.206389270354405,1,4,12.81196052142319
13,2,1,0,0.6264205152424323,0,4,3.4074570664991777
16,4,0,1,5.374942485116018,1,4,13.173562240739765
13,4,0,1,4.7690673832012624,1,4,12.289431119224211
15,2,1,1,4.390338271775454,1,4,12.175643595820562
17,3,1,1,3.6767474649854095,0,4,8.74192799650656
12,1,1,1,4.477447659326811,1,4,12.787773664227087
14,1,0,1,0.2864781623710581,0,4,3.8639246994478977
13,4,0,0,3.9401773808719,0,4,9.14059003307726
17,4,1,1,4.1035148421570895,1,4,12.627989045077513
14,7,1,1,3.731256363219364,0,4,8.506122243111307
12,2,1,0,0.7300328179619084,0,4,3.3312334518054736
10,5,1,0,1.524771070737355,0,4,6.1882329424743485
14,5,0,0,5.708993371218622,1,4,13.064554070444316
14,1,1,1,5.41302911400409,1,4,12.303559526402882
8,7,1,0,-0.1412225322377862,0,4,4.350169163376164
14,3,0,1,4.997568267521545,1,4,13.153313150289272
13,5,0,0,3.336517714122257,0,4,7.98437269478268
14,6,0,0,3.777017461580134,0,4,7.877251618185463
10,1,1,0,4.485403205660653,1,4,12.37031471438302
12,2,1,0,4.2736413615979965,1,4,12.160365748427346
8,1,0,1,4.390617329220859,1,4,12.924899800449996
14,2,0,1,4.40298735377038,1,4,11.269803570990224
17,1,1,0,7.140957175742416,1,4,14.736087213743836
18,8,1,1,4.785312951752367,1,4,12.755828239130418
14,2,1,1,4.468844694035879,1,4,11.581419637170702
16,6,1,1,5.138983710624688,1,4,13.56827935603874
13,1,1,1,3.379544181911712,0,4,7.737090785230001
12,4,1,1,3.343213342457324,0,4,7.853384669722468
15,0,0,0,4.883605596066637,1,4,12.513401165813146
11,5,0,0,4.042012582857045,1,4,12.805680120523707
11,1,0,1,5.532488017870184,1,4,13.334701214809003
9,4,0,1,6.309161521160773,1,4,14.762788702318144
13,2,0,0,3.0143958325149782,0,4,6.378858898489781
13,0,1,1,1.165319218053038,0,4,4.433566428559834
20,0,0,1,3.3891902818661537,0,4,7.2052611619646285
14,3,0,0,4.303589630591718,1,4,12.509265118531474
17,3,1,0,2.8786362429314227,0,4,6.232682730435537
14,6,1,0,4.959108178431082,1,4,13.673495934189736
15,4,1,1,4.524117284996451,1,4,12.847516603674844
13,2,0,1,3.937328337396048,0,4,9.333138761328671
12,-2,1,0,6.446926862720936,1,4,13.828941776504912
10,3,0,1,2.7389202401498043,0,4,7.435627190421888
15,1,1,0,4.815296856627002,1,4,12.956595309169924
13,4,0,0,4.302009091598005,1,4,12.303418014891324
10,5,0,0,2.6451421680123577,0,4,8.105391611579925
15,7,1,0,2.755716973742853,0,4,7.337267074028284
13,6,1,0,3.423595271334218,0,4,7.772682070587978
19,2,1,0,2.0944560976935924,0,4,5.806827503815118
14,3,0,0,2.5855892746643008,0,4,6.587747841371831
16,0,1,1,3.306515130704593,0,4,7.142274326733419
13,2,0,0,7.666729764986144,1,4,15.019394718241262
11,4,1,0,4.049595219041676,1,4,12.988464713630671
12,1,0,0,5.222108695527501,1,4,12.642552881894424
9,-1,1,1,3.583533689652643,0,4,8.061412549735035
10,4,1,0,4.218646691623551,1,4,13.672843361207065
14,3,0,1,3.569425345753604,0,4,8.15043198498858
14,4,1,0,6.054830049569007,1,4,12.981194552184814
15,0,1,1,8.547614441306202,1,4,15.361653710760056
10,0,1,1,2.94411369015196,0,4,7.415548711767153
15,2,1,0,2.259624930107848,0,4,6.288327789421664
14,8,1,0,3.828556520443714,0,4,9.132544058164951
8,2,1,1,3.2133032100755066,0,4,8.811561589419325
8,3,1,1,2.859557349708287,0,4,8.62677559223844
15,4,1,1,5.569664991100873,1,4,12.867029315964288
12,4,1,1,1.2198513341230752,0,4,4.817161133276435
14,4,0,1,2.796516020351848,0,4,6.637509651744659
17,10,1,0,3.163077408847269,0,4,7.419344523016213
13,1,0,1,4.605732367620645,1,4,12.552472226353984
12,0,1,1,1.9025338760361172,0,4,5.4975574082785865
15,0,1,1,6.8245923732819485,1,4,13.792720430549744
15,1,0,0,4.64587908141831,1,4,12.47795688062274
14,5,0,1,4.637602283973815,1,4,12.049780968588005
11,2,0,1,4.236984427805327,1,4,11.827696336643534
14,2,0,1,3.493341458506822,0,4,8.435015005618878
14,3,0,0,2.9947957896992574,0,4,7.939741694096867
11,7,0,0,4.946465190483969,1,4,13.165599656391072
11,1,0,0,6.996077251762927,1,4,14.15386613750572
12,3,1,0,4.084680011221106,1,4,13.092268980287674
14,0,1,1,4.32568976570427,1,4,11.729260613065344
12,6,1,1,4.8507231054407685,1,4,13.043509091065644
12,3,1,1,-0.0157425823064683,0,4,3.2465808031882046
16,5,1,1,4.992743334036748,1,4,12.557509017127089
12,6,1,0,2.313245049637135,0,4,7.122318591607584
11,3,1,0,4.042497763955954,1,4,13.094038486268062
15,6,0,1,3.9201574340403753,0,4,9.492925532368238
14,1,1,0,4.617092290970068,1,4,13.49662499054589
12,7,1,0,2.2532250227743438,0,4,7.052782781611985
10,0,1,0,9.46048164477161,1,4,17.581329406685843
14,5,1,0,3.385192709121706,0,4,7.784131953340543
15,6,1,0,3.476471300115939,0,4,8.495537112859285
12,2,0,0,3.9152851692798185,0,4,9.122852742099806
11,4,1,1,5.97749401309754,1,4,14.10382344209344
13,0,1,1,2.3190894671201643,0,4,6.527814681252884
12,3,1,1,0.723233145203555,0,4,4.989229170752644
15,4,1,1,6.280870137553823,1,4,14.483132626434807
14,5,0,1,6.066772828846532,1,4,13.55449632701956
17,2,1,0,-0.1580167975151409,0,4,2.728060430092338
11,0,1,0,4.393902381652246,1,4,12.258567043935347
11,6,0,1,-0.4303719552849259,0,4,3.0689800584702063
14,2,1,0,2.487777827507509,0,4,5.998363849470687
16,2,1,1,5.76942723697749,1,4,13.688401072964052
13,0,0,1,6.849848376152627,1,4,13.923850507004325
17,5,1,0,7.050734222128465,1,4,14.50313903251945
15,4,1,0,3.972592285324028,0,4,8.292840962440465
7,0,1,0,3.714014729248776,0,4,8.319582293257884
13,-1,0,1,5.938147652925675,1,4,13.208397744848869
19,-2,0,1,2.2587307687021063,0,4,4.966792137369414
17,0,0,1,5.674925156538023,1,4,12.47988628601455
15,4,1,0,3.150344922550857,0,4,7.351837106225933
10,4,0,0,4.626787574716391,1,4,13.273719595058363
17,4,0,1,6.117406692484977,1,4,14.233077008419254
16,7,0,0,0.9142193391609634,0,4,5.32563697947881
12,5,0,1,2.3586643635231668,0,4,6.45618828737215
16,5,0,0,5.831496096265117,1,4,13.850369343023212
12,3,1,1,2.4726568743348016,0,4,6.471994030532289
13,1,1,0,-0.7367348875316608,0,4,1.8852022849941308
12,7,1,1,2.9196073920985484,0,4,8.202865870857423
12,5,1,0,3.351437244129264,0,4,8.51093071795207
8,0,1,1,5.834370940148458,1,4,13.578950917500292
14,-3,1,1,2.7662755123125056,0,4,7.562523473625659
15,6,0,0,1.6114402712321918,0,4,6.443252356272086
17,2,0,1,1.828774240156759,0,4,4.978858649980944
7,-4,1,0,0.7903062523231541,0,4,4.21087948852835
16,3,0,1,5.0683316625925805,1,4,12.757867023762838
15,1,0,1,2.8571432881929653,0,4,7.167665262514605
14,1,1,0,2.361716967161186,0,4,5.4539911026201295
17,6,0,0,1.4116762189087004,0,4,4.666862608269143
14,4,0,1,-0.1503814176992302,0,4,2.443565938444153
11,4,0,1,3.563264551131854,0,4,8.991570900778827
15,3,0,0,3.2171310607504005,0,4,7.278540695634931
13,-5,1,0,2.624271172756229,0,4,6.778370907650498
13,3,1,0,7.038878786785607,1,4,14.461876067333014
13,7,1,0,0.7570222107865958,0,4,5.002395668944249
14,0,1,0,1.925818420667261,0,4,4.99471279730483
12,0,0,1,5.144333452361414,1,4,12.039164229976436
16,2,1,0,6.875178283333739,1,4,14.676046505298949
17,3,0,1,2.0682521046120312,0,4,5.523970031137663
17,6,1,1,2.374779727709506,0,4,7.236835848462748
15,6,1,0,5.396305483901446,1,4,13.821944144143243
10,6,0,1,7.603339694448669,1,4,15.648308142465286
9,5,0,0,2.974392522348815,0,4,7.574398160815373
14,1,0,0,1.1828452661674662,0,4,4.912710444452373
15,2,1,1,6.698889301958387,1,4,14.104206828022727
9,6,1,0,7.444621061389324,1,4,16.36463378327174
14,3,0,0,3.1347443586894523,0,4,7.702496840957314
20,3,1,1,5.755482584335606,1,4,13.181685967481084
13,0,1,1,1.7698049878800275,0,4,5.162694287018821
14,4,0,0,3.537769603944614,0,4,7.958301068167231
13,1,1,0,6.54299116676932,1,4,13.512130337625226
15,3,1,1,5.691413280605683,1,4,13.78808687354969
16,3,0,0,5.104039895257207,1,4,12.606280764244246
11,7,1,0,2.9524589629421727,0,4,7.626128833684135
13,-2,0,1,2.8617638479945944,0,4,6.607467779589263
17,6,1,0,0.33317897941795,0,4,3.613263879475179
15,1,0,0,3.328697848154068,0,4,7.9160931010298174
12,1,0,0,7.557880121019142,1,4,13.7186835841818
12,4,0,0,3.6834918650266695,0,4,9.021911812130815
16,8,0,0,2.2584181914924626,0,4,6.971631811317493
15,8,1,0,3.4290647876248683,0,4,9.280387104901513
14,5,0,0,5.90168834211532,1,4,13.0933831980181
16,3,0,1,-0.0575692815438921,0,4,2.1884155639445737
10,4,1,1,4.593859642187109,1,4,12.881097599759126
11,4,1,0,3.5593922531802384,0,4,8.203756045599224
14,2,1,1,2.7952781993896467,0,4,6.890392765989192
8,3,0,0,4.611966655148287,1,4,13.214146714555625
11,4,0,0,8.164127881814718,1,4,16.185834274480946
14,4,0,1,3.24581114741615,0,4,8.186233196509255
17,3,0,0,4.874159639154642,1,4,13.160311026427296
11,-2,0,1,3.734660232889377,0,4,8.606792194856943
13,7,1,0,3.375703913980779,0,4,9.11971615929018
15,1,0,0,2.499705039717776,0,4,5.797945214513544
11,0,1,1,5.666260295478991,1,4,12.89874737027813
18,0,0,0,4.2605905011941285,1,4,10.26185071711938
16,2,1,0,3.874276611609369,0,4,8.667826356633514
14,-3,1,1,4.787993993997576,1,4,11.97343177975386
14,2,1,1,6.500676298476922,1,4,14.292837121328152
11,5,0,1,5.53721257276598,1,4,13.994971574298006
15,7,0,0,4.830519953378416,1,4,12.99376130613494
13,4,0,0,3.736905585804768,0,4,9.358263160700428
15,4,1,1,3.904365597268193,0,4,8.191381671741434
13,4,0,0,3.132419686331647,0,4,7.762295985773085
16,3,0,0,0.6742074517185577,0,4,3.5792669863925664
17,4,1,0,1.0796470983482132,0,4,4.546020584086834
13,4,1,1,3.067710042253398,0,4,7.278250680730538
14,4,0,0,1.3986106129384424,0,4,4.081542602172172
8,4,1,0,6.411370907817981,1,4,14.4630515114649
16,5,1,1,5.244975502239547,1,4,12.905675176956995
11,2,1,0,0.8938850061556409,0,4,4.780066364801792
13,3,1,0,5.222461999626989,1,4,13.60291490501706
11,3,1,1,3.680662786571807,0,4,9.33212901588051
13,3,1,1,4.109364914036256,1,4,11.614425967178468
19,2,0,0,0.0086490741864189,0,4,2.414381959009748
15,3,0,1,6.643036035653109,1,4,14.087786853480267
15,3,1,1,6.04846328781583,1,4,14.26735232701594
10,1,0,0,4.779722483642746,1,4,13.106097321855795
14,1,1,1,1.6438898698067237,0,4,5.204800974023217
15,0,1,1,5.1187843964023045,1,4,12.51219759590992
16,-2,1,0,2.9868064248647106,0,4,6.674530965686985
13,-6,1,0,2.816115637415647,0,4,7.3331466459151216
11,7,1,1,5.649270222113201,1,4,14.359663261800234
10,0,1,1,4.86763820628012,1,4,12.576550420693149
11,3,1,1,5.88354736470986,1,4,14.206018945990149
12,1,1,0,2.743949641109033,0,4,6.821598946144887
17,3,0,1,5.6914062084727775,1,4,13.478660581618367
15,2,1,1,4.318920966286811,1,4,12.546593649188983
16,5,1,1,1.6254096888805942,0,4,5.386526954684189
13,5,0,0,2.2690487443601706,0,4,5.8729590182026605
16,10,0,0,5.009420928870163,1,4,13.255831626777525
15,2,0,0,-0.4454141496963233,0,4,2.5746803935851434
10,5,1,0,2.966210365694701,0,4,9.08926641787682
15,0,1,1,3.4237675080478143,0,4,8.236391416807736
16,4,1,1,1.955269844555375,0,4,5.563121415354489
15,5,0,1,4.577056321626611,1,4,12.980884867222008
13,0,0,1,1.8726999438922085,0,4,5.9686154679885055
13,-2,1,0,5.991478623976397,1,4,13.959219653876174
12,6,1,1,4.290432590828794,1,4,12.730653662075897
14,4,1,1,3.348027383238492,0,4,8.339439336565487
16,2,0,0,5.738503344936653,1,4,12.29232834861776
14,3,0,0,-0.952053293381158,0,4,0.8382993009523437
16,2,0,0,5.077179949360584,1,4,12.115238499140872
11,-2,0,0,3.634598425246772,0,4,8.83508424855529
13,3,0,1,8.499355968910507,1,4,15.408289953634258
10,7,1,0,4.622559213700385,1,4,12.771149148656663
11,3,1,1,0.0413001778226078,0,4,3.201604936340951
13,4,0,1,3.981931698123144,0,4,9.34121313259597
18,0,1,0,5.807313425514609,1,4,12.663412917329389
16,-6,0,0,3.852080547119776,0,4,8.089033523814344
17,2,0,1,3.665738780286974,0,4,6.642994519085231
13,1,0,1,4.696030734902491,1,4,11.950608837012895
15,-1,1,0,2.072769329738115,0,4,5.371049945710942
21,-1,1,1,0.1855403138399602,0,4,2.82360227116699
17,3,0,1,1.863169296808216,0,4,5.660557751255587
14,1,0,1,5.096017493221979,1,4,13.34919154973726
13,8,1,1,0.8493794888986885,0,4,4.544550985863646
11,3,1,0,3.216595329009216,0,4,7.997470420236537
12,1,1,0,6.396821957890496,1,4,14.224187355844473
14,5,1,0,3.182521719152572,0,4,8.316034310680791
15,2,0,0,6.034546185808552,1,4,12.749610246522494
14,1,1,0,7.366786974518789,1,4,14.656419922453654
10,0,1,0,6.494052631807407,1,4,15.074548072850789
10,8,0,1,3.080537829140193,0,4,7.987986636011217
12,0,0,0,2.909984371484108,0,4,7.461336797300979
13,4,0,0,7.451086906301599,1,4,15.44191565524992
18,2,0,1,6.156624388624197,1,4,13.507468055295018
11,5,1,1,5.182782284999106,1,4,14.52995207789166
7,4,0,1,5.565946745396246,1,4,13.704319488646874
13,2,1,1,2.325280788531825,0,4,6.812773011886336
16,-2,1,1,4.691078950257788,1,4,12.53893613624573
15,0,1,0,3.9556721605311567,0,4,9.254941359397248
13,3,1,1,0.9096616057012143,0,4,5.004338050183681
14,6,0,0,8.19982731571285,1,4,15.148954121411446
12,1,1,0,2.961903407294254,0,4,7.450953405471686
14,3,1,1,6.191416089970048,1,4,13.535149545020364
16,5,0,1,3.94574931632138,0,4,8.543862143020936
14,3,1,1,3.087670668678348,0,4,6.478852498013655
12,2,1,0,4.652811992088004,1,4,12.49949692989134
15,3,0,0,2.7069104097354604,0,4,5.245656420701987
10,6,0,0,4.2641569747546,1,4,13.049441190774129
13,8,1,0,1.414674732761812,0,4,5.479924081679038
12,3,0,1,5.269363177003465,1,4,12.603897246527854
22,2,0,1,3.835795926952658,0,4,8.084065954526613
14,2,0,0,3.788294368234205,0,4,8.518253238985842
13,0,0,0,5.31419992253164,1,4,12.491899075489052
11,0,1,0,3.31153306049898,0,4,8.070998872488122
13,0,1,0,1.4976532757605932,0,4,4.645022598174274
11,2,1,0,1.6258179661928285,0,4,5.955679435738146
11,2,0,1,6.388952975046674,1,4,14.391779884448358
12,5,1,1,4.455677158801135,1,4,13.828746373433226
13,2,0,1,4.913064043371823,1,4,12.924892621208969
16,3,0,1,2.8946950575209165,0,4,6.87041082961446
14,2,0,1,2.7054031500898823,0,4,7.177936692935419
14,5,0,1,4.210744524720196,1,4,11.807439061740167
11,2,0,0,5.701043595542226,1,4,13.551835479025105
12,0,1,1,3.276730095941766,0,4,8.091671904255858
10,4,1,1,6.52782843707428,1,4,15.20630573919283
13,-4,1,1,4.593000852311852,1,4,11.73866427601149
18,2,0,1,3.0478481628342653,0,4,7.088289703494292
