age,grade_level,has_internet,has_study_group,parental_involvement,assigned_encouragement,received_encouragement,exam_score
3,2,0,0,1,11,0,58.1450907564759
6,1,1,0,0,13,0,58.69834411810497
3,3,0,0,0,12,0,58.46351229640775
11,3,0,0,1,11,1,66.36678159022311
9,1,0,1,0,11,1,60.700432956944304
8,2,0,0,0,13,1,63.08041096227525
5,2,0,1,0,12,0,57.55770085220372
2,4,0,0,0,10,0,57.43043261412148
9,2,0,0,0,11,1,63.31284701213707
5,2,1,1,0,13,1,59.58123747380687
10,2,1,0,1,11,1,64.14858185645285
7,1,0,0,0,13,1,60.77053743748108
6,1,1,0,0,11,0,57.104242955459085
8,0,0,0,1,11,1,64.49636162734558
8,1,1,1,0,14,0,59.797260512452695
7,2,1,0,1,13,1,61.671617916563775
6,1,1,0,1,12,1,59.90565071644532
7,1,1,0,1,11,1,59.94990153539441
9,2,1,1,1,11,0,61.10161874584084
7,1,0,0,0,10,1,61.8869849545988
11,2,0,0,0,14,1,64.87439822151218
10,0,0,0,0,9,1,61.35679062816115
7,0,0,0,0,10,0,60.29612707864828
3,1,1,0,1,10,0,57.836777505844765
6,2,0,0,0,12,1,61.38461869657331
8,2,0,1,0,14,1,60.35294703683548
5,2,0,1,0,11,1,60.78965352581484
4,1,0,0,0,8,0,54.35377295031006
11,1,0,0,1,13,1,62.11195234747057
9,1,0,1,0,12,1,62.931302832697504
10,2,0,1,0,13,1,62.21127023905441
4,1,0,0,1,9,0,58.0086542797011
7,0,0,1,1,8,0,61.03480859251136
10,2,0,0,1,11,1,63.46400606017701
8,1,0,0,0,12,0,58.832310154130056
11,1,0,0,0,7,0,62.46261705073439
8,2,1,0,0,8,1,60.88724413130073
7,2,0,1,0,12,0,60.04073145728794
5,1,0,0,0,10,0,58.35726624606409
8,1,0,0,1,11,1,62.81221193527435
8,1,0,0,0,10,1,61.370476407170216
2,2,1,1,1,8,0,55.96112670995593
5,1,0,1,0,11,0,58.90697782447853
3,2,0,0,1,12,1,60.02907549420024
6,2,0,0,0,12,1,60.46810597510802
3,2,1,0,0,9,0,55.83220241992368
8,2,1,1,1,18,1,62.557290701736754
11,1,0,1,1,8,1,63.30864612702671
11,2,1,0,0,14,1,65.06114326797751
2,2,1,0,0,11,0,57.06703469821572
9,3,0,0,0,9,0,58.84283077126833
6,3,0,1,0,10,0,59.30419121548904
9,1,0,0,0,12,1,61.97813983396167
6,2,0,0,0,11,0,59.07036565418348
8,2,1,0,0,7,0,60.04929078792041
7,2,0,0,0,10,0,59.18543138626488
6,2,0,0,1,11,0,58.91460087651828
4,0,0,0,0,13,1,59.517356151128325
1,2,0,0,0,12,0,56.62026042500023
6,1,1,0,0,11,0,58.25539799507128
8,2,0,0,0,10,1,63.842684265127474
6,2,0,0,0,11,0,59.29162731396566
11,1,0,1,0,9,0,60.97024435283002
10,2,0,1,0,10,1,63.04062330799074
5,1,0,0,0,8,0,57.79979851310876
7,1,0,0,1,15,1,61.592131693424975
10,2,1,0,0,9,1,62.67867113627863
8,2,0,0,0,10,0,60.55156578081514
5,3,0,0,0,11,0,57.67263074867012
6,2,0,0,1,11,0,59.58579275405981
7,0,1,0,0,13,1,61.96217094575986
6,1,0,0,0,16,1,61.23051304209813
9,1,0,0,0,13,1,60.985024457318815
7,1,0,0,0,12,1,60.67535277953256
2,2,1,0,0,11,0,54.05878287824849
2,2,0,0,1,11,0,57.63186361829951
3,2,0,0,1,11,0,57.444404029806215
7,1,1,1,0,12,1,59.27192007387135
7,2,1,0,0,14,1,61.08713724188539
10,1,0,0,0,15,1,63.13920699971139
6,2,0,0,1,16,1,62.34597565696541
2,2,0,1,1,9,0,56.76349320654627
6,1,0,1,0,9,0,58.29847135465372
7,1,1,1,0,11,1,60.20016857866505
4,3,0,0,0,10,0,58.81706391768419
7,1,0,0,0,9,0,59.773442404771096
5,2,1,1,0,13,1,61.16114065962035
6,1,0,0,0,12,1,61.70477179185477
5,1,0,0,0,9,0,58.04546118942951
7,1,1,1,0,15,1,60.3845023367643
3,2,1,0,0,8,0,58.5051635610606
6,2,0,0,0,11,1,62.46072006359453
7,0,0,0,0,12,0,60.02089095293558
7,2,0,1,0,13,0,58.10149562504772
4,2,0,0,0,12,1,60.8676087668668
8,2,0,0,1,13,1,61.18380577007037
10,0,0,0,0,14,1,60.615932161605855
6,1,0,0,1,10,0,59.77451679616407
1,1,0,1,1,12,0,56.01516093854289
9,1,1,0,1,14,1,60.914870556328864
5,1,0,1,0,11,0,57.11792611378559
5,2,0,0,0,14,1,60.04754539135504
5,3,0,1,0,6,0,59.416808844860185
3,2,0,0,0,13,0,56.73651379415792
5,2,0,0,0,14,0,57.36883257685675
5,1,1,1,0,13,0,56.87708632790349
5,4,1,0,0,13,1,61.77858931608501
7,1,0,0,0,9,1,59.10128915744852
4,2,0,0,1,9,0,59.08362212877663
5,1,1,1,0,13,0,57.568024439839846
10,2,1,0,0,14,1,65.65196428926984
5,1,0,0,1,15,1,61.13926832062581
9,1,0,1,1,15,1,62.77234179752735
6,1,1,0,1,10,0,58.45685143959595
7,2,0,0,1,10,0,61.28425974338567
7,2,1,0,0,13,1,63.90625372204066
4,2,1,0,0,13,1,60.39650480000938
8,2,0,0,0,10,0,61.15005706724424
7,1,0,0,0,12,1,62.55468842398142
5,2,0,0,1,13,0,59.92210068953524
8,3,1,0,0,12,0,60.1146215005833
5,2,1,1,0,11,0,58.88909523076048
7,0,1,0,0,16,1,60.763744349262346
6,2,0,1,0,11,0,60.70015180444733
8,2,1,1,0,10,0,60.43971837304068
5,2,0,0,0,13,1,61.47752544637089
10,2,1,1,1,14,1,63.19316931125477
8,1,0,0,0,13,1,64.0826855082202
3,2,1,0,1,13,1,60.14087836678277
6,2,0,0,1,9,0,60.4496166902464
-1,0,1,0,0,9,0,54.4300582037669
7,1,0,0,0,8,0,59.27060025633327
12,3,0,0,0,10,1,64.69456802976273
10,2,1,0,0,12,1,61.18922009626443
7,2,0,0,0,7,0,58.96174872407742
8,2,0,1,0,9,0,61.93470242833681
4,3,0,0,0,9,0,59.69533358978181
9,1,0,0,0,12,1,62.88240760531787
10,1,0,0,0,13,1,62.27598531806439
2,1,1,1,0,12,0,54.717014623371895
8,1,1,0,0,10,1,61.88371813892245
1,1,0,0,1,11,0,55.85966345530509
9,1,1,1,0,11,1,60.976763731429486
2,2,0,1,0,13,0,57.20931441198742
11,1,0,1,1,14,1,66.21576789662141
0,3,0,0,1,11,0,57.29202305650225
7,3,1,0,0,16,1,62.61697331842144
7,1,1,0,0,12,1,59.19615779612264
8,2,0,0,1,12,1,64.30826670191706
9,2,1,0,1,12,0,60.37525872435444
2,2,0,0,1,12,0,56.82942589042264
8,1,0,1,1,8,0,60.631547818207466
3,2,0,0,1,15,1,58.98648540270197
5,2,0,0,1,11,0,60.18642072461654
9,1,0,0,1,13,1,64.27847125088769
0,3,0,0,0,12,0,56.1808207725227
10,3,0,0,0,11,0,62.07216754059877
4,2,0,0,0,11,0,57.61994144782312
7,1,0,0,0,12,1,61.949962666326655
7,0,0,1,1,10,0,58.44618084451711
9,2,0,0,1,15,1,65.33294282108736
7,1,0,1,1,10,0,59.4623864619904
5,1,1,1,0,9,0,58.559686194457015
7,1,0,0,0,14,1,61.78736744185133
4,1,0,0,0,15,1,58.73897532871179
11,2,0,1,0,11,0,60.84554281910705
7,1,0,0,1,12,1,61.009728826900606
1,1,0,0,1,14,1,59.10349234452287
5,2,0,0,0,15,1,59.03080024704606
8,2,0,0,0,12,0,58.543973287241975
7,1,0,1,1,9,0,59.77333511149202
10,1,0,0,0,9,1,63.326482944522624
0,2,1,1,0,13,0,55.71875689261955
5,2,1,1,0,12,0,57.92351162704472
8,3,0,0,1,11,1,63.57570927136181
9,2,0,0,1,10,1,63.02444737974163
0,2,1,1,0,15,0,54.95215390066864
7,2,0,1,0,13,1,61.74670279195015
7,2,0,0,1,8,0,59.88696147963297
7,0,0,1,0,9,0,56.93602245569428
7,1,0,0,0,12,1,63.62429203718208
11,1,0,0,1,10,1,65.15645967069571
7,2,1,1,1,11,0,59.59291772179719
5,2,1,0,0,13,1,61.30250499847613
7,1,0,0,1,12,1,59.319102838639154
8,3,0,1,0,13,1,60.40573897845443
10,2,0,0,0,12,1,63.30248664409921
3,1,0,0,0,11,0,56.95959794229969
4,0,0,0,1,11,0,57.864325044296805
6,1,0,1,0,13,0,57.11693335480865
5,2,0,0,0,13,0,57.82999098109683
5,2,0,0,1,13,0,59.13125139013466
8,1,1,1,1,14,1,61.40273491380171
6,1,0,1,0,10,0,58.221656075579936
5,2,0,0,0,11,0,59.91603049629636
5,2,1,1,1,11,0,57.77678969928738
3,1,0,0,0,12,1,58.39799043856599
6,1,0,1,0,14,0,59.01490413270241
6,1,0,0,0,12,1,60.20432828848291
3,2,0,0,0,13,0,57.173390582028325
8,1,1,0,0,10,1,61.15147463748282
10,2,1,0,0,11,1,62.90760818774669
9,1,0,0,0,11,1,63.33456361620529
1,1,1,1,0,10,0,56.28781910128312
9,2,1,0,0,13,1,62.35240576375397
7,1,0,1,1,12,1,60.17921047692427
2,3,0,1,0,10,0,55.77289025760207
7,1,0,0,1,13,1,62.3482932506493
8,2,0,1,1,8,0,60.55126779810914
4,2,0,0,1,11,0,58.55495117694011
7,1,1,1,0,12,1,62.36580280553969
1,1,0,0,1,9,0,55.3720712177327
8,0,0,0,0,15,1,63.00336676678513
4,2,0,0,1,12,0,60.18652777924103
9,1,0,0,0,11,1,60.58243584005044
6,3,1,1,1,10,0,59.7753588355961
9,0,0,0,0,13,1,61.38148804950749
6,0,0,0,0,12,1,59.54229377274143
11,1,0,0,0,13,1,64.04870515468781
6,2,1,1,0,13,0,56.35353177364222
6,2,0,0,0,10,0,60.5661065401878
7,1,1,0,0,12,1,60.10639007913381
7,0,0,1,1,11,0,60.766448080606175
6,2,1,0,1,15,1,63.60527466700971
8,2,0,0,0,12,1,62.521778752443794
6,1,0,1,1,10,0,58.83404675986024
7,1,0,0,1,7,0,60.66604529166659
6,2,1,0,0,8,0,58.50848128609522
10,1,0,0,0,10,1,66.10644888791221
10,2,0,0,0,9,0,60.81098008530428
9,3,0,0,0,14,1,64.4776641581542
4,1,1,1,0,14,1,58.68021243933514
8,2,0,0,0,7,0,60.6238344300547
9,2,0,1,0,15,1,61.84588940773127
10,2,0,1,0,11,0,61.97762332053035
8,1,0,0,0,17,1,61.22306780923088
6,2,0,0,0,14,1,60.76225551544447
6,2,0,0,1,12,1,62.00112559551469
7,2,0,0,0,9,0,58.61613461159292
8,1,1,1,0,11,1,60.74047681361091
5,2,0,1,0,16,1,60.32934191625495
5,1,0,0,0,11,1,60.13430128289093
5,1,0,1,1,13,1,61.62423423219454
8,1,0,1,0,10,0,60.445558431202734
9,2,0,0,1,9,0,61.68207402599908
4,1,1,0,0,11,0,56.59390062446223
3,1,1,0,0,9,0,54.68776313180938
7,2,1,0,0,11,1,63.1009638331836
5,2,1,0,0,13,1,59.05739505440015
2,1,1,0,1,11,0,56.615177853579794
4,2,1,0,0,13,1,59.97863445200825
8,3,0,1,0,10,0,61.751145763173525
6,2,0,0,0,14,1,60.99761007731888
3,1,0,0,0,9,0,57.50557498607668
8,1,0,0,1,10,0,60.60947006089511
6,3,1,1,0,10,0,56.87107431388425
5,2,0,1,0,10,0,58.670616022620855
7,2,1,0,1,10,1,62.8897456388492
9,3,0,1,1,14,1,63.12729618808326
3,1,0,0,0,11,0,57.672066285706016
7,2,1,0,0,11,1,61.24970219421412
8,1,0,0,0,13,1,61.51732516671472
9,1,0,0,0,11,0,61.10023861991439
7,1,1,0,0,12,1,59.27450620939256
6,3,0,1,0,13,1,62.5254024142352
7,2,1,0,0,12,1,61.37785200401285
8,1,0,0,0,11,0,59.78993203616492
5,1,1,0,1,12,1,58.90770461147259
8,2,1,0,1,13,1,60.42679419129564
8,2,0,0,0,8,0,60.72877803027904
8,3,0,1,0,12,1,63.4322986508423
6,2,1,0,0,11,0,58.14657498641895
7,1,1,0,1,11,1,61.45017938819641
8,1,1,1,1,14,1,60.81973622274371
6,1,1,1,0,12,1,59.67581915428477
7,1,1,0,0,11,1,60.01920929620967
10,2,1,1,0,14,1,60.89283386724153
9,1,0,0,0,10,1,61.24999937908578
5,2,0,1,1,11,0,57.717017968557606
7,1,0,0,0,12,1,60.36830896001268
6,2,1,0,0,12,1,60.12162896224988
5,2,0,1,0,15,1,60.00133507242339
9,1,0,1,0,10,0,57.91174963846914
5,2,0,1,0,10,0,59.55547603100613
10,2,1,1,0,11,1,62.0106575573499
10,2,0,1,0,15,1,64.04627166678607
5,2,0,1,0,11,0,56.12604958466131
7,1,1,0,0,10,1,60.754794676628414
10,0,1,0,0,11,1,63.507751450149016
6,2,0,0,0,9,0,57.775831352089554
3,1,1,1,0,12,0,55.42148303087807
6,3,1,1,1,13,1,60.47498894372426
6,1,0,0,0,11,1,59.044994672190434
11,0,0,0,0,11,1,62.52548627794696
10,2,0,1,1,10,1,65.58280501165913
5,4,1,0,0,10,0,59.71675286637216
5,2,1,1,0,13,1,59.01029878113865
8,2,0,1,0,9,0,59.87601595267079
