age,working_hours,annual_income,gender,education_level,home_ownership,living_standard_score
31,21,15,1,0,0,17.706729897559153
32,12,15,0,0,0,12.25224830430118
40,23,12,0,0,0,11.164104919144918
30,19,14,1,0,0,18.068261768449304
19,18,15,0,1,0,30.391433543748413
26,23,7,1,0,1,34.69173159528467
33,15,12,1,1,0,13.971530557249013
34,5,17,1,0,0,4.801681998322799
20,27,19,0,0,0,31.146099617344746
19,21,13,0,0,1,38.063016665952254
30,14,11,0,0,0,16.305898450307158
37,9,14,0,0,0,5.216692980966696
34,18,10,0,0,1,24.206042688098904
27,31,12,1,0,1,39.07753348427652
38,16,12,1,1,1,16.770807528020914
37,12,16,0,1,0,5.340982547342396
23,19,11,0,0,1,34.24206067207147
34,21,11,0,1,1,24.94104908885424
27,30,11,1,0,1,37.14934249436452
33,14,7,1,0,1,22.23512097118773
35,13,12,1,0,0,11.356967800969764
18,28,10,1,1,1,43.50303518144695
35,12,7,0,0,0,12.333101943402465
27,28,11,0,1,1,36.60571971232845
36,10,9,1,0,1,14.519143594152842
44,16,15,0,1,1,9.280050214010004
35,19,15,1,0,1,18.5514353617055
34,10,8,0,0,0,12.994370754614527
34,25,11,0,0,0,19.010223505032567
25,11,12,0,1,0,18.62386105830181
26,14,13,0,0,1,27.24947235549689
29,21,6,0,1,1,31.70620376796827
39,11,8,1,0,0,7.84339926816368
40,17,8,0,0,0,10.744187670382123
26,20,6,1,0,0,27.34769311257269
31,16,13,1,0,0,17.84786980589717
23,18,15,1,0,0,24.05736816414317
36,22,9,0,1,1,23.70297778011137
33,18,8,0,1,1,24.220776031750887
33,16,13,0,1,0,14.322978495704287
43,22,10,0,1,1,17.206479790329464
26,16,12,0,0,1,28.974120426481445
34,22,12,0,0,1,25.245396873543093
20,18,11,1,1,0,30.247602365356943
34,20,11,0,0,1,24.541765170449864
39,19,14,0,1,1,16.514454526481693
30,28,16,0,0,0,24.8219497580072
32,28,10,1,0,1,30.824095688059742
35,21,11,1,1,0,16.014604691817258
37,16,8,0,1,0,11.42033631551011
31,11,13,1,0,0,10.742334904182384
32,15,9,0,1,1,22.561804990801548
31,20,7,0,0,1,28.17874540559022
53,17,11,0,1,0,-4.121878672822314
30,27,9,0,0,1,32.63579980791773
28,11,13,0,0,1,23.226146257713427
41,8,13,1,0,1,6.924094449826345
27,4,8,1,1,0,14.065533650706367
24,19,13,0,1,1,32.38816161469345
48,16,7,1,0,1,8.316960622176223
38,8,10,0,0,1,11.105706826785712
33,28,11,0,1,1,30.889951195031543
41,8,13,1,0,0,0.4063457334026313
31,13,14,1,0,0,12.667808501889242
30,26,14,0,1,0,23.22519725224985
34,5,10,0,1,1,15.364250098334216
26,28,11,0,1,1,37.4697647525305
26,21,12,0,0,0,25.33012138031266
31,20,13,0,1,1,23.88636850953377
28,19,14,0,0,1,28.514875419302275
32,17,15,1,0,1,21.36906086711417
32,24,7,0,1,1,29.51713448759671
31,11,13,1,0,1,19.4702875389973
27,11,9,1,1,1,24.08936615858903
35,14,7,1,1,1,19.00516800753096
26,26,1,0,0,1,41.34009067220498
18,29,11,0,0,1,45.52997109301847
23,8,13,1,0,0,19.127639882972776
33,12,10,0,1,1,19.22465541268093
28,16,13,1,1,0,17.890715834993905
28,4,7,1,1,1,21.26016032113688
41,23,12,0,0,0,12.207139405431704
37,18,8,0,0,1,21.457843142834683
22,12,12,1,1,0,23.244146377872116
44,24,11,0,1,0,9.685941816313058
38,18,5,0,0,1,20.075250100380167
37,14,7,0,0,0,10.12028259931179
37,18,12,0,0,1,18.24305032572563
29,15,15,1,1,0,18.155152771554263
18,22,15,0,0,1,39.29956612797732
19,11,8,1,1,0,27.423225776267262
35,21,11,0,1,1,23.385453697143
31,23,9,0,1,1,28.532106505097328
34,13,14,0,1,1,17.24575775473695
30,24,12,0,0,1,30.48171782630098
33,23,11,0,0,1,25.84669723447575
26,16,10,0,0,1,30.13199921590656
33,19,10,1,0,1,23.02816010978319
20,13,16,0,0,0,24.43406237153905
48,12,12,0,1,0,-4.351712960608205
34,19,8,0,0,1,22.791233651153345
31,20,12,0,0,1,23.22547294189039
31,24,18,1,0,0,17.620474598476147
17,16,10,0,1,1,37.46625931418535
34,24,13,0,1,1,24.185500439913564
24,18,14,1,0,1,30.544313943341862
36,18,11,1,1,0,12.755887725698042
23,13,11,1,1,1,30.851947889825208
25,17,12,0,0,0,24.61799573933093
36,24,10,1,0,0,17.982073955747136
28,11,14,1,0,0,15.557393595590764
28,16,10,0,0,1,26.25707495748389
40,16,10,0,1,1,15.132392975474408
30,17,11,0,0,1,23.139006510939723
36,6,10,0,0,0,6.842811052191111
28,17,11,1,0,0,19.895236548225483
25,21,9,0,0,1,33.2586352497323
23,18,7,0,0,1,35.0710373502573
40,11,12,0,1,0,5.105197449972529
28,19,10,1,1,1,27.970746417532435
16,19,11,0,1,1,41.30541593790531
34,26,11,0,0,0,19.931966325680648
29,17,10,0,1,0,19.798702452943783
23,20,11,0,0,0,27.94506609195957
17,27,11,0,0,1,45.44997918405067
34,26,11,1,1,1,25.98062596558222
33,25,10,0,0,1,28.149475508301933
35,8,13,0,0,0,7.559743840716332
33,26,14,0,0,1,26.54260753790701
11,16,15,1,1,1,42.3790422689116
33,19,13,0,0,1,24.21228833171572
33,31,10,0,0,1,31.312735031251623
37,17,11,0,0,0,11.38278522505387
23,16,15,0,1,1,30.914758145580542
30,18,15,0,0,0,19.534690127179847
34,17,12,0,0,1,21.453482338613917
44,13,15,0,0,0,1.384327834240217
35,10,9,0,1,0,9.992518689875634
39,10,11,1,0,0,4.330526840850086
34,17,8,1,0,1,21.403463973237827
27,6,11,1,1,0,15.491104508054072
32,21,10,0,1,0,18.18061279038727
35,14,8,0,1,1,20.757050590496128
40,27,13,0,0,1,20.620707552741955
47,14,10,1,0,0,-0.2503090981384497
22,21,11,0,1,1,35.95328867542688
27,18,11,0,0,1,29.81187759404216
36,15,10,1,0,0,10.426332263275365
16,33,15,0,0,1,46.41846907865872
20,17,9,0,0,1,37.05675908575005
25,25,7,1,1,1,37.21940797201096
45,25,11,1,1,1,16.445754118328363
26,24,15,1,0,0,26.43804779920766
38,21,9,0,0,1,21.973564551461852
39,19,18,0,0,0,6.784009221898289
33,25,15,0,1,1,25.006337163933324
40,18,17,1,1,1,13.323421214388102
25,23,14,0,0,1,34.36781592888476
34,21,17,1,1,0,13.923521823086796
40,19,11,0,1,1,15.943328000219314
42,26,7,0,0,1,19.97523663702288
36,14,11,0,0,1,16.453670428761846
27,15,11,1,1,1,25.80376681769025
31,18,7,1,0,0,18.64684227276744
38,16,9,0,1,0,11.611027803349817
36,8,13,1,1,0,5.920946319316456
24,11,7,1,1,1,30.823577761616704
36,11,11,0,0,1,15.833208680211316
27,22,9,0,1,1,32.95120094740351
39,16,16,0,1,0,8.877790459617495
25,10,11,0,1,1,25.195086775890392
36,19,14,0,0,1,19.60830533855897
41,15,10,1,0,0,7.523271799329617
33,23,14,0,0,0,16.725120042724257
43,8,11,1,0,0,-0.4548258215812222
27,24,13,0,1,1,32.351036797311394
39,18,12,1,1,0,11.047540111058384
38,21,13,0,0,0,14.453341058805034
31,23,13,0,1,1,26.38562967355169
45,15,5,1,1,0,3.910554347758739
22,16,11,1,1,1,33.130482802089574
28,20,14,0,0,1,28.52292720705662
25,16,8,1,0,0,23.575342717870186
24,25,11,0,0,1,34.8407482296944
