family_size,income_level,has_children,owns_house,has_car,received_letter,switched_to_efficient_appliances,monthly_energy_consumption
9,0,0,0,0,13,1,65.82276676207199
6,2,0,0,1,7,0,57.539749842904754
8,2,0,0,1,9,1,67.65177679879723
4,1,0,0,0,12,1,64.32340906844846
6,1,1,0,0,10,1,67.8328907197832
4,1,0,1,0,8,0,56.792511641589215
7,1,0,1,0,4,0,59.21579594160516
3,2,0,0,0,10,0,58.50496282295993
5,1,1,0,0,9,1,65.89000046108117
5,2,1,0,1,8,0,56.81942032191576
8,2,1,1,0,10,1,69.47964369718093
11,1,0,1,0,10,1,70.2697138486642
8,0,1,1,0,9,1,66.30195112048447
3,1,1,0,1,10,0,55.230654044760286
6,3,0,0,0,7,0,61.94392331945827
7,2,1,1,1,8,1,66.04358744512037
5,1,0,0,0,8,1,65.36567738862819
7,2,1,0,0,8,0,60.90297213136468
5,0,0,0,0,8,1,64.88926324387086
5,2,1,0,1,7,0,58.83678296859313
8,0,1,0,1,9,1,65.72110674222156
7,2,1,0,1,6,0,61.14542967461648
8,2,0,0,0,6,0,61.77039156176112
8,3,0,0,0,9,0,62.20362651907816
6,2,0,0,1,7,1,63.89331345268472
6,0,0,0,1,7,1,66.17654760057755
4,0,0,0,0,9,0,58.1209831858823
7,2,1,1,0,10,0,60.15493082757233
9,0,1,1,1,7,1,66.88755822873826
7,2,1,0,1,7,0,60.99091234212112
5,2,1,0,0,8,0,58.723397756919546
6,2,1,0,0,7,0,59.81856436061703
4,1,0,0,1,11,1,62.05214585195034
3,1,0,0,0,11,0,56.92809079876555
8,2,0,1,0,8,0,60.163980185149946
7,2,0,0,0,6,0,61.87542430106353
6,0,0,0,0,9,1,64.5599475158312
5,2,0,1,0,10,0,59.25314220459774
9,2,0,0,0,13,1,70.80929653543535
5,0,1,0,1,9,1,63.19936965356155
6,1,0,0,0,9,1,67.12802592249028
6,0,0,1,0,7,0,58.20931536193251
10,3,0,0,0,12,1,71.68259692484256
5,1,0,1,1,8,0,57.78619505828938
6,2,0,0,0,12,1,68.38275249716426
5,3,0,0,1,9,0,59.89581160146104
9,2,0,1,0,12,1,70.11542497171283
6,2,1,1,1,6,0,61.3323359681075
5,2,0,0,1,10,0,58.62498341655543
10,2,0,1,0,9,1,70.06383129486807
5,1,0,0,1,9,0,58.83542774156385
8,1,0,1,1,9,1,66.90763651875861
11,0,1,0,0,11,1,70.67310461337306
8,1,1,1,0,12,1,67.65031916512211
6,3,0,1,1,8,0,60.8451955747842
7,3,0,0,1,11,1,68.04590932671033
5,3,1,0,0,8,0,61.077619000028136
8,1,0,0,0,8,1,67.10833975756994
7,1,1,0,1,10,0,59.99973088223346
12,1,0,0,0,7,1,71.41275573170715
7,2,1,1,1,5,0,60.64425727215417
10,1,0,1,1,8,1,68.27665628540773
4,2,0,0,0,7,0,59.02667441033694
8,3,0,1,1,8,0,61.97163381842345
6,2,0,0,0,9,1,68.24703778263654
5,2,1,0,0,11,0,60.049018825088496
7,2,0,1,0,13,1,67.54520351369747
12,1,0,1,0,9,1,71.7697630208971
5,1,0,0,0,6,0,58.905098507762006
11,1,0,0,1,7,0,61.82564191469132
7,3,0,0,0,12,1,68.49266551049706
1,1,0,1,0,9,0,55.924590252298
4,0,0,0,1,8,1,62.61769273413228
4,1,0,1,0,7,0,57.15181266995909
4,3,0,1,0,7,0,60.16066628747988
5,2,1,0,1,7,0,57.54598841722544
11,2,0,0,0,8,0,64.99158804478216
4,1,0,0,0,6,0,56.15985494826987
3,1,0,1,0,11,1,63.20103536903334
7,2,1,1,0,7,1,67.13019841260918
8,1,0,0,0,8,0,61.39330291360633
2,3,0,0,1,7,0,56.162732572033576
5,1,0,0,0,9,0,58.475588556252376
7,3,0,0,0,8,0,62.594836758605545
6,1,1,0,0,8,0,59.7674572760992
3,2,0,0,1,10,0,55.70882037166987
8,3,0,1,1,10,1,69.28595570547037
9,1,1,0,0,9,0,62.53122398737568
6,1,0,0,0,10,1,66.1426747167128
5,2,0,0,1,10,0,58.3956554130734
6,2,0,1,1,11,1,65.90222423684848
10,1,1,1,0,7,1,67.37481161821637
6,2,0,1,0,6,0,60.57051366511708
4,2,0,0,0,7,0,57.86572691786371
8,1,0,0,0,7,1,66.92926918713327
3,1,1,1,0,7,0,56.26706156212349
1,2,0,1,0,10,0,56.84174086379835
9,2,0,1,0,8,1,71.08610637858465
5,2,1,1,1,7,0,59.02235948755003
6,2,1,0,1,7,0,59.321657168111145
8,1,1,0,1,9,1,67.1866941004705
6,0,0,1,0,10,1,64.38772365378779
8,2,0,1,1,11,1,68.72313818061821
9,1,0,0,0,6,1,70.37361918300222
5,1,0,1,0,9,0,59.14302090946229
3,3,1,1,1,8,0,57.90883555288016
7,1,1,1,0,3,0,60.40247817099869
5,2,1,1,0,8,1,65.12006099703842
10,2,0,1,1,10,1,70.85895998796065
7,0,0,1,0,8,0,60.45784579538142
7,2,0,1,1,10,1,67.92768394471736
8,1,0,0,0,3,0,61.28909344003514
7,1,0,0,0,5,0,60.20773257909517
6,1,0,1,1,9,1,63.37713574952912
7,1,0,0,0,10,0,59.98263018373022
5,1,0,0,0,8,0,56.48498879332492
12,1,0,0,0,8,1,71.71684582552666
5,0,0,1,0,9,1,61.54629164046058
5,2,1,1,1,7,0,60.11002300106232
8,2,1,1,0,11,1,68.34614855494875
5,1,0,1,1,10,1,64.72385427332846
4,2,0,1,0,6,0,56.587879214125785
6,2,1,0,1,8,0,59.620442342410456
2,1,0,0,0,10,0,57.61540597828672
7,0,1,0,0,8,1,65.43020128495357
3,1,1,0,1,9,0,57.73301153017383
2,1,1,0,0,8,1,62.007526477637
6,3,1,0,1,9,0,61.55798478844638
1,1,1,0,1,8,0,54.3889417546849
7,2,0,0,1,9,0,60.82774222352834
1,2,1,0,0,7,0,55.72531245593616
7,2,0,1,1,11,1,67.47954128503216
4,2,1,0,0,9,1,65.89448557609677
6,1,0,1,0,6,0,60.08437406772212
6,2,1,0,1,6,0,59.18247432510989
11,2,0,0,0,10,1,72.30443008032383
7,2,0,0,0,7,1,68.4327918713015
10,1,1,0,1,9,1,70.37355122402242
8,3,1,0,0,9,0,62.23418820347618
3,3,0,0,0,11,0,60.2477089850794
6,1,0,1,0,8,1,66.71103041205296
4,0,1,0,1,8,1,63.78355031976838
9,2,1,1,0,9,0,62.38753558571152
4,2,1,0,1,5,0,57.69988347180178
8,2,1,0,0,10,1,68.97111780492308
5,0,1,1,0,10,1,64.82207114225052
6,3,0,0,1,10,0,59.51879269925375
4,2,0,0,0,7,0,59.59093119553624
7,2,1,1,0,10,1,67.86652353425694
3,2,0,0,0,8,0,57.885914060640495
10,2,0,1,0,8,0,64.33722304532951
14,1,1,0,1,7,1,72.72255752330305
4,1,0,0,0,8,1,65.52994316406414
5,2,0,1,0,10,1,66.18282662495787
4,3,0,1,0,9,0,59.23282959280538
9,2,1,0,0,7,0,62.04700963781012
4,2,0,0,1,10,1,64.95405176855911
8,1,0,0,0,10,1,69.54481036303989
4,2,0,1,0,9,0,59.814116587031
5,1,0,1,0,7,0,61.1006363778846
8,2,0,1,0,10,0,60.65189431057036
4,2,0,0,0,7,0,57.594584043622326
9,1,0,0,0,7,1,67.99256613119711
4,2,0,1,0,8,0,59.68104613664236
8,2,0,0,0,6,1,69.63329735838131
5,1,0,0,0,9,1,65.0636028720808
9,2,0,0,0,7,1,69.71297493132002
5,3,1,0,1,10,0,58.70437047029341
5,1,0,0,1,11,0,57.65407839492139
12,2,1,0,1,7,1,70.81877013049413
4,3,0,0,1,12,1,67.5646636029181
8,3,1,1,1,9,1,68.27049431064306
7,1,0,0,0,9,1,66.33439722483065
5,1,0,0,1,10,1,63.76387794419647
8,1,0,0,0,9,1,68.55483948477247
3,2,0,1,1,12,1,63.696495988909895
7,1,0,0,1,7,1,66.30068827679918
7,2,0,1,0,6,0,61.50087220434379
7,1,1,1,0,13,1,64.92224407413826
3,2,0,0,0,8,0,57.33198775688373
11,2,1,1,0,8,0,64.99466844832327
8,2,1,0,0,10,0,62.68100805226148
6,1,0,0,0,9,1,66.73898196927689
6,2,1,0,0,8,0,61.03031967317821
8,2,1,0,0,8,1,69.53488753334135
9,2,0,0,0,11,1,69.4759199774218
9,2,0,0,1,8,1,68.49132539447814
13,2,0,1,1,9,1,72.90621673739321
8,1,1,0,1,7,1,66.87037974547846
8,3,0,1,0,9,0,63.74921105725597
6,0,0,0,1,7,1,64.43193778810036
3,1,0,1,0,12,0,56.98564106638992
1,0,0,0,1,7,0,53.74097970869533
2,1,0,0,1,9,0,55.55113757711
6,2,1,0,0,8,0,61.02278320467198
6,1,0,0,1,11,1,63.9980191178137
3,0,0,1,1,13,1,61.418757885654905
4,1,0,1,0,8,0,57.15415260469303
7,1,0,0,0,8,0,59.88567574428114
6,1,0,0,0,7,0,60.02436132602761
6,2,0,1,1,11,1,68.05411203642048
7,1,0,1,0,9,0,59.68727928902694
6,1,0,0,0,8,1,66.92382500926826
7,1,0,0,0,10,1,65.4193442033948
8,2,0,1,1,8,0,59.69394141654818
6,1,1,1,1,8,1,65.02277293934695
5,2,0,0,1,10,0,59.21274410113304
3,1,0,0,0,9,0,57.45470252197383
8,1,1,1,1,11,1,67.00540465768788
3,1,1,0,0,9,0,56.1886589330607
7,2,0,1,0,11,1,66.71360629769977
6,2,1,0,1,10,1,67.58011934278606
5,2,1,1,0,4,0,60.14630435653878
8,1,0,0,0,8,1,68.85579800898255
7,2,0,1,0,9,0,60.20722423371191
4,2,0,0,0,10,0,58.07696431216152
6,1,1,0,0,9,0,59.09977196775067
5,2,0,0,0,8,0,60.502336117349415
10,2,1,1,0,11,1,69.00138300704637
9,0,1,1,0,7,1,65.89345521700135
8,2,1,0,1,8,0,61.56608287128371
8,2,0,1,1,12,1,66.10101645566263
5,3,0,1,1,8,0,60.5132960672393
6,3,0,1,1,9,1,66.35935701253213
6,3,1,0,1,9,1,67.6206787145868
9,2,1,1,1,8,0,61.89187460569125
8,1,0,1,0,11,1,66.71316335563742
8,1,0,1,0,7,1,66.9220739498736
5,2,0,0,0,8,0,59.68872572069989
10,1,1,0,0,8,1,69.4903940584912
2,2,1,0,1,9,0,58.19825273005791
4,1,1,1,0,11,1,63.99871066483109
8,1,0,1,0,6,0,59.53827377820764
9,4,0,1,0,9,0,62.71955211297711
9,3,0,1,0,7,0,63.91237507647181
2,1,0,1,0,9,0,56.98751656693127
7,1,1,1,1,4,0,58.61885501836123
3,2,0,0,0,9,0,57.73853123109508
10,3,1,1,1,9,1,68.78818673352703
7,3,0,0,0,7,0,60.72168836705054
10,2,0,0,1,12,1,68.7074126226276
9,3,0,1,1,10,1,70.49221958388975
6,2,0,0,1,12,1,68.15234050045723
7,1,1,1,1,11,1,65.76884672742594
7,1,0,1,0,8,1,66.9052494313569
6,0,0,1,1,7,1,65.22639245893365
6,1,0,0,0,8,0,59.66348881476088
5,1,1,0,0,8,0,58.94512352205907
7,1,0,1,1,9,1,64.19500007611637
6,2,0,0,0,12,1,67.87810428078886
1,3,0,0,1,7,0,57.44270749218399
4,2,0,0,0,9,0,59.72464922852794
9,1,0,0,0,8,1,68.8925710416552
8,1,0,0,0,9,0,60.38812860294527
4,2,1,0,0,9,0,59.919496787533554
4,1,0,0,1,10,0,56.09817982774834
4,1,1,0,0,7,0,58.572013097598
7,0,0,1,0,6,0,58.81486649695991
12,1,1,0,1,6,1,70.9582594333802
9,2,1,0,1,9,1,68.24808048393358
4,0,0,1,1,10,1,62.52046843278154
9,2,1,0,0,8,1,72.12445698890014
3,3,1,1,1,9,0,57.187423350338506
6,2,0,1,0,14,1,70.67062493459935
6,1,1,1,0,5,0,58.36050311991776
9,3,0,1,1,8,0,61.94006201871424
8,4,0,1,0,11,1,70.51012835163762
6,2,0,1,0,10,1,67.68236805710467
5,2,0,0,1,8,0,55.66552084156734
5,1,0,0,0,8,1,65.88826542193401
5,2,1,0,1,12,1,63.44087520579751
6,1,1,0,0,7,0,58.69536182318926
3,2,1,0,0,10,1,64.6366179958944
8,2,0,1,1,7,0,62.63681719516248
4,2,0,1,0,7,0,58.50640537010423
4,2,0,0,1,12,1,64.56177348158299
6,1,1,0,1,11,1,65.9009290644908
7,1,0,0,0,5,0,58.86220273422575
8,2,1,0,0,10,0,61.27017848201436
8,2,0,0,1,7,1,69.37655540587683
8,1,0,1,0,9,1,68.86197632852019
10,0,0,0,1,8,1,69.18248151265253
6,1,0,0,1,4,0,58.17107067631039
13,0,0,0,1,6,1,70.89954506761043
5,2,0,0,1,6,0,58.28426915860416
7,2,0,0,1,7,1,66.95186168970454
6,2,0,1,0,10,1,68.39679556788771
5,1,1,1,1,8,0,56.16228741641845
7,2,0,1,0,4,0,61.850393583932245
6,1,0,0,1,6,0,58.04869066361992
3,1,1,0,0,9,0,57.53729842616415
2,2,0,0,1,9,0,58.64587569054103
1,1,0,0,1,7,0,54.85123079033784
6,2,1,0,0,6,0,58.74752795943379
9,3,0,1,0,11,1,71.1078542375719
4,2,1,0,1,8,0,58.43413632010728
4,2,1,1,0,6,0,57.65880230816273
9,2,0,0,0,6,1,69.95841519694157
7,3,0,0,1,13,1,68.22981999783038
7,2,0,0,0,13,1,69.04742287135784
5,2,0,1,0,7,0,57.5395169518388
5,1,0,0,1,6,0,57.32482202424266
9,2,0,0,0,7,0,61.969399734333216
7,3,0,1,1,7,0,61.681394755463415
5,1,1,0,0,13,1,64.40355259686115
10,1,1,0,1,13,1,68.66952693931428
6,0,0,0,0,10,1,65.76134779438466
6,3,0,0,1,9,0,60.92294694550747
2,1,1,0,1,8,1,60.69671365128525
10,0,0,1,1,6,1,66.80394501896808
10,1,0,0,1,7,1,69.8528911062261
8,3,0,0,0,10,1,70.17981420302179
6,0,0,0,0,7,1,65.86174977572826
6,2,0,0,0,8,0,61.117339414224
8,2,0,0,0,9,0,62.27964930649556
7,1,1,0,0,11,1,65.33614297795057
0,2,0,1,0,5,0,56.0156791155252
7,1,1,0,0,13,1,66.6148888543654
5,2,0,0,0,7,0,59.91561814819385
9,2,1,1,1,12,1,67.94962940652547
6,1,0,0,1,10,1,67.09299457961347
5,1,0,1,0,7,1,65.4173070894424
7,3,1,0,1,4,0,62.30648962135259
2,0,0,1,0,9,0,55.243171145669706
6,1,0,0,1,11,1,64.6565388446628
9,0,0,1,1,12,1,65.44905923659287
3,1,1,1,1,8,0,57.4545539854743
3,1,0,1,0,8,1,63.711369047673614
4,2,1,1,0,6,0,57.40598160772185
6,2,0,0,1,10,1,67.43767870456196
8,2,0,0,0,5,0,63.622904195280285
11,1,0,1,0,8,1,70.63839813129418
5,0,0,0,1,7,1,63.56337262980128
4,1,0,0,0,9,0,58.71048155544448
7,1,1,1,0,11,1,66.09650966347859
