age,experience_years,job_satisfaction,gender,position_type,training_offer,training_taken,productivity_score
7,0,1,1,1,6,0,50.08896471500016
6,1,0,0,0,5,0,50.20424700028413
7,2,0,1,1,5,0,50.88517983382272
7,0,0,1,1,13,1,55.92502695606783
7,2,1,0,1,7,1,54.76802057118957
4,1,0,1,0,10,1,55.879000315241456
11,1,0,1,0,10,1,53.92796713663421
6,2,1,1,0,9,0,48.43692595186984
3,1,0,1,1,5,0,51.2184730284535
0,2,0,1,1,10,1,55.350932154845765
9,1,0,0,0,8,0,50.68153972888395
6,2,0,0,1,10,1,57.3910383436829
5,2,1,0,1,9,1,55.447390494227605
6,0,1,0,1,4,0,50.94287327548652
4,1,0,1,1,9,1,57.70836582787476
2,2,1,0,0,8,1,54.6177449580496
7,2,1,1,1,12,1,57.64160002720947
6,1,1,1,0,5,0,50.62503854185681
7,2,0,1,0,8,0,48.91062964072168
1,1,0,0,1,7,1,57.32697225714448
9,1,0,1,1,6,0,51.11404690045177
6,1,0,1,0,10,1,54.93744050533461
13,1,0,1,1,6,0,50.32405712158163
5,0,0,1,0,7,1,56.48938804868964
7,1,1,1,1,7,0,49.733054028686624
6,2,0,0,1,7,0,48.41268794245355
7,2,0,0,1,8,0,50.54913083250802
8,1,0,0,1,3,0,49.99833617162983
6,0,0,0,0,7,0,49.62610214397959
5,0,0,1,1,8,1,56.0367925916357
1,1,0,0,1,7,1,57.8728944166106
8,1,0,1,0,7,1,55.00226659835738
9,1,1,0,1,6,0,49.60605408114963
6,1,0,1,0,8,0,49.33898839773671
8,1,0,0,0,6,0,47.56561835304752
11,1,0,1,0,7,0,50.911482996809305
8,2,1,1,1,7,0,49.325834657263655
7,0,0,0,0,6,0,50.10144314448624
6,0,0,0,0,6,0,49.32441863486486
8,2,0,0,1,9,1,58.922289543922055
6,3,1,1,0,7,1,55.33136609661664
10,1,0,1,1,9,1,56.73177032670227
5,3,0,0,0,9,1,58.10332357212724
8,1,0,1,0,8,0,50.544433638984586
6,2,0,1,1,7,1,58.058241486633136
3,1,0,1,1,9,1,54.91798479066559
6,3,0,1,0,7,1,56.83160996853745
9,1,0,0,0,6,0,52.42647061953414
12,2,0,0,0,7,1,54.5960195819472
6,0,0,1,1,9,1,56.1708356952696
1,2,0,1,0,6,0,51.63325858242031
6,1,0,0,0,11,1,54.93397956742318
5,2,1,1,0,6,0,51.62467275258985
7,1,1,1,0,9,0,47.48726441791539
10,2,0,0,1,8,1,56.63443352629263
7,2,0,1,0,6,0,50.20080421897244
10,2,0,0,0,5,0,51.310343945836586
7,1,0,1,0,10,1,56.45467952231358
9,1,0,1,1,0,0,52.07650110751067
2,2,0,0,0,6,1,56.42319353880728
11,1,0,0,0,9,0,50.45551862980207
4,1,1,1,0,5,0,48.00467798549066
5,1,0,0,0,5,0,50.33771727206394
8,2,0,1,1,10,1,55.85293473907355
7,1,0,0,1,10,0,49.84116840884986
6,2,0,1,0,12,1,56.91493678974069
7,2,1,0,0,8,0,50.14956230748052
11,2,0,1,1,9,1,56.77261871300984
7,3,0,1,1,7,0,52.01250125453125
8,3,1,0,1,6,1,57.32275444928651
10,2,0,0,1,8,1,57.56792363203828
9,2,1,1,1,7,1,56.92205559316017
9,1,0,0,0,9,1,55.54114280547535
11,1,0,0,0,9,0,51.75718407558978
4,1,0,1,1,8,1,56.34121932844032
7,3,1,1,1,7,1,56.33327370553868
8,2,1,1,1,5,0,48.81524995269051
4,1,0,0,0,9,0,50.705702234350966
9,0,0,0,0,7,0,51.780647364378936
9,3,0,1,1,9,1,57.06431965921387
9,1,1,1,0,7,0,50.19415871567017
7,0,0,0,0,4,0,49.908539115494186
8,1,0,1,0,9,1,55.68942073205172
8,0,0,0,1,8,1,59.75953229317423
9,2,1,0,0,8,0,47.176263003531226
5,3,0,1,0,8,1,56.47450087541596
7,2,0,0,0,8,1,55.86018560314446
1,1,0,0,0,3,0,51.30233984991561
4,4,0,1,0,7,1,56.62386948124225
4,1,0,0,0,7,0,50.79075432610196
8,2,0,0,1,6,0,51.181467622150414
11,2,0,1,0,6,0,49.29462950123902
4,2,0,0,0,9,1,55.64191044363845
9,2,0,0,1,10,1,59.01446324443911
6,2,0,1,0,8,1,56.25059864462086
7,2,0,1,0,7,0,50.057581332365125
6,1,0,1,0,7,0,50.31224041679937
4,1,0,0,1,6,0,51.81203499291648
7,1,0,0,0,7,0,51.5473019828426
6,3,1,1,0,7,0,51.833864678458745
5,0,0,1,0,7,0,49.77913420367541
7,1,1,1,1,9,1,55.38086253655143
11,2,0,1,1,8,0,49.87189191090553
12,2,1,0,0,4,0,49.66240300988821
4,1,0,0,1,8,1,57.49656544749874
2,2,0,0,0,7,0,50.15553196440892
10,2,0,0,0,8,0,51.03714237813804
9,1,0,1,1,8,1,57.53057571146624
1,1,0,0,0,8,0,51.42114161894683
7,0,0,0,1,7,0,50.89787766242828
4,1,0,1,0,7,1,56.31211647524079
4,0,0,0,0,9,1,56.87934652725005
6,2,0,1,0,6,0,49.90593533117869
9,1,0,1,1,10,1,55.17721765228738
8,2,0,1,0,4,1,56.57917878083525
7,2,0,0,1,8,0,51.29535728962772
9,2,0,1,1,9,0,50.34225718497736
6,2,0,0,1,3,0,52.54524830916007
6,1,0,1,1,10,1,56.251772043400265
8,1,0,0,0,7,0,51.07596207438159
10,2,0,0,1,6,0,52.65365984946475
12,2,0,1,1,7,0,50.11269593744601
5,2,0,0,1,8,0,52.91615694957279
7,1,0,1,0,9,1,56.00829547550393
10,2,0,0,0,8,0,51.34440747599019
3,2,0,0,0,2,0,50.53461912049976
7,1,0,1,1,8,0,50.86760269679657
3,2,0,1,0,5,0,49.06618402407477
2,1,0,1,0,11,1,55.23212143853036
4,1,0,0,1,10,1,55.674468358063685
4,3,1,1,0,5,0,50.546049429301824
9,2,0,0,1,7,0,53.29470752714096
7,1,0,0,0,7,0,50.19747279693601
7,1,0,0,0,11,1,56.75267189406375
6,2,0,0,0,11,1,56.79510788717577
6,2,0,1,1,8,1,57.68568456934764
8,3,0,0,0,5,0,49.79097119945996
7,2,0,1,0,5,0,50.879756696883945
8,2,0,0,0,8,0,50.99226659619919
6,1,0,0,0,6,0,51.45989138983247
7,3,1,1,1,9,1,57.49533130769761
7,1,0,0,1,13,1,56.90256758246866
10,1,0,1,0,9,1,56.15765243194402
6,1,0,1,1,5,0,52.13321348292791
6,2,1,1,1,9,1,54.96538996667827
8,1,0,0,0,11,1,56.069293339150526
5,1,0,1,1,6,1,56.46856176923337
8,3,0,0,0,7,0,49.95054762786342
7,2,0,0,1,3,0,53.36627323837615
4,1,0,0,0,7,1,55.57373995069927
3,1,1,0,0,7,0,47.7674033736603
6,3,0,1,0,7,0,50.31573406049462
9,2,0,0,1,4,0,52.07059114610345
9,2,0,0,1,5,0,51.00449870465731
9,2,0,1,1,6,0,50.327334525194345
6,1,1,0,0,11,1,55.87450320341286
7,2,0,0,0,6,1,56.16390736880434
6,1,1,1,1,2,0,51.18968306247289
9,3,0,1,1,9,1,56.972319728718055
5,0,0,0,1,7,0,51.47602113198592
7,1,0,0,1,5,0,51.24625961720839
1,3,1,1,1,7,1,55.47782443699717
10,2,0,0,0,6,0,51.2347388432911
7,1,0,1,0,7,1,58.22227517268131
7,2,0,0,1,6,0,51.9461107372292
11,2,0,1,0,6,0,50.53307555182521
9,1,0,0,1,7,0,51.93107241144208
6,1,0,1,0,10,1,54.39172295485512
9,0,0,1,1,5,0,51.73392241188535
8,0,0,1,0,6,0,48.12405025076567
9,3,0,1,1,6,0,51.025479270931854
4,1,1,1,1,9,0,49.9136341348346
7,2,0,0,1,7,0,50.57833900217728
6,2,0,0,1,9,1,57.87992115222505
9,1,1,1,1,9,0,50.17601721209167
5,2,0,1,0,5,1,57.94289147838198
7,2,0,1,0,8,1,57.465844012563466
3,1,0,0,0,6,1,54.37946039611917
7,2,0,0,0,6,1,57.78571773066443
8,1,0,0,1,5,0,49.78304084506918
8,0,1,0,0,10,0,49.42716350335679
9,2,1,0,1,10,0,50.1278648078552
9,1,0,1,0,8,0,49.9732323210679
7,0,0,0,0,6,0,51.9956896381233
9,1,0,0,0,10,1,57.00634624604085
6,2,0,1,1,9,1,58.54042150535095
2,0,0,0,1,9,1,55.73363533673768
6,1,1,0,0,6,0,49.66694333123996
2,2,0,1,0,7,1,54.94286453335404
5,1,0,1,0,8,1,56.17938127361411
5,2,0,0,1,8,1,56.74848252205739
8,1,0,1,0,7,0,51.51961941441125
10,2,0,0,0,5,0,50.94357102435512
10,1,0,1,1,8,0,49.46453798457908
4,0,0,0,1,6,0,51.49917009685864
3,2,0,0,1,6,0,50.87085296043503
7,2,0,0,0,9,1,56.748117522554864
3,1,0,0,1,6,0,50.82151541640607
5,2,0,1,0,8,1,57.55832339872484
5,2,1,0,0,5,0,49.54180676156509
7,2,0,1,0,6,0,50.73527529059144
8,2,0,0,1,10,0,49.47172221649532
5,2,0,1,1,9,1,58.70617527027678
4,1,0,0,0,5,0,50.233436342924726
7,1,0,1,1,6,0,50.748663341942965
7,2,0,0,0,8,1,54.79175187307605
7,3,1,0,1,9,1,55.30740868881785
4,2,0,0,0,10,1,56.12333264689048
6,3,0,1,1,9,1,58.910497764615286
7,0,1,1,0,7,0,49.33627886230455
11,1,0,0,0,8,1,57.42080074248662
6,0,0,0,1,5,0,50.45012465137606
3,2,0,1,1,8,1,57.87489715215841
4,2,0,1,0,8,1,57.39609445019105
8,2,0,0,1,6,0,51.12196293785923
6,1,0,0,1,7,0,50.80033722230704
8,1,0,0,1,11,1,58.34295854102423
10,2,0,1,1,9,1,55.91652928808249
6,1,0,1,0,9,1,55.12842107756141
5,3,0,0,1,4,0,50.481596195738014
7,2,0,1,1,9,1,59.328399160265576
7,2,1,0,0,12,1,54.74380885538382
9,1,0,0,1,9,0,50.22329487858459
9,1,0,0,1,7,0,51.355206317750486
9,1,0,1,0,7,0,51.1088441665142
8,1,0,0,0,8,1,56.65050206077672
10,1,0,0,1,7,0,50.4569284688009
10,2,0,1,1,10,1,57.47976036763023
4,2,1,0,1,8,0,52.05162121296876
7,0,0,1,1,7,0,50.59407716171335
7,2,0,0,0,5,0,50.95379935522581
4,2,1,1,0,7,0,50.506606200801386
3,1,0,0,0,4,0,49.38981674951009
8,1,0,0,0,10,0,50.2696769376474
4,1,0,0,1,6,0,52.53465835946034
6,1,0,1,0,8,1,55.2540151364597
5,1,1,1,0,10,1,53.95231984748038
8,3,0,0,1,7,1,57.497435785686775
2,0,0,1,0,4,0,49.88101011366346
2,2,0,1,0,7,1,55.88647790347051
6,1,0,1,0,9,0,49.3811473005103
5,0,0,1,1,5,0,49.36968966408487
9,2,0,1,1,8,0,52.94710056060461
6,0,0,0,0,6,0,50.69356574530947
5,2,0,0,0,8,1,57.06531826955562
6,1,1,1,0,7,1,55.51396892877429
4,2,0,0,1,5,0,51.568065403667305
9,3,0,1,1,10,1,56.57518683367879
9,0,1,0,1,7,0,49.60684598139896
4,2,0,0,0,13,1,57.5764988833281
7,2,0,0,0,8,1,56.15010960832947
7,1,0,1,0,6,0,50.40602083491172
7,2,0,1,0,6,1,55.305800070884594
7,2,1,0,0,10,1,54.665716623252976
8,1,0,1,0,5,0,51.098639096200266
1,2,0,0,1,4,0,50.0511685985551
7,1,0,1,0,6,0,51.6761615381896
0,1,0,0,0,7,0,50.07839689654317
11,0,1,0,1,6,0,49.12666968960055
3,3,0,1,1,8,1,57.252714054105326
5,0,0,1,0,9,1,57.782369685058256
7,0,0,1,0,6,0,51.91159621696621
7,2,0,1,0,10,1,56.425895923732064
6,1,0,1,0,7,0,48.95175897455486
10,3,0,1,1,9,1,57.41661706540133
7,2,1,0,1,7,1,56.883476001671646
6,2,1,1,0,7,1,55.35282819695439
5,1,1,0,0,8,1,55.40942071631914
6,2,1,1,1,8,1,56.16176398184474
2,1,0,1,1,13,1,54.89229526797845
10,1,0,0,0,7,0,51.63371045548893
4,2,1,1,1,10,1,55.8571726017072
5,1,0,0,0,6,0,51.70787293210949
6,1,0,0,0,7,1,55.8696017757324
4,1,0,1,1,8,1,56.74379868219033
2,1,0,1,1,9,1,56.57490674440638
1,1,1,0,1,10,1,56.49353351876147
1,3,1,1,0,10,1,55.0773784802529
12,2,0,1,1,11,1,56.96390678118588
3,1,0,1,0,8,0,50.3183445085178
4,1,0,1,0,6,0,51.43396073018025
7,1,0,0,1,8,0,51.7304862568464
7,1,0,0,0,6,0,50.94671454717688
7,2,1,1,1,7,1,56.57693345324832
6,2,0,0,0,7,1,55.979251404264886
9,2,0,0,1,7,0,52.09652655045661
7,1,1,0,0,8,1,53.51424871603905
7,3,0,1,0,6,0,50.24395684060193
8,3,0,1,1,5,0,51.55008576778015
9,2,1,1,1,6,0,51.04043671931886
6,2,0,1,0,9,1,55.34852405081247
4,2,0,1,1,8,1,58.80658303811233
8,2,0,1,0,5,0,50.62312700236587
4,3,1,1,1,6,1,55.22217963331261
5,1,0,1,0,11,1,57.62509800047257
7,1,0,1,0,9,1,56.66106008888436
6,1,0,1,0,10,1,56.45241541712428
7,2,0,1,1,12,1,55.99529982173205
8,2,0,0,0,7,1,55.08908164780714
7,1,0,0,0,8,1,56.2152588804961
7,2,0,0,0,6,1,56.45676150471377
8,1,0,1,1,9,1,56.86549996426777
8,2,0,0,0,8,0,51.41560978390925
5,0,0,1,0,11,1,56.303966494824365
8,2,0,1,1,10,1,58.71411319408301
9,1,0,0,1,10,1,59.2861621226924
5,2,0,0,1,8,1,59.7409018872423
3,2,1,0,1,8,1,54.61975142794638
6,3,0,0,0,5,0,50.80459943770352
9,1,0,1,1,8,0,50.066655082297125
7,1,0,0,0,10,1,56.05173065515425
7,1,0,0,1,2,0,52.23169417283683
8,1,1,0,0,7,0,49.32251380054484
5,2,0,0,0,6,0,51.93344496641948
5,1,1,0,0,7,0,49.32189893424064
8,1,0,1,0,7,1,56.35544636747363
8,1,0,0,1,3,0,51.55164425244914
5,2,0,1,0,7,1,57.28285202803124
0,2,0,0,0,12,1,55.52573330817917
9,1,0,1,1,8,1,55.215407810819535
8,2,0,1,0,9,1,58.14083889214086
7,2,1,0,0,8,0,49.84277972681222
7,1,0,1,0,7,0,50.918601691300736
8,2,1,0,1,7,1,55.7178517986154
5,1,1,1,0,7,1,56.2480008985507
4,2,0,1,0,8,1,55.38735481298466
11,1,0,1,1,7,0,51.93166693556069
8,0,0,0,1,8,0,49.93490847174128
9,2,0,1,1,8,1,58.44452502639361
6,2,0,1,0,10,1,55.08952742250355
5,1,0,0,0,7,0,49.14678666758006
4,1,0,1,1,7,0,51.996484478443264
2,2,0,1,0,5,0,50.8479589524836
9,1,0,1,0,10,1,55.833089163340055
2,0,0,0,1,5,0,50.13483690000468
3,1,0,1,1,7,1,57.09980508810106
3,2,0,0,1,7,1,56.11694574460045
9,2,0,1,1,10,1,58.32620078378473
7,1,0,0,1,9,0,50.59495163671375
1,1,0,0,0,7,1,57.3343379355502
3,2,0,0,1,3,0,51.55932885553771
9,2,0,1,0,4,0,50.3277925905324
5,2,0,1,1,5,0,51.35544240444197
6,0,1,1,0,9,1,55.80508301928968
7,0,1,1,1,8,0,48.73434552470671
2,1,1,0,1,9,1,56.30272921291744
4,2,0,0,0,5,0,50.13361357282788
6,0,0,1,1,7,0,51.46024004580997
9,0,0,1,0,8,1,56.945696817231855
7,1,0,1,1,7,0,49.579723437292415
7,1,0,1,1,8,1,56.01705403162662
9,1,0,0,1,5,0,50.96824281490088
6,2,0,0,1,8,1,54.70058998751536
3,0,0,1,0,8,1,55.59074132698361
9,1,0,0,0,8,0,51.25321367309017
6,2,1,0,0,7,0,49.84609235358578
4,1,0,0,1,9,1,57.17865476846835
2,2,0,1,0,4,0,50.87690067256808
10,2,1,0,0,6,0,48.75581798355114
6,2,0,0,1,8,1,57.26058731318547
8,2,0,1,1,6,0,51.33784892883469
8,2,0,0,0,4,0,49.8342347187776
9,1,0,1,1,8,1,57.08026135338024
9,2,0,0,0,11,1,55.77189073920778
5,2,1,0,0,5,0,48.419531176831306
3,1,0,1,1,9,1,57.795572941503096
5,1,0,0,0,4,0,52.01794632772895
12,2,0,0,0,9,0,50.24333240088101
7,1,1,1,1,9,1,55.83814808151895
10,1,0,0,1,10,1,56.65574474304197
6,2,0,0,1,9,1,58.09607638947267
8,2,1,0,0,10,1,55.08438043444036
5,1,0,0,1,9,1,56.08984029719952
8,1,0,0,1,6,0,50.987196196156944
5,0,0,1,1,6,0,51.164067741589314
6,2,0,1,1,9,1,56.30327244353949
3,2,1,0,0,8,1,55.00534835903565
6,1,0,1,1,7,0,49.68065725574517
8,1,1,1,1,6,0,50.7103340630971
2,2,1,1,1,5,1,56.23250559863538
5,0,0,1,1,5,0,49.23962679701265
6,3,0,1,1,7,1,58.19525465296085
1,2,0,1,0,7,1,55.55783752912014
5,3,0,0,1,4,0,49.96881769233853
7,0,0,0,1,5,0,51.57743486714495
6,1,0,1,0,6,1,55.72885414862355
6,2,0,1,0,6,0,50.24965434436908
7,1,0,0,0,10,0,51.07021656811808
