X1,X2,X3,X4,X5,X6,Z,D,Y
16,25,12,7,0,0,7,-1,54.86166438211253
13,24,11,13,0,0,9,1,58.90367318514918
16,27,7,12,1,0,4,-5,35.20355968036948
18,25,10,10,0,0,12,0,60.06322609961566
15,23,7,8,0,0,9,3,68.17340063365486
17,28,10,11,0,0,14,0,55.8027457352989
15,21,13,9,0,0,8,3,70.15664818749856
15,23,11,11,0,1,5,-1,49.79974491340989
13,25,12,12,0,0,5,-2,48.594275706521174
15,16,12,11,1,1,10,8,90.30165852959117
13,23,12,11,0,0,7,0,54.95268985898247
14,28,11,9,1,0,9,-3,44.349996565063954
19,22,7,12,1,1,9,0,58.22500437638657
8,25,10,9,1,0,7,1,58.90720603861225
15,29,10,14,0,1,8,-3,44.36733346952591
13,22,12,7,0,1,8,0,56.47333027342759
12,24,12,8,1,0,7,1,58.872796524310836
11,23,11,12,1,0,6,5,79.4077569478607
11,26,13,10,0,0,4,0,56.5536241957791
13,26,16,11,1,0,8,-2,50.13370239015161
16,24,11,10,0,0,9,-2,46.39524438338017
12,25,8,8,1,1,6,2,63.15689301952367
10,29,15,4,0,1,12,0,57.92364666420333
15,25,11,14,0,1,9,-1,52.75990360099151
13,24,11,13,1,0,4,-2,50.13450508580057
15,22,13,14,1,0,7,0,56.48936122031631
17,25,8,12,0,0,5,-1,52.81240729191489
14,25,11,8,0,0,6,0,58.304178245625366
16,28,14,6,0,1,6,-4,43.00450541793101
14,23,13,7,1,0,5,0,55.3468303716353
12,18,10,16,0,0,7,6,76.0038326289624
16,29,10,10,0,1,6,-5,35.35372887150041
14,24,15,8,0,1,6,1,64.66998554489614
11,23,9,6,0,1,8,3,65.8248448251282
18,25,11,7,1,0,5,0,59.99527366101711
15,26,11,6,0,0,9,1,63.49296891631163
14,24,16,13,0,0,6,0,62.506045031866954
14,27,18,5,0,0,7,-3,49.536085000963055
16,28,4,14,0,0,10,-1,50.15808144180514
17,27,11,12,1,1,7,-1,55.69716732508437
19,24,9,6,1,0,6,-4,40.968674562419615
12,28,11,13,1,1,7,-2,47.84053831179276
14,28,8,12,1,0,8,0,56.740136312682
18,26,11,10,0,0,12,0,58.40291359794228
16,29,8,9,1,0,8,-1,54.11775075367962
17,21,10,12,0,0,9,1,59.64275512560705
16,26,11,14,0,0,10,-1,51.73924260439274
13,28,15,9,0,0,11,1,64.28015033401272
16,23,12,13,0,0,7,0,56.18701798873292
15,30,10,7,0,0,9,-3,45.38394215618225
15,27,8,15,1,0,8,0,58.514965667788154
18,25,12,14,1,1,7,-4,41.32211206854077
16,23,10,12,1,0,6,0,58.314621356244004
14,26,13,7,1,1,9,-2,47.88271837574833
19,24,11,13,1,0,5,-2,51.46098734102933
14,24,6,12,1,1,6,0,56.40110869321431
18,24,3,8,0,0,11,0,54.62544070701941
12,28,10,10,0,1,8,-1,51.05588864987928
15,22,12,9,0,1,9,0,55.27448971604694
12,25,10,11,1,0,6,3,71.84438652674885
15,23,4,8,0,1,10,4,68.20753374201892
12,29,15,8,0,1,8,-1,55.82986391454844
15,30,11,8,1,0,8,-4,40.88896243798248
16,26,13,12,0,0,8,-1,53.847177375603344
14,25,11,9,1,1,3,-3,44.71504880549981
18,27,13,6,0,1,6,-5,36.30285122385362
18,21,10,10,1,1,6,-1,52.58268447823271
12,28,12,11,1,0,7,-1,54.80211600941665
14,20,12,8,1,0,7,2,64.433167822561
13,25,11,10,0,0,8,0,57.952223121918806
17,25,12,8,0,1,6,-3,46.32731153240359
12,22,14,8,1,1,11,3,68.88569256093159
14,26,12,8,0,0,5,-2,48.61942276065392
15,23,13,9,0,0,10,0,54.23653120748403
16,25,10,12,0,0,6,-4,38.563986877981165
18,26,13,13,1,0,7,-4,44.54167647402924
19,24,13,11,0,0,7,-5,37.53060394990685
17,24,10,9,1,1,8,0,58.110662854723785
19,26,6,7,1,1,4,-5,35.1614787478802
13,24,11,11,0,0,10,3,68.12350235666877
15,26,13,12,0,1,6,-1,54.469743893881116
19,28,12,15,0,0,9,-5,40.34639288025798
17,27,14,7,1,0,7,-4,41.85531837043877
11,28,7,2,0,1,7,2,64.91501623710056
15,23,10,10,0,0,7,0,56.761538758380276
16,27,12,8,1,0,8,-1,51.34373028455037
13,28,13,6,1,0,6,-3,43.86226187667194
17,23,11,11,0,0,5,-1,52.183800753176556
13,26,13,16,1,0,11,0,57.01322459090764
14,26,12,11,1,0,6,-2,49.89275119671816
17,29,10,15,1,1,5,-5,38.70546707274332
15,24,6,12,1,0,7,1,62.8012445019393
15,25,12,4,1,0,8,0,58.254741392243474
13,27,7,8,0,1,7,0,56.339700453507696
13,24,9,12,0,0,9,1,58.68831307343432
13,27,17,7,0,0,10,0,62.39980407175814
19,25,15,11,0,0,11,-3,46.068331814123916
12,29,12,9,1,1,7,-1,55.50546098246552
16,23,10,7,0,1,10,1,58.24895636109691
14,24,11,11,1,0,3,-1,54.52642484158076
16,23,11,10,0,0,5,-3,45.10223292131134
15,27,9,6,0,0,8,-3,43.727351308184126
15,17,8,2,0,1,4,6,76.74869420251268
15,22,15,13,0,0,10,1,62.13484792014912
15,23,9,6,0,0,8,2,64.67893082540871
17,23,9,5,0,0,9,0,54.04061239497053
12,26,15,10,1,0,8,0,58.04853444381604
19,24,8,9,1,0,7,-3,41.62708290136772
18,23,8,11,0,1,7,0,55.074913581503914
17,25,9,9,1,1,10,-2,47.661002163992165
16,21,11,9,0,1,4,0,55.46798489050895
16,22,10,10,0,0,4,0,58.070471551018144
16,25,15,6,0,0,7,-2,49.78139674401462
13,25,7,15,0,1,6,2,65.29656235891352
13,25,8,15,0,0,10,0,51.23337447870265
16,24,9,6,0,1,7,0,54.67589749254882
16,26,13,9,0,1,7,-3,43.098597745943415
15,32,12,12,0,0,9,-7,29.267979608583197
17,25,10,5,1,0,8,-3,42.55305102407612
14,25,13,14,1,0,8,2,69.56961561254455
12,24,7,10,1,1,10,6,80.08419545692765
17,24,11,9,1,1,5,-4,38.44049488407013
13,23,11,9,1,1,10,4,72.52214669148877
16,24,13,12,0,0,3,-6,33.18997774903947
14,27,8,8,1,0,6,-2,49.799252162267734
12,23,12,12,1,1,4,0,56.17747433534567
16,30,9,6,1,1,8,-1,55.85414780054617
15,25,12,12,1,0,6,-2,48.37115899622489
11,25,6,10,0,0,7,6,80.88808858474498
11,22,10,10,0,1,10,6,79.29722917628128
17,23,9,9,1,0,9,2,66.73648199566982
13,25,15,13,1,0,7,-2,50.87931620227694
14,19,12,14,1,0,5,3,70.90854825677673
19,29,15,10,0,0,10,-3,48.82371720587022
13,24,11,6,0,1,12,3,67.53022477897913
15,24,14,7,0,1,8,0,56.76301743079579
13,24,10,-1,1,1,6,1,61.45061090515723
14,17,17,5,1,0,8,6,83.01499261912575
17,27,12,7,1,0,9,-3,45.510572784704465
11,23,13,12,0,0,5,4,75.06135338646175
17,24,10,9,1,1,8,-2,49.76935913942812
12,22,8,8,0,1,5,3,65.23106746781197
12,26,8,11,0,1,6,-1,50.76243564277451
12,24,12,4,0,1,7,2,67.42684246196943
16,25,14,10,1,0,6,0,62.8328108270351
13,24,11,12,1,1,7,0,54.188922136127516
17,29,17,11,0,0,5,-8,26.682885126883086
19,27,7,9,1,0,6,-4,38.68284103000126
9,22,12,10,1,0,7,6,82.61515730521792
12,24,6,6,1,1,9,4,71.78120417851893
15,23,8,4,1,0,8,3,66.19418380039565
13,26,11,4,0,1,9,0,57.269551438037425
10,24,12,13,1,1,7,2,63.48509338303908
13,21,9,12,1,1,5,0,54.24870639275385
14,22,8,7,0,0,10,4,71.13507720332503
18,26,10,8,0,0,7,-4,40.302125204911405
16,24,10,9,1,1,6,0,59.077926764121436
14,22,15,10,1,0,6,0,58.27064544446445
12,24,14,13,1,1,7,2,68.69152409418201
14,22,15,7,0,1,9,3,67.88635219058533
11,27,11,8,1,1,9,0,57.21736186482673
15,24,12,10,0,1,7,-1,53.23696726284375
15,24,13,8,1,0,7,-2,51.20527682136636
16,24,12,9,0,1,9,0,56.937241042937494
18,29,8,13,1,1,6,-6,32.58778004885193
14,24,12,9,1,1,8,0,58.348151835854544
11,30,13,11,0,0,8,-1,54.31267350478302
13,23,10,14,0,0,7,3,68.29039867702646
9,28,13,10,1,0,10,3,68.4856235035578
11,27,12,8,1,0,7,2,68.0165128430978
18,19,11,9,0,0,6,0,57.15735406701974
17,27,16,12,0,1,8,-4,42.54940986251662
13,22,11,12,0,0,5,0,52.75425139974307
12,20,12,5,1,1,4,4,74.67316768536786
12,25,14,11,0,1,6,0,57.17988756698673
14,24,12,11,1,1,6,-1,55.162272757452975
11,22,8,8,1,1,7,5,77.03069287009404
16,27,10,11,1,1,9,-2,46.57814648348681
9,23,9,14,0,0,3,3,70.38527809462732
14,29,14,10,1,0,9,0,61.49363019184119
19,24,9,10,1,1,7,-3,42.52215247290806
15,26,11,12,0,1,11,0,55.79082112876159
17,26,15,9,0,1,6,-5,38.26491114996801
17,24,12,11,1,1,6,0,59.20834634714753
15,26,13,4,1,0,6,-2,51.98945554366957
15,25,9,12,0,0,11,-1,48.065572034773695
13,22,13,4,0,0,6,-1,50.666280205235616
9,28,14,13,1,0,10,1,60.65573558524372
14,24,18,6,0,1,6,-2,49.46960785615298
17,28,14,4,0,1,10,-5,34.92442865809192
14,30,13,10,0,0,6,-7,27.1395269770264
12,25,10,12,0,1,10,2,63.754400725702006
16,25,12,11,1,1,11,0,57.665574809923456
18,23,9,9,1,0,10,1,60.49838397197039
14,27,16,9,0,0,9,-2,48.559946495854774
14,24,12,4,1,1,8,2,64.42271801034546
14,29,12,11,0,0,7,-7,26.822525508999686
13,25,10,8,0,0,8,0,54.56504408163887
12,25,13,12,0,1,8,3,69.93503514781592
12,22,8,14,1,0,7,5,77.46803643046616
19,26,11,10,1,0,7,-5,36.838520382689296
19,24,12,10,1,0,9,-4,38.63179565758942
12,23,8,9,1,0,6,8,92.35219754599427
18,23,13,7,0,0,9,0,57.83916769748061
18,27,14,13,0,1,11,-3,47.68584775756851
12,23,12,8,0,0,8,5,79.40731839798406
15,21,8,6,1,1,10,3,68.8630136983647
12,24,15,12,1,0,8,1,64.48987903771557
14,29,14,13,0,0,7,-4,39.162996833879845
16,23,9,6,0,1,10,1,58.88563536782574
17,24,14,8,1,0,8,-4,40.53649070542118
13,27,11,10,0,0,9,-1,51.06165522593588
14,25,14,8,0,0,10,0,56.940061229685845
14,23,12,6,0,1,6,0,56.3221249943456
11,22,11,8,1,0,7,6,82.09848169241234
16,26,9,7,0,0,9,-2,46.393663091735874
18,22,10,11,1,0,8,0,58.713700079050824
18,21,11,8,1,0,7,0,55.243658483840655
16,19,11,14,0,1,6,2,65.93369222988933
14,21,11,10,0,0,11,3,63.54438088180982
12,23,12,8,1,0,8,3,67.72297536722104
11,25,10,12,0,0,11,3,68.49784443528124
12,22,11,11,0,1,6,1,58.167825123915186
16,24,9,9,0,0,11,1,59.52642199114039
9,29,13,4,1,0,7,1,62.59655217204393
11,29,12,4,1,0,4,-1,54.54932343089496
17,24,15,7,1,0,6,-2,49.80826009851572
10,22,15,13,0,1,5,0,57.23120590503756
13,28,14,12,1,0,8,-2,47.47338871973334
14,30,9,9,1,1,7,0,60.65986376868365
19,25,13,12,0,0,6,-4,43.53307811906156
11,25,11,15,1,0,11,2,64.88864840000703
16,20,14,11,1,1,6,0,57.46180290717367
16,28,12,14,0,1,5,-5,38.94714178808521
16,22,13,11,1,0,6,0,57.86479687102439
13,30,17,10,1,1,4,-4,45.53887180920637
13,25,16,8,0,0,7,-1,55.66875798196939
13,22,9,10,0,0,6,4,74.99674782297922
8,20,10,8,1,1,7,8,87.67446033760672
15,24,10,11,0,1,5,-1,53.341475492297924
10,23,9,9,0,0,7,4,74.68232750689522
14,28,10,9,0,0,8,-3,44.65661953064855
17,23,12,9,1,0,8,0,56.28310589461802
12,27,12,5,0,1,9,0,56.8420400129336
12,23,10,7,0,0,4,0,55.73524817632571
12,24,14,12,1,0,6,0,53.56137504238622
14,24,12,13,1,0,4,-2,49.43560389714102
13,25,10,9,1,1,4,-1,52.87267159338852
15,22,10,10,1,1,10,4,71.5190675943301
9,25,10,16,0,1,6,2,64.83664710805932
13,26,10,9,0,1,9,0,56.86047052036112
13,25,10,13,1,0,9,4,73.06293684855359
16,27,11,13,0,1,6,-3,48.10451366613684
15,21,7,14,0,0,7,3,66.50812826749949
14,26,15,10,1,0,2,-3,47.510970125839854
16,21,11,8,0,0,13,5,79.02004261217115
13,24,12,11,0,0,11,3,66.90235089806048
15,26,11,9,0,0,8,0,59.47512838875602
13,26,10,15,1,0,9,0,57.37979560137543
16,28,14,6,1,1,9,-3,45.38827094252474
17,34,11,14,1,0,7,-9,23.637398228431024
15,31,15,9,1,0,10,-5,37.95574862941941
16,31,10,9,1,0,7,-7,31.00143289294061
13,22,13,3,0,0,7,2,64.36847254021387
15,24,9,7,1,0,8,2,67.69726942454037
15,25,10,11,0,0,10,0,57.079089154268175
13,22,12,14,1,1,7,2,64.30313161692193
14,19,10,12,1,0,8,4,73.59473220525378
14,23,12,15,0,1,7,0,56.12947745959237
15,31,12,12,0,0,8,-5,38.88474808497056
16,24,10,8,1,0,8,-1,51.16019669329387
12,30,7,10,0,1,5,-4,37.20723374838962
17,26,11,9,1,0,13,1,59.840823191407594
14,28,12,10,0,0,9,-1,51.886779858605266
14,25,9,12,1,0,5,1,60.61492598143687
16,25,11,8,0,1,9,-2,46.837604422780466
15,25,14,10,1,1,10,-1,52.2282687877586
12,26,9,11,1,1,9,3,69.44975527635548
17,26,14,9,0,0,8,-5,35.41383160646536
10,26,13,9,0,0,9,1,57.00240894158034
18,23,13,7,1,0,9,0,58.90775902388485
15,29,8,5,1,1,7,-3,45.065084866136374
12,23,12,7,0,0,10,5,77.00906143255689
14,28,10,12,0,1,4,-3,46.374095955260586
10,25,14,7,1,0,10,3,70.6100635000119
14,24,11,10,1,0,8,-2,46.35911049440342
13,25,6,9,1,1,9,1,58.31192424968262
11,27,11,17,1,0,7,0,56.361326964329116
11,23,7,12,1,1,5,3,68.20731507705675
13,23,17,9,0,1,10,2,67.54909927266318
15,22,16,7,1,0,8,2,64.65971659393477
21,23,8,7,0,0,8,-2,49.808986982956704
11,22,10,7,1,0,9,6,79.17263137909708
11,26,15,12,0,1,9,0,59.8645739678403
17,29,12,10,0,1,9,-4,42.41123809279314
16,21,9,6,0,0,3,0,54.92410676010715
16,26,6,3,0,0,5,0,57.44275930051654
17,27,12,6,0,0,7,-5,36.402503181100904
17,24,14,10,1,1,10,0,58.302727515311105
17,22,5,6,1,0,13,5,75.20988534353499
16,25,11,7,1,0,9,1,62.305112417320366
11,24,10,6,0,0,8,3,65.55687377165744
12,27,13,11,1,0,12,2,66.15027451202185
13,20,12,8,1,1,8,5,78.39174944779367
17,25,11,6,1,1,10,1,64.3228413068698
12,28,13,6,1,0,6,0,58.99852634117445
18,20,16,8,1,0,10,0,58.28743724399751
14,23,8,6,1,0,9,6,83.89870940806927
14,22,10,10,0,0,2,0,59.2526446875441
13,25,13,5,1,0,11,1,63.47520948782582
11,23,8,9,0,0,8,3,66.84546971531591
15,23,14,9,1,0,6,-1,55.09878906364532
15,21,11,7,1,0,3,0,55.35553299641687
14,23,13,6,1,0,9,2,66.31678051355699
14,23,11,10,0,1,9,1,58.72473641240594
16,26,9,5,0,1,7,-1,50.01831710008673
13,25,7,9,1,1,4,3,69.01319428330322
10,24,11,9,0,0,9,3,66.76898496777503
15,24,8,7,0,1,6,0,54.8174037432001
12,26,15,12,1,1,7,0,58.64650129318648
15,21,11,12,1,0,9,3,67.51802737260161
12,22,11,6,0,0,5,5,79.45627428241069
12,28,14,6,1,0,8,-1,53.977733635571774
15,21,15,10,1,1,8,2,68.46756359192888
17,19,12,9,1,0,9,3,72.13538592850341
14,23,12,17,1,0,9,2,66.00050502543317
14,28,11,13,0,1,4,-5,37.16269751779691
16,18,8,9,0,1,4,3,68.79535862761935
13,20,15,8,1,1,12,9,93.48308569164666
17,25,14,9,0,0,9,-2,48.53065770518581
16,23,12,12,0,0,7,1,63.623805108025735
10,26,14,9,1,0,5,1,62.842057050329466
13,21,14,13,0,1,6,1,61.50406213591836
13,27,9,8,1,1,7,1,63.522927064802225
16,24,11,15,0,1,8,0,57.47067964493289
14,27,11,11,1,1,9,1,61.61570711015143
14,26,8,5,0,1,8,1,60.39852034660902
16,26,12,9,1,1,8,-2,47.357784874556444
17,22,13,3,1,0,7,1,65.0705891571508
13,20,16,3,0,0,6,1,60.69289168026274
13,20,11,9,1,0,5,6,83.4025199435366
14,25,14,9,0,1,5,0,58.004611383477695
15,19,12,11,1,0,7,5,78.26483239821965
16,22,14,9,1,0,7,1,60.61926638273475
18,29,12,9,1,1,8,-4,43.62492932457161
20,26,14,17,0,1,10,-1,56.155160662193346
16,19,16,5,0,1,6,-1,51.90787671377266
18,21,10,19,1,0,9,1,61.27395169381404
15,21,14,11,1,1,6,0,56.181896171690425
14,19,12,6,0,0,8,3,64.50702361444385
18,24,12,7,1,0,5,-2,51.07270343566779
14,26,9,6,1,1,8,0,55.13012062433956
15,30,11,8,1,0,5,-8,24.890744317369844
17,21,13,5,0,1,9,0,55.84684302355119
15,25,6,14,1,1,7,1,61.808140207713144
13,29,10,10,0,0,5,-2,50.29321517507495
17,19,11,11,0,0,10,4,72.71654356662121
14,26,12,5,1,1,10,3,72.53183133991757
16,17,15,9,0,0,7,0,57.77394278797629
12,25,12,6,1,0,6,1,61.5471146638658
13,25,8,12,1,0,8,3,71.222803919959
16,24,15,8,1,1,8,-1,56.6450649590116
18,27,16,13,0,0,9,-8,23.23634970136542
17,27,7,13,1,1,6,-2,48.474017547465465
18,25,11,7,0,0,9,-1,51.59736855911867
16,23,13,7,1,0,6,1,62.051034597811835
12,23,11,8,1,0,6,2,62.77777837985304
13,23,8,5,1,1,6,0,52.70589379371456
13,24,9,10,0,0,8,0,56.16968430136879
17,23,10,8,1,1,8,0,58.9718143073225
15,23,9,9,1,0,9,1,59.402967101116595
12,22,12,11,1,1,10,7,83.84396034147719
14,25,12,6,1,1,10,0,56.395264909185855
16,26,13,8,1,0,7,-4,42.370360832884
13,25,12,8,0,1,7,-1,51.280280183477444
16,19,11,9,0,1,6,3,69.1476800601212
11,24,12,1,0,1,6,1,61.968652731431185
13,29,13,7,1,1,8,0,59.81114107758047
19,25,10,6,0,0,4,-3,46.43019989171477
12,24,11,12,0,1,5,2,66.51848816876075
13,23,8,8,0,0,9,2,60.82607991435811
13,24,12,12,0,0,6,0,53.431059333534336
13,21,13,13,0,1,7,0,53.927151959277225
13,18,11,8,0,1,6,4,70.49837497458942
13,24,17,8,1,1,7,0,60.19203247011021
16,29,4,11,1,0,9,0,56.42931220577623
13,26,7,10,0,1,10,1,58.26440854885515
17,20,11,5,1,1,8,2,64.93351878296961
12,27,11,14,1,0,8,0,55.519345153736104
14,27,11,7,0,1,2,-2,49.12812895361971
15,21,12,6,1,0,6,0,55.92450747130062
15,21,12,11,1,1,6,1,62.403399472714796
14,22,14,10,1,1,6,1,62.75141021086512
17,18,13,11,1,0,11,4,71.53263423147607
11,21,12,10,0,1,6,6,79.3637501084458
19,27,14,3,0,0,14,-1,53.310085800113974
15,24,9,4,0,0,9,1,57.350313108078446
13,26,12,15,0,0,12,0,58.83932262192279
17,25,12,9,0,0,9,-2,49.994109143351785
14,24,16,11,1,1,7,0,62.03252282873574
15,25,8,14,0,1,6,0,55.21161053906439
16,25,13,6,0,1,5,-4,41.60376302247747
15,23,10,6,0,1,10,1,57.297057167855876
12,28,12,10,0,0,9,0,55.62501931540529
15,25,13,13,0,1,8,0,57.921365280430024
17,27,12,11,0,0,7,-6,33.88188774352391
9,22,9,8,0,1,11,8,85.95402733815465
14,24,10,15,0,1,7,0,58.43747695226704
14,25,12,8,1,0,5,-1,51.410710582823754
17,28,14,9,0,1,9,-4,41.98406910594647
13,25,13,10,1,1,7,3,71.804033673502
17,30,10,12,1,1,8,-4,43.59741042444395
15,28,12,6,1,0,8,-3,47.270569440675104
18,22,13,11,1,1,3,-2,48.487636852196914
15,24,10,15,0,1,4,-2,48.477332070095585
14,25,14,6,1,1,9,1,60.32859703902397
15,26,13,7,0,0,5,-3,46.815311184486134
17,25,15,8,0,0,8,-2,48.95311403876581
18,28,11,10,1,0,8,-3,47.213436476142114
19,30,11,10,0,1,7,-6,34.946786167955764
20,24,15,10,0,1,6,-4,42.58507001605412
17,25,15,9,1,1,9,-4,42.41537184323376
13,23,11,14,0,0,4,0,57.63145474675302
14,27,16,15,0,1,7,-4,43.26224051554938
19,21,13,15,0,0,10,1,64.09562687558119
14,24,13,6,1,0,9,1,61.61086950197938
11,26,11,12,0,1,11,3,67.60126738520411
15,30,12,10,1,1,6,-2,51.56408986058798
13,22,9,11,0,0,7,3,67.45332037773898
12,21,8,11,0,1,6,2,62.63845005104466
13,20,9,9,1,0,8,5,76.26254953187325
14,22,11,7,0,1,4,-1,52.406563314000586
14,22,10,9,0,0,8,3,70.85165532910676
14,29,14,10,0,1,7,-4,42.89504051698954
15,25,13,8,1,0,5,-2,49.13188861557338
19,25,11,14,0,0,8,0,59.633781503210045
16,24,14,10,0,1,7,0,56.80869326873622
14,25,14,13,0,0,11,0,58.330310065807616
17,21,12,6,0,1,7,0,55.66277890199501
11,24,7,13,0,1,10,7,86.70427267937073
12,21,9,10,0,1,5,7,84.24564592342398
16,27,12,3,1,1,7,0,58.466716450085464
11,23,10,7,1,1,8,4,72.90595136029293
18,21,6,7,1,1,8,0,53.26939643357421
14,27,14,4,0,0,9,-1,53.647161513559915
13,24,12,6,0,0,6,0,57.89363059334841
17,24,9,11,0,1,8,-1,53.196038814126304
17,26,9,9,0,0,7,-5,32.75413983472383
12,20,10,14,0,1,6,2,63.31838027132363
15,26,9,8,0,1,9,0,55.06640530857997
15,26,11,10,1,1,8,0,57.63439220449946
16,24,12,9,1,1,9,-1,53.73287980098219
17,22,10,9,0,1,11,0,56.56412808096704
13,23,10,8,0,0,10,2,63.75077731214351
18,22,8,7,0,0,10,3,71.15634952839295
16,28,13,14,1,1,8,-3,45.88121516250867
14,26,11,5,1,0,7,0,56.02743250577779
17,23,8,2,1,0,10,3,68.00964569332999
16,20,12,5,0,0,11,4,72.33535382665548
16,25,13,8,1,1,12,3,73.07169256302083
14,24,13,8,0,0,10,1,62.20253955526418
12,22,7,13,1,0,4,5,76.78583478802699
11,23,13,13,1,1,5,1,64.83308608817654
10,27,9,9,0,0,8,-1,50.53326901901277
13,28,11,9,0,1,6,-3,43.35119860505294
15,22,10,10,1,1,12,6,81.80926258375577
12,25,13,7,0,1,10,2,67.06794488804944
11,27,13,8,0,0,8,0,59.92776089367131
17,28,8,7,0,1,10,-1,53.08759221745625
10,30,15,11,0,1,9,-1,54.49025916338141
17,25,11,12,1,0,8,-1,56.59854415336943
19,25,11,14,1,1,8,-3,44.36442497366407
13,21,11,11,1,1,5,4,75.5558896464826
13,25,8,1,1,1,10,5,79.5160372765126
15,21,12,13,0,0,6,-1,51.594109969464505
12,22,11,7,0,1,5,2,62.462383910114234
9,22,12,15,1,1,6,4,74.35700576964352
14,27,12,8,0,0,12,0,53.97131474449151
16,24,9,9,0,1,2,-2,49.4951388524557
13,22,18,11,1,0,6,1,63.88489124450842
14,23,13,9,1,0,9,4,76.589325428821
15,27,13,8,0,0,7,-2,48.93325549209514
14,24,13,12,1,1,7,0,61.13062368524651
10,29,12,8,0,1,6,0,56.52628678763314
12,28,16,17,1,0,7,-2,53.34324905797396
13,29,16,11,1,1,7,-5,33.512779236224716
16,26,10,13,0,1,6,0,58.727361688837526
12,24,7,10,1,0,8,5,75.4050071449529
17,23,12,13,0,0,7,0,59.21418850332589
16,21,7,11,1,0,8,4,72.29909776026103
11,23,5,6,0,1,6,5,71.71686727085131
